"symbol","date","open","high","low","close","adjclose","volume"
"PNW","12/31/2015",65.05,65.1,63.78,64.48,60.30544,517100
"PNW","12/30/2015",65.03,65.51,65.03,65.23,61.00688,345200
"PNW","12/29/2015",64.92,65.51,64.92,65.19,60.96947,359700
"PNW","12/28/2015",64.12,64.92,63.97,64.84,60.64212,412900
"PNW","12/24/2015",64.44,64.54,63.95,64.29,60.12774,185400
"PNW","12/23/2015",63.62,64.61,63.62,64.43,60.25867,412200
"PNW","12/22/2015",62.98,63.67,62.28,63.5,59.38888,589200
"PNW","12/21/2015",63.19,63.43,62.45,62.96,58.88384,590000
"PNW","12/18/2015",63.34,63.49,62.33,62.85,58.78096,884500
"PNW","12/17/2015",63.57,64.12,63.37,63.59,59.47305,1109700
"PNW","12/16/2015",62.36,63.75,62.36,63.62,59.50111,626900
"PNW","12/15/2015",61.57,62.75,61.57,62.06,58.0421,1158100
"PNW","12/14/2015",61.52,61.68,60.85,61.45,57.4716,1290300
"PNW","12/11/2015",60.9,61.81,60.7,61.53,57.54642,784800
"PNW","12/10/2015",62.96,62.96,60.99,61.21,57.24714,1193300
"PNW","12/09/2015",63.22,63.99,62.89,63.12,59.03349,805700
"PNW","12/08/2015",62.98,63.62,62.31,63.55,59.43564,1633100
"PNW","12/07/2015",62.27,63.17,62.09,63.13,59.04283,1730400
"PNW","12/04/2015",61.36,62.51,61.22,62.38,58.3414,1718400
"PNW","12/03/2015",61.62,61.94,60.93,61.11,57.15362,2126500
"PNW","12/02/2015",63.4,63.56,61.95,62.06,58.0421,969600
"PNW","12/01/2015",63.33,63.99,63.17,63.52,59.40759,1449100
"PNW","11/30/2015",63.02,63.96,62.98,63.36,59.25794,1443200
"PNW","11/27/2015",62.73,63.1,62.65,62.95,58.87449,341800
"PNW","11/25/2015",63.13,63.13,62.44,62.68,58.62197,486700
"PNW","11/24/2015",62.45,63.35,62.21,63.06,58.97737,1061200
"PNW","11/23/2015",63.47,63.84,62.73,62.87,58.79966,724000
"PNW","11/20/2015",63.13,63.85,63.06,63.34,59.23924,2102600
"PNW","11/19/2015",62.35,62.94,62.02,62.87,58.79966,766800
"PNW","11/18/2015",62.1,62.28,61.32,62.14,58.11693,1032800
"PNW","11/17/2015",62.79,63.28,61.69,61.85,57.8457,853500
"PNW","11/16/2015",61.7,62.96,61.63,62.93,58.85579,1455600
"PNW","11/13/2015",62.27,62.95,61.16,61.58,57.59319,932200
"PNW","11/12/2015",63.27,63.92,62.06,62.08,58.06081,1350700
"PNW","11/11/2015",63.37,63.85,63.14,63.33,59.22989,997500
"PNW","11/10/2015",62.1,63.29,62.05,63.24,59.14571,1027500
"PNW","11/09/2015",61.3,62.1,61.02,62,57.986,770300
"PNW","11/06/2015",63.96,64.39,61.12,61.54,57.55577,1233000
"PNW","11/05/2015",64.99,65.34,64.65,64.71,60.52054,778100
"PNW","11/04/2015",64.53,65.45,64.2,65.19,60.96947,1284300
"PNW","11/03/2015",63.91,64.26,63.44,63.97,59.82846,755400
"PNW","11/02/2015",63.47,64.36,62.81,64.17,60.0155,1115100
"PNW","10/30/2015",63.01,64.4,62.96,63.51,59.39823,1346500
"PNW","10/29/2015",63.68,64.25,62.43,63.17,59.08024,1495200
"PNW","10/29/2015",0,0,0,0,0,0
"PNW","10/28/2015",65.51,66,63.98,64.48,59.7209,1072400
"PNW","10/27/2015",65.74,66.06,65.29,65.51,60.67488,635700
"PNW","10/26/2015",65.52,65.83,64.85,65.78,60.92495,710500
"PNW","10/23/2015",66.5,66.74,65.4,65.71,60.86011,763700
"PNW","10/22/2015",66.03,67.02,65.4,66.64,61.72147,771000
"PNW","10/21/2015",65.96,66.46,65.52,65.59,60.74897,525600
"PNW","10/20/2015",65.4,65.89,64.76,65.74,60.88791,757800
"PNW","10/19/2015",65.49,65.66,64.81,65.53,60.69341,725300
"PNW","10/16/2015",66.06,66.19,65.65,65.85,60.98978,739100
"PNW","10/15/2015",65.16,65.98,64.76,65.78,60.92495,534800
"PNW","10/14/2015",64.8,65.31,64.7,64.97,60.17474,596800
"PNW","10/13/2015",64.59,64.92,64.4,64.71,59.93392,605900
"PNW","10/12/2015",63.99,65.06,63.99,64.62,59.85057,483600
"PNW","10/09/2015",64.06,64.26,63.74,63.98,59.2578,664600
"PNW","10/08/2015",62.8,64.22,62.62,64.06,59.33189,688800
"PNW","10/07/2015",63.1,63.24,62.66,62.91,58.26678,1388200
"PNW","10/06/2015",63.92,64.34,62.81,62.93,58.28531,1959600
"PNW","10/05/2015",64.23,64.48,63.68,64.08,59.35043,1205600
"PNW","10/02/2015",63.92,64.08,63.09,63.92,59.20222,848400
"PNW","10/01/2015",64.16,64.35,62.88,63.44,58.75766,887100
"PNW","09/30/2015",63.52,64.21,63.23,64.14,59.40599,564200
"PNW","09/29/2015",63.26,63.62,62.75,63.22,58.5539,760000
"PNW","09/28/2015",63.51,63.86,62.99,63.17,58.50759,666400
"PNW","09/25/2015",62.69,64.09,62.52,63.52,58.83176,620500
"PNW","09/24/2015",62.06,62.82,61.6,62.63,58.00744,976700
"PNW","09/23/2015",62.24,62.54,61.86,62.23,57.63697,587700
"PNW","09/22/2015",61.54,62.41,61.54,62.2,57.60918,801500
"PNW","09/21/2015",61.97,62.77,61.65,62.29,57.69254,1218700
"PNW","09/18/2015",61.27,62.33,61.2,61.77,57.21091,1281500
"PNW","09/17/2015",61,62.47,60.94,61.77,57.21091,549600
"PNW","09/16/2015",60.21,61.23,59.92,61.09,56.5811,759800
"PNW","09/15/2015",59.88,60.29,59.55,60.18,55.73827,772200
"PNW","09/14/2015",59.87,60.29,59.68,59.88,55.46041,816200
"PNW","09/11/2015",58.74,59.8,58.61,59.79,55.37706,861100
"PNW","09/10/2015",59.15,59.69,58.88,59.06,54.70093,962600
"PNW","09/09/2015",59.88,59.95,59,59.23,54.85839,1244700
"PNW","09/08/2015",58.22,59.75,57.99,59.68,55.27517,1658500
"PNW","09/04/2015",57.66,58.01,57.33,57.6,53.34869,668200
"PNW","09/03/2015",58.16,58.68,58.02,58.27,53.96924,717300
"PNW","09/02/2015",58.63,58.73,57.57,58.01,53.72843,660300
"PNW","09/01/2015",59.02,59.02,57.78,58.01,53.72843,865600
"PNW","08/31/2015",60.15,60.39,58.95,59.53,55.13625,1099800
"PNW","08/28/2015",60.66,60.84,59.81,60.48,56.01613,1508000
"PNW","08/27/2015",60.78,60.8,59.9,60.78,56.29399,1329700
"PNW","08/26/2015",60.34,60.54,59.24,60.33,55.8772,1357200
"PNW","08/25/2015",62.35,62.85,59.55,59.61,55.21035,1225700
"PNW","08/24/2015",62.16,62.36,60.97,61.69,57.13683,2531600
"PNW","08/21/2015",64.1,64.4,63.25,63.27,58.60021,945200
"PNW","08/20/2015",64.17,65.23,63.92,64.34,59.59122,977000
"PNW","08/19/2015",64.08,64.9,63.85,64.59,59.82278,628700
"PNW","08/18/2015",64.77,64.77,64.28,64.38,59.62828,627300
