"symbol","date","open","high","low","close","adjclose","volume"
"PRGO","12/31/2015",144.89,145.65,144.28,144.7,142.4418,602900
"PRGO","12/30/2015",146.52,146.99,144.86,145.24,142.9734,569800
"PRGO","12/29/2015",146.5,146.99,145.55,146.59,144.3023,711500
"PRGO","12/28/2015",147.78,147.79,144.8,145.84,143.564,650000
"PRGO","12/24/2015",148.21,148.47,147.51,147.54,145.2374,280600
"PRGO","12/23/2015",145.55,148.33,145.51,147.7,145.3949,1178700
"PRGO","12/22/2015",144.93,146.13,144.29,145.27,143.0029,993900
"PRGO","12/21/2015",144.75,144.75,142.51,144.28,142.0283,883300
"PRGO","12/18/2015",146.15,146.4,144.26,144.33,142.0775,1706500
"PRGO","12/17/2015",151.05,151.65,145.56,146.26,143.9774,1492000
"PRGO","12/16/2015",149.27,150.67,146.2,149.45,147.1177,1658700
"PRGO","12/15/2015",150.91,150.95,148.43,149.31,146.9798,1655600
"PRGO","12/14/2015",148.33,149.37,146.82,148.99,146.6648,1631900
"PRGO","12/11/2015",147.99,148.26,145.65,147.19,144.8929,867600
"PRGO","12/10/2015",149.53,149.65,148.05,148.89,146.5664,1270400
"PRGO","12/09/2015",148.46,150.27,147.69,148.16,145.8478,1911300
"PRGO","12/08/2015",146.37,149.19,146.3,148.39,146.0742,1412700
"PRGO","12/07/2015",147.5,148.16,145.61,147.34,145.0406,1182900
"PRGO","12/04/2015",145.99,148.34,145.05,147.69,145.3851,1488000
"PRGO","12/03/2015",148.24,148.53,143.61,145.59,143.3179,1486600
"PRGO","12/02/2015",149.45,150.91,147.53,147.86,145.5525,1073100
"PRGO","12/01/2015",150.79,150.88,147.28,149.21,146.8814,1180500
"PRGO","11/30/2015",151.03,151.45,149.01,149.39,147.0586,1632900
"PRGO","11/27/2015",150.87,151,149.77,150.49,148.1414,354600
"PRGO","11/25/2015",150.3,151.14,149.4,150.63,148.2792,940000
"PRGO","11/24/2015",148.25,150.85,146.25,150,147.659,2404500
"PRGO","11/24/2015",0,0,0,0,0,0
"PRGO","11/23/2015",155.72,155.79,147.5,148.4,145.961,2411300
"PRGO","11/20/2015",154.79,156.03,153.81,154.92,152.3738,2664800
"PRGO","11/19/2015",155.8,155.8,153.36,154.63,152.0886,2273100
"PRGO","11/18/2015",154.59,155.68,152.27,155.64,153.082,3457600
"PRGO","11/17/2015",149.14,153.85,148.9,153.5,150.9771,5267300
"PRGO","11/16/2015",149.91,152.25,147.33,149,146.5511,6785900
"PRGO","11/13/2015",140.54,149.16,140.4,146.9,144.4856,27518200
"PRGO","11/12/2015",160.1,165.18,156.1,156.55,153.977,3523800
