"symbol","date","open","high","low","close","adjclose","volume"
"ROK","12/31/2015",103.73,104.15,102.61,102.61,98.09205,562700
"ROK","12/30/2015",104.55,105.47,103.91,103.98,99.40174,503200
"ROK","12/29/2015",104.06,105.18,103.61,104.96,100.3386,645700
"ROK","12/28/2015",103.52,104.13,102.63,103.23,98.68476,494600
"ROK","12/24/2015",104.05,105,103.39,103.82,99.24877,298200
"ROK","12/23/2015",102.8,104.47,102.22,104.2,99.61203,855800
"ROK","12/22/2015",101.33,102.6,99.74,102.01,97.51847,918200
"ROK","12/21/2015",100.69,101.24,99.58,100.75,96.31396,684800
"ROK","12/18/2015",100.02,100.63,98.92,99.62,95.2337,1525600
"ROK","12/17/2015",103.31,104.06,99.97,100.02,95.61609,1220300
"ROK","12/16/2015",102.78,104,101.72,103.38,98.82814,1633200
"ROK","12/15/2015",103.62,103.81,101.51,101.54,97.06915,1436300
"ROK","12/14/2015",101.84,103.41,101.44,103.34,98.7899,1300600
"ROK","12/11/2015",102.41,103.23,101.38,101.58,97.10741,977600
"ROK","12/10/2015",103.73,104.95,103.19,103.7,99.13405,692700
"ROK","12/09/2015",103.64,105.91,103.22,103.81,99.2392,870700
"ROK","12/08/2015",105.44,105.66,103.82,103.91,99.33481,1018200
"ROK","12/07/2015",106.04,106.98,105.94,106.84,102.1358,1204300
"ROK","12/04/2015",104.33,106.75,103.81,106.73,102.0307,1231000
"ROK","12/03/2015",105.99,106.15,103.18,104.08,99.49733,1244800
"ROK","12/02/2015",106.71,107.51,105.17,105.27,100.6349,1252900
"ROK","12/01/2015",106.42,107.7,105.78,106.92,102.2123,1138700
"ROK","11/30/2015",107.54,107.73,106.3,106.44,101.7534,1295400
"ROK","11/27/2015",105.03,107.24,104.82,107.01,102.2983,685500
"ROK","11/25/2015",103.91,105.67,103.78,105.13,100.5011,1335100
"ROK","11/24/2015",104.3,104.48,103.63,104.01,99.43041,750800
"ROK","11/23/2015",105.26,106.17,103.97,104.47,99.87015,1107200
"ROK","11/20/2015",106.28,107.09,104.94,105.18,100.5489,1002800
"ROK","11/19/2015",105.72,106.52,104.28,105.76,101.1034,1074800
"ROK","11/19/2015",0,0,0,0,0,0
"ROK","11/18/2015",103.5,106.19,103.4,106.07,100.7066,1236700
"ROK","11/17/2015",104.9,105.37,102.55,103.05,97.83933,886800
"ROK","11/16/2015",102.1,104.74,102.06,104.65,99.35844,1277200
"ROK","11/13/2015",101.87,103.99,101.75,102.64,97.45007,1191000
"ROK","11/12/2015",102.44,104.41,102,102.38,97.20321,1326000
"ROK","11/11/2015",103.25,105.37,101.27,103.91,98.65585,1482000
"ROK","11/10/2015",102.11,104.72,101.82,104.18,98.91219,2963700
"ROK","11/09/2015",108.98,108.98,106.95,107.79,102.3397,1856800
"ROK","11/06/2015",108.68,109.43,107.69,109,103.4885,1417300
"ROK","11/05/2015",109.45,110.05,108.74,108.95,103.441,1028000
"ROK","11/04/2015",110.64,111.03,109.13,109.63,104.0866,778500
"ROK","11/03/2015",110.02,110.96,109.16,110.14,104.5708,908700
"ROK","11/02/2015",109.2,110.77,108.18,110.56,104.9696,701000
"ROK","10/30/2015",108.88,110.47,108.7,109.16,103.6404,1079400
"ROK","10/29/2015",107.32,108.6,107.19,108.56,103.0707,909200
"ROK","10/28/2015",105.84,109,105.45,108.72,103.2226,1107700
"ROK","10/27/2015",106.58,106.96,103.99,105.24,99.91859,1161600
"ROK","10/26/2015",108.29,108.96,107.41,107.57,102.1308,578000
"ROK","10/23/2015",108.26,109.19,107.85,108.04,102.577,1102000
"ROK","10/22/2015",103.94,107.58,103.57,107.05,101.6371,1640000
"ROK","10/21/2015",104.91,105.99,103.85,103.92,98.66534,697700
"ROK","10/20/2015",102.96,104.53,102.17,104.35,99.07361,1048800
"ROK","10/19/2015",103.52,104.29,102.62,103.16,97.94377,947200
"ROK","10/16/2015",105.36,105.36,102.61,104.28,99.00713,1338200
"ROK","10/15/2015",104.07,105.32,102.96,105.24,99.91859,812000
"ROK","10/14/2015",104.45,104.92,103.66,103.85,98.59889,844000
"ROK","10/13/2015",104.45,106.9,104.4,104.54,99.25399,910300
"ROK","10/12/2015",105.76,106.05,104.72,105.52,100.1844,694200
"ROK","10/09/2015",105.8,106.62,104.87,105.58,100.2414,937600
"ROK","10/08/2015",102.8,105.83,102.52,105.42,100.0895,1504600
"ROK","10/07/2015",104,105.14,101.58,103.12,97.9058,1893900
"ROK","10/06/2015",103.89,104.91,103.73,104.33,99.05461,1140700
"ROK","10/05/2015",102.18,104.07,100.3,104.03,98.76978,1107500
"ROK","10/02/2015",99.24,102.42,98.47,102.41,97.2317,1042500
"ROK","10/01/2015",101.42,102,99.77,100.36,95.28535,1119200
"ROK","09/30/2015",100.84,101.95,99.84,101.47,96.33923,1543200
"ROK","09/29/2015",100.23,101.23,99.93,100.36,95.28535,1278900
"ROK","09/28/2015",99.33,102,99.19,99.9,94.84861,1553200
"ROK","09/25/2015",101.55,101.99,99.61,100.28,95.2094,1046900
"ROK","09/24/2015",100.09,101.64,99,101.05,95.94046,1212200
"ROK","09/23/2015",103.6,103.64,100.76,101.4,96.27277,1367500
"ROK","09/22/2015",102.45,103.54,102.07,103.1,97.88681,1694900
"ROK","09/21/2015",104.03,104.98,103.68,104.01,98.75079,854600
"ROK","09/18/2015",104.58,104.77,103.3,103.79,98.54193,1676500
"ROK","09/17/2015",107.35,107.61,105.51,105.84,100.4883,1509700
"ROK","09/16/2015",106.47,107.84,106.27,107.58,102.1403,1299600
"ROK","09/15/2015",105.76,106.6,104.76,106.55,101.1624,1036200
"ROK","09/14/2015",105.74,106.28,104.69,104.94,99.63377,668800
"ROK","09/11/2015",105.04,106.75,104.48,105.9,100.5452,1114500
"ROK","09/10/2015",106,106.46,104.5,105.15,99.83315,1074400
"ROK","09/09/2015",109.78,110.48,106.01,106.19,100.8206,942100
