"symbol","date","open","high","low","close","adjclose","volume"
"SNI","12/31/2015",54.58,55.68,54.38,55.21,53.51444,840400
"SNI","12/30/2015",55.18,55.72,54.64,54.65,52.97164,634600
"SNI","12/29/2015",55.55,55.94,54.91,55.49,53.78585,526700
"SNI","12/28/2015",55.17,55.8,54.6,55.14,53.4466,371800
"SNI","12/24/2015",55.42,55.69,55.17,55.35,53.65014,218400
"SNI","12/23/2015",55,55.35,54.6,55.28,53.58229,563400
"SNI","12/22/2015",53.85,55.04,53.74,54.71,53.0298,1254500
"SNI","12/21/2015",53.94,54.68,53.34,53.8,52.14774,1171100
"SNI","12/18/2015",54.31,54.66,53.72,53.89,52.23498,2047300
"SNI","12/17/2015",54.94,55.59,53.5,54.28,52.613,1104200
"SNI","12/16/2015",53.87,55.34,53.43,55.03,53.33997,1009900
"SNI","12/15/2015",53.91,54.84,53.07,53.59,51.9442,1186600
"SNI","12/14/2015",54.78,55.3,53,53.32,51.68249,1284700
"SNI","12/11/2015",56.25,56.25,54.46,54.62,52.94256,1231500
"SNI","12/10/2015",56.22,57.84,56.22,57.07,55.31732,901100
"SNI","12/09/2015",56.46,57.98,56.16,56.29,54.56128,1715400
"SNI","12/08/2015",58.06,58.39,56.9,56.94,55.19131,1036400
"SNI","12/07/2015",58.82,58.97,57.7,58.75,56.94572,1098800
"SNI","12/04/2015",56.69,59.14,56.56,59.02,57.20744,2454800
"SNI","12/03/2015",57.23,57.52,55.76,56.43,54.69698,1858100
"SNI","12/02/2015",58.21,58.21,56.29,57.25,55.49179,1875800
"SNI","12/01/2015",57.23,57.35,56.47,56.89,55.14285,1442500
"SNI","11/30/2015",57.56,58.03,56.65,56.8,55.05561,1803700
"SNI","11/27/2015",57.81,58.16,57.04,57.74,55.96674,582900
"SNI","11/25/2015",57.54,58.05,56.98,57.97,56.18968,855900
"SNI","11/25/2015",0,0,0,0,0,0
"SNI","11/24/2015",58.25,58.27,57.11,57.87,55.86982,1448000
"SNI","11/23/2015",57.68,58.53,57.36,58.47,56.44908,1259500
"SNI","11/20/2015",56.94,57.71,56.5,57.68,55.68639,1026500
"SNI","11/19/2015",56.79,56.93,55.38,56.72,54.75956,1356500
"SNI","11/18/2015",55.87,56.72,55.75,56.64,54.68233,1159900
"SNI","11/17/2015",56.64,56.96,55.34,55.74,53.81343,1351000
"SNI","11/16/2015",56.56,57.22,56.25,56.72,54.75956,1554000
"SNI","11/13/2015",57.58,58.1,56.72,56.83,54.86576,1607400
"SNI","11/12/2015",57.51,58.33,57.2,57.44,55.45468,1080000
"SNI","11/11/2015",58.58,58.81,57.7,57.89,55.88913,2069900
"SNI","11/10/2015",58.15,58.72,57.13,58.62,56.59389,1593700
"SNI","11/09/2015",61,62,57.19,58.38,56.36219,3084000
"SNI","11/06/2015",58.04,59.13,57.64,59.04,56.99937,1325700
"SNI","11/05/2015",59.57,59.76,56.98,58.26,56.24633,1824700
"SNI","11/04/2015",61.48,62.3,58.49,59.57,57.51106,3698500
"SNI","11/03/2015",59.75,61.4,59.01,61.24,59.12334,1296300
"SNI","11/02/2015",60.06,60.44,59.51,59.79,57.72345,1436900
"SNI","10/30/2015",59.29,60.34,58.58,60.08,58.00343,1693400
"SNI","10/29/2015",58,59.58,57.83,59.28,57.23108,1689300
"SNI","10/28/2015",56.81,58.18,56.58,58.11,56.10152,1264800
"SNI","10/27/2015",57,57.74,55.94,56.78,54.81748,1248900
"SNI","10/26/2015",56.96,57.28,56.76,57.14,55.16504,828600
"SNI","10/23/2015",57.06,57.06,56.46,56.99,55.02024,877400
"SNI","10/22/2015",56.09,56.7,55.75,56.67,54.71129,628700
"SNI","10/21/2015",56.82,56.91,55.92,56.02,54.08375,760100
"SNI","10/20/2015",55.87,57.09,55.53,56.56,54.6051,1081400
"SNI","10/19/2015",55.85,56.41,55.72,55.96,54.02583,1117900
"SNI","10/16/2015",56.62,56.62,55.8,56.08,54.14169,837100
"SNI","10/15/2015",55.36,56.51,55.16,56.44,54.48924,912400
"SNI","10/14/2015",55.25,56.07,54.78,55.22,53.31141,1035600
"SNI","10/13/2015",54.95,55.86,54.54,55.24,53.33072,963900
"SNI","10/12/2015",56.2,56.29,54.72,55.14,53.23418,1434100
"SNI","10/09/2015",55.69,56.34,55.27,56.06,54.12238,1517700
"SNI","10/08/2015",54.69,56.25,54.39,55.75,53.82309,3387900
"SNI","10/07/2015",52.07,54.79,51.65,54.62,52.73214,2326400
"SNI","10/06/2015",51.3,52.01,51.18,51.66,49.87446,1736300
"SNI","10/05/2015",49.35,51.71,49,51.3,49.5269,2009200
"SNI","10/02/2015",47.94,49.92,47.72,49.8,48.07874,1715300
"SNI","10/01/2015",49.19,49.34,47.95,48.42,46.74644,1790900
"SNI","09/30/2015",48.67,49.53,48.64,49.19,47.48983,1660200
"SNI","09/29/2015",48.44,48.66,47.62,48.14,46.47612,1308300
"SNI","09/28/2015",49.47,49.7,48.2,48.27,46.60162,909900
"SNI","09/25/2015",50.15,50.29,49.2,49.58,47.86635,1702400
"SNI","09/24/2015",49.07,50.08,48.8,49.84,48.11736,2122400
"SNI","09/23/2015",51.04,51.21,49.36,49.39,47.68291,1609100
"SNI","09/22/2015",51.95,51.97,50.98,51.03,49.26623,1243600
"SNI","09/21/2015",53.14,53.27,52.1,52.5,50.68542,1174900
"SNI","09/18/2015",52.33,53.59,52.18,52.92,51.0909,2343400
"SNI","09/17/2015",53.4,53.82,52.82,52.93,51.10056,1208200
"SNI","09/16/2015",53.09,53.94,53,53.23,51.39019,991200
"SNI","09/15/2015",52.77,53.17,52.62,53.08,51.24538,890100
"SNI","09/14/2015",53.16,53.16,52.34,52.62,50.80127,793600
"SNI","09/11/2015",53.23,53.47,52.31,53.16,51.32261,635400
"SNI","09/10/2015",53.66,53.87,53.05,53.35,51.50604,1091300
"SNI","09/09/2015",54.52,54.6,53.43,53.59,51.73775,1426100
"SNI","09/08/2015",53.75,54.35,53.43,53.86,51.99842,1154300
"SNI","09/04/2015",53.02,53.52,52.52,52.87,51.04263,1129000
"SNI","09/03/2015",53,54.53,52.84,53.78,51.92118,1617000
"SNI","09/02/2015",52.34,52.87,51.79,52.83,51.00402,1451400
"SNI","09/01/2015",52.07,52.59,51.39,51.78,49.9903,1520500
"SNI","08/31/2015",53.08,53.43,52.25,53.09,51.25503,1249100
"SNI","08/28/2015",52.68,53.66,52.26,53.18,51.34192,1606200
"SNI","08/27/2015",52.66,52.98,51.22,52.67,50.84954,2716600
"SNI","08/27/2015",0,0,0,0,0,0
"SNI","08/26/2015",52.42,52.63,51.64,52,49.98065,2655200
"SNI","08/25/2015",52.85,52.85,51.2,51.38,49.38474,2426100
"SNI","08/24/2015",51.74,53.67,51.32,51.72,49.71152,2071300
"SNI","08/21/2015",53.75,55.14,53.29,54,51.90299,1823500
"SNI","08/20/2015",56.36,56.36,54.08,54.23,52.12405,2109800
"SNI","08/19/2015",56.77,57.58,56.55,57.07,54.85377,1272800
"SNI","08/18/2015",58.54,58.68,56.96,57.01,54.79609,1813700
"SNI","08/17/2015",57.4,58.84,57.24,58.67,56.39163,950100
"SNI","08/14/2015",57.78,58.13,57.05,57.52,55.28629,1230500
"SNI","08/13/2015",58.83,58.98,57.71,57.96,55.7092,1437000
"SNI","08/12/2015",58.33,59.32,58.32,58.92,56.63192,1590900
"SNI","08/11/2015",58.84,59.13,57.98,58.8,56.51658,1657400
"SNI","08/10/2015",59.17,59.58,58.12,59.17,56.87222,1722800
"SNI","08/07/2015",58.2,60.37,57.75,58.76,56.47814,3448300
"SNI","08/06/2015",58,59.64,53.87,58.59,56.31474,4436400
"SNI","08/05/2015",62.06,62.06,56.64,57.54,55.30552,3903100
"SNI","08/04/2015",63.21,64.52,60.12,61.17,58.79455,3213100
"SNI","08/03/2015",62.73,62.83,61.91,62.59,60.1594,1222900
"SNI","07/31/2015",62.36,62.64,61.99,62.58,60.1498,871400
"SNI","07/30/2015",61.71,62.42,61.31,62.21,59.79416,631200
"SNI","07/29/2015",62.14,62.58,61.49,61.93,59.52503,822000
"SNI","07/28/2015",62.22,62.27,61.39,62.05,59.64038,843800
"SNI","07/27/2015",60.47,62.52,60.4,61.88,59.47697,2027900
"SNI","07/24/2015",61.83,61.94,60.79,61.2,58.82338,1293900
"SNI","07/23/2015",62.71,62.95,61.69,61.82,59.41931,956900
"SNI","07/22/2015",63.07,63.4,62.42,62.75,60.31319,1418300
"SNI","07/21/2015",64.29,64.46,63.13,63.33,60.87067,1177400
"SNI","07/20/2015",64.98,65.61,63.79,64.29,61.79338,1037600
"SNI","07/17/2015",66.53,66.95,64.49,64.86,62.34125,1396400
"SNI","07/16/2015",66.75,66.93,66.15,66.77,64.17708,1001700
"SNI","07/15/2015",66.24,66.57,65.76,66.31,63.73494,843900
"SNI","07/14/2015",66.08,66.6,65.71,66.22,63.64843,836400
"SNI","07/13/2015",66.1,66.65,65.97,66.31,63.73494,799400
"SNI","07/10/2015",65.87,66.13,65.37,65.84,63.28319,820800
"SNI","07/09/2015",65.92,66.77,65.36,65.42,62.8795,1436700
"SNI","07/08/2015",66.73,66.93,65.04,65.32,62.78338,1358900
"SNI","07/07/2015",66.97,67.27,65.42,67.2,64.59039,949400
"SNI","07/06/2015",66.6,68.05,66.49,66.78,64.18669,1002500
"SNI","07/02/2015",67.68,68.45,66.45,67.09,64.48465,1331100
"SNI","07/01/2015",65.83,67.14,65.53,67.05,64.44621,1436700
"SNI","06/30/2015",65.19,65.53,64.47,65.37,62.83145,1192200
"SNI","06/29/2015",66.56,66.8,64.59,64.76,62.24514,1189500
"SNI","06/26/2015",66.8,67.35,66.49,67.01,64.40775,920000
"SNI","06/25/2015",67.01,67.09,66.35,66.65,64.06173,1066000
"SNI","06/24/2015",67.28,67.41,66.55,66.66,64.07136,1053800
"SNI","06/23/2015",67.45,67.5,66.7,67.25,64.63844,1715300
"SNI","06/22/2015",67.66,67.97,67.08,67.16,64.55194,850000
"SNI","06/19/2015",67.52,67.72,67.12,67.25,64.63844,1310600
"SNI","06/18/2015",67.67,67.87,67.33,67.68,65.05173,860700
"SNI","06/17/2015",67.23,67.68,66.83,67.52,64.89796,492700
"SNI","06/16/2015",67.42,67.57,66.83,67.09,64.48465,573100
"SNI","06/15/2015",66.18,67.47,66.12,67.36,64.74416,960800
"SNI","06/12/2015",66.66,66.85,66.15,66.68,64.09059,585800
"SNI","06/11/2015",66.76,67.02,66.46,66.89,64.29243,698500
"SNI","06/10/2015",67.49,67.68,66.7,66.74,64.14823,941900
"SNI","06/09/2015",67.8,67.95,66.97,67.28,64.66727,1196000
"SNI","06/08/2015",68.75,68.75,67.52,67.76,65.12864,1068300
