"symbol","date","open","high","low","close","adjclose","volume"
"SWKS","12/31/2015",78.91,79.25,76.8,76.83,74.69064,2341300
"SWKS","12/30/2015",80.18,80.93,79.15,79.19,76.98492,1368800
"SWKS","12/29/2015",79.43,81.35,79.08,80.43,78.19039,2437300
"SWKS","12/28/2015",78.81,79.9,77.57,79.31,77.10158,3208800
"SWKS","12/24/2015",79.17,80.48,79,79.32,77.11131,1022700
"SWKS","12/23/2015",78.86,79.86,77.66,79.17,76.96548,1919700
"SWKS","12/22/2015",78.81,79.11,76.71,78.41,76.22665,2585200
"SWKS","12/21/2015",77.5,78.42,76.4,78.42,76.23637,2287400
"SWKS","12/18/2015",77.23,78.44,76.15,76.38,74.25318,3788200
"SWKS","12/17/2015",79.82,80.63,77.76,77.8,75.63364,2298600
"SWKS","12/16/2015",78.25,79.46,77.13,78.97,76.77105,3020700
"SWKS","12/15/2015",78.18,78.78,76.85,77.78,75.61417,4571300
"SWKS","12/14/2015",79.64,79.99,76.45,78.51,76.32387,6032200
"SWKS","12/11/2015",83.07,83.56,80.81,81.43,79.16255,4162700
"SWKS","12/10/2015",84.51,86.18,84.17,84.89,82.52621,2570300
"SWKS","12/09/2015",86.53,86.74,83.92,84.68,82.32205,4055100
"SWKS","12/08/2015",85.43,87.77,84.5,87.1,84.67467,3000400
"SWKS","12/07/2015",87.92,87.99,86.17,86.69,84.27608,2867900
"SWKS","12/04/2015",83.24,88.52,82.13,87.92,85.47184,5119100
"SWKS","12/03/2015",86.71,87.1,83.13,83.44,81.11658,4183700
"SWKS","12/02/2015",83.95,85.78,83.3,84.63,82.27345,3429800
"SWKS","12/01/2015",83.63,84.49,83.28,83.76,81.42767,3725000
"SWKS","11/30/2015",81.89,83.19,80.77,83.02,80.70828,3607100
"SWKS","11/27/2015",80.63,82.13,80,81.9,79.61947,1556800
"SWKS","11/25/2015",79.93,80.48,79.02,80.31,78.07373,3182800
"SWKS","11/24/2015",78.25,80.1,77.81,79.72,77.50018,3537600
"SWKS","11/23/2015",78.91,78.91,77.51,77.72,75.55587,1616900
"SWKS","11/20/2015",78.56,79.4,77.65,78.57,76.38219,2368300
"SWKS","11/19/2015",80.2,80.24,77.16,78,75.82806,2913200
"SWKS","11/18/2015",77.63,80.54,77.19,80.41,78.17095,4021300
"SWKS","11/17/2015",75.47,77.79,75.33,77.15,75.00174,3131700
"SWKS","11/17/2015",0,0,0,0,0,0
"SWKS","11/16/2015",74.6,75.64,73.65,75.28,72.93105,3238300
"SWKS","11/13/2015",75.71,76.25,74.16,74.83,72.49509,3278300
"SWKS","11/12/2015",78.78,78.8,75.8,75.84,73.47357,4735900
"SWKS","11/11/2015",81.67,81.75,79.04,79.1,76.63184,3346300
"SWKS","11/10/2015",81.15,81.35,79.75,80.37,77.86223,5691400
"SWKS","11/09/2015",85.85,85.85,83.81,84.89,82.24117,4468300
"SWKS","11/06/2015",84.04,86.92,83.11,85.99,83.30685,7145500
"SWKS","11/05/2015",80.93,81.2,78.82,80.28,77.77502,5120400
"SWKS","11/04/2015",79.67,80.34,78.87,80.18,77.67815,3412000
"SWKS","11/03/2015",79.01,79.36,77.5,79.08,76.61247,3200200
"SWKS","11/02/2015",77.28,79.56,77.17,79.3,76.8256,3297400
"SWKS","10/30/2015",75.07,77.7,74.69,77.24,74.82988,4138700
"SWKS","10/29/2015",74.77,76.39,74.01,74.63,72.30131,4779700
"SWKS","10/28/2015",77.9,79.02,76.45,77.5,75.08177,6349500
"SWKS","10/27/2015",77,79.17,75.51,76.31,73.9289,4922800
"SWKS","10/26/2015",81,81,77,77.91,75.47897,5660600
"SWKS","10/23/2015",82.75,83.18,81.39,82.55,79.97419,2976600
"SWKS","10/22/2015",78.97,81.72,78.7,81.69,79.14104,4254800
"SWKS","10/21/2015",78.71,79.24,77.59,77.67,75.24645,3320200
"SWKS","10/20/2015",77.47,78.55,76.74,78.29,75.84711,3036900
"SWKS","10/19/2015",79.15,79.91,77.41,77.83,75.40147,2587600
"SWKS","10/16/2015",80.27,80.29,78.71,79.6,77.11623,2485700
"SWKS","10/15/2015",78.72,80.75,78.41,80.24,77.73627,4519100
"SWKS","10/14/2015",77.19,78.82,75.84,77.82,75.39178,4586500
"SWKS","10/13/2015",78.99,79.55,77.39,77.47,75.0527,3186900
"SWKS","10/12/2015",79.93,80.5,78.86,79.59,77.10655,2655100
"SWKS","10/09/2015",79.56,80.26,78.45,79.5,77.01937,3301800
"SWKS","10/08/2015",82.91,83.04,77.3,79.43,76.95155,7537300
"SWKS","10/07/2015",81.16,83.65,79.84,83.61,81.00111,5818300
"SWKS","10/06/2015",81.84,82.49,74.51,80.71,78.19161,15065300
"SWKS","10/05/2015",84.49,84.75,81.8,81.87,79.31541,4257100
"SWKS","10/02/2015",81.89,84.08,81.11,84.06,81.43707,3592400
"SWKS","10/01/2015",83.98,84.03,81.51,83.37,80.76862,4801500
"SWKS","09/30/2015",84.11,85.25,82.73,84.21,81.5824,3896700
"SWKS","09/29/2015",82.5,84.99,82,82.85,80.26483,3479900
"SWKS","09/28/2015",87.43,88.11,82.67,82.71,80.12921,3423000
"SWKS","09/25/2015",88.6,89.72,86.5,87.77,85.03132,3723700
"SWKS","09/24/2015",87.31,87.79,84.43,86.35,83.65563,4603900
"SWKS","09/23/2015",86.73,89.04,86.17,88.12,85.37039,2852000
"SWKS","09/22/2015",87.58,88.48,86.3,86.7,83.9947,3518400
"SWKS","09/21/2015",90.22,91.09,88.58,89.22,86.43608,2073000
"SWKS","09/18/2015",89,90.84,88.64,89.37,86.58139,3287500
"SWKS","09/17/2015",91.17,92.63,90.23,90.74,87.90864,2380600
"SWKS","09/16/2015",91.64,91.88,90.13,91.52,88.6643,2552800
"SWKS","09/15/2015",89.82,91.86,89.7,91.66,88.79995,3272200
"SWKS","09/14/2015",90.06,90.67,89.09,89.5,86.70733,3049200
"SWKS","09/11/2015",87.4,88.64,86.55,88.16,85.40915,2176600
"SWKS","09/10/2015",86.99,89.43,86.51,88.07,85.32196,3930900
"SWKS","09/09/2015",88.8,89.77,86.17,86.42,83.72344,3762300
"SWKS","09/08/2015",85.74,87.9,84.87,87.73,84.99256,3614400
"SWKS","09/04/2015",84.03,85.55,83.08,83.37,80.76862,2880700
"SWKS","09/03/2015",86.31,87.44,85.04,85.34,82.67713,2269100
"SWKS","09/02/2015",85.45,85.74,83.51,85.74,83.06465,2930100
"SWKS","09/01/2015",84.48,86.33,82.4,83.05,80.4586,4780300
"SWKS","08/31/2015",87.87,89.79,87.29,87.35,84.62442,3052000
"SWKS","08/28/2015",88.37,89.97,87.57,88.62,85.8548,3834700
"SWKS","08/27/2015",88.94,90.08,86.62,89.77,86.96891,5726400
"SWKS","08/26/2015",83.52,86.28,81.56,86.15,83.46185,5399100
"SWKS","08/25/2015",85.38,86.65,80.31,80.56,78.04629,5995600
"SWKS","08/24/2015",71.01,84.8,70.8,80.51,77.99784,12093500
"SWKS","08/21/2015",80.17,82,78.22,79.07,76.60278,7272200
"SWKS","08/20/2015",85.89,86.88,82.42,82.44,79.86764,5447600
"SWKS","08/19/2015",86.54,88.22,85.35,87.23,84.50815,5615000
"SWKS","08/18/2015",90.8,90.9,85.15,85.7,83.02589,5824300
"SWKS","08/17/2015",88.59,91,88.16,90.93,88.09271,2577200
"SWKS","08/14/2015",89.04,89.38,87.6,89.1,86.31981,2819100
"SWKS","08/13/2015",90.12,91.53,89.42,89.64,86.84296,2666200
"SWKS","08/12/2015",86.88,90.59,86.5,89.9,87.09485,4216200
"SWKS","08/11/2015",88.53,91.14,87.68,88.97,86.19387,4762800
"SWKS","08/10/2015",89.9,91.45,88.58,91.03,88.18958,4561500
"SWKS","08/07/2015",85.25,88.4,85.01,88.36,85.60291,5158000
"SWKS","08/06/2015",89.99,89.99,84.33,85.98,83.29716,6850700
"SWKS","08/05/2015",86.63,90.57,86.63,88.96,86.18418,4794200
"SWKS","08/04/2015",90.89,91,85.07,88.69,85.92261,12171300
"SWKS","08/04/2015",0,0,0,0,0,0
"SWKS","08/03/2015",95.17,95.75,91.63,92.78,89.63309,5236200
"SWKS","07/31/2015",96.83,97.22,95.18,95.67,92.42509,7096700
"SWKS","07/30/2015",95.19,97.05,93.56,96.76,93.47811,4306300
"SWKS","07/29/2015",95.74,96.1,93.65,95.19,91.96136,3355400
"SWKS","07/28/2015",94.82,96.53,93.21,95.68,92.43473,3631300
"SWKS","07/27/2015",96.1,96.3,92.26,93.49,90.31902,6172700
"SWKS","07/24/2015",106.43,106.5,97.44,97.71,94.39589,10488700
"SWKS","07/23/2015",102.49,105,100.5,103.12,99.6224,5896500
"SWKS","07/22/2015",97.47,100.13,96,99.64,96.26043,6546700
"SWKS","07/21/2015",103.13,104.14,102.07,103.97,100.4436,2551800
"SWKS","07/20/2015",104.19,105.41,102.98,103.14,99.64172,3129500
"SWKS","07/17/2015",102.9,103.32,101.5,102.91,99.41953,2310100
"SWKS","07/16/2015",101.48,102.53,100.11,102.37,98.89784,2381600
"SWKS","07/15/2015",102.26,102.37,100.29,100.9,97.4777,1934600
"SWKS","07/14/2015",101.18,102.4,100.13,102.03,98.56937,2451100
"SWKS","07/13/2015",102.93,103,99.56,100.49,97.0816,4039700
"SWKS","07/10/2015",97.05,101.05,96.51,100.2,96.80143,5566400
"SWKS","07/09/2015",98.16,98.66,93.27,94.51,91.30442,6788800
"SWKS","07/08/2015",97.4,98.48,94.7,95.6,92.35746,7241900
"SWKS","07/07/2015",101.34,101.43,94.21,100.49,97.0816,8426400
"SWKS","07/06/2015",103.13,104.15,101.25,101.94,98.48242,2944700
"SWKS","07/02/2015",104.68,105,103.42,104.85,101.2937,1805600
"SWKS","07/01/2015",106,106.74,103.6,103.91,100.3856,2395200
"SWKS","06/30/2015",104.13,105.1,102.6,104.1,100.5691,3931200
"SWKS","06/29/2015",102.89,105.8,100.33,102.04,98.57901,6050500
"SWKS","06/26/2015",109.5,109.65,106.13,106.9,103.2742,4270700
"SWKS","06/25/2015",109.09,110.9,108.55,109.87,106.1434,1923200
"SWKS","06/24/2015",108.6,109.73,108.07,108.4,104.7233,1982100
