"symbol","date","open","high","low","close","adjclose","volume"
"SYF","12/31/2015",30.21,30.63,30.1,30.41,29.6019,3804900
"SYF","12/30/2015",30.68,30.7,30.43,30.43,29.62137,2640800
"SYF","12/29/2015",30.46,30.71,30.335,30.69,29.87446,3436900
"SYF","12/28/2015",30.42,30.49,30.1,30.17,29.36828,3809000
"SYF","12/24/2015",30.48,30.723,30.31,30.6,29.78685,1499000
"SYF","12/23/2015",30.4,30.56,29.94,30.51,29.69924,4824400
"SYF","12/22/2015",29.99,30.34,29.76,30.21,29.40721,6516100
"SYF","12/21/2015",29.66,30.06,29.55,29.73,28.93997,5809900
"SYF","12/18/2015",29.88,30,29.35,29.51,28.72581,15187400
"SYF","12/17/2015",30.64,30.75,30,30.01,29.21253,8002800
"SYF","12/16/2015",30.4,30.68,29.94,30.53,29.71871,8651500
"SYF","12/15/2015",30,30.245,29.72,30.08,29.28067,9655600
"SYF","12/14/2015",30.14,30.355,29.32,29.68,28.8913,15732000
"SYF","12/11/2015",30.67,30.78,29.815,29.97,29.17359,10431600
"SYF","12/10/2015",30.72,31.31,30.66,31.05,30.22489,9437100
"SYF","12/09/2015",31.34,31.585,30.36,30.61,29.79659,16063100
"SYF","12/08/2015",31.18,31.405,30.765,31.36,30.52666,15178000
"SYF","12/07/2015",31.95,32.1,31.12,31.35,30.51692,11885500
"SYF","12/04/2015",31.24,32.03,31.11,32.03,31.17885,15782100
"SYF","12/03/2015",31.89,32.05,30.89,31.09,30.26383,20610900
"SYF","12/02/2015",32.6,32.6,31.75,31.84,30.9939,8992400
"SYF","12/01/2015",32.12,32.44,31.86,32.41,31.54875,11681600
"SYF","11/30/2015",31.57,31.94,31.43,31.83,30.98417,20246500
"SYF","11/27/2015",31.7,31.84,31.3,31.35,30.51692,8373700
"SYF","11/25/2015",31.46,31.87,31.25,31.53,30.69214,15495500
"SYF","11/24/2015",31.21,31.95,31.19,31.34,30.50718,47529200
"SYF","11/23/2015",31.88,32.25,31.33,31.55,30.7116,26616000
"SYF","11/20/2015",31.89,31.89,31.15,31.35,30.51692,19894000
"SYF","11/19/2015",31.61,32.03,31.02,31.65,30.80895,29435000
"SYF","11/18/2015",30.91,31.75,30.7,31.59,30.75054,28032000
"SYF","11/17/2015",30.39,31.36,30.3,30.58,29.76738,128981900
"SYF","11/16/2015",30.23,30.39,29.92,30.29,29.48509,25446400
"SYF","11/13/2015",30.75,31.49,30.44,30.52,29.70898,31691300
"SYF","11/12/2015",30.85,31.74,30.65,30.79,29.9718,41436500
"SYF","11/11/2015",31.11,31.23,30.65,30.93,30.10808,42150400
"SYF","11/10/2015",31.8,31.98,30.93,31.08,30.25409,38506400
"SYF","11/09/2015",33.92,34.19,32.15,32.52,31.65583,18958300
"SYF","11/06/2015",32.99,34.6,32.81,33.98,33.07703,15380600
"SYF","11/05/2015",32,32.711,31.64,32.61,31.74344,10719300
"SYF","11/04/2015",32.24,33.17,31.81,32.08,31.22752,12605700
"SYF","11/03/2015",31.1,32.58,31.1,32.44,31.57795,16475700
"SYF","11/02/2015",30.56,31.41,30.56,31.33,30.49745,5771600
"SYF","10/30/2015",30.94,31,30.66,30.76,29.9426,8618300
"SYF","10/29/2015",31.18,31.4,30.675,30.92,30.09835,8120700
"SYF","10/28/2015",31.72,31.91,31.15,31.45,30.61427,7079900
"SYF","10/27/2015",31.23,31.76,31.04,31.73,30.88682,7722400
"SYF","10/26/2015",31.83,31.87,30.84,31.4,30.56559,7209500
"SYF","10/23/2015",32.03,32.5,31.495,31.69,30.84789,7348400
"SYF","10/22/2015",32.7,32.812,31.29,31.83,30.98417,6705900
"SYF","10/21/2015",32.4,32.9,32.02,32.46,31.59742,7452600
"SYF","10/20/2015",31.76,32.9,31.34,32.34,31.48062,11089000
"SYF","10/19/2015",30.05,31.465,28.91,31.34,30.50718,18520900
"SYF","10/16/2015",31.37,31.37,29.75,30.15,29.34881,11814800
"SYF","10/15/2015",31.19,32.13,30.51,31.32,30.48772,9633600
"SYF","10/14/2015",31.76,31.82,31.45,31.53,30.69214,1311900
"SYF","10/13/2015",32.19,32.365,31.82,31.82,30.97443,1163500
"SYF","10/12/2015",32.27,32.69,32.12,32.34,31.48062,376000
"SYF","10/09/2015",32.31,33,32.3,32.39,31.52929,339200
"SYF","10/08/2015",32.12,32.59,31.78,32.36,31.50008,763600
"SYF","10/07/2015",33,33.1,31.79,32.13,31.27619,1733800
"SYF","10/06/2015",33.87,33.87,32.53,32.8,31.92839,1247700
"SYF","10/05/2015",31.88,33.35,31.73,33.31,32.42484,1210200
"SYF","10/02/2015",31.23,31.92,30.97,31.82,30.97443,1125400
"SYF","10/01/2015",31.31,31.58,31.12,31.38,30.54612,858800
"SYF","09/30/2015",31.37,31.73,30.93,31.3,30.46825,2178400
"SYF","09/29/2015",31.07,31.3,30.79,31.04,30.21516,890900
"SYF","09/28/2015",31,31.34,30.42,31.16,30.33197,1128800
"SYF","09/25/2015",31.06,31.2,30.86,31.03,30.20542,552800
"SYF","09/24/2015",30.7,31.11,30.54,30.83,30.01074,1002700
"SYF","09/23/2015",30.66,31.08,30.49,31.06,30.23463,996300
"SYF","09/22/2015",30.72,30.82,30.2,30.58,29.76738,1376900
"SYF","09/21/2015",30.56,31,30.25,30.87,30.04967,1573300
"SYF","09/18/2015",30.51,30.7,30.12,30.56,29.74791,2032200
"SYF","09/17/2015",30.81,31.33,30.67,30.77,29.95233,1058900
"SYF","09/16/2015",30.77,31.085,30.33,30.88,30.05941,2265400
"SYF","09/15/2015",31.09,31.28,30.79,31.12,30.29303,2336400
"SYF","09/14/2015",31.25,31.63,30.82,31.17,30.3417,3086700
"SYF","09/11/2015",31.98,32.16,30.9,31.33,30.49745,2728300
"SYF","09/10/2015",31.68,32.24,31.37,32.09,31.23726,2324200
"SYF","09/09/2015",32.59,32.83,32.03,32.13,31.27619,3837200
"SYF","09/08/2015",32.01,32.38,31.82,32.28,31.4222,1969600
"SYF","09/04/2015",31.73,32.1,31.34,31.6,30.76028,1590400
"SYF","09/03/2015",32.09,32.349,31.848,32.19,31.3346,920300
"SYF","09/02/2015",31.89,32.252,31.33,31.79,30.94523,1138200
"SYF","09/01/2015",32.54,32.7,31.59,31.71,30.86735,2032900
"SYF","08/31/2015",32.76,33.26,32.47,32.95,32.0744,1534700
"SYF","08/28/2015",32.11,32.77,31.92,32.65,31.78238,1804000
"SYF","08/27/2015",32.99,32.99,31.82,32.33,31.47088,2728200
"SYF","08/26/2015",33.45,33.45,32.23,32.67,31.80185,2290500
"SYF","08/25/2015",33.73,33.97,32.61,32.99,32.11334,2338100
"SYF","08/24/2015",32.22,33.66,30.27,33.15,32.26909,3017000
"SYF","08/21/2015",33.9,34.18,33.605,33.72,32.82394,2185400
"SYF","08/20/2015",34.62,34.685,34.16,34.36,33.44694,1342300
"SYF","08/19/2015",34.88,35.27,34.43,34.96,34.03099,669100
"SYF","08/18/2015",35.27,35.46,34.98,35.14,34.2062,567200
"SYF","08/17/2015",34.86,35.35,34.5,35.32,34.38142,505700
"SYF","08/14/2015",35.5,35.5,34.79,35.14,34.2062,529500
"SYF","08/13/2015",34.96,35.35,34.72,35.16,34.22567,796800
"SYF","08/12/2015",34.67,35,34.26,34.96,34.03099,1265500
"SYF","08/11/2015",34.59,34.68,34.12,34.67,33.74869,942900
"SYF","08/10/2015",34.12,34.64,34.03,34.62,33.70002,504500
"SYF","08/07/2015",34.06,34.21,33.435,33.98,33.07703,646500
"SYF","08/06/2015",34.78,34.82,34.03,34.13,33.22305,631600
"SYF","08/05/2015",34.6,34.78,34.25,34.56,33.64162,919700
"SYF","08/04/2015",34.37,34.8,34.3,34.41,33.49561,1227500
"SYF","08/03/2015",34.43,34.54,34.16,34.36,33.44694,569100
"SYF","07/31/2015",34.61,34.76,34.35,34.36,33.44694,941800
"SYF","07/30/2015",34.58,34.81,34.2,34.6,33.68055,989100
"SYF","07/29/2015",34.27,34.71,34.196,34.48,33.56374,1141700
"SYF","07/28/2015",34.75,34.89,33.98,34.23,33.32039,1762100
"SYF","07/27/2015",34.62,34.9,34.27,34.62,33.70002,487500
"SYF","07/24/2015",35.53,35.67,34.63,34.68,33.75844,831300
"SYF","07/23/2015",35.84,36.07,35.43,35.63,34.68319,507300
"SYF","07/22/2015",35.58,35.88,35.07,35.68,34.73185,784600
"SYF","07/21/2015",36.02,36.4,35.566,35.61,34.66372,822100
"SYF","07/20/2015",35.3,36.21,35.3,35.99,35.03362,1192800
"SYF","07/17/2015",34.5,35.73,34.19,35.08,34.1478,1234000
"SYF","07/16/2015",34.26,34.46,34.07,34.13,33.22305,636200
"SYF","07/15/2015",33.9,34.365,33.63,34.14,33.23278,831000
"SYF","07/14/2015",33.38,33.93,33.25,33.77,32.87261,999800
"SYF","07/13/2015",33.33,33.5,32.94,33.35,32.46377,1054600
"SYF","07/10/2015",32.9,33.38,32.72,33.07,32.19121,727200
"SYF","07/09/2015",32.56,32.97,32.38,32.6,31.7337,811700
"SYF","07/08/2015",32.44,32.46,31.945,32.01,31.15938,621500
"SYF","07/07/2015",32.61,32.79,32.17,32.5,31.63636,1575200
"SYF","07/06/2015",32.91,32.91,32.32,32.5,31.63636,1133400
"SYF","07/02/2015",33.37,33.38,32.95,33.14,32.25935,490000
"SYF","07/01/2015",33.1,33.33,32.83,33.32,32.43457,570100
"SYF","06/30/2015",32.56,33.045,32.374,32.93,32.05493,911600
"SYF","06/29/2015",32.42,32.56,32.17,32.23,31.37353,738700
"SYF","06/26/2015",32.88,33.16,32.5,32.7,31.83105,2129400
"SYF","06/25/2015",32.86,32.86,32.43,32.81,31.93812,705700
"SYF","06/24/2015",32.99,33.205,32.71,32.76,31.88945,521700
"SYF","06/23/2015",32.99,33.28,32.91,32.99,32.11334,664600
"SYF","06/22/2015",33.03,33.25,32.77,32.91,32.03547,459000
"SYF","06/19/2015",32.91,32.97,32.69,32.92,32.0452,492100
