"symbol","date","open","high","low","close","adjclose","volume"
"TMK","12/31/2015",57.5,57.8,57.07,57.16,56.1848,567000
"TMK","12/30/2015",57.79,57.89,57.49,57.59,56.60747,338400
"TMK","12/29/2015",57.76,57.96,57.46,57.84,56.8532,345200
"TMK","12/28/2015",56.94,57.31,56.72,57.29,56.31259,337100
"TMK","12/24/2015",57.23,57.51,57.09,57.27,56.29293,210200
"TMK","12/23/2015",56.91,57.24,56.64,57.24,56.26344,608100
"TMK","12/22/2015",56.08,56.68,55.6,56.63,55.66385,741500
"TMK","12/21/2015",55.76,56.06,55.33,55.76,54.80869,660000
"TMK","12/18/2015",56.63,56.66,55.35,55.36,54.41551,1379300
"TMK","12/17/2015",58.51,58.71,56.62,56.99,56.01771,1121300
"TMK","12/16/2015",58.31,58.45,57.64,58.27,57.27587,873100
"TMK","12/15/2015",57.84,58.28,57.15,57.86,56.87286,1079700
"TMK","12/14/2015",58.65,59,57,57.28,56.30275,1240800
"TMK","12/11/2015",58.57,59.26,58.18,58.48,57.48228,516700
"TMK","12/10/2015",59.53,60.02,59.36,59.58,58.56351,544300
"TMK","12/09/2015",59.95,60.61,59.34,59.53,58.51437,852000
"TMK","12/08/2015",60.14,60.48,59.98,60.18,59.15328,370600
"TMK","12/07/2015",60.86,61.08,60.3,60.72,59.68407,464900
"TMK","12/04/2015",60.11,61.05,59.97,60.98,59.93963,495100
"TMK","12/03/2015",60.97,60.97,59.71,59.97,58.94687,592000
"TMK","12/02/2015",61.28,61.42,60.71,60.8,59.7627,466100
"TMK","12/01/2015",60.98,61.28,60.88,61.19,60.14605,809300
"TMK","11/30/2015",60.97,61.02,60.48,60.62,59.58577,850800
"TMK","11/27/2015",60.82,60.99,60.61,60.95,59.91014,165500
"TMK","11/25/2015",60.88,60.88,60.52,60.7,59.66441,349200
"TMK","11/24/2015",60.03,60.92,59.99,60.86,59.82167,699300
"TMK","11/23/2015",60.53,60.89,60.31,60.46,59.4285,410200
"TMK","11/20/2015",60.41,60.76,60.16,60.53,59.49731,497800
"TMK","11/19/2015",60,60.39,59.76,60.22,59.1926,398800
"TMK","11/18/2015",59.72,60.14,59.43,59.98,58.95669,721200
"TMK","11/17/2015",59.58,60.2,59.15,59.65,58.63232,765200
"TMK","11/16/2015",58.45,59.53,58.4,59.52,58.50454,481800
"TMK","11/13/2015",58.61,58.84,58.39,58.55,57.55109,528100
"TMK","11/12/2015",59.23,59.55,58.74,58.74,57.73785,498800
"TMK","11/11/2015",60.24,60.37,59.74,59.78,58.7601,559600
"TMK","11/10/2015",59.12,60.3,59.12,60.05,59.02549,627400
"TMK","11/09/2015",59.74,59.76,58.6,59.35,58.33744,892900
"TMK","11/06/2015",59.19,59.86,58.78,59.76,58.74044,732100
"TMK","11/05/2015",58.36,58.72,58.2,58.56,57.56092,228400
"TMK","11/04/2015",58.74,58.95,58.3,58.41,57.41348,380900
"TMK","11/03/2015",58.81,58.99,58.56,58.75,57.74767,562400
"TMK","11/02/2015",58.18,59.13,58.18,59.01,58.00324,711300
"TMK","10/30/2015",58.79,58.96,57.95,58.01,57.0203,757000
"TMK","10/29/2015",58.36,59.16,58.36,58.72,57.71819,1262200
"TMK","10/28/2015",56.76,58.46,56.58,58.43,57.43314,1753000
"TMK","10/27/2015",57.49,57.71,56.28,56.76,55.79163,1710600
"TMK","10/26/2015",58.93,59.12,58.25,58.45,57.45279,705100
"TMK","10/23/2015",58.76,59.19,58.55,59.03,58.0229,479300
"TMK","10/22/2015",57.9,58.64,57.76,58.39,57.39382,654000
"TMK","10/21/2015",58.26,58.44,57.58,57.62,56.63695,423400
"TMK","10/20/2015",57.98,58.21,57.83,58.07,57.07928,412600
"TMK","10/19/2015",57.87,58.28,56.71,57.96,56.97116,375100
"TMK","10/16/2015",57.87,58.3,57.57,58.08,57.08911,543400
"TMK","10/15/2015",57.1,57.54,56.5,57.54,56.55832,754300
"TMK","10/14/2015",57.36,58.46,56.65,56.69,55.72282,759800
"TMK","10/13/2015",57.82,58.06,57.35,57.41,56.43054,383800
"TMK","10/12/2015",57.9,58.13,57.8,58.05,57.05962,365700
"TMK","10/09/2015",57.94,58.19,57.63,57.9,56.91219,501300
"TMK","10/08/2015",57.5,58.04,57.43,57.9,56.91219,651100
"TMK","10/07/2015",57.36,57.79,57.07,57.64,56.65661,585500
"TMK","10/06/2015",57.17,57.49,56.86,57.05,56.07668,736200
"TMK","10/05/2015",56.83,57.5,56.68,57.28,56.30275,665200
"TMK","10/02/2015",55.01,56.51,55.01,56.51,55.54589,920200
"TMK","10/01/2015",56.5,56.68,55.91,56.4,55.43777,899700
"TMK","09/30/2015",57.15,57.33,56.19,56.4,55.43777,1137400
"TMK","09/30/2015",0,0,0,0,0,0
"TMK","09/29/2015",56.42,56.79,56.14,56.67,55.57047,615000
"TMK","09/28/2015",57.01,57.08,56.14,56.24,55.14881,527500
"TMK","09/25/2015",57.49,57.79,57.11,57.39,56.2765,602700
"TMK","09/24/2015",56.66,57,56.27,56.85,55.74697,517700
"TMK","09/23/2015",56.77,57.15,56.62,56.89,55.78619,529800
"TMK","09/22/2015",56.77,56.99,56.41,56.74,55.6391,479000
"TMK","09/21/2015",56.9,57.7,56.83,57.51,56.39417,743900
"TMK","09/18/2015",57.01,57.26,56.42,56.66,55.56067,2805400
"TMK","09/17/2015",58.58,58.78,57.65,57.75,56.62951,749100
