"symbol","date","open","high","low","close","adjclose","volume"
"TSS","12/31/2015",50.03,50.42,49.53,49.8,49.11812,1066700
"TSS","12/30/2015",50.99,51.18,50.13,50.15,49.46333,1496000
"TSS","12/29/2015",50.94,51.37,50.73,51,50.30169,1200100
"TSS","12/28/2015",50.76,50.89,50.14,50.75,50.05511,843400
"TSS","12/24/2015",51.01,51.23,50.74,50.96,50.26224,547200
"TSS","12/23/2015",50.93,51.2,50.41,50.95,50.25238,1320400
"TSS","12/22/2015",51.49,51.72,50.02,50.7,50.0058,2107000
"TSS","12/21/2015",51.48,51.71,50.72,51.33,50.62717,1948400
"TSS","12/18/2015",52.54,52.7,50.87,51.01,50.31155,7506200
"TSS","12/17/2015",56.05,56.15,52.77,52.79,52.06718,2803300
"TSS","12/16/2015",56.1,56.28,54.54,55.88,55.11488,1395800
"TSS","12/15/2015",55.35,56.13,55.08,55.74,54.97679,1126600
"TSS","12/15/2015",0,0,0,0,0,0
"TSS","12/14/2015",53.89,54.94,53.8,54.89,54.03979,1381700
"TSS","12/11/2015",55.2,55.35,53.58,53.74,52.90761,1927800
"TSS","12/10/2015",55.39,56.69,55.05,56.09,55.22121,1541500
"TSS","12/09/2015",55.8,56.15,54.9,55.3,54.44345,2128900
"TSS","12/08/2015",55.36,56.34,55.32,56.14,55.27043,1235800
"TSS","12/07/2015",56.23,56.53,55.69,55.84,54.97508,1234500
"TSS","12/04/2015",55.21,56.5,55.21,56.23,55.35904,1408300
"TSS","12/03/2015",56.08,56.42,54.92,55.17,54.31546,1782600
"TSS","12/02/2015",56.39,56.48,55.89,55.98,55.11292,1683500
"TSS","12/01/2015",56.33,56.48,55.81,56.37,55.49687,1895700
"TSS","11/30/2015",56.2,56.38,55.79,55.96,55.09322,1576000
"TSS","11/27/2015",55.64,56.02,55.44,55.93,55.06368,276300
"TSS","11/25/2015",55.37,55.95,55.36,55.63,54.76833,646100
"TSS","11/24/2015",55.58,55.58,54.88,55.35,54.49267,896900
"TSS","11/23/2015",55.88,55.88,55.28,55.72,54.85695,1617900
"TSS","11/20/2015",54.8,55.26,54.72,55.09,54.2367,1160500
"TSS","11/19/2015",54.38,54.69,54.14,54.48,53.63615,1114300
"TSS","11/18/2015",53.77,54.4,53.28,54.36,53.51801,893400
"TSS","11/17/2015",53.04,53.83,52.83,53.58,52.75009,1250600
"TSS","11/16/2015",52.74,52.88,52.43,52.87,52.05108,1468900
"TSS","11/13/2015",52.96,53.5,52.63,52.89,52.07077,1337000
"TSS","11/12/2015",53.28,53.78,52.99,53.07,52.24798,1477000
"TSS","11/11/2015",53.5,54.33,53.13,53.56,52.7304,1782200
"TSS","11/10/2015",51.95,53.38,51.85,53.35,52.52364,2143100
"TSS","11/09/2015",52.43,52.63,51.81,52.07,51.26348,2235600
"TSS","11/06/2015",52.43,52.66,52.06,52.66,51.84433,1918500
"TSS","11/05/2015",52.56,52.86,52.22,52.43,51.6179,1804200
"TSS","11/04/2015",52.56,52.84,52.12,52.53,51.71635,1787300
"TSS","11/03/2015",52.72,52.74,52.3,52.51,51.69666,1907700
"TSS","11/02/2015",52.65,52.87,52.21,52.74,51.9231,2813000
"TSS","10/30/2015",54,54.2,52.44,52.45,51.63759,3524500
"TSS","10/29/2015",54.67,55,54.03,54.19,53.35064,2331500
"TSS","10/28/2015",51.55,54.78,51.55,54.72,53.87243,3808300
"TSS","10/27/2015",50.97,51.67,50.55,51.65,50.84998,1904300
"TSS","10/26/2015",51.27,51.33,50.76,51.19,50.39711,952500
"TSS","10/23/2015",50.67,51.24,50.54,51.22,50.42664,1400600
"TSS","10/22/2015",49.38,50.45,49.33,50.32,49.54058,998800
"TSS","10/21/2015",49.69,49.79,48.89,48.94,48.18196,1162800
"TSS","10/20/2015",49.79,49.87,49.2,49.48,48.71359,900000
"TSS","10/19/2015",48.93,49.87,48.84,49.81,49.03848,1380200
"TSS","10/16/2015",48.57,49.12,48.53,49,48.24102,1284700
"TSS","10/15/2015",48.35,48.7,48.2,48.44,47.6897,1758100
"TSS","10/14/2015",48.71,48.86,47.99,48.02,47.27621,1575000
"TSS","10/13/2015",48.84,49.22,48.65,48.67,47.91613,1368300
"TSS","10/12/2015",48.32,49.18,48.2,48.97,48.21149,1466200
"TSS","10/09/2015",47.74,48.58,47.7,48.2,47.45342,1424400
"TSS","10/08/2015",47.03,47.7,46.83,47.65,46.91193,1191800
"TSS","10/07/2015",46.82,47.25,46.62,47.07,46.34092,1457600
"TSS","10/06/2015",46.55,46.79,46.23,46.36,45.64192,1401200
"TSS","10/05/2015",46.57,46.99,46.3,46.59,45.86836,1425300
"TSS","10/02/2015",44.95,46.23,43.91,46.21,45.49424,1188100
"TSS","10/01/2015",45.59,46,45.01,45.82,45.11028,1690300
"TSS","09/30/2015",45.43,45.76,44.89,45.43,44.72632,1849700
"TSS","09/29/2015",44.95,45.23,44.56,44.9,44.20453,1825000
"TSS","09/28/2015",46.19,46.38,44.75,44.77,44.07655,1487100
"TSS","09/25/2015",47.21,47.29,46.2,46.52,45.79944,1934900
"TSS","09/24/2015",46.26,46.82,45.95,46.75,46.02588,1253200
"TSS","09/23/2015",46.76,46.99,46.43,46.75,46.02588,931900
"TSS","09/22/2015",46.57,46.72,46.26,46.65,45.92743,1142000
"TSS","09/21/2015",46.74,47.39,46.46,47.15,46.41969,1406600
"TSS","09/18/2015",46.87,47.1,46.31,46.31,45.5927,5336800
"TSS","09/17/2015",47.62,48.08,47.35,47.48,46.74457,853300
"TSS","09/16/2015",47.44,47.67,47.16,47.61,46.87256,1465200
"TSS","09/15/2015",46.81,47.59,46.73,47.49,46.75442,929900
"TSS","09/15/2015",0,0,0,0,0,0
"TSS","09/14/2015",46.7,46.93,46.5,46.7,45.8782,865000
"TSS","09/11/2015",46.01,46.7,45.87,46.66,45.83891,647800
"TSS","09/10/2015",45.73,46.55,45.53,46.25,45.43612,679300
"TSS","09/09/2015",46.81,46.91,45.68,45.8,44.99403,1164800
"TSS","09/08/2015",45.66,46.35,45.45,46.28,45.46559,1208000
"TSS","09/04/2015",45.05,45.28,44.62,44.88,44.09023,773900
"TSS","09/03/2015",45.31,45.86,45.12,45.62,44.8172,943000
"TSS","09/02/2015",44.83,45.23,44.47,45.23,44.43406,726500
"TSS","09/01/2015",44.7,45.1,44.07,44.34,43.55973,1311900
"TSS","08/31/2015",46.18,46.3,45.8,45.83,45.02351,1064700
"TSS","08/28/2015",45.78,46.38,45.52,46.36,45.54419,910200
"TSS","08/27/2015",45.33,46.04,44.89,46.02,45.21017,1930000
"TSS","08/26/2015",43.66,44.77,42.99,44.71,43.92322,1440600
"TSS","08/25/2015",44.56,44.56,42.59,42.63,41.87983,2058800
"TSS","08/24/2015",43.49,44.28,42.54,43.38,42.61663,2302100
"TSS","08/21/2015",47.02,47.15,45.63,45.67,44.86632,1169400
"TSS","08/20/2015",48.03,48.15,47.46,47.47,46.63465,743900
"TSS","08/19/2015",48.5,48.65,48.05,48.32,47.4697,1335300
"TSS","08/18/2015",48.31,48.67,48.09,48.64,47.78406,760500
"TSS","08/17/2015",48,48.41,47.66,48.23,47.38128,732600
"TSS","08/14/2015",47.47,48.22,47.38,48.14,47.29286,780600
"TSS","08/13/2015",47.31,47.71,47.23,47.47,46.63465,499100
"TSS","08/12/2015",46.76,47.37,46.44,47.26,46.42834,892500
"TSS","08/11/2015",47,47.21,46.68,47.07,46.2417,871300
"TSS","08/10/2015",47.25,47.68,47.19,47.36,46.52658,1001900
"TSS","08/07/2015",46.72,46.96,46.4,46.95,46.12381,1122100
"TSS","08/06/2015",47.55,47.69,46.58,46.72,45.89784,793800
"TSS","08/05/2015",47.25,47.71,47.1,47.54,46.70342,1407800
"TSS","08/04/2015",46.5,47.2,46.5,47.07,46.2417,1258400
"TSS","08/03/2015",46.29,46.56,45.93,46.54,45.72102,1372300
"TSS","07/31/2015",46.36,46.43,45.98,46.22,45.40665,1268200
"TSS","07/30/2015",46.18,46.48,45.44,46.24,45.42629,1613600
"TSS","07/29/2015",45.41,47.77,45.14,46.83,46.00592,3339000
"TSS","07/28/2015",44.3,45.06,43.91,44.78,43.99199,1378200
"TSS","07/27/2015",44.43,44.55,43.76,43.94,43.16677,1357700
"TSS","07/24/2015",44.55,44.76,44.25,44.72,43.93304,1207300
"TSS","07/23/2015",45.04,45.1,44.27,44.51,43.72674,1462000
"TSS","07/22/2015",45.12,45.47,44.8,44.96,44.16882,1419800
"TSS","07/21/2015",44.65,45.34,44.59,45.28,44.48318,2508300
"TSS","07/20/2015",44.07,44.74,43.9,44.72,43.93304,1321000
"TSS","07/17/2015",43.85,43.99,43.53,43.97,43.19625,884300
"TSS","07/16/2015",43.43,43.9,43.21,43.85,43.07835,843200
"TSS","07/15/2015",43.15,43.25,42.93,43.19,42.42997,629200
"TSS","07/14/2015",42.67,43.22,42.48,43.12,42.36119,651300
"TSS","07/13/2015",42.5,42.78,42.39,42.7,41.94859,612700
"TSS","07/10/2015",42.18,42.45,41.95,42.34,41.59493,659700
"TSS","07/09/2015",42.09,42.12,41.66,41.74,41.00549,764700
"TSS","07/08/2015",41.82,41.96,41.42,41.52,40.78936,721700
"TSS","07/07/2015",42.17,42.22,41.58,42.16,41.41809,1001900
"TSS","07/06/2015",41.53,42.18,41.52,42.05,41.31002,621600
"TSS","07/02/2015",42.1,42.1,41.71,41.95,41.21179,672000
"TSS","07/01/2015",42.08,42.2,41.88,42.02,41.28056,974800
"TSS","06/30/2015",42.07,42.08,41.57,41.77,41.03496,1296700
"TSS","06/29/2015",42.38,42.57,41.63,41.75,41.01531,1867700
"TSS","06/26/2015",42.54,42.76,42.4,42.72,41.96824,1706700
"TSS","06/25/2015",42.41,42.63,42.3,42.5,41.75211,531800
"TSS","06/24/2015",42.43,42.57,42.19,42.35,41.60475,907500
"TSS","06/23/2015",42.77,42.87,42.44,42.53,41.78158,702400
"TSS","06/22/2015",42.65,43,42.49,42.69,41.93876,620200
"TSS","06/19/2015",42.43,42.67,42.23,42.33,41.5851,1095700
"TSS","06/18/2015",41.81,42.49,41.81,42.44,41.69316,781900
"TSS","06/17/2015",41.82,42,41.52,41.75,41.01531,627700
"TSS","06/16/2015",41.07,41.81,40.97,41.75,41.01531,828900
"TSS","06/16/2015",0,0,0,0,0,0
"TSS","06/15/2015",41.18,41.29,40.85,41.16,40.33745,722700
"TSS","06/12/2015",41.66,41.88,41.53,41.6,40.76865,592000
"TSS","06/11/2015",41.87,41.96,41.6,41.86,41.02346,647300
"TSS","06/10/2015",41.09,41.95,40.91,41.74,40.90586,888400
"TSS","06/09/2015",40.93,41.09,40.71,40.88,40.06304,849200
"TSS","06/08/2015",41.37,41.4,40.89,40.96,40.14145,384800
"TSS","06/05/2015",41.07,41.47,40.8,41.44,40.61185,713700
"TSS","06/04/2015",41.34,41.41,40.98,41.07,40.24925,562400
"TSS","06/03/2015",41.37,41.7,41.31,41.59,40.75886,520800
"TSS","06/02/2015",41.08,41.36,40.7,41.3,40.47465,514200
"TSS","06/01/2015",41.32,41.5,40.7,41.18,40.35705,839100
"TSS","05/29/2015",41.24,41.29,40.8,41.2,40.37665,1005900
"TSS","05/28/2015",41.31,41.38,40.83,41.23,40.40605,693600
"TSS","05/27/2015",40.83,41.48,40.77,41.33,40.50405,754000
"TSS","05/26/2015",41.35,41.45,40.6,40.78,39.96504,1371600
"TSS","05/22/2015",41.78,41.82,41.42,41.5,40.67065,608000
"TSS","05/21/2015",41.82,41.95,41.6,41.68,40.84706,456200
"TSS","05/20/2015",42.15,42.16,41.61,41.84,41.00386,845100
"TSS","05/19/2015",41.87,42.08,41.7,41.92,41.08226,543500
"TSS","05/18/2015",41.37,41.97,41.21,41.91,41.07246,677900
"TSS","05/15/2015",41.39,41.58,41.14,41.4,40.57265,894100
"TSS","05/14/2015",41.28,41.34,40.92,41.33,40.50405,730700
"TSS","05/13/2015",41.1,41.39,40.95,41,40.18064,644800
"TSS","05/12/2015",40.77,41.17,40.52,41.08,40.25905,702800
"TSS","05/11/2015",41.02,41.42,40.97,40.98,40.16105,565400
