"symbol","date","open","high","low","close","adjclose","volume"
"TXN","12/31/2015",56.05,56.3,54.81,54.81,52.05907,6450100
"TXN","12/30/2015",57.02,57.18,56.09,56.16,53.34131,3010200
"TXN","12/29/2015",56.75,57.44,56.42,57.02,54.15814,2753100
"TXN","12/28/2015",56.41,56.67,55.77,56.42,53.58826,2930100
"TXN","12/24/2015",56.97,56.97,56.53,56.75,53.9017,1681200
"TXN","12/23/2015",56.06,56.71,55.17,56.7,53.85421,5786200
"TXN","12/22/2015",56.19,56.42,55.21,55.61,52.81892,4410500
"TXN","12/21/2015",55.35,55.83,54.93,55.82,53.01837,4305600
"TXN","12/18/2015",56.04,56.49,54.8,54.94,52.18254,12025700
"TXN","12/17/2015",58.19,58.23,56.5,56.53,53.69274,6944300
"TXN","12/16/2015",58.26,58.26,56.9,58.07,55.15545,5920900
"TXN","12/15/2015",57.3,57.94,56.85,57.55,54.66155,7602400
"TXN","12/14/2015",56.45,56.72,55.83,56.22,53.3983,5082300
"TXN","12/11/2015",56.14,56.76,56.1,56.21,53.3888,5251300
"TXN","12/10/2015",56.98,57.47,56.63,56.93,54.07266,4303500
"TXN","12/09/2015",57.5,57.67,56.29,56.76,53.9112,4562000
"TXN","12/08/2015",57.76,57.91,57.02,57.67,54.77552,3670100
"TXN","12/07/2015",58.8,58.83,58.11,58.35,55.42139,3934500
"TXN","12/04/2015",57.52,58.96,57.49,58.88,55.9248,6414200
"TXN","12/03/2015",57.97,58.22,57.12,57.69,54.79452,9691600
"TXN","12/02/2015",58.2,58.33,57.44,57.55,54.66155,5151500
"TXN","12/01/2015",57.47,58.85,57.42,58.31,55.3834,5016900
"TXN","11/30/2015",57.62,58.34,57.5,58.12,55.20294,5866600
"TXN","11/27/2015",57.28,57.77,57.01,57.55,54.66155,1509500
"TXN","11/25/2015",57.85,57.86,57.23,57.27,54.39561,3152600
"TXN","11/24/2015",57.3,57.95,56.86,57.85,54.94649,4655300
"TXN","11/23/2015",58.2,58.25,57.31,57.35,54.47158,4296800
"TXN","11/20/2015",58.35,58.35,57.81,58.12,55.20294,4252500
"TXN","11/19/2015",58.1,58.29,57.5,57.95,55.04146,4076200
"TXN","11/18/2015",57.21,58.01,56.88,57.96,55.05097,4029700
"TXN","11/17/2015",56.9,57.48,56.75,57.07,54.20564,4265800
"TXN","11/16/2015",56.02,56.89,56,56.88,54.02518,5995100
"TXN","11/13/2015",56.67,57.12,56.01,56.13,53.31281,5741700
"TXN","11/12/2015",57.14,57.37,56.66,56.67,53.82571,4894800
"TXN","11/11/2015",57.47,58.51,57.04,57.6,54.70904,6291800
"TXN","11/10/2015",56.49,57.22,56.38,57.03,54.16764,5058700
"TXN","11/09/2015",57.23,57.65,56.86,57.21,54.33861,4478200
"TXN","11/06/2015",57.25,57.85,56.7,57.63,54.73753,6387000
"TXN","11/05/2015",57,57.74,56.83,57.4,54.51907,5768400
"TXN","11/04/2015",57.21,57.41,56.8,56.95,54.09166,5089700
"TXN","11/03/2015",56.99,57.43,56.81,57.15,54.28162,4268400
"TXN","11/02/2015",56.9,57.19,56.71,56.99,54.12965,5492600
"TXN","10/30/2015",56.99,57,56.4,56.72,53.87321,7503400
"TXN","10/29/2015",57.74,57.83,56.31,56.57,53.73073,10089100
"TXN","10/28/2015",58.52,58.78,57.19,58.67,55.72533,14464600
"TXN","10/28/2015",0,0,0,0,0,0
"TXN","10/27/2015",58.39,59.33,58.22,58.42,55.12696,8420500
"TXN","10/26/2015",58.9,59.23,58.4,58.81,55.49498,7634500
"TXN","10/23/2015",58.15,59.67,57.57,58.98,55.65539,14490000
"TXN","10/22/2015",56.1,58.12,55.74,58.09,54.81556,21234200
"TXN","10/21/2015",52.58,53.18,51.81,51.9,48.97448,8132900
"TXN","10/20/2015",52.45,52.6,52.18,52.43,49.4746,5650300
"TXN","10/19/2015",52.56,52.93,52.24,52.64,49.67276,5701700
"TXN","10/16/2015",52.29,52.66,52,52.57,49.60672,5685300
"TXN","10/15/2015",52.95,53.1,52.31,52.43,49.4746,7153400
"TXN","10/14/2015",51.11,53.15,51.03,52.65,49.6822,10558500
"TXN","10/13/2015",50.99,51.42,50.81,50.91,48.04028,7162000
"TXN","10/12/2015",50.73,51.42,50.56,51.34,48.44604,4075300
"TXN","10/09/2015",51.35,51.76,50.64,50.87,48.00253,5720100
"TXN","10/08/2015",50.68,51.54,50.36,51.52,48.6159,6431500
"TXN","10/07/2015",51,51.6,50.31,51.04,48.16296,7065300
"TXN","10/06/2015",50.13,50.64,49.23,50.46,47.61565,5737000
"TXN","10/05/2015",49.13,50.41,49,50.13,47.30425,6812500
"TXN","10/02/2015",47.78,48.79,47.12,48.77,46.02092,8229700
"TXN","10/01/2015",49.84,49.87,47.89,48.44,45.70951,10007400
"TXN","09/30/2015",48.09,49.55,47.92,49.52,46.72863,9060500
"TXN","09/29/2015",47.16,47.61,46.79,47.53,44.85081,7413600
"TXN","09/28/2015",47.05,47.44,46.88,46.95,44.3035,10728200
"TXN","09/25/2015",47.02,47.55,46.8,47.17,44.5111,8924200
"TXN","09/24/2015",46.17,46.92,45.33,46.75,44.11478,8535000
"TXN","09/23/2015",46.61,46.8,46.27,46.58,43.95437,4335300
"TXN","09/22/2015",46.68,46.99,46.28,46.61,43.98267,6161600
"TXN","09/21/2015",47.87,48.08,47.05,47.45,44.77531,6105200
"TXN","09/18/2015",47.75,48.64,47.1,47.8,45.10559,17139600
"TXN","09/17/2015",48.63,49.03,48.09,48.15,45.43586,5693500
"TXN","09/16/2015",48.33,48.77,47.8,48.7,45.95486,4624500
"TXN","09/15/2015",48,48.74,47.66,48.3,45.5774,7078700
"TXN","09/14/2015",47.87,48,47.55,47.83,45.1339,4750800
"TXN","09/11/2015",47.2,47.63,46.82,47.57,44.88855,6567300
"TXN","09/10/2015",47.36,47.96,46.9,47.41,44.73757,8543100
"TXN","09/09/2015",49.02,49.63,47.47,47.61,44.9263,8233600
"TXN","09/08/2015",47.63,48.76,47.54,48.69,45.94542,7993000
"TXN","09/04/2015",46.69,47.19,46.41,46.53,43.90718,6603400
"TXN","09/03/2015",47.67,48.02,47.28,47.46,44.78476,5289100
"TXN","09/02/2015",47.24,47.35,46.41,47.35,44.68096,6012600
"TXN","09/01/2015",46.4,47.57,46.01,46.34,43.72788,13136100
"TXN","08/31/2015",47.75,48.44,47.31,47.84,45.14334,10108700
"TXN","08/28/2015",46.84,48,46.5,47.99,45.28488,8242700
"TXN","08/27/2015",45.78,47.15,45.5,47.06,44.4073,9822000
"TXN","08/26/2015",44.83,45.47,43.75,45.41,42.85032,19075800
"TXN","08/25/2015",46.02,46.32,43.49,43.52,41.06684,14458300
"TXN","08/24/2015",45.02,47.04,43.75,44.89,42.35962,15487000
"TXN","08/21/2015",46.96,47.63,45.96,45.96,43.36931,12109500
"TXN","08/20/2015",48.65,48.78,47.37,47.43,44.75645,10206500
"TXN","08/19/2015",50.13,50.15,49.05,49.2,46.42667,6906300
"TXN","08/18/2015",50.46,50.77,49.67,49.91,47.09665,6978500
"TXN","08/17/2015",50.45,51.03,50.18,50.9,48.03085,3364000
"TXN","08/14/2015",50.5,50.84,50.06,50.64,47.7855,4535200
"TXN","08/13/2015",51.16,51.31,50.53,50.63,47.77606,4007500
"TXN","08/12/2015",50.19,51.36,49.8,51.11,48.22901,7268100
"TXN","08/11/2015",51.54,51.55,50.34,50.64,47.7855,7260600
"TXN","08/10/2015",52.24,52.45,51.05,52.08,49.14433,10496600
"TXN","08/07/2015",49.83,50.38,49.66,50.32,47.48354,5324400
"TXN","08/06/2015",50.76,50.91,49.84,50.25,47.41749,6055900
"TXN","08/05/2015",50.11,51.12,50.07,50.86,47.9931,7238800
"TXN","08/04/2015",50.18,50.37,49.38,49.84,47.03059,5746600
"TXN","08/03/2015",50.08,50.24,49.7,50.09,47.26651,5325800
"TXN","07/31/2015",50.38,50.38,49.81,49.98,47.16271,7466900
"TXN","07/30/2015",49.59,50.43,49.5,50.24,47.40805,5629400
"TXN","07/29/2015",49.72,50.2,49.18,49.96,47.14383,6855300
"TXN","07/29/2015",0,0,0,0,0,0
"TXN","07/28/2015",49.15,50.57,48.85,50.08,46.93624,7636600
"TXN","07/27/2015",48.88,49.36,48.47,49.03,45.95214,9394200
"TXN","07/24/2015",50.48,50.56,48.88,49.03,45.95214,10960300
"TXN","07/23/2015",49.84,51.26,49.59,50.51,47.33924,13271800
"TXN","07/22/2015",48.3,49.64,48,49.3,46.20519,15381500
"TXN","07/21/2015",50.03,51.08,49.9,50.23,47.07682,10632900
"TXN","07/20/2015",51.06,51.06,49.83,50.09,46.9456,8876900
"TXN","07/17/2015",49.27,49.45,48.77,49.36,46.26143,7021300
"TXN","07/16/2015",49.48,49.65,48.78,49.36,46.26143,7401200
"TXN","07/15/2015",49.23,49.8,49.15,49.49,46.38327,5461600
