"symbol","date","open","high","low","close","adjclose","volume"
"UA","12/31/2015",80.89,81.72,80.47,80.61,80.61,2354500
"UA","12/30/2015",82.19,82.45,80.64,80.96,80.96,1620900
"UA","12/29/2015",81.68,82.75,81.39,82.25,82.25,1847300
"UA","12/28/2015",81.1,81.92,80.11,81.22,81.22,1659600
"UA","12/24/2015",81.71,81.91,79.91,81.2,81.2,1580400
"UA","12/23/2015",82.91,83,80.89,81.99,81.99,4117800
"UA","12/22/2015",81.05,81.35,77.78,80.37,80.37,5797200
"UA","12/21/2015",81.31,82,80.41,80.97,80.97,1769400
"UA","12/18/2015",81.7,82.72,80.84,80.87,80.87,3532400
"UA","12/17/2015",83.62,83.8,81.23,81.27,81.27,2515700
"UA","12/16/2015",81.9,83.2,81.03,83.11,83.11,3283200
"UA","12/15/2015",83.83,83.84,81.37,81.52,81.52,3157000
"UA","12/14/2015",0,0,0,0,0,0
"UA","12/11/2015",84.86,84.92,82.12,82.56,82.56,4119500
"UA","12/10/2015",86.26,86.76,85.48,85.67,85.67,1731600
"UA","12/09/2015",86.48,88.27,85.32,86.31,86.31,2446700
"UA","12/08/2015",86.03,87.99,85.71,87.23,87.23,2950900
"UA","12/07/2015",87,87.44,85.78,86.58,86.58,2206700
"UA","12/04/2015",84.5,87.47,84,87.31,87.31,3859200
"UA","12/03/2015",87.01,87.5,83.11,84.15,84.15,3478100
"UA","12/02/2015",87,88.56,86.41,86.92,86.92,2491400
"UA","12/01/2015",86.79,87.69,86.11,87.18,87.18,2761100
"UA","11/30/2015",87.58,87.65,85.78,86.22,86.22,4866400
"UA","11/27/2015",92.52,92.71,89.32,89.68,89.68,1820900
"UA","11/25/2015",92,92.59,91.75,92.1,92.1,1547400
"UA","11/24/2015",91.3,92.92,91.15,92.08,92.08,2049900
"UA","11/23/2015",92.01,93.02,91.94,92.16,92.16,3436600
"UA","11/20/2015",90.49,92.99,90.49,92.01,92.01,5281000
"UA","11/19/2015",87.75,89.65,87.5,89.25,89.25,3894700
"UA","11/18/2015",85.24,87.34,84.65,87.3,87.3,4230600
"UA","11/17/2015",87.49,88,84.19,84.99,84.99,10443700
