"symbol","date","open","high","low","close","adjclose","volume"
"VAR","12/31/2015",70.9588,71.44987,70.85358,70.85358,70.85358,413600
"VAR","12/30/2015",71.7655,72.00226,71.09029,71.33582,71.33582,382000
"VAR","12/29/2015",71.59012,72.0461,71.37089,71.74796,71.74796,449500
"VAR","12/28/2015",70.77465,71.24818,70.50282,71.10788,71.10788,406800
"VAR","12/24/2015",70.78342,71.41479,70.78342,71.13419,71.13419,141800
"VAR","12/23/2015",70.63429,71.0289,70.17831,70.84475,70.84475,488900
"VAR","12/22/2015",69.88022,70.51158,69.59961,70.31866,70.31866,727700
"VAR","12/21/2015",69.52068,69.74868,69.01208,69.63468,69.63468,883800
"VAR","12/18/2015",68.49471,69.88022,68.23164,69.18746,69.18746,1779200
"VAR","12/17/2015",69.93278,69.93278,68.62619,68.79281,68.79281,869100
"VAR","12/16/2015",69.44171,69.94154,68.41574,69.82755,69.82755,655600
"VAR","12/15/2015",68.86295,69.14356,68.62619,68.94188,68.94188,673800
"VAR","12/14/2015",68.19656,68.91563,67.90719,68.31056,68.31056,641600
"VAR","12/11/2015",68.22287,68.38071,67.73181,68.10011,68.10011,687300
"VAR","12/10/2015",69.03834,69.36279,68.68758,68.93311,68.93311,546000
"VAR","12/09/2015",69.16987,70.16077,68.95942,69.10849,69.10849,924300
"VAR","12/08/2015",70.152,70.17831,69.28387,69.73986,69.73986,969500
"VAR","12/07/2015",70.152,70.74829,69.79247,70.64307,70.64307,768600
"VAR","12/04/2015",69.96785,70.59045,69.49432,70.35368,70.35368,995200
"VAR","12/03/2015",71.30074,71.60765,69.62586,69.82755,69.82755,698400
"VAR","12/02/2015",71.61642,71.89703,71.13412,71.24812,71.24812,845400
"VAR","12/01/2015",71.13412,71.64273,70.35368,71.57258,71.57258,1062000
"VAR","11/30/2015",71.0289,71.13412,70.64307,70.83598,70.83598,895300
"VAR","11/27/2015",70.70444,71.03767,70.18707,70.85352,70.85352,263500
"VAR","11/25/2015",71.00259,71.05521,70.56414,70.76583,70.76583,326900
"VAR","11/24/2015",70.61676,71.1692,70.152,70.94998,70.94998,674100
"VAR","11/23/2015",70.67814,71.50243,70.65183,70.86229,70.86229,792100
"VAR","11/20/2015",70.02924,70.84475,69.90647,70.69568,70.69568,667300
"VAR","11/19/2015",69.49432,69.88893,69.39787,69.60832,69.60832,470200
"VAR","11/18/2015",69.00326,69.82755,68.67881,69.71355,69.71355,865400
"VAR","11/17/2015",69.39787,69.5031,68.59112,68.84542,68.84542,879300
"VAR","11/16/2015",68.69634,69.41541,68.5122,69.39787,69.39787,554700
"VAR","11/13/2015",68.79281,69.07341,68.55605,68.81034,68.81034,994000
"VAR","11/12/2015",69.70478,70.22215,68.74896,68.83665,68.83665,1209800
"VAR","11/11/2015",71.0289,71.42351,70.70444,70.78337,70.78337,1064400
"VAR","11/10/2015",70.59045,71.17797,70.46768,70.83598,70.83598,909700
"VAR","11/09/2015",70.70444,70.94121,70.22215,70.75706,70.75706,1075700
"VAR","11/06/2015",70.10815,70.93244,70.10815,70.92368,70.92368,840900
"VAR","11/05/2015",69.924,70.57291,69.52063,70.45015,70.45015,913400
"VAR","11/04/2015",69.54699,69.93283,69.42422,69.64346,69.64346,764600
"VAR","11/03/2015",68.83665,69.77493,68.48589,69.30141,69.30141,1899100
"VAR","11/02/2015",69.09095,69.52063,68.76649,68.94188,68.94188,1239300
"VAR","10/30/2015",68.97695,69.39787,68.56481,68.86295,68.86295,869100
"VAR","10/29/2015",66.02185,69.01208,65.75002,68.88055,68.88055,1024700
"VAR","10/28/2015",67.00398,68.22287,66.5743,67.65289,67.65289,1255300
"VAR","10/27/2015",67.36351,67.61781,66.50415,66.79353,66.79353,755700
"VAR","10/26/2015",67.62658,68.10011,67.17059,67.53889,67.53889,744200
"VAR","10/23/2015",67.01275,67.88965,66.90752,67.74934,67.74934,967000
"VAR","10/22/2015",66.22354,66.9689,65.73248,66.55676,66.55676,1054100
"VAR","10/21/2015",66.38133,66.45148,65.32028,65.93411,65.93411,878700
"VAR","10/20/2015",64.4083,66.3901,64.4083,66.03057,66.03057,2789200
"VAR","10/19/2015",67.51253,68.95065,67.381,68.81034,68.81034,1071000
"VAR","10/16/2015",67.82822,67.96852,67.12669,67.59145,67.59145,1231100
"VAR","10/15/2015",66.45148,67.50376,66.24103,67.495,67.495,1033800
"VAR","10/14/2015",66.78471,66.94254,65.96042,66.1358,66.1358,1341400
"VAR","10/13/2015",66.99516,67.5213,66.36379,66.60056,66.60056,1201900
"VAR","10/12/2015",68.52973,68.53851,67.31961,67.36346,67.36346,1382100
"VAR","10/09/2015",67.84576,68.44205,67.54761,68.37189,68.37189,559800
"VAR","10/08/2015",67.00393,68.05621,66.81101,67.8896,67.8896,910500
"VAR","10/07/2015",66.65317,67.53884,66.03057,67.24946,67.24946,697500
