"symbol","date","open","high","low","close","adjclose","volume"
"VZ","12/31/2015",46.52,46.65,46.21,46.22,42.17601,11490900
"VZ","12/30/2015",47.2,47.2,46.62,46.77,42.67789,8970700
"VZ","12/29/2015",46.98,47.23,46.84,47.21,43.07939,7667100
"VZ","12/28/2015",46.62,46.84,46.56,46.75,42.65963,6254900
"VZ","12/24/2015",46.91,46.97,46.6,46.71,42.62313,4279900
"VZ","12/23/2015",46.51,47.15,46.39,46.95,42.84214,12685500
"VZ","12/22/2015",46.2,46.46,45.85,46.34,42.2855,11138000
"VZ","12/21/2015",45.73,45.92,45.52,45.9,41.88401,10360600
"VZ","12/18/2015",45.9,46.04,45.56,45.56,41.57376,31635100
"VZ","12/17/2015",46.49,46.69,46.03,46.1,42.06651,15508600
"VZ","12/16/2015",45.93,46.57,45.7,46.51,42.44064,18808300
"VZ","12/15/2015",45.52,45.86,45.21,45.55,41.56462,16742600
"VZ","12/14/2015",44.84,45.5,44.68,45.45,41.47338,16615200
"VZ","12/11/2015",45.32,45.35,44.73,44.82,40.8985,16481900
"VZ","12/10/2015",45.47,45.66,45.2,45.32,41.35475,10347100
"VZ","12/09/2015",45.58,46.13,45.12,45.36,41.39125,13467900
"VZ","12/08/2015",45.67,45.99,45.44,45.7,41.7015,13776100
"VZ","12/07/2015",45.46,46.12,45.45,46.06,42.03001,13192100
"VZ","12/04/2015",44.74,45.78,44.71,45.71,41.71063,14158600
"VZ","12/03/2015",44.88,45.05,44.33,44.56,40.66125,17077700
"VZ","12/02/2015",45.45,45.55,44.87,44.92,40.98975,12160400
"VZ","12/01/2015",45.51,45.89,45.33,45.58,41.59201,10580000
"VZ","11/30/2015",45.25,45.64,44.96,45.45,41.47338,19400000
"VZ","11/27/2015",44.84,45.39,44.83,45.23,41.27262,4108300
"VZ","11/25/2015",45.11,45.13,44.89,44.92,40.98975,7013900
"VZ","11/24/2015",44.75,45.34,44.68,45.19,41.23613,11127400
"VZ","11/23/2015",45.31,45.5,44.94,44.99,41.05363,10290100
"VZ","11/20/2015",45.96,45.99,45.32,45.39,41.41863,12229700
"VZ","11/19/2015",45.44,45.87,45.35,45.76,41.75625,9320900
"VZ","11/18/2015",45.08,45.43,44.58,45.38,41.4095,13585600
"VZ","11/17/2015",45.01,45.32,44.93,45.08,41.13575,10657500
"VZ","11/16/2015",44.26,45.07,44.18,45.04,41.09925,10112500
"VZ","11/13/2015",44.73,44.99,44.22,44.23,40.36012,12615600
"VZ","11/12/2015",45.02,45.09,44.77,44.83,40.90763,11053500
"VZ","11/11/2015",45.36,45.54,45.13,45.32,41.35475,7904000
"VZ","11/10/2015",45.27,45.33,44.8,45.1,41.154,9996700
"VZ","11/09/2015",45.53,45.54,45.03,45.3,41.33651,10743200
"VZ","11/06/2015",45.99,46.03,45.29,45.78,41.7745,14144400
"VZ","11/05/2015",46.2,46.43,46.1,46.2,42.15776,11646900
"VZ","11/04/2015",46.58,46.65,46.04,46.14,42.103,9700800
"VZ","11/03/2015",46.7,46.75,46.18,46.45,42.38588,11900900
"VZ","11/02/2015",47.02,47.08,46.52,46.78,42.68701,11689100
"VZ","10/30/2015",46.43,46.98,46.28,46.88,42.77826,14753200
"VZ","10/29/2015",46.49,46.56,46,46.4,42.34026,7886500
"VZ","10/28/2015",46.44,46.8,46.06,46.48,42.41326,11447300
"VZ","10/27/2015",46.19,46.3,46.01,46.17,42.13038,9540400
"VZ","10/26/2015",46.32,46.55,46.15,46.36,42.30376,10802500
"VZ","10/23/2015",46.14,46.33,45.94,46.16,42.12126,13285100
"VZ","10/22/2015",44.98,45.9,44.98,45.89,41.87488,15378600
"VZ","10/21/2015",45.44,45.71,44.71,44.86,40.935,17081800
"VZ","10/20/2015",44.92,45.8,44.79,45.24,41.28175,19627900
"VZ","10/19/2015",44.48,44.82,44.26,44.7,40.789,17547400
"VZ","10/16/2015",44.92,44.97,44.45,44.7,40.789,15620900
"VZ","10/15/2015",44.24,44.7,44.06,44.67,40.76162,11774000
"VZ","10/14/2015",44.26,44.54,43.93,43.99,40.14112,19559200
"VZ","10/13/2015",44.14,44.5,44.14,44.36,40.47874,11566400
"VZ","10/12/2015",44.18,44.31,44.01,44.3,40.424,9886700
"VZ","10/09/2015",44.28,44.53,44,44.16,40.29624,11981200
"VZ","10/08/2015",43.68,44.31,43.55,44.23,40.36012,10280900
"VZ","10/07/2015",43.78,43.99,43.46,43.85,40.01337,11897000
"VZ","10/07/2015",0,0,0,0,0,0
"VZ","10/06/2015",44,44.43,43.98,44.06,39.68943,15087900
"VZ","10/05/2015",43.24,44.02,43.24,44,39.63538,14484600
"VZ","10/02/2015",42.55,42.9,42.2,42.84,38.59045,22336700
"VZ","10/01/2015",43.49,43.64,42.69,42.96,38.69855,22323500
"VZ","09/30/2015",43.83,44,43.28,43.51,39.19399,20277700
"VZ","09/29/2015",43.78,44,43.34,43.53,39.21201,15652500
"VZ","09/28/2015",44.01,44.18,43.69,43.74,39.40117,15265200
"VZ","09/25/2015",44.32,44.53,44.07,44.22,39.83356,17514800
"VZ","09/24/2015",43.79,44.2,43.76,44.09,39.71646,14438300
"VZ","09/23/2015",44.36,44.48,43.9,43.98,39.61737,11670300
"VZ","09/22/2015",44.43,44.53,44.11,44.43,40.02274,12368600
"VZ","09/21/2015",44.62,44.89,44.53,44.8,40.35603,10584300
"VZ","09/18/2015",45.16,45.26,44.42,44.57,40.14884,26319900
"VZ","09/17/2015",45.4,45.75,44.53,45.23,40.74336,31675000
"VZ","09/16/2015",46.44,46.47,46.1,46.19,41.60814,11932500
"VZ","09/15/2015",45.92,46.55,45.73,46.37,41.77028,11892500
"VZ","09/14/2015",45.78,45.89,45.6,45.65,41.12171,9677800
"VZ","09/11/2015",45.44,45.75,45.26,45.73,41.19377,11227400
"VZ","09/10/2015",45.37,45.61,45.03,45.46,40.95055,16412900
"VZ","09/09/2015",46.25,46.27,45.31,45.39,40.8875,14289900
"VZ","09/08/2015",45.58,45.9,45.22,45.88,41.3289,14056500
"VZ","09/04/2015",45.35,45.35,44.64,44.82,40.37404,16045100
"VZ","09/03/2015",45.63,46.15,45.52,45.72,41.18477,12480800
"VZ","09/02/2015",45.5,45.5,44.77,45.35,40.85146,17197600
"VZ","09/01/2015",45.09,45.55,44.68,44.9,40.44611,21096300
"VZ","08/31/2015",45.95,46.1,45.61,46.01,41.446,14686200
"VZ","08/28/2015",46.06,46.16,45.65,46.07,41.50005,12783900
"VZ","08/27/2015",45.78,46.29,45.17,46.19,41.60814,21488000
"VZ","08/26/2015",44.38,45.31,44,45.16,40.68031,30856900
"VZ","08/25/2015",45.76,45.76,43.5,43.5,39.18497,27851500
"VZ","08/24/2015",44.35,45.87,38.06,44.74,40.30198,36096800
"VZ","08/21/2015",46.45,46.85,46.1,46.1,41.52707,21305300
"VZ","08/20/2015",47.05,47.39,46.88,46.88,42.22969,13785900
"VZ","08/19/2015",47.39,47.7,47.08,47.44,42.73415,12578000
"VZ","08/18/2015",47.56,47.69,47.33,47.46,42.75216,8581400
"VZ","08/17/2015",47.28,47.62,47.2,47.52,42.80621,7784300
"VZ","08/14/2015",47.62,47.63,47.43,47.49,42.77919,8768200
"VZ","08/13/2015",47.77,47.94,47.49,47.66,42.93232,11168500
"VZ","08/12/2015",47.3,47.89,47.1,47.85,43.10347,15939800
"VZ","08/11/2015",47.54,48.21,47.48,47.6,42.87827,18455400
"VZ","08/10/2015",46.52,47.34,46.52,47.23,42.54498,13529500
"VZ","08/07/2015",46.57,46.75,46.17,46.36,41.76127,10538000
"VZ","08/06/2015",46.59,46.7,46.29,46.63,42.0045,9917200
"VZ","08/05/2015",46.9,47.15,46.6,46.64,42.0135,11946100
"VZ","08/04/2015",47.02,47.08,46.56,46.67,42.04053,9371900
"VZ","08/03/2015",47.18,47.2,46.6,46.97,42.31077,10321300
"VZ","07/31/2015",46.85,47.17,46.71,46.79,42.14862,12562900
"VZ","07/30/2015",46.66,46.8,46.41,46.67,42.04053,9592300
"VZ","07/29/2015",46,46.9,45.97,46.56,41.94144,15968700
"VZ","07/28/2015",45.99,46.04,45.66,45.89,41.3379,16150900
"VZ","07/27/2015",45.94,46.25,45.71,45.83,41.28385,15747800
"VZ","07/24/2015",46.44,46.48,45.96,46.04,41.47303,19528700
"VZ","07/23/2015",46.46,46.62,46.17,46.35,41.75227,13698200
"VZ","07/22/2015",46.79,46.84,46.11,46.45,41.84235,21026600
"VZ","07/21/2015",46.98,47.35,46.57,46.97,42.31077,31961600
"VZ","07/20/2015",47.63,48.26,47.42,48.1,43.32868,17246700
"VZ","07/17/2015",47.78,47.95,47.5,47.59,42.86927,10160400
"VZ","07/16/2015",47.48,47.86,47.45,47.83,43.08547,11011400
"VZ","07/15/2015",47.48,47.5,47.04,47.33,42.63506,9624000
"VZ","07/14/2015",47.19,47.44,47.05,47.41,42.70712,9973600
"VZ","07/13/2015",47.38,47.42,46.95,47.2,42.51796,10184400
"VZ","07/10/2015",46.84,47.33,46.72,47,42.33779,14727100
"VZ","07/09/2015",47.01,47.16,46.23,46.26,41.67119,16304500
"VZ","07/08/2015",46.58,46.83,46.3,46.58,41.95946,17859600
"VZ","07/08/2015",0,0,0,0,0,0
"VZ","07/07/2015",47.22,47.45,46.83,47.25,42.06755,18025800
"VZ","07/06/2015",47.06,47.14,46.8,47.04,41.88059,12051700
"VZ","07/02/2015",47.23,47.38,47.11,47.2,42.02304,9872400
"VZ","07/01/2015",46.64,47.11,46.57,47,41.84498,12545900
"VZ","06/30/2015",47.14,47.25,46.6,46.61,41.49775,15044100
"VZ","06/29/2015",47.28,47.72,46.75,46.77,41.64021,15032400
"VZ","06/26/2015",47.59,48.49,47.38,47.62,42.39697,18492800
"VZ","06/25/2015",47.63,47.92,47.43,47.44,42.23672,14445400
"VZ","06/24/2015",47.6,47.79,47.29,47.29,42.10317,17742300
"VZ","06/23/2015",47.86,48.11,47.71,47.77,42.53052,14411400
"VZ","06/22/2015",47.63,47.78,47.41,47.53,42.31684,9191900
"VZ","06/19/2015",47.65,47.71,47.37,47.46,42.25452,26861700
"VZ","06/18/2015",47.42,47.92,47.39,47.77,42.53052,14527300
"VZ","06/17/2015",47.5,47.51,46.9,47.27,42.08536,18216400
"VZ","06/16/2015",46.99,47.49,46.91,47.42,42.21891,10862000
"VZ","06/15/2015",47.14,47.22,46.93,47,41.84498,10875800
"VZ","06/12/2015",47.75,47.75,47.21,47.25,42.06755,10619100
"VZ","06/11/2015",47.61,47.88,47.52,47.76,42.52161,10029700
"VZ","06/10/2015",47.56,47.68,47.36,47.47,42.26342,13007300
"VZ","06/09/2015",47.47,47.62,47.17,47.34,42.14768,12295100
"VZ","06/08/2015",47.25,47.78,47.05,47.44,42.23672,16493600
"VZ","06/05/2015",47.96,47.97,47.11,47.23,42.04975,23574500
"VZ","06/04/2015",47.88,48.54,47.88,48.1,42.82432,38418900
"VZ","06/03/2015",49.15,49.44,48.87,49.08,43.69683,17697800
"VZ","06/02/2015",49.22,49.31,48.98,49.14,43.75026,11092200
"VZ","06/01/2015",49.44,49.54,49.14,49.22,43.82148,11968000
"VZ","05/29/2015",49.5,49.64,49.37,49.44,44.01734,14702400
"VZ","05/28/2015",49.47,49.65,49.38,49.54,44.10638,8432800
"VZ","05/27/2015",49.45,49.68,49.27,49.57,44.13309,14517400
"VZ","05/26/2015",49.58,49.75,49.21,49.42,43.99954,17460100
"VZ","05/22/2015",49.76,49.89,49.58,49.61,44.1687,12324400
"VZ","05/21/2015",49.68,50.1,49.67,49.9,44.4269,15667600
"VZ","05/20/2015",49.57,49.96,49.56,49.69,44.23993,13583600
"VZ","05/19/2015",49.53,49.58,49.32,49.55,44.11528,15675100
"VZ","05/18/2015",49.78,49.8,49.55,49.6,44.1598,15031400
"VZ","05/15/2015",50.01,50.09,49.65,49.79,44.32896,14083300
"VZ","05/14/2015",49.9,50.15,49.82,49.97,44.48922,12094600
"VZ","05/13/2015",49.64,49.98,49.5,49.73,44.27554,16200400
"VZ","05/12/2015",49.4,49.81,48.97,49.62,44.1776,20448900
"VZ","05/11/2015",50.14,50.28,49.79,49.8,44.33786,9900500
"VZ","05/08/2015",50.19,50.37,49.95,50.14,44.64057,13264100
"VZ","05/07/2015",49.6,49.85,49.32,49.73,44.27554,10832400
"VZ","05/06/2015",50.07,50.17,49.36,49.64,44.19541,15513300
"VZ","05/05/2015",50.69,50.69,50.06,50.09,44.59606,12646200
"VZ","05/04/2015",50.42,50.86,50.29,50.52,44.9789,12594800
"VZ","05/01/2015",50.75,50.77,50.05,50.41,44.88096,13872800
"VZ","04/30/2015",50.47,50.65,50.23,50.44,44.90767,15604900
"VZ","04/29/2015",50.45,50.61,50.14,50.47,44.93438,13683200
"VZ","04/28/2015",50.34,50.64,50.07,50.55,45.0056,16342000
"VZ","04/27/2015",50,50.33,50,50.08,44.58716,16562300
"VZ","04/24/2015",49.94,50.26,49.82,50.03,44.54264,17184200
"VZ","04/23/2015",49.62,50.2,49.45,50.05,44.56044,22580200
"VZ","04/22/2015",49.46,49.69,49.32,49.57,44.13309,18687000
"VZ","04/21/2015",48.97,49.4,48.46,49.17,43.77696,33469100
"VZ","04/20/2015",49.15,49.48,49.05,49.38,43.96394,17023000
"VZ","04/17/2015",48.98,49.12,48.7,48.9,43.53658,18105100
"VZ","04/16/2015",49.26,49.57,49.09,49.27,43.866,11724100
"VZ","04/15/2015",49.15,49.5,49.05,49.39,43.97283,11055800
"VZ","04/14/2015",49.2,49.36,48.93,49.18,43.78587,11938200
"VZ","04/13/2015",49.27,49.51,49.04,49.04,43.66122,12235700
"VZ","04/10/2015",49.04,49.25,48.94,49.22,43.82148,9241900
"VZ","04/09/2015",48.91,49.18,48.67,49.01,43.63451,10810900
"VZ","04/08/2015",48.75,49.28,48.69,49.13,43.74135,15498600
"VZ","04/08/2015",0,0,0,0,0,0
"VZ","04/07/2015",49.81,49.81,49.25,49.27,43.37632,11498700
"VZ","04/06/2015",49.54,49.82,49.4,49.63,43.69326,14130000
"VZ","04/02/2015",48.89,49.6,48.86,49.47,43.55239,13344200
"VZ","04/01/2015",48.45,49.27,48.43,48.92,43.06818,13339800
"VZ","03/31/2015",49.09,49.15,48.58,48.63,42.81289,12785700
"VZ","03/30/2015",48.73,49.3,48.71,49.12,43.24426,11157600
"VZ","03/27/2015",48.48,48.72,48.34,48.56,42.75126,11587000
"VZ","03/26/2015",48.62,48.95,48.4,48.42,42.62799,17919400
"VZ","03/25/2015",49.38,49.41,48.72,48.73,42.90092,14915500
"VZ","03/24/2015",49.54,49.9,49.39,49.41,43.49957,11419600
"VZ","03/23/2015",49.78,49.85,49.45,49.64,43.70206,13094400
"VZ","03/20/2015",49.34,49.9,49.19,49.56,43.63163,26280800
"VZ","03/19/2015",49.23,49.5,49,49.3,43.40273,13625000
"VZ","03/18/2015",48.75,49.69,48.48,49.54,43.61402,17964700
"VZ","03/17/2015",49.01,49.3,48.87,48.95,43.0946,15663000
"VZ","03/16/2015",48.96,49.4,48.63,49.27,43.37632,16111200
"VZ","03/13/2015",48.5,48.93,48.47,48.84,42.99776,20717400
"VZ","03/12/2015",47.94,48.76,47.8,48.73,42.90092,15806000
"VZ","03/11/2015",47.57,48.03,47.36,47.68,41.97652,14392800
"VZ","03/10/2015",48.11,48.33,47.46,47.51,41.82685,18664100
"VZ","03/09/2015",48.26,48.62,48.18,48.23,42.46073,13119000
"VZ","03/06/2015",48.49,48.63,48.23,48.29,42.51354,15644900
"VZ","03/05/2015",49.18,49.22,48.81,48.92,43.06818,9653500
"VZ","03/04/2015",49.56,49.56,48.92,49.07,43.20024,13816200
"VZ","03/03/2015",49.49,49.69,49.28,49.55,43.62283,11381400
"VZ","03/02/2015",49.12,49.51,49.02,49.47,43.55239,10914400
"VZ","02/27/2015",49.22,49.66,49.05,49.45,43.53479,17571200
"VZ","02/26/2015",49.06,49.46,48.92,49.37,43.46436,13581400
"VZ","02/25/2015",49.32,49.4,49.03,49.2,43.31469,11398900
"VZ","02/24/2015",48.67,49.41,48.31,49.22,43.3323,16302200
"VZ","02/23/2015",48.94,49,48.54,48.77,42.93613,12255700
"VZ","02/20/2015",48.84,48.98,48.42,48.97,43.11221,13481500
"VZ","02/19/2015",48.74,49.14,48.74,48.91,43.05938,11609800
"VZ","02/18/2015",49.22,49.31,48.68,48.94,43.08579,13477700
"VZ","02/17/2015",48.95,49.32,48.89,49.18,43.29708,15363700
"VZ","02/13/2015",49.43,49.6,49.03,49.31,43.41154,14619600
"VZ","02/12/2015",49.86,49.99,49.25,49.52,43.59642,20447300
"VZ","02/11/2015",49.39,49.88,49.16,49.81,43.85172,19402900
"VZ","02/10/2015",49.25,49.56,49.01,49.51,43.5876,15100800
"VZ","02/09/2015",49.05,49.47,48.98,49.09,43.21785,21052900
"VZ","02/06/2015",48.25,49.76,48,49.33,43.42915,47250700
"VZ","02/05/2015",48.05,48.13,47.54,47.86,42.13499,18762300
"VZ","02/04/2015",47.67,48.31,47.66,47.8,42.08216,19937400
"VZ","02/03/2015",47.25,47.97,47.21,47.83,42.10857,21460900
"VZ","02/02/2015",46.2,47.15,45.76,46.98,41.36025,23172300
"VZ","01/30/2015",45.83,46.51,45.56,45.71,40.24216,22768000
"VZ","01/29/2015",46,46.28,45.37,46.11,40.59433,19161600
"VZ","01/28/2015",46.83,47.03,46.03,46.05,40.54149,19575800
"VZ","01/27/2015",46.66,46.85,46.33,46.35,40.80561,17008900
"VZ","01/26/2015",46.98,47.1,46.49,46.96,41.34264,15064400
"VZ","01/23/2015",47.85,47.93,46.98,47.15,41.50991,24267100
"VZ","01/22/2015",48.12,48.48,46.91,47.8,42.08216,38451100
"VZ","01/21/2015",47.89,48.4,47.61,48.25,42.47833,24880200
