"symbol","date","open","high","low","close","adjclose","volume"
"XRX","12/31/2015",28.11594,28.19499,27.77339,28.01054,26.90074,6304400
"XRX","12/30/2015",28.14229,28.32675,28.06324,28.24769,27.1285,1648200
"XRX","12/29/2015",28.08959,28.37945,28.01054,28.19499,27.07789,1781300
"XRX","12/29/2015",0,0,0,0,0,0
"XRX","12/28/2015",28.5112,28.53755,27.85244,28.06324,26.77421,5822100
"XRX","12/24/2015",28.5112,28.80105,28.43215,28.6693,27.35243,3498000
"XRX","12/23/2015",28.3004,28.6166,28.19499,28.5112,27.20159,7692300
"XRX","12/22/2015",27.27273,28.24769,27.16733,28.19499,26.89991,9072400
"XRX","12/21/2015",27.00922,27.50988,26.85112,27.14097,25.89431,8782800
"XRX","12/18/2015",26.64032,26.90382,26.32411,26.74572,25.51721,18634400
"XRX","12/17/2015",27.08827,27.43083,26.50856,26.85112,25.61777,4398500
"XRX","12/16/2015",26.53491,27.14097,26.45586,27.06192,25.81889,3010200
"XRX","12/15/2015",26.40316,26.61397,26.03426,26.40316,25.19039,3416200
"XRX","12/14/2015",26.50856,26.61397,25.55995,25.98155,24.78814,10045800
"XRX","12/11/2015",26.29776,26.69302,26.27141,26.45586,25.24067,12021900
"XRX","12/10/2015",26.50856,26.95652,26.32411,26.79842,25.56749,3699800
"XRX","12/09/2015",26.48221,27.08827,26.21871,26.40316,25.19039,4497100
"XRX","12/08/2015",26.53491,26.71937,26.29776,26.66667,25.44178,3116100
"XRX","12/07/2015",27.50988,27.58893,26.71937,26.79842,25.56749,3204300
"XRX","12/04/2015",27.29908,27.98419,27.29908,27.61528,26.34683,5232500
"XRX","12/03/2015",27.50988,27.61528,27.00922,27.29908,26.04515,7722100
"XRX","12/02/2015",28.19499,28.22134,27.32543,27.32543,26.07029,3013700
"XRX","12/01/2015",27.87879,28.24769,27.74704,28.16864,26.87477,2664000
"XRX","11/30/2015",28.08959,28.14229,27.66798,27.79974,26.52281,3294500
"XRX","11/27/2015",27.90514,28.14229,27.87879,28.01054,26.72393,947300
"XRX","11/25/2015",27.95784,28.32675,27.56258,27.90514,26.62337,2907700
"XRX","11/24/2015",29.03821,29.03821,27.45718,27.95784,26.67365,9969800
"XRX","11/23/2015",27.64163,28.43215,27.53623,28.32675,27.02561,5792600
"XRX","11/20/2015",27.72069,27.93149,27.45718,27.56258,26.29655,3877600
"XRX","11/19/2015",27.74704,27.90514,27.32543,27.48353,26.22113,2511500
