"symbol","date","open","high","low","close","adjclose","volume"
"ABT","12/30/2016",38.33,38.87,38.25,38.41,37.53909,10445600
"ABT","12/29/2016",38.3,38.51,38.11,38.31,37.44136,7038900
"ABT","12/28/2016",38.63,38.77,38.08,38.22,37.3534,6828500
"ABT","12/27/2016",38.48,38.94,38.47,38.6,37.72478,6633700
"ABT","12/23/2016",38.33,38.65,38.22,38.42,37.54886,4611100
"ABT","12/22/2016",38.15,38.34,37.91,38.29,37.42181,7980900
"ABT","12/21/2016",38.19,38.28,37.9,38.24,37.37295,9190600
"ABT","12/20/2016",38.4,38.51,38.02,38.19,37.32408,6992900
"ABT","12/19/2016",38.23,38.63,38.06,38.34,37.47068,10153500
"ABT","12/16/2016",39.02,39.33,37.98,38.1,37.23612,13927100
"ABT","12/15/2016",38.76,39.05,38.27,38.93,38.0473,9229400
"ABT","12/14/2016",39.42,39.79,38.67,38.82,37.93979,11284100
"ABT","12/13/2016",39.31,39.67,39.17,39.44,38.54573,7483300
"ABT","12/12/2016",39.2,39.51,39.06,39.2,38.31118,7771700
"ABT","12/09/2016",38.82,39.34,38.78,39.2,38.31118,7802500
"ABT","12/08/2016",38.33,38.79,38.01,38.68,37.80297,7046900
"ABT","12/07/2016",38.13,38.49,37.42,38.48,37.6075,10888600
"ABT","12/06/2016",38.44,38.65,38.22,38.42,37.54886,6136100
"ABT","12/05/2016",38.11,38.45,37.99,38.43,37.55864,9514700
"ABT","12/02/2016",37.68,38.08,37.6,37.9,37.04065,7252800
"ABT","12/01/2016",38.12,38.3,37.38,37.6,36.74745,9008500
"ABT","11/30/2016",38.75,38.75,38.07,38.07,37.2068,14916800
"ABT","11/29/2016",38.86,39.02,38.66,38.73,37.85183,7338500
"ABT","11/28/2016",39.22,39.22,38.7,38.74,37.8616,5727800
"ABT","11/25/2016",39.08,39.21,38.94,39.16,38.27208,2733000
"ABT","11/23/2016",38.04,39.13,37.9,38.98,38.09616,9568900
"ABT","11/22/2016",39.42,39.61,37.81,38.1,37.23612,16242500
"ABT","11/21/2016",39.85,40.13,39.64,39.76,38.85847,8614700
"ABT","11/18/2016",40.31,40.42,39.8,39.84,38.93667,7015100
"ABT","11/17/2016",40,40.5,40,40.39,39.47419,6582600
"ABT","11/16/2016",39.8,40.25,39.65,39.95,39.04417,8883900
"ABT","11/15/2016",39.29,39.94,39.05,39.81,38.90735,9264700
"ABT","11/14/2016",40.11,40.17,39.1,39.2,38.31118,11179400
"ABT","11/11/2016",40.38,40.48,39.9,40.14,39.22987,5729000
"ABT","11/10/2016",40.52,40.86,40.32,40.61,39.68921,9716400
"ABT","11/09/2016",41.5,41.53,39.17,40.07,39.16145,13102900
"ABT","11/08/2016",39.62,40.08,39.24,39.83,38.92689,6654400
"ABT","11/07/2016",39.64,39.96,39.54,39.86,38.95621,6458800
"ABT","11/04/2016",38.45,39.44,38.41,39.09,38.20367,8748100
"ABT","11/03/2016",38.86,39.15,38.3,38.38,37.50977,7529400
