"symbol","date","open","high","low","close","adjclose","volume"
"ACN","12/30/2016",117.56,117.95,116.59,117.13,114.8153,1739500
"ACN","12/29/2016",116.98,117.98,116.51,117.01,114.6976,1631500
"ACN","12/28/2016",118,118,116.09,116.61,114.3055,1797700
"ACN","12/27/2016",117.36,118.48,117.21,117.55,115.227,1546300
"ACN","12/23/2016",117.4,118.21,117.11,117.48,115.1584,1697200
"ACN","12/22/2016",118.06,118.63,117.01,117.79,115.4622,2758400
"ACN","12/21/2016",118.55,119.98,117.6,117.9,115.57,6032500
"ACN","12/20/2016",124.04,124.27,123.01,124.1,121.6475,3290800
"ACN","12/19/2016",123.23,124.44,123.16,123.65,121.2064,2750400
"ACN","12/16/2016",124.58,125.16,122.44,123,120.5693,4428100
"ACN","12/15/2016",123.45,125.28,123.26,124.55,122.0886,1761400
"ACN","12/14/2016",125.25,125.65,123.43,123.65,121.2064,2041300
"ACN","12/13/2016",123.8,125.72,123.68,125.4,122.9218,2333200
"ACN","12/12/2016",122.86,123.79,122.6,123.61,121.1672,1608700
"ACN","12/09/2016",121.33,123.46,120.86,123.31,120.8731,2227200
"ACN","12/08/2016",121.67,122.39,121.27,121.74,119.3342,1449300
"ACN","12/07/2016",118.65,121.65,118.45,121.57,119.1675,2024100
"ACN","12/06/2016",118.13,118.89,117.73,118.41,116.07,1973600
"ACN","12/05/2016",117.86,118.58,117.29,117.72,115.3936,2052300
"ACN","12/02/2016",117.63,118.25,116.17,117.29,114.9721,1922800
"ACN","12/01/2016",119.5,120.05,117.12,117.66,115.3348,2260400
"ACN","11/30/2016",121.01,121.14,119.43,119.43,117.0698,2635500
"ACN","11/29/2016",120.74,121.53,120.37,120.94,118.55,1484000
"ACN","11/28/2016",120.53,121.39,120.09,120.76,118.3735,2075600
"ACN","11/25/2016",119.9,120.78,119.59,120.74,118.3539,783700
"ACN","11/23/2016",119.36,120.29,119.07,119.82,117.4521,1958700
"ACN","11/22/2016",119.92,120.39,119.32,119.48,117.1188,2251800
"ACN","11/21/2016",118.7,119.88,118.43,119.68,117.3149,1694600
"ACN","11/18/2016",118.25,118.56,117.87,118.43,116.0896,2123500
"ACN","11/17/2016",117.5,118.54,117.21,118.37,116.0308,1313600
"ACN","11/16/2016",116.19,118.03,115.76,117.32,115.0015,2143500
"ACN","11/15/2016",117.55,117.84,115.38,115.99,113.6978,3119900
"ACN","11/14/2016",119.17,119.59,116.2,117.25,114.9329,3614200
"ACN","11/11/2016",119.66,121,118.71,119.18,116.8248,3201800
"ACN","11/10/2016",117.34,120.8,117.29,120.33,117.952,4357500
"ACN","11/09/2016",115.88,118,114.66,117.21,114.8937,5797600
"ACN","11/08/2016",119.9,121,119.51,119.81,117.4423,2096000
"ACN","11/07/2016",118.11,120,118.11,119.97,117.5991,2311100
"ACN","11/04/2016",117.04,118.12,116.44,117.23,114.9133,2068300
"ACN","11/03/2016",118.13,118.5,116.66,116.95,114.6388,2086400
"ACN","11/02/2016",116.14,119.2,116,118.61,116.266,5361100
"ACN","11/01/2016",116.5,116.7,115.46,116.14,113.8448,2444400
"ACN","10/31/2016",115.63,116.56,115.47,116.24,113.9428,1877800
"ACN","10/28/2016",115.85,116.58,115.03,115.67,113.3841,1656200
"ACN","10/27/2016",115.65,116.11,115.2,115.46,113.1783,1871600
"ACN","10/26/2016",114.79,115.9,114.51,115.45,113.1685,1830900
"ACN","10/25/2016",115.8,115.87,114.95,115.27,112.992,1456400
"ACN","10/24/2016",116.02,116.5,115.48,115.8,113.5116,1539800
"ACN","10/21/2016",115.95,116,114.91,115.59,113.3057,1979100
"ACN","10/20/2016",116.6,117.14,115.96,116.05,113.7566,2247800
"ACN","10/19/2016",116.71,117.51,116.13,116.82,114.5114,2263100
"ACN","10/19/2016",0,0,0,0,0,0
"ACN","10/18/2016",117.7,118.26,117.35,117.53,114.0213,2458900
"ACN","10/17/2016",118.25,118.25,116.75,116.85,113.3616,1904900
