"symbol","date","open","high","low","close","adjclose","volume"
"ADBE","12/30/2016",104.07,104.22,102.47,102.95,102.95,2095800
"ADBE","12/29/2016",103.63,104.39,103.41,103.68,103.68,1095000
"ADBE","12/28/2016",104.83,105.16,103.5,103.77,103.77,1742900
"ADBE","12/27/2016",105,105.9,104.86,104.98,104.98,1047900
"ADBE","12/23/2016",104.61,105.42,104.61,105.02,105.02,1047500
"ADBE","12/22/2016",105.12,105.15,103.95,104.72,104.72,1717300
"ADBE","12/21/2016",105.74,106.06,104.48,105.51,105.51,2524600
"ADBE","12/20/2016",105.5,105.88,104.76,105.77,105.77,2194100
"ADBE","12/19/2016",103.57,106.08,103.41,105.29,105.29,3567100
"ADBE","12/16/2016",107.8,107.8,101.91,103.55,103.55,8888200
"ADBE","12/15/2016",106.33,106.48,104.6,105.1,105.1,5678900
"ADBE","12/14/2016",106.3,106.79,105.44,105.81,105.81,3213700
"ADBE","12/13/2016",105.74,107.6,105.62,106.15,106.15,3396600
"ADBE","12/12/2016",104.62,105.24,103.52,105.16,105.16,2711400
"ADBE","12/09/2016",104,104.5,103.42,104.31,104.31,2620600
"ADBE","12/08/2016",103.36,104.07,102.54,103.5,103.5,1851900
"ADBE","12/07/2016",100.89,103.51,100.89,103.36,103.36,2728900
"ADBE","12/06/2016",101.99,101.99,100.71,101.55,101.55,2679900
"ADBE","12/05/2016",100.46,102.52,100.16,101.95,101.95,2319400
"ADBE","12/02/2016",99.52,100.15,98,99.73,99.73,3514400
"ADBE","12/01/2016",102.82,102.92,98.87,99.51,99.51,5121200
"ADBE","11/30/2016",104.99,105.46,102.8,102.81,102.81,3399900
"ADBE","11/29/2016",104.27,105.98,104.26,104.95,104.95,2353100
"ADBE","11/28/2016",104.81,105.15,104.09,104.5,104.5,1552600
"ADBE","11/25/2016",104.17,105.03,103.9,105.02,105.02,937700
"ADBE","11/23/2016",105.41,105.56,103.98,104.21,104.21,2134600
"ADBE","11/22/2016",105.85,106.36,105.04,105.21,105.21,1703100
"ADBE","11/21/2016",105.56,106.14,105.14,105.65,105.65,1806000
"ADBE","11/18/2016",106.19,106.8,104.72,105.02,105.02,2358200
"ADBE","11/17/2016",103.77,105.93,103.48,105.81,105.81,2606600
"ADBE","11/16/2016",103.61,104.4,102.96,104.08,104.08,2458200
"ADBE","11/15/2016",103.14,104.76,102.55,103.66,103.66,2561000
"ADBE","11/14/2016",104.12,104.49,101.77,102.42,102.42,3040500
"ADBE","11/11/2016",103.62,104.47,102.62,103.68,103.68,3833200
"ADBE","11/10/2016",108.08,108.26,101.66,104.08,104.08,7301700
"ADBE","11/09/2016",105.55,108.05,104.52,107.86,107.86,3650200
"ADBE","11/08/2016",108.68,109.16,107.93,108.39,108.39,2453700
"ADBE","11/07/2016",107.66,108.97,107.37,108.66,108.66,2729900
"ADBE","11/04/2016",105.85,107.09,105.6,106.2,106.2,2587500
"ADBE","11/03/2016",106.54,108.16,106.48,107.17,107.17,3667000
"ADBE","11/02/2016",106.85,106.95,105.57,105.89,105.89,2140300
"ADBE","11/01/2016",107.79,107.97,106.04,106.87,106.87,1951400
"ADBE","10/31/2016",108.02,108.29,107.04,107.51,107.51,1678400
"ADBE","10/28/2016",107.08,108.32,107.05,107.6,107.6,1931100
"ADBE","10/27/2016",108.47,108.66,106.69,107.07,107.07,2393900
"ADBE","10/26/2016",108.74,108.82,107.59,107.97,107.97,1623700
"ADBE","10/25/2016",110.76,110.77,108.95,109.03,109.03,1712900
"ADBE","10/24/2016",109.63,111.09,109.35,110.81,110.81,2014900
"ADBE","10/21/2016",108.51,109.17,107.63,109.03,109.03,1838300
"ADBE","10/20/2016",108.41,109.38,107.55,109.03,109.03,1820800
"ADBE","10/19/2016",108.81,108.89,108.15,108.39,108.39,1281500
"ADBE","10/18/2016",108.44,108.82,108.01,108.42,108.42,1308100
"ADBE","10/17/2016",108,108.28,107.39,107.49,107.49,1136500
"ADBE","10/14/2016",108.19,109.1,107.82,107.84,107.84,1968000
"ADBE","10/13/2016",107.13,108.13,106.53,108.01,108.01,1588500
"ADBE","10/12/2016",108.42,108.42,106.82,108.05,108.05,1463800
"ADBE","10/11/2016",109,109.2,107.04,107.37,107.37,1970900
"ADBE","10/10/2016",109.15,110.13,109.15,109.24,109.24,1581600
"ADBE","10/07/2016",109.07,109.07,107.6,108.64,108.64,1412700
"ADBE","10/06/2016",108.72,109.27,108.14,108.56,108.56,1590800
"ADBE","10/05/2016",108.57,109.33,108.32,108.8,108.8,1855000
