"symbol","date","open","high","low","close","adjclose","volume"
"AIV","12/30/2016",44.73,45.59,44.41,45.45,43.99996,1384500
"AIV","12/29/2016",44.36,44.84,44.25,44.7,43.27389,653200
"AIV","12/28/2016",44.36,44.45,44,44.23,42.81888,817700
"AIV","12/27/2016",44.72,44.94,44.24,44.31,42.89633,1312600
"AIV","12/23/2016",44.53,44.91,44.48,44.74,43.31261,796400
"AIV","12/22/2016",43.9,44.56,43.3,44.55,43.12867,1117400
"AIV","12/21/2016",44.86,45.27,43.78,43.97,42.56718,1662100
"AIV","12/20/2016",44.5,45.04,44.46,44.84,43.40942,1195000
"AIV","12/19/2016",44.45,44.75,44.1,44.57,43.14803,1496600
"AIV","12/16/2016",43.59,44.51,43.57,44.17,42.7608,2879100
"AIV","12/15/2016",42.52,43.84,42.3,43.18,41.80238,1916600
"AIV","12/14/2016",42.75,43.06,42.14,42.63,41.26993,1628500
"AIV","12/13/2016",42.69,43.05,42.12,42.75,41.3861,1168800
"AIV","12/12/2016",42.23,42.56,42.06,42.41,41.05694,1536100
"AIV","12/09/2016",42.59,43.04,42.23,42.31,40.96014,901200
"AIV","12/08/2016",42.14,42.92,41.92,42.6,41.24088,763600
"AIV","12/07/2016",41.86,42.38,41.65,42.35,40.99886,1044200
"AIV","12/06/2016",41.99,42.45,41.7,41.77,40.43737,1409200
"AIV","12/05/2016",41.75,42.09,41.43,41.9,40.56322,1058700
"AIV","12/02/2016",41.6,42.38,41.39,41.77,40.43737,1324000
"AIV","12/01/2016",42.08,42.08,41.08,41.36,40.04045,1487800
"AIV","11/30/2016",41.42,42.32,40.9,42.1,40.75683,1998700
"AIV","11/29/2016",41.81,42.4,41.8,42.05,40.70843,1655300
"AIV","11/28/2016",41.01,41.85,41.01,41.7,40.36959,1428400
"AIV","11/25/2016",40.79,41.4,40.65,41.06,39.75002,514100
"AIV","11/23/2016",40.34,40.67,40.02,40.64,39.34342,1209600
"AIV","11/22/2016",40.01,40.69,39.66,40.66,39.36278,1507700
"AIV","11/21/2016",40.56,40.89,39.82,39.88,38.60766,1554400
"AIV","11/18/2016",40.38,40.5,39.8,40.45,39.15948,1944900
"AIV","11/17/2016",40.72,41.01,40.33,40.4,39.11108,1346300
"AIV","11/16/2016",40.74,41.15,40.41,40.76,39.45959,1353800
"AIV","11/16/2016",0,0,0,0,0,0
"AIV","11/15/2016",42.96,42.96,40.61,41.03,39.4015,3795800
"AIV","11/14/2016",41.91,43.23,40.95,42.8,41.10125,3567800
"AIV","11/11/2016",42.38,43.01,41.8,41.97,40.3042,2414300
"AIV","11/10/2016",43.41,43.61,41.98,42.28,40.60189,1845500
"AIV","11/09/2016",43.92,44.22,41.92,43.53,41.80228,1401800
"AIV","11/08/2016",44.36,45.02,44.05,44.86,43.07949,1004600
"AIV","11/07/2016",44.91,44.91,43.95,44.2,42.44569,1315600
"AIV","11/04/2016",43.99,44.57,43.75,44.33,42.57053,1121300
"AIV","11/03/2016",43.94,44.4,43.73,43.75,42.01355,1186500
"AIV","11/02/2016",43.75,44.33,43.69,43.93,42.1864,1787300
"AIV","11/01/2016",43.99,44.34,43.3,43.63,41.89831,1618900
"AIV","10/31/2016",43.34,44.3,43.11,44.07,42.32084,1889100
"AIV","10/28/2016",42.86,43.72,42.47,42.85,41.14927,1964700
"AIV","10/27/2016",43.04,43.21,41.74,42.11,40.43864,1187600
"AIV","10/26/2016",42.61,43.24,42.07,43.13,41.41816,1194100
"AIV","10/25/2016",42.72,43.08,42.37,42.92,41.21649,1417100
"AIV","10/24/2016",43.63,44.03,42.94,43,41.29331,994900
"AIV","10/21/2016",42.99,43.54,42.92,43.38,41.65823,981300
"AIV","10/20/2016",42.9,43.45,42.73,43.34,41.61982,1487400
"AIV","10/19/2016",42.9,43.38,42.8,43.33,41.61022,746300
"AIV","10/18/2016",43.52,43.56,42.89,42.93,41.22609,739600
"AIV","10/17/2016",42.92,43.31,42.79,43.09,41.37974,742100
"AIV","10/14/2016",43.07,43.43,42.68,42.79,41.09165,1273500
"AIV","10/13/2016",42.49,43.33,42.25,43.11,41.39895,1338500
"AIV","10/12/2016",42.37,42.96,42.28,42.68,40.98602,1860800
"AIV","10/11/2016",42.36,42.72,42.2,42.28,40.60189,2269600
"AIV","10/10/2016",42.01,42.57,41.94,42.36,40.67871,969000
"AIV","10/07/2016",42.3,42.65,41.79,41.96,40.29459,1343300
"AIV","10/06/2016",41.94,42.54,41.39,42.01,40.34261,2380600
"AIV","10/05/2016",44.16,44.27,42.17,42.23,40.55387,2959800
"AIV","10/04/2016",44.71,44.76,43.64,43.97,42.22482,1621500
"AIV","10/03/2016",45.69,45.69,44.69,44.72,42.94505,1227600
"AIV","09/30/2016",46.93,46.96,45.88,45.91,44.08782,1778600
"AIV","09/29/2016",47.22,47.47,46.58,46.6,44.75043,1142300
"AIV","09/28/2016",47.3,47.57,46.93,47.38,45.49947,1221800
"AIV","09/27/2016",47.82,47.91,47.08,47.16,45.2882,953100
"AIV","09/26/2016",46.78,47.82,46.78,47.59,45.70113,1550400
"AIV","09/23/2016",46.43,47.36,46.14,46.95,45.08654,1739400
"AIV","09/22/2016",45.98,46.67,45.46,46.58,44.73122,1307300
"AIV","09/21/2016",44.7,45.48,44.25,45.38,43.57885,945100
"AIV","09/20/2016",44.53,44.76,44.39,44.64,42.86822,1190200
"AIV","09/19/2016",43.88,44.25,43.88,44.17,42.41687,1767200
"AIV","09/16/2016",43.69,43.9,43.58,43.78,42.04235,1398600
"AIV","09/15/2016",43.65,44.11,43.57,43.84,42.09998,751000
"AIV","09/14/2016",43.49,43.89,43.22,43.68,41.94632,943200
"AIV","09/13/2016",44.23,44.24,43.3,43.3,41.58141,1020500
"AIV","09/12/2016",43.6,44.79,43.6,44.53,42.76259,1358300
"AIV","09/09/2016",44.94,45.12,43.82,43.83,42.09037,1320600
"AIV","09/08/2016",46.66,46.67,45.54,45.55,43.7421,1737900
"AIV","09/07/2016",46.67,46.95,46.3,46.85,44.99051,1299400
"AIV","09/06/2016",45.98,46.77,45.61,46.75,44.89448,2784000
"AIV","09/02/2016",45.55,46.26,45.38,45.82,44.00138,1445600
"AIV","09/01/2016",45.1,45.39,44.64,45.38,43.57885,1114600
"AIV","08/31/2016",44.75,45.36,44.65,45.18,43.38679,1901100
"AIV","08/30/2016",45.1,45.1,44.14,44.85,43.06989,1608700
"AIV","08/29/2016",44.5,45.19,44.5,45.15,43.35798,1222900
"AIV","08/26/2016",44.92,45.32,43.96,44.34,42.58013,1027900
"AIV","08/25/2016",44.06,45.25,44.06,44.87,43.08909,1087500
"AIV","08/24/2016",44.19,44.24,43.63,44,42.25362,692200
"AIV","08/23/2016",44.27,44.42,44.05,44.24,42.4841,1081300
"AIV","08/22/2016",43.76,44.07,43.5,44.05,42.30163,799500
"AIV","08/19/2016",44.1,44.18,43.46,43.74,42.00394,864700
"AIV","08/18/2016",44.22,44.46,43.81,44.2,42.44569,944600
"AIV","08/17/2016",44.38,44.44,43.62,44.22,42.4649,1521900
"AIV","08/17/2016",0,0,0,0,0,0
"AIV","08/16/2016",45.3,45.35,44.51,44.61,42.52251,1121000
"AIV","08/15/2016",45.1,45.73,45.1,45.54,43.40899,1270600
"AIV","08/12/2016",44.87,45.41,44.73,45.05,42.94192,610500
"AIV","08/11/2016",45.48,45.51,44.58,44.87,42.77034,846200
"AIV","08/10/2016",46.05,46.14,45.21,45.4,43.27554,1182900
"AIV","08/09/2016",45.88,46.14,45.67,45.98,43.8284,927500
"AIV","08/08/2016",45.38,46.08,45.2,45.88,43.73308,1215000
"AIV","08/05/2016",44.96,45.36,44.71,45.36,43.23742,910000
"AIV","08/04/2016",45.05,45.18,44.73,44.88,42.77988,988600
"AIV","08/03/2016",45.24,45.28,44.71,45.05,42.94192,1852000
"AIV","08/02/2016",45.82,45.86,45.04,45.17,43.05631,1987400
"AIV","08/01/2016",45.72,46.42,45.71,46.06,43.90466,1572000
"AIV","07/29/2016",44.56,46.42,44.35,45.97,43.81887,2228300
