"symbol","date","open","high","low","close","adjclose","volume"
"AIZ","12/30/2016",93.13,93.4,92.47,92.86,90.86073,289700
"AIZ","12/29/2016",92.9,93.63,92.55,92.67,90.67481,427200
"AIZ","12/28/2016",94.12,94.4,93.09,93.19,91.18362,326400
"AIZ","12/27/2016",93.36,94.14,93.11,93.74,91.72177,230400
"AIZ","12/23/2016",93.18,93.57,92.61,93.28,91.27168,209600
"AIZ","12/22/2016",92.61,93.36,92.27,93.19,91.18362,332700
"AIZ","12/21/2016",92.21,92.67,91.99,92.32,90.33235,282900
"AIZ","12/20/2016",92.93,93.2,92.05,92.3,90.31278,311200
"AIZ","12/19/2016",91.36,92.63,91.21,92.41,90.42042,507100
"AIZ","12/16/2016",92.53,92.65,90.89,91.34,89.37345,1161200
"AIZ","12/15/2016",92.01,93.82,91.91,92.47,90.47913,393300
"AIZ","12/14/2016",91.85,93.38,91.49,92.13,90.14644,361100
"AIZ","12/13/2016",92.16,92.54,90.78,92.06,90.07794,412900
"AIZ","12/12/2016",91.96,92.72,91.35,92.14,90.15623,436900
"AIZ","12/09/2016",93.23,93.54,91.71,92.16,90.1758,324700
"AIZ","12/08/2016",90.6,93.82,90.6,93.51,91.49673,812300
"AIZ","12/07/2016",89,90.24,88.73,90.24,88.29713,532900
"AIZ","12/06/2016",86.89,89.25,86.77,88.89,86.9762,592200
"AIZ","12/05/2016",86.45,86.71,85.86,86.66,84.79421,565300
"AIZ","12/02/2016",86.72,87.01,85.8,86.1,84.24627,365400
"AIZ","12/01/2016",86.73,87.41,86.31,86.78,84.91162,389100
"AIZ","11/30/2016",86.28,86.98,86.11,86.34,84.48109,538700
"AIZ","11/29/2016",86.23,86.45,85.62,86.07,84.21692,308600
"AIZ","11/28/2016",86.02,86.35,85.47,85.9,84.05058,389000
"AIZ","11/25/2016",86.47,86.59,86.13,86.41,84.5496,125100
"AIZ","11/23/2016",85.43,86.26,85.3,86.19,84.33433,366800
"AIZ","11/23/2016",0,0,0,0,0,0
"AIZ","11/22/2016",86.17,86.17,85.07,85.56,83.19931,446300
"AIZ","11/21/2016",86.35,86.83,85.31,85.74,83.37434,288500
"AIZ","11/18/2016",86.4,86.7,85.15,85.79,83.42296,576200
"AIZ","11/17/2016",86.44,86.72,86.03,86.32,83.93835,554400
"AIZ","11/16/2016",85.73,86.58,85.41,86.35,83.96751,551900
"AIZ","11/15/2016",85.82,86.09,85.11,86,83.62717,510200
"AIZ","11/14/2016",83.39,86.7,83.34,86.01,83.63689,714300
"AIZ","11/11/2016",83.45,83.52,82.3,82.99,80.70022,910000
"AIZ","11/10/2016",82.5,84.22,82.02,83.49,81.18642,495200
"AIZ","11/09/2016",79.84,82.79,79.6,82.02,79.75697,685100
"AIZ","11/08/2016",80.13,80.72,79.86,80.09,77.88022,613000
"AIZ","11/07/2016",80.88,80.88,79.71,79.98,77.77326,467100
"AIZ","11/04/2016",80.44,80.75,79.69,79.73,77.53016,291500
"AIZ","11/03/2016",79.45,81.21,79.39,80.38,78.16222,571200
"AIZ","11/02/2016",79.46,79.82,78.5,78.72,76.54803,623700
"AIZ","11/01/2016",80.59,80.67,78.5,79.36,77.17037,380000
"AIZ","10/31/2016",80.18,80.94,80.14,80.52,78.29836,455500
"AIZ","10/28/2016",80.36,81.77,79.59,79.98,77.77326,427600
"AIZ","10/27/2016",81.92,82.11,79.92,80.17,77.95802,1056000
"AIZ","10/26/2016",82.5,84.48,81.09,81.93,79.66946,713300
"AIZ","10/25/2016",83.29,83.91,81.64,82.25,79.98062,503600
"AIZ","10/24/2016",83,83.84,82.59,82.89,80.60297,472400
"AIZ","10/21/2016",82.82,83.19,82.14,82.81,80.52518,630800
"AIZ","10/20/2016",83.01,83.8,82.23,83.39,81.08918,835400
"AIZ","10/19/2016",87.15,87.15,83.53,83.65,81.342,966000
"AIZ","10/18/2016",92,92.08,91.18,91.3,88.78094,288500
"AIZ","10/17/2016",91.11,91.43,91.01,91.26,88.74203,247700
"AIZ","10/14/2016",90.94,91.87,90.7,90.98,88.46976,302000
"AIZ","10/13/2016",90.23,90.66,89.54,90.09,87.60432,318300
"AIZ","10/12/2016",90.72,91.58,90.53,91.13,88.61563,325200
"AIZ","10/11/2016",90.47,91.12,90.17,90.5,88.00301,419700
"AIZ","10/10/2016",90.13,91.03,90.13,90.8,88.29473,264900
"AIZ","10/07/2016",90.11,90.52,89.49,89.93,87.44874,281400
"AIZ","10/06/2016",91,91.3,88.97,89.94,87.45847,602500
"AIZ","10/05/2016",90.8,91.47,90.6,90.94,88.43087,363900
"AIZ","10/04/2016",90.33,90.49,89.54,90.4,87.90576,394300
"AIZ","10/03/2016",91.91,92.24,90.25,90.54,88.0419,518300
"AIZ","09/30/2016",91.76,92.63,91.5,92.25,89.70472,373200
"AIZ","09/29/2016",91.64,92.25,90.99,91.47,88.94625,357800
"AIZ","09/28/2016",90.84,91.84,90.8,91.77,89.23796,270800
"AIZ","09/27/2016",89.89,90.86,89.65,90.71,88.20721,354700
"AIZ","09/26/2016",89.87,90.44,89.56,89.94,87.45847,256300
"AIZ","09/23/2016",90.92,91.06,90.13,90.14,87.65293,258900
"AIZ","09/22/2016",91.1,91.52,90.79,91.28,88.76148,211000
"AIZ","09/21/2016",89.49,90.86,89.49,90.7,88.19749,361000
"AIZ","09/20/2016",89.94,90.11,89.14,89.3,86.83612,327300
"AIZ","09/19/2016",88.19,90.65,88.19,89.62,87.14729,677700
"AIZ","09/16/2016",88.02,88.16,87.45,87.86,85.43585,847300
"AIZ","09/15/2016",87,88.11,87,87.88,85.45529,323000
"AIZ","09/14/2016",88.43,88.59,87.15,87.33,84.92047,597000
"AIZ","09/13/2016",89.45,89.46,88.34,88.47,86.02901,506300
"AIZ","09/12/2016",88.74,90.59,88.35,90.3,87.80852,346200
"AIZ","09/09/2016",89.67,90.28,88.92,89.23,86.76806,478200
"AIZ","09/08/2016",90.25,90.33,89.51,89.95,87.46818,370400
"AIZ","09/07/2016",89.64,90.29,89.28,90.13,87.6432,230900
"AIZ","09/06/2016",90.22,90.26,89.02,89.88,87.40011,303500
"AIZ","09/02/2016",89.67,90.29,89.52,90.24,87.75018,259800
"AIZ","09/01/2016",89.83,89.99,88.85,89.26,86.79723,349100
"AIZ","08/31/2016",89.53,89.76,88.93,89.55,87.07921,339700
"AIZ","08/30/2016",88.72,89.76,88.67,89.5,87.03059,329900
"AIZ","08/29/2016",87.69,88.76,87.69,88.72,86.27213,326000
"AIZ","08/26/2016",87.59,88.89,87.11,87.69,85.27054,378900
"AIZ","08/25/2016",86.38,87.77,86.17,87.64,85.22192,473200
"AIZ","08/25/2016",0,0,0,0,0,0
"AIZ","08/24/2016",86.84,87,86.38,86.84,83.95779,312800
"AIZ","08/23/2016",86.73,86.89,86.46,86.73,83.85143,263800
"AIZ","08/22/2016",87.04,87.04,86.15,86.71,83.83209,308900
"AIZ","08/19/2016",85.89,86.88,85.69,86.87,83.98679,221100
"AIZ","08/18/2016",85.83,86.46,85.58,86.14,83.28103,271600
"AIZ","08/17/2016",85.2,86.12,85.12,85.8,82.9523,247600
"AIZ","08/16/2016",85.45,86.06,85.16,85.19,82.36256,274000
"AIZ","08/15/2016",85.26,86.26,85.25,85.79,82.94263,287200
"AIZ","08/12/2016",84.91,85.39,84.83,85.19,82.36256,183200
"AIZ","08/11/2016",84.81,85.67,84.81,85.24,82.41089,229800
"AIZ","08/10/2016",84.58,85.18,84.58,84.78,81.96616,215300
"AIZ","08/09/2016",84.87,85.31,84.58,84.78,81.96616,280500
"AIZ","08/08/2016",84.86,85.25,84.38,84.76,81.94683,311800
"AIZ","08/05/2016",84.24,84.89,83.88,84.81,81.99516,354000
"AIZ","08/04/2016",84.1,84.45,83.51,83.69,80.91233,361100
"AIZ","08/03/2016",83.59,84.42,83.28,84.11,81.3184,505600
"AIZ","08/02/2016",83.2,83.51,82.64,83.29,80.5256,513100
"AIZ","08/01/2016",83.09,83.44,82.82,83.25,80.48695,498700
"AIZ","07/29/2016",83.01,83.52,82.64,83.01,80.25491,452800
"AIZ","07/28/2016",83.51,83.97,83.01,83.35,80.58362,347800
"AIZ","07/27/2016",85.48,85.95,83.52,83.75,80.97034,596800
