"symbol","date","open","high","low","close","adjclose","volume"
"AVGO","12/30/2016",180.37,180.9,176.02,176.77,173.3631,2542100
"AVGO","12/29/2016",179.7,180.67,178.63,179.87,176.4034,1367100
"AVGO","12/28/2016",182.64,183,179.84,180.19,176.7172,1403900
"AVGO","12/27/2016",182.11,183.7,182.05,182.31,178.7963,828300
"AVGO","12/23/2016",180.05,181.98,179.66,181.94,178.4335,897700
"AVGO","12/22/2016",182.85,183,179.38,180.6,177.1193,1755700
"AVGO","12/21/2016",183.73,183.99,181.78,182.29,178.7767,2101300
"AVGO","12/20/2016",181,183.28,180.14,182.07,178.561,2735200
"AVGO","12/19/2016",179.07,181.41,178.12,180.46,176.982,2221900
"AVGO","12/16/2016",180.75,181.09,177.48,178.42,174.9813,4112600
"AVGO","12/15/2016",178.31,181.2,176.57,180.01,176.5407,3810300
"AVGO","12/14/2016",178.75,179.22,176.23,177.62,174.1967,4679500
"AVGO","12/14/2016",0,0,0,0,0,0
"AVGO","12/13/2016",178.74,181.94,178,179.44,174.9813,6907600
"AVGO","12/12/2016",178.05,180.77,176.56,178.16,173.7331,3719400
"AVGO","12/09/2016",180.95,181.9,176.9,179.09,174.64,7574400
"AVGO","12/08/2016",169.55,171.38,167.51,170.71,166.4682,3836100
"AVGO","12/07/2016",164.76,168.55,163.67,168.55,164.3619,3265900
"AVGO","12/06/2016",166.81,167.97,163.45,164.76,160.6661,3918400
"AVGO","12/05/2016",166.01,166.61,162.4,166.13,162.002,2137200
"AVGO","12/02/2016",163.57,164.92,160.62,164.22,160.1395,2694500
"AVGO","12/01/2016",170.01,170.49,161.21,162.79,158.745,4638900
"AVGO","11/30/2016",175.12,175.9,170.44,170.49,166.2537,3124900
"AVGO","11/29/2016",173.86,176.98,173.43,175.45,171.0904,1851400
"AVGO","11/28/2016",176.06,177.07,174.54,174.65,170.3103,2657000
"AVGO","11/25/2016",176.78,177.02,175.57,176.75,172.3581,819800
"AVGO","11/23/2016",176.36,177.76,175.24,177.08,172.6799,2212300
"AVGO","11/22/2016",173.72,177.42,173.31,177.02,172.6214,3102400
"AVGO","11/21/2016",169.13,172.76,169.13,172.58,168.2918,2138400
"AVGO","11/18/2016",166.75,169.16,166.75,168.16,163.9816,1952400
"AVGO","11/17/2016",167.35,169.02,166.02,167.04,162.8894,1810000
"AVGO","11/16/2016",166.3,168.17,165.75,167.83,163.6598,1330800
"AVGO","11/15/2016",164.83,167.5,163.61,166.45,162.3141,2538000
"AVGO","11/14/2016",166.47,167.77,163.02,163.78,159.7104,2818700
"AVGO","11/11/2016",167.35,170,165.73,167.54,163.377,2979300
"AVGO","11/10/2016",173.72,174.5,163.3,167.94,163.767,5121700
"AVGO","11/09/2016",171.47,176.5,171.16,173.42,169.1109,3250600
"AVGO","11/08/2016",177.07,178.02,175.11,177,172.6019,1892300
"AVGO","11/07/2016",174.39,177.88,174.11,176.96,172.5629,2612600
"AVGO","11/04/2016",170.4,174.53,170.23,172.17,167.8919,2175300
"AVGO","11/03/2016",172.45,175.34,172.15,172.99,168.6916,2065400
"AVGO","11/02/2016",172.91,174.15,169.81,172.56,168.2722,4350100
"AVGO","11/01/2016",170.72,171.55,165.83,168.8,164.6057,2845200
"AVGO","10/31/2016",170,171.66,168.69,170.28,166.0489,2031700
"AVGO","10/28/2016",172.49,172.87,169.04,169.35,165.142,2065100
"AVGO","10/27/2016",174.31,175.25,171.78,172.24,167.9602,1984000
"AVGO","10/26/2016",172.15,174.78,171.1,173,168.7013,2107500
"AVGO","10/25/2016",176.03,176.5,173.51,173.65,169.3352,2162200
"AVGO","10/24/2016",174.16,177,173.56,176.55,172.1631,1977200
