"symbol","date","open","high","low","close","adjclose","volume"
"AYI","12/30/2016",233.69,234.12,229.94,230.86,230.2167,388000
"AYI","12/29/2016",230,232.84,229.33,232.79,232.1413,321500
"AYI","12/28/2016",236.43,236.81,230.47,230.8,230.1569,311000
"AYI","12/27/2016",235.01,236.42,234.26,235.59,234.9335,220500
"AYI","12/23/2016",232.69,236.71,232.69,234.92,234.2654,327700
"AYI","12/22/2016",230.21,234.66,230.21,232.3,231.6527,491700
"AYI","12/21/2016",230.86,233.01,228.07,230.34,229.6982,918400
"AYI","12/20/2016",241.54,241.54,229.36,231.72,231.0743,1039100
"AYI","12/19/2016",248,249.15,244.37,245.57,244.8857,357800
"AYI","12/16/2016",244.03,249.72,244.03,248.16,247.4685,596800
"AYI","12/15/2016",243.27,246.31,243.27,243.83,243.1506,344700
"AYI","12/14/2016",248.88,250.14,243.9,244.11,243.4298,380000
"AYI","12/13/2016",247.65,249.89,246.94,249.34,248.6452,340800
"AYI","12/12/2016",247.84,248.92,245,248.32,247.6281,512700
"AYI","12/09/2016",246.18,251.78,245.68,248.83,248.1366,499900
"AYI","12/08/2016",250.49,252.17,246.48,246.77,246.0824,561600
"AYI","12/07/2016",251.9,254.55,249.64,254.26,253.5515,387300
"AYI","12/06/2016",252.73,253.72,250.49,251.85,251.1482,305300
"AYI","12/05/2016",250.68,253.53,250.03,252.32,251.6169,456800
"AYI","12/02/2016",251.73,251.75,249.69,249.99,249.2934,507700
"AYI","12/01/2016",252,255.45,250.13,251.46,250.7593,339700
"AYI","11/30/2016",252.98,253.97,251,251.41,250.7095,376300
"AYI","11/29/2016",250.77,253.8,250.77,252.16,251.4574,427700
"AYI","11/28/2016",255.85,256.81,249.43,250.78,250.0812,446300
"AYI","11/25/2016",255,257.94,254.66,257.53,256.8124,159200
"AYI","11/23/2016",254,254.87,252.01,254.78,254.0701,315000
"AYI","11/22/2016",253.11,253.91,248.61,253.63,252.9233,444000
"AYI","11/21/2016",249.9,251.86,248.99,251.55,250.8491,428700
"AYI","11/18/2016",251.13,252.34,246.92,248.96,248.2663,406800
"AYI","11/17/2016",257.02,257.97,251.2,251.73,251.0285,315500
"AYI","11/16/2016",257.27,261.43,254.43,256.53,255.8152,607300
"AYI","11/15/2016",256.37,259.46,254.21,258.65,257.9293,639300
"AYI","11/14/2016",254,257.35,252.53,256.18,255.4662,692300
"AYI","11/11/2016",253.45,254.92,249.15,253.56,252.8535,676100
"AYI","11/10/2016",242.44,258.33,242.44,254.94,254.2296,1195500
"AYI","11/09/2016",228.07,244.74,228.07,241.65,240.9766,943400
"AYI","11/08/2016",225.32,232.7,224.43,231.11,230.466,420100
"AYI","11/07/2016",231.27,233,225.61,226.65,226.0184,472300
"AYI","11/04/2016",220.48,227.56,220.15,226.32,225.6894,578300
"AYI","11/03/2016",218.16,220.55,216.89,219.23,218.6191,376200
"AYI","11/02/2016",220,222.68,217.29,217.37,216.7643,394500
"AYI","11/01/2016",223.17,224.88,219.67,220.6,219.9853,764900
"AYI","10/31/2016",225.01,226.07,223.4,223.57,222.947,665100
"AYI","10/28/2016",225.89,228.38,222.51,223.1,222.4783,585700
"AYI","10/27/2016",231.43,231.54,225.42,225.84,225.2107,567200
"AYI","10/26/2016",233.32,233.98,229.22,231.34,230.6954,379800
"AYI","10/25/2016",238.1,238.8,233.33,233.89,233.2383,526100
"AYI","10/24/2016",240.56,242.48,237.88,239.76,239.0919,655600
"AYI","10/21/2016",239.38,240.57,238.45,239.83,239.1617,368800
"AYI","10/20/2016",242.69,243.2,241.47,242.15,241.4753,254700
"AYI","10/19/2016",245.92,245.92,242.21,243.06,242.3827,387000
"AYI","10/18/2016",245.26,246.87,242.65,246.48,245.7932,360000
"AYI","10/17/2016",247.35,247.84,241.96,242.15,241.4753,445600
"AYI","10/14/2016",246.58,250.85,246.58,248.02,247.3289,540600
"AYI","10/14/2016",0,0,0,0,0,0
"AYI","10/13/2016",242.92,246.3,242.01,244.71,243.8985,390300
"AYI","10/12/2016",240.01,245.1,238.69,244.65,243.8387,460900
"AYI","10/11/2016",243.54,244.7,239.23,240.09,239.2938,652900
