"symbol","date","open","high","low","close","adjclose","volume"
"AZO","12/30/2016",800.35,800.5,787.19,789.79,789.79,246400
"AZO","12/29/2016",795.63,803.96,795.63,798.49,798.49,204800
"AZO","12/28/2016",804.22,805.1,794.49,795.89,795.89,156600
"AZO","12/27/2016",799.02,805.78,798.02,803.57,803.57,210300
"AZO","12/23/2016",797.05,801.94,792.8,795.82,795.82,169700
"AZO","12/22/2016",801.4,806.77,790.96,799.61,799.61,278000
"AZO","12/21/2016",808.51,809.52,802.87,803.62,803.62,225700
"AZO","12/20/2016",798.81,808.1,798.37,807.32,807.32,184300
"AZO","12/19/2016",794.02,805.56,794.02,798.69,798.69,306000
"AZO","12/16/2016",799.88,805.09,789.3,794.72,794.72,454600
"AZO","12/15/2016",790.54,797.05,786.05,795.57,795.57,355500
"AZO","12/14/2016",800,804.92,787.59,788.96,788.96,236500
"AZO","12/13/2016",802.9,808.95,802.08,803,803,210100
"AZO","12/12/2016",802.47,805.98,796.57,802.37,802.37,227800
"AZO","12/09/2016",810.81,811.59,799.1,803.1,803.1,360400
"AZO","12/08/2016",807.52,813.7,802.2,807.71,807.71,330000
"AZO","12/07/2016",789.94,810,784.21,809.87,809.87,501800
"AZO","12/06/2016",787,792.46,778.11,779.81,779.81,444800
"AZO","12/05/2016",786.14,787.77,772.35,776.42,776.42,391700
"AZO","12/02/2016",783.26,789.71,781.01,783.74,783.74,242400
"AZO","12/01/2016",780.61,789.04,778.13,780.76,780.76,299100
"AZO","11/30/2016",790.66,791.51,779.89,783.18,783.18,340500
"AZO","11/29/2016",793.9,798.84,789.13,790.24,790.24,256500
"AZO","11/28/2016",795,801.77,790.83,793.9,793.9,276400
"AZO","11/25/2016",796.15,809.78,795.01,797.96,797.96,127800
"AZO","11/23/2016",793.92,806.51,792.92,798.05,798.05,477800
"AZO","11/22/2016",780.03,795.49,777.93,793.79,793.79,424000
"AZO","11/21/2016",753.84,779.53,752.85,777.9,777.9,318800
"AZO","11/18/2016",772.19,773.25,752.82,755.24,755.24,270500
"AZO","11/17/2016",750.11,775.35,750.11,773.12,773.12,326300
"AZO","11/16/2016",745.81,754.25,741.5,751.95,751.95,295500
"AZO","11/15/2016",743,758.89,739.57,744.8,744.8,483500
"AZO","11/14/2016",751,752.99,727.37,729.36,729.36,510800
"AZO","11/11/2016",744.49,752,742.16,750.35,750.35,196400
"AZO","11/10/2016",743,753.66,740.85,746.28,746.28,361200
"AZO","11/09/2016",721.41,742.99,720.45,740.85,740.85,287600
"AZO","11/08/2016",733.15,736.94,729.06,731.88,731.88,289700
"AZO","11/07/2016",735.81,739.55,730.77,732.87,732.87,360100
"AZO","11/04/2016",742.3,744.09,729,731.65,731.65,349300
"AZO","11/03/2016",740.62,745.01,737.59,738.87,738.87,241300
"AZO","11/02/2016",730.43,742.75,730.1,738.03,738.03,160200
"AZO","11/01/2016",742.61,743.56,731.6,734.45,734.45,196700
"AZO","10/31/2016",736.86,742.51,732.28,742.16,742.16,285800
"AZO","10/28/2016",727.26,737.75,725,735.37,735.37,381100
"AZO","10/27/2016",752.2,752.84,725.5,726.37,726.37,401700
"AZO","10/26/2016",750.25,753.22,747.22,751.56,751.56,183600
"AZO","10/25/2016",749.26,751.97,745.94,750.39,750.39,250200
"AZO","10/24/2016",747.84,753.81,747.84,752.94,752.94,179300
"AZO","10/21/2016",744.73,750.35,742,746.98,746.98,415300
"AZO","10/20/2016",752.65,752.65,744.17,746.27,746.27,243200
"AZO","10/19/2016",749,752.91,734.32,750.44,750.44,389800
"AZO","10/18/2016",759,759,753.32,753.8,753.8,240800
"AZO","10/17/2016",760.71,762,754.16,754.95,754.95,465300
"AZO","10/14/2016",770.07,775.36,762.82,763.51,763.51,243100
"AZO","10/13/2016",758.72,768.37,756.45,767.86,767.86,193900
"AZO","10/12/2016",759.34,766.09,759.1,762.22,762.22,328000
"AZO","10/11/2016",764.97,765.58,759.43,760.61,760.61,330800
"AZO","10/10/2016",765,768.6,762.5,764.44,764.44,205300
"AZO","10/07/2016",766.28,766.28,759.03,760.34,760.34,268700
"AZO","10/06/2016",758.17,764.75,755.17,761.93,761.93,259200
"AZO","10/05/2016",763.28,764.99,758.14,759.44,759.44,278300
"AZO","10/04/2016",762.57,762.57,754.47,758.54,758.54,251800
"AZO","10/03/2016",763.28,767.03,759.15,760.71,760.71,336400
"AZO","09/30/2016",768.12,772.36,762.69,768.34,768.34,354100
"AZO","09/29/2016",765.03,771.49,759.14,765.76,765.76,385200
"AZO","09/28/2016",780,780,764.59,767.15,767.15,436300
"AZO","09/27/2016",772.04,783.33,765.26,779.61,779.61,794600
"AZO","09/26/2016",743.72,759.95,742.39,758.88,758.88,752900
"AZO","09/23/2016",746.05,751.8,737.5,744.85,744.85,818100
"AZO","09/22/2016",758.58,760.98,740.05,748.23,748.23,1029500
"AZO","09/21/2016",741.78,755.56,741.78,751.45,751.45,592900
"AZO","09/20/2016",749.02,750.77,742,744.06,744.06,362200
"AZO","09/19/2016",735,747.01,734.14,746.35,746.35,382100
"AZO","09/16/2016",737.38,741.88,734.22,735.52,735.52,410400
"AZO","09/15/2016",737.56,740.53,732.09,739.11,739.11,300900
"AZO","09/14/2016",746.28,747.79,738.19,739.21,739.21,328300
"AZO","09/13/2016",736.1,746.79,734.45,744.15,744.15,583300
"AZO","09/12/2016",724.95,743.12,723.68,740.38,740.38,596500
"AZO","09/09/2016",727.64,728.67,722.16,722.44,722.44,400500
"AZO","09/08/2016",729.9,730.65,726.07,729.38,729.38,315200
"AZO","09/07/2016",736.83,739.13,731.08,732.12,732.12,338900
"AZO","09/06/2016",739.75,743.24,731.8,737.26,737.26,311000
"AZO","09/02/2016",748.41,748.41,737.5,739.73,739.73,213500
"AZO","09/01/2016",744.23,748.47,742.5,744.77,744.77,310100
"AZO","08/31/2016",741.48,745.48,736.9,741.8,741.8,315800
"AZO","08/30/2016",752.87,752.87,737.03,741.86,741.86,433200
"AZO","08/29/2016",753.58,759.37,748.85,750.85,750.85,363600
"AZO","08/26/2016",771.28,771.5,752.13,753.47,753.47,450800
