"symbol","date","open","high","low","close","adjclose","volume"
"BK","12/30/2016",47.43,47.62,47.23,47.38,46.56132,3604700
"BK","12/29/2016",47.76,47.95,46.97,47.34,46.52201,7155200
"BK","12/28/2016",48.4,48.52,47.64,47.65,46.82666,6145300
"BK","12/27/2016",47.79,47.86,47.5,47.73,46.90527,2266600
"BK","12/23/2016",47.61,47.69,47.24,47.58,46.75787,3787300
"BK","12/22/2016",47.55,47.8,47.49,47.61,46.78734,4564300
"BK","12/21/2016",47.73,47.75,47.31,47.55,46.72838,3638100
"BK","12/20/2016",47.71,47.88,47.49,47.68,46.85614,5772400
"BK","12/19/2016",47.45,47.52,47.02,47.28,46.46305,6479400
"BK","12/16/2016",48.62,48.62,47.47,47.56,46.73821,7326700
"BK","12/15/2016",48.27,48.84,47.9,48.35,47.51456,6033700
"BK","12/14/2016",47.89,48.82,47.68,48.07,47.23939,6188300
"BK","12/13/2016",48.55,48.79,47.93,48.28,47.44577,5324500
"BK","12/12/2016",48.59,48.97,48.19,48.22,47.38681,7145800
"BK","12/09/2016",48.97,49.02,48.34,48.62,47.77989,6458300
"BK","12/08/2016",48.64,49.54,48.37,49.17,48.32039,6025500
"BK","12/07/2016",48.18,48.55,47.89,48.55,47.71111,9183500
"BK","12/06/2016",48.14,48.23,47.58,47.99,47.16078,5772300
"BK","12/05/2016",48.21,48.51,47.75,47.86,47.03303,6645300
"BK","12/02/2016",48.45,48.57,47.58,47.65,46.82666,4578900
"BK","12/01/2016",47.67,48.67,47.57,48.6,47.76023,7570700
"BK","11/30/2016",47.46,47.73,47.37,47.42,46.60062,8375300
"BK","11/29/2016",47.1,47.31,46.84,47.05,46.23702,5635900
"BK","11/28/2016",47.01,47.39,46.91,47.03,46.21736,4615500
"BK","11/25/2016",47.46,47.47,47.29,47.47,46.64976,2329300
"BK","11/23/2016",47.47,47.71,47.17,47.47,46.64976,3931100
"BK","11/22/2016",47.33,47.55,46.9,47.25,46.43356,5700100
"BK","11/21/2016",47.38,47.59,47.25,47.42,46.60062,5023900
"BK","11/18/2016",47.53,47.67,47.16,47.44,46.62028,5808900
"BK","11/17/2016",47,47.85,46.93,47.6,46.77752,6400700
"BK","11/16/2016",47.44,47.51,46.92,47.05,46.23702,6197600
"BK","11/15/2016",47.05,47.96,46.74,47.93,47.10181,7965500
"BK","11/14/2016",46.98,47.87,46.96,47.53,46.70873,9755600
"BK","11/11/2016",46.04,46.79,45.92,46.73,45.92255,6637100
"BK","11/10/2016",45.99,47.61,45.57,46.21,45.41154,15596900
"BK","11/09/2016",43.97,45.75,43.95,45.54,44.75311,14031700
"BK","11/08/2016",43.88,44.25,43.71,43.88,43.1218,6064900
"BK","11/07/2016",43.71,44.04,43.65,44.03,43.2692,7611500
"BK","11/04/2016",43.04,43.27,42.76,42.99,42.24718,6580600
"BK","11/03/2016",43.17,43.41,42.92,43.04,42.29631,4872900
"BK","11/02/2016",43.16,43.25,42.73,42.87,42.12925,5350800
"BK","11/01/2016",43.45,43.6,42.93,43.4,42.65009,4664800
"BK","10/31/2016",43.51,43.8,43.26,43.27,42.52234,5475000
"BK","10/28/2016",43.53,43.78,43.17,43.5,42.74836,5588000
"BK","10/28/2016",0,0,0,0,0,0
"BK","10/27/2016",43.73,43.88,43.3,43.7,42.75819,8129200
"BK","10/26/2016",43.16,43.73,43.13,43.61,42.67013,6747500
"BK","10/25/2016",43.28,43.5,43.17,43.4,42.46465,7746000
"BK","10/24/2016",43.43,43.59,43.12,43.41,42.47444,9148100
"BK","10/21/2016",42.02,43.16,41.93,43.05,42.1222,12004300
"BK","10/20/2016",41.56,42.34,41.48,42.25,41.33944,14251100
"BK","10/19/2016",40.33,40.48,39.93,40.43,39.55866,4790000
"BK","10/18/2016",39.78,40.1,39.61,40.03,39.16729,4178700
"BK","10/17/2016",39.57,39.65,39.19,39.3,38.45301,3419200
"BK","10/14/2016",39.57,39.82,39.37,39.47,38.61935,4718800
"BK","10/13/2016",39.74,39.74,38.68,39.09,38.24755,5866300
"BK","10/12/2016",40.04,40.34,39.77,40.12,39.25534,4022200
"BK","10/11/2016",40.6,40.65,39.78,39.95,39.08901,4092900
"BK","10/10/2016",40.89,40.95,40.63,40.68,39.80328,2926700
"BK","10/07/2016",40.8,40.97,40.35,40.57,39.69565,4048400
"BK","10/06/2016",40.9,40.94,40.46,40.73,39.8522,4367400
"BK","10/05/2016",40.5,40.9,40.38,40.83,39.95005,5721900
"BK","10/04/2016",39.83,40.4,39.63,40.2,39.33362,6533300
"BK","10/03/2016",39.78,39.9,39.52,39.69,38.83461,3666500
"BK","09/30/2016",39.48,40.08,39.3,39.88,39.02052,8674700
"BK","09/29/2016",39.5,39.9,38.78,39.06,38.21819,12859900
"BK","09/28/2016",39.57,39.65,39.31,39.5,38.6487,8115900
"BK","09/27/2016",39.45,39.64,39.1,39.5,38.6487,8474000
"BK","09/26/2016",39.83,39.96,39.43,39.55,38.69763,4418000
"BK","09/23/2016",40.19,40.55,40.01,40.2,39.33362,5712300
"BK","09/22/2016",40.87,40.9,40.24,40.35,39.48038,4540700
"BK","09/21/2016",40.42,40.66,40.17,40.52,39.64672,4393000
"BK","09/20/2016",40.46,40.78,40.13,40.18,39.31406,5032100
"BK","09/19/2016",40.25,40.63,39.95,40.09,39.22599,5215500
"BK","09/16/2016",40.49,40.56,40,40.06,39.19664,6281600
"BK","09/15/2016",40.5,41.01,40.43,40.85,39.96961,4478000
"BK","09/14/2016",40.65,40.91,40.43,40.54,39.6663,4259900
"BK","09/13/2016",40.9,41.15,40.46,40.74,39.86198,5339600
"BK","09/12/2016",40.69,41.59,40.51,41.46,40.56647,5022100
"BK","09/09/2016",41.34,41.74,40.93,40.93,40.04789,5830600
"BK","09/08/2016",41.32,41.75,41.26,41.44,40.54689,4040100
"BK","09/07/2016",41.29,41.57,41.15,41.29,40.40013,4372400
"BK","09/06/2016",41.56,41.76,41.18,41.48,40.58603,4117400
"BK","09/02/2016",41.58,41.76,41.29,41.65,40.75237,2493200
"BK","09/01/2016",41.8,42.02,41.09,41.47,40.57626,3357100
"BK","08/31/2016",41.78,41.99,41.2,41.67,40.77194,4433600
"BK","08/30/2016",41.15,41.72,41.15,41.71,40.81108,3259800
"BK","08/29/2016",40.92,41.41,40.84,41.26,40.37078,3043100
"BK","08/26/2016",40.66,41,40.53,40.85,39.96961,4970200
"BK","08/25/2016",40.22,40.53,40.2,40.53,39.65651,3026200
