"symbol","date","open","high","low","close","adjclose","volume"
"BLK","12/30/2016",381.56,382.35,378.64,380.54,371.7174,515600
"BLK","12/29/2016",381.34,384.19,378.92,379,370.2131,484000
"BLK","12/28/2016",388.38,388.74,380.71,381.03,372.196,506100
"BLK","12/27/2016",388.01,388.58,385.62,387.49,378.5063,285500
"BLK","12/23/2016",387.12,388.84,384.35,385.74,376.7968,579600
"BLK","12/22/2016",390.26,390.26,385.33,387.12,378.1449,862400
"BLK","12/21/2016",398.82,399.09,392.21,393.53,384.4063,671700
"BLK","12/20/2016",392.41,399.46,392.22,398.45,389.2122,716400
"BLK","12/19/2016",392.25,393.55,389,389.77,380.7335,812200
"BLK","12/16/2016",395.23,396.4,391,392.62,383.5174,986500
"BLK","12/15/2016",391.52,394.7,388.81,393.75,384.6212,630200
"BLK","12/14/2016",391.22,396.91,388.81,390,380.9581,942700
"BLK","12/13/2016",391.28,395.04,389.13,392.64,383.5369,907000
"BLK","12/12/2016",394.28,396.64,385.26,390.28,381.2316,1460900
"BLK","12/09/2016",391.9,391.95,386.2,388.54,379.532,934600
"BLK","12/08/2016",380.02,392.05,377.64,390.33,381.2804,1115200
"BLK","12/08/2016",0,0,0,0,0,0
"BLK","12/07/2016",374.42,380.44,373.77,379.81,368.7675,503800
"BLK","12/06/2016",375.34,375.38,371.4,373.97,363.0973,644200
"BLK","12/05/2016",374.33,376.73,371.54,374.35,363.4662,589200
"BLK","12/02/2016",377.21,377.46,369.4,371.36,360.5631,569000
"BLK","12/01/2016",373.81,381.24,371.65,377.2,366.2334,930200
"BLK","11/30/2016",372.57,372.93,368.61,370.79,360.0097,621900
"BLK","11/29/2016",369.13,370.97,366.22,368.55,357.8348,694500
"BLK","11/28/2016",370.98,372.8,368.21,368.65,357.9319,501800
"BLK","11/25/2016",373.03,374.12,371.11,373.67,362.806,227100
"BLK","11/23/2016",372.38,373.77,370.5,372.99,362.1457,517800
"BLK","11/22/2016",375.12,376.05,371.4,373.06,362.2137,529100
"BLK","11/21/2016",374.44,375.08,372.1,374.57,363.6798,375600
"BLK","11/18/2016",371.22,375.2,370.55,372.78,361.9419,468900
"BLK","11/17/2016",368.45,372.15,367.07,371.37,360.5728,569100
"BLK","11/16/2016",369.48,372.3,367.39,367.45,356.7668,655500
"BLK","11/15/2016",373.82,374.22,367.51,372.15,361.3302,1096500
