"symbol","date","open","high","low","close","adjclose","volume"
"BLL","12/30/2016",38.045,38.045,37.405,37.535,37.11994,819200
"BLL","12/29/2016",38.005,38.165,37.685,37.845,37.42651,544200
"BLL","12/28/2016",38.46,38.5,37.95,38.005,37.58474,745800
"BLL","12/27/2016",38.255,38.425,38.075,38.235,37.8122,375900
"BLL","12/23/2016",38.225,38.29,38.02,38.11,37.68858,363600
"BLL","12/22/2016",38.165,38.24,37.965,38.225,37.8023,866000
"BLL","12/21/2016",38.2,38.5,38.08,38.155,37.73308,1367900
"BLL","12/20/2016",38.17,38.195,37.835,38.155,37.73308,952800
"BLL","12/19/2016",38.215,38.295,37.84,38.265,37.84186,980600
"BLL","12/16/2016",38.355,38.51,38.035,38.33,37.90615,2776900
"BLL","12/15/2016",37.46,38.455,37.43,38.15,37.72813,2163500
"BLL","12/14/2016",38.6,38.645,37.42,37.49,37.07544,1657200
"BLL","12/13/2016",38.13,38.67,37.945,38.64,38.21272,1411400
"BLL","12/12/2016",38.62,39.105,38.105,38.155,37.73308,1216500
"BLL","12/09/2016",38.07,38.435,38.015,38.42,37.99514,1087100
"BLL","12/08/2016",38.01,38.185,37.835,38.035,37.6144,1143700
"BLL","12/07/2016",37.175,37.79,37.03,37.79,37.37212,1213400
"BLL","12/06/2016",36.56,37.265,36.56,37.1,36.68974,1040200
"BLL","12/05/2016",37.25,37.4,36.62,36.795,36.38811,1235100
"BLL","12/02/2016",36.57,37.165,36.545,37.105,36.69469,1710300
"BLL","12/01/2016",37.55,37.71,36.215,36.555,36.15077,2160100
"BLL","11/30/2016",38.67,38.785,37.52,37.53,37.11499,2246600
"BLL","11/29/2016",38.45,38.91,38.395,38.525,38.09899,840700
"BLL","11/29/2016",0,0,0,0,0,0
"BLL","11/28/2016",38.42,38.88,38.35,38.67,38.11382,888500
"BLL","11/25/2016",38.92,39.025,38.47,38.525,37.97091,603400
"BLL","11/23/2016",38.31,39.035,38.235,38.83,38.27152,1425300
"BLL","11/22/2016",38.17,38.365,37.725,38.34,37.78857,2546200
"BLL","11/21/2016",38.165,38.26,37.815,38.05,37.50274,969200
"BLL","11/18/2016",38.205,38.385,38.085,38.195,37.64566,516900
