"symbol","date","open","high","low","close","adjclose","volume"
"CAG","12/30/2016",39.85,39.85,39.48,39.55,38.65579,2521300
"CAG","12/29/2016",39.69,39.96,39.65,39.78,38.88059,2370500
"CAG","12/28/2016",39.83,39.93,38.74,39.54,38.64602,1998700
"CAG","12/27/2016",39.84,39.97,39.69,39.85,38.94901,1600900
"CAG","12/23/2016",39.22,39.87,39.21,39.77,38.87082,2925000
"CAG","12/22/2016",38.36,39.43,38.24,39.29,38.40168,5734700
"CAG","12/21/2016",38.11,38.41,37.93,38,37.14084,3789300
"CAG","12/20/2016",38.02,38.35,37.72,38.23,37.36563,2736700
"CAG","12/19/2016",38.66,38.84,38.25,38.36,37.4927,3402300
"CAG","12/16/2016",38.45,38.83,38.25,38.41,37.54156,3852300
"CAG","12/15/2016",37.8,38.52,37.67,38.42,37.55134,4397600
"CAG","12/14/2016",38.49,38.64,37.58,37.74,36.88671,4613600
"CAG","12/13/2016",38.64,38.93,38.35,38.41,37.54156,2897000
"CAG","12/12/2016",38.42,38.74,38.13,38.62,37.74682,2264700
"CAG","12/09/2016",37.77,38.55,37.44,38.44,37.57088,4500200
"CAG","12/08/2016",37.57,38,37.57,37.68,36.82807,2318800
"CAG","12/07/2016",37.55,38.01,37.49,37.79,36.93559,3669300
"CAG","12/06/2016",37.21,37.67,37.05,37.62,36.76943,3352800
"CAG","12/05/2016",36.92,37.28,36.81,37.15,36.31006,2891900
"CAG","12/02/2016",36.68,37.13,36.59,36.89,36.05593,2923900
"CAG","12/01/2016",36.38,36.61,35.96,36.47,35.64544,3842100
"CAG","11/30/2016",37.34,37.57,36.66,36.69,35.86045,4139500
"CAG","11/29/2016",37.7,37.95,37.56,37.72,36.86717,3840200
"CAG","11/28/2016",37.71,37.94,37.46,37.66,36.80853,2547000
"CAG","11/25/2016",37.21,37.72,37.21,37.71,36.85739,1466100
"CAG","11/23/2016",37.44,37.68,37.07,37.17,36.3296,3240500
"CAG","11/22/2016",37.17,37.67,37.15,37.55,36.70101,3594300
"CAG","11/21/2016",36.8,37.19,36.62,37.04,36.20255,4294200
"CAG","11/18/2016",36.49,36.82,36.36,36.8,35.96797,5240400
"CAG","11/17/2016",36.22,36.56,35.93,36.52,35.6943,3200200
"CAG","11/16/2016",35.86,36.37,35.86,36.27,35.44995,3906500
"CAG","11/15/2016",35.54,36,35.48,35.82,35.01012,4426100
"CAG","11/14/2016",34.9,35.79,34.82,35.49,34.68759,7189900
"CAG","11/11/2016",34.22,35.07,33.61,34.93,34.14025,9027900
"CAG","11/10/2016",36.93,37.37,33.73,34.3,33.52449,12061900
"CAG","11/10/2016",0,0,0,0,0,0
"CAG","11/09/2016",36.83268,37.30739,36.36576,37.22957,36.38783,3039100
"CAG","11/08/2016",37.29961,38.02335,37.29961,37.88327,37.02674,4091500
"CAG","11/07/2016",36.57587,37.41634,36.57587,37.40078,36.55516,2644500
"CAG","11/04/2016",36.66148,36.81712,36.22568,36.23346,35.41424,1807800
"CAG","11/03/2016",37.16732,37.2607,36.55253,36.63813,35.80976,2346000
"CAG","11/02/2016",37.07393,37.25292,36.88716,37.06615,36.2281,2217300
"CAG","11/01/2016",37.4786,37.51751,36.91829,37.03502,36.19767,2500900
"CAG","10/31/2016",37.37743,37.68093,37.3463,37.49416,36.64644,2244900
"CAG","10/28/2016",36.93385,37.54864,36.93385,37.42413,36.57798,2359500
"CAG","10/27/2016",37.14397,37.25292,36.90273,36.93385,36.0988,1755000
"CAG","10/27/2016",0,0,0,0,0,0
"CAG","10/26/2016",37.24514,37.44747,37.12062,37.393,36.30321,2208700
"CAG","10/25/2016",37.15175,37.38522,37.10506,37.22957,36.14455,1693800
"CAG","10/24/2016",37.50973,37.57977,37.07393,37.11284,36.03122,1960900
