"symbol","date","open","high","low","close","adjclose","volume"
"CMS","12/30/2016",41.76,41.98,41.48,41.62,40.41663,1680700
"CMS","12/29/2016",41.48,41.88,41.36,41.77,40.5623,1325400
"CMS","12/28/2016",41.74,41.77,41.22,41.3,40.10588,1071000
"CMS","12/27/2016",41.63,41.77,41.41,41.69,40.48461,515500
"CMS","12/23/2016",41.76,41.76,41.51,41.7,40.49432,602600
"CMS","12/22/2016",41.57,41.65,41.3,41.59,40.3875,1178300
"CMS","12/21/2016",41.72,41.96,41.52,41.56,40.35837,1028600
"CMS","12/20/2016",41.86,41.96,41.6,41.71,40.50403,1730600
"CMS","12/19/2016",41.81,42,41.38,41.89,40.67883,1803000
"CMS","12/16/2016",40.93,41.65,40.93,41.5,40.30011,4050500
"CMS","12/15/2016",40.69,41.06,40.39,40.9,39.71745,2354500
"CMS","12/14/2016",41.76,41.96,40.7,40.82,39.63976,2522700
"CMS","12/13/2016",41.81,41.96,41.37,41.53,40.32923,2936000
"CMS","12/12/2016",40.93,41.75,40.84,41.72,40.51374,1866400
"CMS","12/09/2016",40.51,41.19,40.51,41.12,39.93109,1656400
"CMS","12/08/2016",40.32,40.76,40.01,40.61,39.43584,1610500
"CMS","12/07/2016",40.08,40.59,39.98,40.57,39.39699,2024900
"CMS","12/06/2016",40.08,40.21,39.85,39.92,38.76578,1349400
"CMS","12/05/2016",39.77,39.99,39.42,39.92,38.76578,1809700
"CMS","12/02/2016",39.94,40.33,39.72,39.94,38.78521,1676900
"CMS","12/01/2016",39.95,40.08,39.48,39.69,38.54243,2025200
"CMS","11/30/2016",41.24,41.31,40.21,40.22,39.05711,3212600
"CMS","11/29/2016",41.4,42.17,41.4,41.84,40.63027,3253800
"CMS","11/28/2016",40.79,41.56,40.72,41.52,40.31952,1870800
"CMS","11/25/2016",39.88,40.65,39.88,40.6,39.42612,787300
"CMS","11/23/2016",40.07,40.5,39.64,39.72,38.57157,2724400
"CMS","11/22/2016",40.28,40.69,40.04,40.53,39.35815,2249400
"CMS","11/21/2016",39.75,40.28,39.69,40.18,39.01827,2186600
"CMS","11/18/2016",39.74,39.99,39.52,39.72,38.57157,1257000
"CMS","11/17/2016",39.75,40.12,39.66,39.77,38.62012,1356400
"CMS","11/16/2016",40.05,40.27,39.66,39.92,38.76578,1976900
"CMS","11/15/2016",39.66,40.12,39.66,39.99,38.83376,2240200
"CMS","11/14/2016",39.48,39.63,38.92,39.49,38.34822,1935100
"CMS","11/11/2016",39.46,40.22,39.43,39.75,38.6007,2732800
"CMS","11/10/2016",40.13,40.33,38.78,39.49,38.34822,3428000
"CMS","11/09/2016",41.16,41.16,40.29,40.34,39.17365,2385500
"CMS","11/08/2016",41.77,42.27,41.71,41.98,40.76622,1381000
"CMS","11/07/2016",41.02,41.71,40.58,41.71,40.50403,1616000
"CMS","11/04/2016",41.36,41.69,40.77,40.78,39.60092,1561300
"CMS","11/03/2016",40.67,41.3,40.59,41.16,39.96993,1594700
