"symbol","date","open","high","low","close","adjclose","volume"
"COST","12/30/2016",160.89,160.99,159.67,160.11,152.0936,1472300
"COST","12/29/2016",160.65,161.44,160.65,161.13,153.0625,857200
"COST","12/28/2016",162.02,162.85,160.55,161.01,152.9485,1281000
"COST","12/27/2016",162.06,162.76,161.8,162.05,153.9364,1301100
"COST","12/23/2016",162.17,162.67,161.53,162.08,153.9649,1254100
"COST","12/22/2016",163.66,163.67,161.92,162.07,153.9554,1965900
"COST","12/21/2016",163.6,164.03,163.02,163.04,154.8769,1313400
"COST","12/20/2016",164.32,164.95,163.5,163.86,155.6558,2204600
"COST","12/19/2016",162.01,164.53,161.65,163.46,155.2759,3231900
"COST","12/16/2016",160.49,161.25,159.85,160.41,152.3785,3751400
"COST","12/15/2016",159.35,161.5,159.07,160.11,152.0936,1811100
"COST","12/14/2016",160.05,160.45,158.25,158.99,151.0297,2119100
"COST","12/13/2016",160.85,162.04,159.14,159.77,151.7706,3583300
"COST","12/12/2016",158.6,161.28,158.56,160.33,152.3026,2299200
"COST","12/09/2016",157.28,159.83,157.26,159.7,151.7041,2614700
"COST","12/08/2016",156.64,160.9,156.6,157.59,149.6997,5504300
"COST","12/07/2016",150.6,153.91,150.48,153.85,146.147,2811300
"COST","12/06/2016",151.85,152.08,150.42,151.01,143.4492,2245400
"COST","12/05/2016",152.09,152.23,150.78,151.77,144.1711,2432100
"COST","12/02/2016",151.99,152.87,151.43,152.09,144.4751,1829200
"COST","12/01/2016",150.11,152.88,150.11,151.74,144.1427,2305200
"COST","11/30/2016",151.13,151.54,150.07,150.11,142.5943,2750500
"COST","11/29/2016",151.62,152.22,151.33,151.48,143.8957,1496800
"COST","11/28/2016",151.05,152.43,151.01,151.25,143.6772,1733500
"COST","11/25/2016",151.89,153.42,151.71,151.88,144.2757,886800
"COST","11/23/2016",152.75,153.34,151.18,151.6,144.0097,2166900
"COST","11/22/2016",151.93,153.05,151.21,152.67,145.0261,1954200
"COST","11/21/2016",150.55,151.29,150.12,151.17,143.6012,1181200
"COST","11/18/2016",150.84,151.2,149.52,150.36,142.8317,2020500
"COST","11/17/2016",151.23,151.4,149.55,151.2,143.6297,2098700
"COST","11/16/2016",152.19,152.55,151.8,152.14,144.5226,2151200
"COST","11/15/2016",151.98,152,150.29,151.15,143.5822,2799900
"COST","11/14/2016",150.92,152.14,149.5,152,144.3896,3890800
"COST","11/11/2016",146.61,149.62,145.38,149.36,141.8818,3218000
"COST","11/10/2016",147.06,150,146.61,146.7,139.355,3944200
"COST","11/09/2016",143.54,147.39,143.54,146.79,139.4405,3170200
"COST","11/08/2016",143.89,146.63,143.8,146.09,138.7755,3505200
"COST","11/07/2016",143.38,143.66,142.75,143.54,136.3532,3010100
"COST","11/04/2016",143,145,142.11,142.24,135.1183,2702100
"COST","11/03/2016",146.7,146.7,144.14,144.45,137.2176,2168200
"COST","11/02/2016",146.43,147.34,146.12,146.27,138.9465,2260500
"COST","11/02/2016",0,0,0,0,0,0
"COST","11/01/2016",148.48,148.63,146.38,146.66,138.8895,2112000
"COST","10/31/2016",148.89,149.35,147.1,147.87,140.0354,3239400
"COST","10/28/2016",150.44,150.86,149.38,149.76,141.8253,1843900
"COST","10/27/2016",150.83,151.46,149.82,150.86,142.867,1993500
"COST","10/26/2016",150.35,151.41,150.28,150.98,142.9806,2246100
"COST","10/25/2016",149.9,151.97,149.9,150.99,142.9901,2060600
"COST","10/24/2016",149.35,152.32,149.29,152.12,144.0602,2432800
"COST","10/21/2016",149.51,150.29,148.5,148.97,141.0771,2188000
"COST","10/20/2016",149.85,150.78,149.6,150.04,142.0904,2251200
"COST","10/19/2016",150.7,151.32,149.31,149.45,141.5317,1812000
"COST","10/18/2016",149.51,149.62,148.41,149.11,141.2097,1842500
"COST","10/17/2016",150.08,150.2,148.63,148.7,140.8214,1988400
"COST","10/14/2016",150.18,151,149.28,150.15,142.1946,1745000
"COST","10/13/2016",149.93,151.34,149.72,150.22,142.2609,1795300
"COST","10/12/2016",150.97,151.49,150.39,150.46,142.4882,1664500
"COST","10/11/2016",149.67,151.14,149.51,151.01,143.009,2596800
"COST","10/10/2016",150.35,150.85,149.75,150.28,142.3177,1576400
"COST","10/07/2016",149.77,150.19,148.79,149.99,142.0431,2282100
"COST","10/06/2016",150.23,150.64,149,149.47,141.5507,2465500
"COST","10/05/2016",150.63,150.92,149.83,149.98,142.0336,2377700
"COST","10/04/2016",151.47,151.62,149.49,150.48,142.5071,2840500
"COST","10/03/2016",152.22,152.25,150.32,151.01,143.009,3197100
"COST","09/30/2016",151.79,154.85,151.6,152.51,144.4296,7318100
"COST","09/29/2016",149.19,149.69,147.2,147.49,139.6756,4501300
"COST","09/28/2016",150.6,150.67,148.94,149.41,141.4939,2626300
"COST","09/27/2016",151.42,151.77,150,150.45,142.4787,2569000
"COST","09/26/2016",152.08,152.28,151.01,151.19,143.1795,1862200
"COST","09/23/2016",153.15,153.77,152.17,152.53,144.4485,2282100
"COST","09/22/2016",153.03,154.28,152.68,153.15,145.0356,2502200
"COST","09/21/2016",152.59,152.9,151.25,152.7,144.6095,1535100
"COST","09/20/2016",152.43,152.71,151.67,152.17,144.1076,1396700
"COST","09/19/2016",152.13,153.03,151.6,151.79,143.7477,1315400
"COST","09/16/2016",151.96,152.66,151.14,152.35,144.2781,2842000
"COST","09/15/2016",150.72,152.97,150.11,152.67,144.5811,2284300
"COST","09/14/2016",150.71,152.25,150.2,150.69,142.706,2188900
"COST","09/13/2016",151.18,151.58,150.07,150.74,142.7533,2148600
"COST","09/12/2016",150.5,151.99,150.26,151.69,143.653,2982400
"COST","09/09/2016",152.59,152.79,150.7,150.7,142.7155,2993900
"COST","09/08/2016",155.19,155.49,152.94,153.47,145.3387,2855100
