"symbol","date","open","high","low","close","adjclose","volume"
"CPB","12/30/2016",60.93,61.09,60.33,60.47,58.8839,1204500
"CPB","12/29/2016",60.56,61.02,60.48,60.95,59.3513,940200
"CPB","12/28/2016",60.51,60.84,60.3,60.53,58.94232,860000
"CPB","12/27/2016",60.25,60.73,60.22,60.49,58.90337,884500
"CPB","12/23/2016",60.21,60.32,59.89,60.28,58.69888,690000
"CPB","12/22/2016",60.21,60.5,59.89,60.21,58.63071,969400
"CPB","12/21/2016",59.65,60.71,59.58,60.21,58.63071,1139000
"CPB","12/20/2016",59.31,60.25,59.31,60.13,58.55281,1611700
"CPB","12/19/2016",59.84,60.05,59.52,59.82,58.25094,1079700
"CPB","12/16/2016",59.85,60.31,59.28,59.53,57.96855,2080000
"CPB","12/15/2016",58.82,59.81,58.69,59.46,57.90039,2161200
"CPB","12/14/2016",59.55,60.42,58.87,59.1,57.54983,2040400
"CPB","12/13/2016",59.45,60.05,59.39,59.99,58.41648,1571800
"CPB","12/12/2016",59.06,59.61,58.79,59.36,57.80302,1525300
"CPB","12/09/2016",58.24,59.3,58.09,59.11,57.55957,2790500
"CPB","12/08/2016",58.27,58.5,57.85,58.28,56.75134,1524900
"CPB","12/07/2016",57.54,58.69,57.54,58.67,57.1311,2312900
"CPB","12/06/2016",57.69,57.95,57.43,57.63,56.11839,1394200
"CPB","12/05/2016",57.65,57.71,57.09,57.54,56.03075,2578100
"CPB","12/02/2016",57.39,58.2,57.16,57.63,56.11839,3420400
"CPB","12/01/2016",56.62,57.2,56.08,57.15,55.65098,2438700
"CPB","11/30/2016",57.22,57.75,56.82,56.89,55.3978,2372900
"CPB","11/29/2016",57.36,57.8,57.25,57.65,56.13786,2456500
"CPB","11/28/2016",57.25,57.85,57.1,57.37,55.86521,2552700
"CPB","11/25/2016",57,57.77,56.96,57.52,56.01127,1217400
"CPB","11/23/2016",56.84,57.65,56.6,56.82,55.32963,2796300
"CPB","11/22/2016",57.16,57.84,56.25,57.02,55.52438,4060600
"CPB","11/21/2016",54.23,55.37,53.84,55.04,53.59632,2810500
"CPB","11/18/2016",54.09,54.35,53.62,54.23,52.80757,3388500
"CPB","11/17/2016",54.07,54.45,53.99,54.22,52.79783,1543600
"CPB","11/16/2016",54.98,55.11,54.28,54.45,53.0218,1485700
"CPB","11/15/2016",54.66,55.21,54.66,54.94,53.49894,2536200
"CPB","11/14/2016",53.26,54.51,52.97,54.48,53.05101,2760800
"CPB","11/11/2016",53.28,53.71,52.73,53.5,52.09671,3254500
"CPB","11/10/2016",54.64,54.77,53.12,53.31,51.9117,4236900
"CPB","11/09/2016",54.42,55.2,52.93,54.96,53.51842,3349700
"CPB","11/08/2016",53.85,56.05,53.83,55.61,54.15137,3411100
"CPB","11/07/2016",52.94,53.87,52.77,53.85,52.43753,1439400
"CPB","11/04/2016",52.75,52.99,52.59,52.61,51.23006,1297300
"CPB","11/03/2016",52.96,53.1,52.64,52.73,51.34691,1479600
"CPB","11/02/2016",53.48,53.65,52.84,52.9,51.51245,1406800
"CPB","11/01/2016",54.4,54.53,53.23,53.41,52.00907,1990600
"CPB","10/31/2016",54.22,54.43,54.04,54.34,52.91468,1641100
"CPB","10/28/2016",53.06,54.58,53.06,54.21,52.78809,1700200
"CPB","10/27/2016",53.64,53.75,52.95,53,51.60983,1407800
"CPB","10/26/2016",53.53,53.85,53.29,53.66,52.25252,925500
"CPB","10/25/2016",53.14,53.53,53.07,53.44,52.03829,1888000
"CPB","10/24/2016",53.4,53.84,53,53.13,51.73642,1050300
"CPB","10/21/2016",53.08,53.47,52.74,53.31,51.9117,1101900
"CPB","10/20/2016",53.48,53.89,52.95,53.19,51.79485,2223500
"CPB","10/19/2016",54.51,54.51,53.21,53.53,52.12593,2585600
"CPB","10/18/2016",54.1,55.2,53.96,54.41,52.98285,2844600
"CPB","10/17/2016",54.28,54.38,53.51,53.68,52.272,2017300
"CPB","10/14/2016",54.86,55.01,54.33,54.33,52.90495,2073300
"CPB","10/13/2016",54.13,55,54.02,54.86,53.42104,2101300
