"symbol","date","open","high","low","close","adjclose","volume"
"CTXS","12/30/2016",71.98598,72.1771,70.89505,71.11801,71.11801,673600
"CTXS","12/29/2016",71.62765,72.12135,71.52413,71.68339,71.68339,680200
"CTXS","12/28/2016",72.58321,72.61507,71.61172,71.73117,71.73117,566600
"CTXS","12/27/2016",72.62303,73.03711,72.40006,72.43988,72.43988,530900
"CTXS","12/23/2016",72.01784,72.46377,71.76302,72.33636,72.33636,510900
"CTXS","12/22/2016",72.78229,72.78229,71.85062,72.0258,72.0258,1167800
"CTXS","12/21/2016",73.23618,73.47507,72.83803,73.30785,73.30785,1079800
"CTXS","12/20/2016",73.04507,73.20433,72.68674,73.04507,73.04507,740000
"CTXS","12/19/2016",72.31247,73.05303,72.16117,72.82211,72.82211,579900
"CTXS","12/16/2016",73.46711,73.5786,72.12135,72.21691,72.21691,1707700
"CTXS","12/15/2016",72.34432,73.51489,72.05766,73.06896,73.06896,1179700
"CTXS","12/14/2016",72.00191,72.63099,71.75506,72.0258,72.0258,1733100
"CTXS","12/13/2016",71.14986,72.51951,70.78356,72.0258,72.0258,1053400
"CTXS","12/12/2016",70.89505,71.19764,70.47301,70.76764,70.76764,761200
"CTXS","12/09/2016",71.97006,72.10543,70.9906,71.12598,71.12598,840300
"CTXS","12/08/2016",70.58449,71.86654,70.38541,71.66747,71.66747,1596000
"CTXS","12/07/2016",69.7643,70.95875,69.20688,70.93486,70.93486,1271200
"CTXS","12/06/2016",70.81541,70.81541,69.63689,69.77225,69.77225,1509700
"CTXS","12/05/2016",68.96799,70.94283,68.52206,70.8632,70.8632,1960400
"CTXS","12/02/2016",67.95668,68.2115,67.24001,68.17965,68.17965,1200300
"CTXS","12/01/2016",68.88039,69.56522,67.67001,68.0602,68.0602,1356100
"CTXS","11/30/2016",70.00318,70.32171,68.87243,69.06355,69.06355,1197700
"CTXS","11/29/2016",69.54133,70.50486,69.54133,70.02708,70.02708,921400
"CTXS","11/28/2016",70.043,70.52078,69.613,69.64485,69.64485,1039400
"CTXS","11/25/2016",70.11467,70.37745,69.7643,70.32171,70.32171,447000
"CTXS","11/23/2016",70.13856,70.35356,69.15114,69.82004,69.82004,1065400
"CTXS","11/22/2016",70.21023,70.46504,69.73244,70.4093,70.4093,585900
"CTXS","11/21/2016",69.42985,70.1943,69.28651,70.05893,70.05893,652500
"CTXS","11/18/2016",70.17838,70.37745,69.05558,69.13522,69.13522,974900
"CTXS","11/17/2016",68.93613,70.24207,68.40261,70.05893,70.05893,1347800
"CTXS","11/16/2016",68.26724,69.07151,67.78946,69.01577,69.01577,1089600
"CTXS","11/15/2016",66.82593,68.63354,66.63481,68.52206,68.52206,1512900
"CTXS","11/14/2016",68.37872,68.81669,66.2924,66.52333,66.52333,1242800
"CTXS","11/11/2016",68.7928,68.96002,67.81335,68.1239,68.1239,1496600
"CTXS","11/10/2016",68.64947,69.71651,67.22408,69.05558,69.05558,1452000
"CTXS","11/09/2016",66.45963,68.60965,65.5598,68.44243,68.44243,1184200
"CTXS","11/08/2016",68.08409,68.28316,67.5426,67.87705,67.87705,657300
"CTXS","11/07/2016",67.5426,68.32298,67.12056,68.10001,68.10001,974200
"CTXS","11/04/2016",66.10129,66.9613,66.10129,66.2924,66.2924,749400
"CTXS","11/03/2016",67.01704,67.21612,66.41185,66.45167,66.45167,809500
"CTXS","11/02/2016",67.65408,67.80538,66.58704,66.73037,66.73037,1202200
"CTXS","11/01/2016",67.82131,67.9965,67.025,67.67797,67.67797,1372100
"CTXS","10/31/2016",67.61427,67.83723,67.14445,67.52668,67.52668,1700900
"CTXS","10/28/2016",66.41982,67.83723,66.39592,67.30371,67.30371,1786800
"CTXS","10/27/2016",67.3913,67.67797,66.17296,66.38,66.38,1061600
"CTXS","10/26/2016",67.62223,68.18761,66.77815,66.81001,66.81001,956800
"CTXS","10/25/2016",68.41854,68.72113,67.4789,67.60631,67.60631,1270900
"CTXS","10/24/2016",68.48224,69.04762,68.30705,68.61761,68.61761,2267400
"CTXS","10/21/2016",68.55391,69.21484,67.6939,67.8452,67.8452,3043900
"CTXS","10/20/2016",71.38876,71.54005,68.56984,68.75298,68.75298,3951200
"CTXS","10/19/2016",68.02835,69.20688,67.78149,68.72113,68.72113,2517100
"CTXS","10/18/2016",67.0489,68.15575,66.88167,67.94076,67.94076,1895600
"CTXS","10/17/2016",66.73037,67.14445,66.17296,66.2287,66.2287,1101000
"CTXS","10/14/2016",66.82593,67.39927,66.45167,66.60296,66.60296,1809500
"CTXS","10/13/2016",65.98184,66.95334,64.78738,66.40388,66.40388,2239400
"CTXS","10/12/2016",66.26055,66.88963,65.96592,66.35611,66.35611,892300
"CTXS","10/11/2016",67.33556,67.48686,65.65536,66.14907,66.14907,1306000
"CTXS","10/10/2016",67.55057,68.24335,67.34353,67.44704,67.44704,591100
"CTXS","10/07/2016",67.6939,67.78946,66.63481,67.12852,67.12852,471700
"CTXS","10/06/2016",67.73372,67.95668,67.05685,67.61427,67.61427,572800
"CTXS","10/05/2016",67.3276,67.96465,66.90556,67.65408,67.65408,714400
"CTXS","10/04/2016",67.55057,67.60631,66.61092,66.97723,66.97723,929300
"CTXS","10/03/2016",67.27186,67.60631,66.2924,67.01704,67.01704,1069900
"CTXS","09/30/2016",67.97261,68.34687,67.50278,67.86112,67.86112,1100000
"CTXS","09/29/2016",68.50613,68.6415,67.61427,67.63816,67.63816,582100
"CTXS","09/28/2016",67.83723,68.54594,67.67001,68.50613,68.50613,669400
"CTXS","09/27/2016",67.04093,68.00446,66.86575,67.88501,67.88501,554100
"CTXS","09/26/2016",67.4789,67.78149,66.98519,67.33556,67.33556,656100
"CTXS","09/23/2016",67.82927,68.05224,67.33556,67.61427,67.61427,972500
"CTXS","09/22/2016",67.75761,68.01242,67.51871,67.81335,67.81335,1175500
"CTXS","09/21/2016",66.71445,67.43112,66.38,67.29575,67.29575,997000
"CTXS","09/20/2016",66.88963,67.03297,66.18092,66.24462,66.24462,1255800
"CTXS","09/19/2016",66.57907,66.96926,65.9261,66.38796,66.38796,1317200
"CTXS","09/16/2016",66.57111,66.73833,65.91018,66.06944,66.06944,2210200
"CTXS","09/15/2016",64.1822,67.24797,64.1822,66.77815,66.77815,1103100
"CTXS","09/14/2016",66.45167,66.94537,65.97388,66.27647,66.27647,887600
"CTXS","09/13/2016",66.38,67.20815,65.75092,66.38796,66.38796,1492800
"CTXS","09/12/2016",65.82259,66.99315,65.51999,66.92945,66.92945,1599300
"CTXS","09/09/2016",67.9965,68.4902,66.25259,66.26055,66.26055,1435800
"CTXS","09/08/2016",69.14317,69.39799,68.60168,68.67336,68.67336,642500
"CTXS","09/07/2016",69.73244,69.86781,69.19096,69.45374,69.45374,709200
"CTXS","09/06/2016",69.13522,69.71651,69.01577,69.70855,69.70855,1181100
"CTXS","09/02/2016",69.87578,70.00318,68.81669,69.26262,69.26262,1108700
"CTXS","09/01/2016",69.23077,70.05893,68.80873,69.50151,69.50151,1123600
"CTXS","08/31/2016",70.01115,70.16245,68.96002,69.43781,69.43781,1820900
"CTXS","08/30/2016",70.49689,70.79153,69.70059,69.97929,69.97929,1001100
"CTXS","08/29/2016",70.25004,70.78356,70.24207,70.50486,70.50486,816000
"CTXS","08/26/2016",70.39337,71.25339,69.75633,70.17838,70.17838,1050500
"CTXS","08/25/2016",70.15448,70.46504,69.91559,70.29782,70.29782,629800
"CTXS","08/24/2016",70.09078,70.52875,69.74837,70.12263,70.12263,993300
"CTXS","08/23/2016",69.94744,70.52875,69.93152,70.32171,70.32171,1327700
"CTXS","08/22/2016",69.55725,69.89967,69.46966,69.64485,69.64485,669200
"CTXS","08/19/2016",70.03503,70.043,69.48559,69.75633,69.75633,931800
"CTXS","08/18/2016",69.01577,70.11467,68.90428,69.98726,69.98726,1224700
"CTXS","08/17/2016",69.08743,69.48559,68.56187,69.27058,69.27058,1133400
"CTXS","08/16/2016",69.46966,69.63689,68.85651,68.99984,68.99984,980000
"CTXS","08/15/2016",69.40596,69.93152,69.11132,69.64485,69.64485,841700
"CTXS","08/12/2016",69.10336,69.53336,68.69724,69.40596,69.40596,1536200
"CTXS","08/11/2016",68.2115,69.48559,67.71779,69.42188,69.42188,1637600
"CTXS","08/10/2016",68.01242,68.17168,67.72575,68.17168,68.17168,1135700
"CTXS","08/09/2016",67.55853,67.98853,67.55057,67.78946,67.78946,964700
"CTXS","08/08/2016",67.86112,68.24335,67.49483,67.64613,67.64613,1436900
"CTXS","08/05/2016",67.1763,67.86112,67.08871,67.68594,67.68594,1304100
"CTXS","08/04/2016",67.52668,68.07613,66.7224,66.85778,66.85778,1497500
"CTXS","08/03/2016",66.45167,67.64613,66.40388,67.53464,67.53464,1972800
"CTXS","08/02/2016",68.61761,68.6415,66.38,66.46759,66.46759,2936900
"CTXS","08/01/2016",69.84393,70.67208,68.85651,68.97595,68.97595,3232700
"CTXS","07/29/2016",70.8632,71.03838,70.11467,70.97468,70.97468,1914100
"CTXS","07/28/2016",70.21819,71.17375,70.21819,70.91894,70.91894,2158800
"CTXS","07/27/2016",68.29113,70.258,67.68594,70.05893,70.05893,4739700
"CTXS","07/26/2016",70.32967,71.26931,70.14652,71.13394,71.13394,3149600
"CTXS","07/25/2016",69.39003,70.33763,68.89632,70.29782,70.29782,1569100
"CTXS","07/22/2016",68.02039,69.35818,67.60631,69.34225,69.34225,1223800
"CTXS","07/21/2016",68.43446,68.66539,67.66205,67.86112,67.86112,1287500
"CTXS","07/20/2016",67.91686,68.66539,67.52668,68.47428,68.47428,734000
"CTXS","07/19/2016",67.43112,68.36279,67.43112,67.75761,67.75761,904100
"CTXS","07/18/2016",67.64613,67.98057,67.34353,67.47093,67.47093,796600
"CTXS","07/15/2016",67.90891,67.90891,67.16834,67.55853,67.55853,640800
"CTXS","07/14/2016",67.62223,67.88501,67.1763,67.59834,67.59834,702300
