"symbol","date","open","high","low","close","adjclose","volume"
"DWDP","12/30/2016",57.56,57.58,56.91,57.22,55.70813,4951600
"DWDP","12/29/2016",58,58.14,57.37,57.42,55.90284,3255700
"DWDP","12/28/2016",58.59,58.73,57.88,57.9,56.37016,3342000
"DWDP","12/27/2016",58.46,58.9,58.38,58.42,56.87642,2106400
"DWDP","12/23/2016",58.18,58.45,58.04,58.43,56.88615,3048600
"DWDP","12/23/2016",0,0,0,0,0,0
"DWDP","12/22/2016",59.02,59.15,58.41,58.75,56.74986,5539600
"DWDP","12/21/2016",58.94,59.33,58.65,59.08,57.06862,5320200
"DWDP","12/20/2016",58.9,59,58.64,58.8,56.79815,4975400
"DWDP","12/19/2016",58.94,58.94,58.35,58.78,56.77883,5839800
"DWDP","12/16/2016",58.94,59,57.93,58.41,56.42143,8961000
"DWDP","12/15/2016",57.42,58.48,57.42,58.35,56.36347,5872200
"DWDP","12/14/2016",57.97,58.23,57.42,57.66,55.69696,9798300
"DWDP","12/13/2016",58.17,58.54,57.69,58.15,56.17028,7257500
"DWDP","12/12/2016",57.91,58.57,57.78,58.27,56.2862,10315800
"DWDP","12/09/2016",57.47,57.75,57.13,57.71,55.74526,6611600
"DWDP","12/08/2016",56.98,57.73,56.5,57.43,55.4748,8095900
"DWDP","12/07/2016",56.06,56.99,55.94,56.9,54.96284,8195600
"DWDP","12/06/2016",55.89,56.24,55.24,56.22,54.30599,9929200
"DWDP","12/05/2016",55.74,56.53,55.72,56.06,54.15144,11330400
"DWDP","12/02/2016",55.99,56.03,55.37,55.42,53.53322,7624700
"DWDP","12/01/2016",56.01,56.48,55.79,56.11,54.19973,10986200
"DWDP","11/30/2016",54.28,56.08,54.13,55.72,53.82301,18317000
"DWDP","11/29/2016",54.05,54.29,53.69,53.99,52.15191,5551100
"DWDP","11/28/2016",54.13,54.44,53.9,54.32,52.47068,6668500
"DWDP","11/25/2016",54.05,54.3,53.84,54.18,52.33544,2494400
"DWDP","11/23/2016",54.08,54.36,53.89,54.07,52.22918,4861600
"DWDP","11/22/2016",53.91,54.56,53.65,54.33,52.48034,11139000
"DWDP","11/21/2016",53.55,54.12,53.51,54,52.16156,7454500
"DWDP","11/18/2016",53.19,53.48,53.01,53.23,51.41778,6339700
"DWDP","11/17/2016",53.32,53.43,52.72,53.36,51.54336,4255600
"DWDP","11/16/2016",53.16,53.71,53.02,53.18,51.36948,4633900
"DWDP","11/15/2016",53.44,53.52,52.32,53.17,51.35983,8464700
"DWDP","11/14/2016",53.76,54.07,53.07,53.46,51.63995,6905800
"DWDP","11/11/2016",53.89,54.07,52.88,53.65,51.82349,12372000
"DWDP","11/10/2016",53.81,54.33,53.6,54.15,52.30646,11035600
"DWDP","11/09/2016",52.06,54.05,51.6,53.87,52.03599,11172900
"DWDP","11/08/2016",53.64,53.73,53.28,53.43,51.61097,8149700
"DWDP","11/07/2016",53.74,53.94,53.22,53.65,51.82349,7507200
"DWDP","11/04/2016",53.24,53.38,52.94,53.13,51.32119,6209800
"DWDP","11/03/2016",53.71,53.73,53.24,53.26,51.44676,4849900
"DWDP","11/02/2016",53.67,53.75,53.41,53.6,51.77518,6204000
"DWDP","11/01/2016",54.03,54.03,53.29,53.78,51.94906,7113900
"DWDP","10/31/2016",54.15,54.15,53.6,53.81,51.97804,5953600
"DWDP","10/28/2016",54.52,54.94,53.86,53.92,52.08429,8136700
"DWDP","10/27/2016",54.23,55.19,53.93,54.56,52.7025,11119300
"DWDP","10/26/2016",53.85,54.01,53.5,53.76,51.92974,6491700
"DWDP","10/25/2016",54.27,54.3,53.75,54.11,52.26783,7506100
"DWDP","10/24/2016",54.33,54.37,53.99,54.24,52.3934,5339300
"DWDP","10/21/2016",53.5,54.2,53.33,54.1,52.25816,6572200
"DWDP","10/20/2016",53.72,53.97,53.51,53.82,51.98769,3743600
"DWDP","10/19/2016",53.88,54.17,53.6,53.93,52.09395,6427500
"DWDP","10/18/2016",53.55,53.9,53.37,53.69,51.86213,4065400
"DWDP","10/17/2016",53.23,53.75,52.78,53,51.19561,4769500
"DWDP","10/14/2016",53.02,53.76,53.02,53.38,51.56268,4653800
"DWDP","10/13/2016",52.6,53.06,52.18,52.91,51.10868,4521500
"DWDP","10/12/2016",53.51,53.69,52.89,53.21,51.39846,3056200
"DWDP","10/11/2016",53.44,53.53,52.92,53.52,51.69791,4963800
"DWDP","10/10/2016",53.53,53.9,53.37,53.54,51.71723,5200600
"DWDP","10/07/2016",53.59,53.73,52.79,52.99,51.18596,6810100
"DWDP","10/06/2016",52.65,53.61,52.38,53.59,51.76553,8120700
"DWDP","10/05/2016",52.03,53,51.98,52.7,50.90583,6365700
"DWDP","10/04/2016",52.47,52.75,51.74,51.86,50.09443,6884000
"DWDP","10/03/2016",52.34,52.9,52.14,52.42,50.63536,7016600
"DWDP","09/30/2016",52.04,52.28,51.79,51.83,50.06544,6649600
"DWDP","09/29/2016",52.33,52.62,51.65,51.73,49.96885,5078800
"DWDP","09/28/2016",52.42,52.48,51.66,52.33,50.54842,5920900
"DWDP","09/28/2016",0,0,0,0,0,0
"DWDP","09/27/2016",52.15,52.61,52.02,52.57,50.33591,4002300
"DWDP","09/26/2016",52.21,52.27,52.02,52.13,49.91461,5041100
"DWDP","09/23/2016",52.36,52.75,52.09,52.24,50.01994,6033200
"DWDP","09/22/2016",53.04,53.21,52.55,52.56,50.32634,4142700
"DWDP","09/21/2016",52.57,52.97,52.3,52.74,50.4987,7159700
"DWDP","09/20/2016",53.37,53.44,52.56,52.57,50.33591,4976800
"DWDP","09/19/2016",52.99,53.21,52.89,53.01,50.75721,8005600
"DWDP","09/16/2016",52.64,52.85,52.33,52.72,50.47953,7496300
"DWDP","09/15/2016",52.34,52.99,52.21,52.85,50.60401,5458900
"DWDP","09/14/2016",52.1,52.55,51.8,52.38,50.15399,6032100
"DWDP","09/13/2016",52.5,52.52,51.57,52.04,49.82844,6760600
"DWDP","09/12/2016",53,53.11,52.23,52.91,50.66146,7228400
"DWDP","09/09/2016",53.92,54.59,53.2,53.41,51.14022,12580000
"DWDP","09/08/2016",53.91,54.32,53.47,54.29,51.98282,9940800
"DWDP","09/07/2016",53.75,53.96,53.48,53.9,51.60939,5324400
"DWDP","09/06/2016",54.19,54.36,53.72,53.9,51.60939,4133000
"DWDP","09/02/2016",54.11,54.32,53.9,54.18,51.87749,3854800
"DWDP","09/01/2016",53.74,54.06,53.43,53.8,51.51364,3694900
"DWDP","08/31/2016",53.76,53.91,53.42,53.64,51.36044,5208500
"DWDP","08/30/2016",54.06,54.5,53.92,53.99,51.69557,6331400
"DWDP","08/29/2016",53.71,54.41,53.71,54.13,51.82962,4943600
