"symbol","date","open","high","low","close","adjclose","volume"
"DXC","12/30/2016",59.57,60.01,58.65,59.42,58.91795,804400
"DXC","12/30/2016",0,0,0,0,0,0
"DXC","12/29/2016",59.77,60.01,59.33,59.73,59.08652,652800
"DXC","12/28/2016",60.94,61.53,59.53,59.62,58.9777,805300
"DXC","12/27/2016",60.98,61.43,60.65,61.09,60.43187,1961700
"DXC","12/23/2016",60.63,61.06,60.29,60.88,60.22412,353900
"DXC","12/22/2016",61.24,61.24,60.31,60.67,60.01639,639300
"DXC","12/21/2016",60.64,61.61,60.59,61.05,60.3923,1154500
"DXC","12/20/2016",60.65,61.64,60.65,61.64,60.97594,838000
"DXC","12/19/2016",59.76,61.2,59.17,60.92,60.26369,857500
"DXC","12/16/2016",61.58,61.58,60.1,60.23,59.58113,1521300
"DXC","12/15/2016",60.56,61.71,60.29,61.37,60.70885,896700
"DXC","12/14/2016",61.11,61.74,60.58,60.64,59.98672,1450400
"DXC","12/13/2016",60.94,61.19,60.24,60.97,60.31316,1175000
"DXC","12/12/2016",60.55,61.1,60.32,60.7,60.04607,1604800
"DXC","12/09/2016",61.73,61.91,60.46,60.77,60.11531,1481800
"DXC","12/08/2016",61.16,61.96,61.15,61.9,61.23314,1355600
"DXC","12/07/2016",59.49,61.1,59.28,61.07,60.41208,1963500
"DXC","12/06/2016",59.46,59.97,58.61,59.49,58.84911,1498700
"DXC","12/05/2016",59.65,60.17,59.17,59.61,58.96781,1157100
"DXC","12/02/2016",59.41,59.86,58.72,59.17,58.53255,1441700
"DXC","12/01/2016",60.78,61,58.72,59.29,58.65126,2055900
"DXC","11/30/2016",61.64,62.56,60.21,60.63,59.97683,6654200
"DXC","11/29/2016",61.05,62.34,61.05,61.69,61.0254,1704700
"DXC","11/28/2016",61.65,62,60.6,60.92,60.26369,1615000
"DXC","11/25/2016",62.04,62.68,61.21,61.56,60.8968,757700
"DXC","11/23/2016",60.73,61.77,60.47,61.66,60.99572,1841000
"DXC","11/22/2016",61.8,61.92,60.51,60.6,59.94714,2397800
"DXC","11/21/2016",62.73,63.34,61.46,61.77,61.10454,4697100
"DXC","11/18/2016",62.45,62.76,61.78,62.2,61.52991,1063200
"DXC","11/17/2016",61.6,62.45,61.45,62.35,61.6783,1822300
"DXC","11/16/2016",61.09,62.14,60.94,61.42,60.75831,1989000
"DXC","11/15/2016",60.54,61.31,60.45,61.18,60.5209,2207900
"DXC","11/14/2016",61.06,61.33,59.96,60.53,59.8779,2004400
"DXC","11/11/2016",59,61.04,58.8,60.92,60.26369,2536300
"DXC","11/10/2016",58.98,59.62,58.32,59,58.36438,1987000
"DXC","11/09/2016",56.94,58.75,56.27,58.59,57.9588,1860300
"DXC","11/08/2016",57.41,58.3,57.34,57.66,57.03882,1701900
"DXC","11/07/2016",56.41,58.01,56.1,57.58,56.95968,3152800
"DXC","11/04/2016",52.28,56.92,51.68,55.66,55.06036,4665700
"DXC","11/03/2016",53.57,54.1,53.27,53.48,52.90385,2066200
"DXC","11/02/2016",53.32,53.67,52.6,53.25,52.67632,1842200
"DXC","11/01/2016",54.6,54.68,52.93,53.27,52.69611,1823100
"DXC","10/31/2016",54.91,55.25,54.32,54.45,53.8634,1309500
"DXC","10/28/2016",54.5,55.16,54.5,54.86,54.26898,1673600
"DXC","10/27/2016",55.4,55.64,54.09,54.48,53.89307,2528800
"DXC","10/26/2016",55.64,56.07,55.05,55.4,54.80317,1650400
"DXC","10/25/2016",56.25,56.26,55.23,55.84,55.23843,1934400
"DXC","10/24/2016",56.94,56.94,55.55,56.21,55.60443,1585000
"DXC","10/21/2016",55.08,55.65,54.61,55.49,54.8922,1649600
"DXC","10/20/2016",55.55,55.98,55.22,55.46,54.86251,2721500
"DXC","10/19/2016",54.82,55.81,54.6,55.56,54.96144,2133500
"DXC","10/18/2016",54.43,54.88,53.78,54.7,54.11071,1754500
"DXC","10/17/2016",54.2,54.55,53.59,53.85,53.26986,1648400
"DXC","10/14/2016",53.33,54.56,52.99,54.19,53.6062,2608300
"DXC","10/13/2016",51.79,53.28,51.22,52.94,52.36967,2265100
"DXC","10/12/2016",50.62,51.69,50.41,51.48,50.92539,1500300
"DXC","10/11/2016",51.15,51.44,50.48,50.5,49.95596,1240000
"DXC","10/10/2016",50.98,51.63,50.98,51.08,50.52971,821000
"DXC","10/07/2016",51.53,51.69,50.68,50.84,50.29229,2195000
"DXC","10/06/2016",51.47,51.86,51.27,51.73,51.1727,1681100
"DXC","10/05/2016",51.75,52.11,51.59,51.63,51.07378,763000
"DXC","10/04/2016",51.83,52.17,51.05,51.45,50.89572,1219900
"DXC","10/03/2016",51.93,52.38,51.68,51.87,51.31119,1486100
"DXC","09/30/2016",52.2,52.95,52.04,52.21,51.64753,1888300
"DXC","09/29/2016",52.94,53.46,51.9,52.25,51.6871,1131200
"DXC","09/28/2016",51.99,52.99,51.63,52.9,52.3301,1526800
"DXC","09/27/2016",51.54,52.13,51.2,52.1,51.53872,1057300
"DXC","09/26/2016",51.08,51.7,50.43,51.56,51.00454,2479400
"DXC","09/23/2016",51.4,51.9,51.21,51.57,51.01443,1472200
"DXC","09/22/2016",51.64,52.04,51.49,51.87,51.31119,1393700
"DXC","09/21/2016",50.14,51.4,49.8,51.36,50.80668,2135100
"DXC","09/20/2016",50.36,50.5,49.28,49.31,48.77878,1283400
"DXC","09/19/2016",49.12,50.89,49.12,49.79,49.2536,2698700
"DXC","09/16/2016",48.32,48.96,47.46,48.89,48.3633,2700000
"DXC","09/15/2016",46.4,49,46.27,48.46,47.93792,2635700
"DXC","09/14/2016",45.76,46.32,45.62,46.3,45.8012,1407900
"DXC","09/13/2016",46.84,46.88,45.55,45.83,45.33627,1327700
"DXC","09/12/2016",46.2,47.33,46.2,47.19,46.68161,2339100
"DXC","09/09/2016",46.76,46.86,46.23,46.42,45.91991,1453400
"DXC","09/08/2016",47.63,47.68,46.97,47.1,46.59258,1383000
"DXC","09/07/2016",47.95,48.06,47.72,47.74,47.22569,1594500
"DXC","09/06/2016",49.4,49.4,47.94,48,47.48289,1110400
"DXC","09/02/2016",47.99,49.28,47.96,49.08,48.55125,1765800
"DXC","09/01/2016",47.09,48.37,46.87,47.63,47.11687,2020100
"DXC","08/31/2016",46.63,47.1,46.17,47.04,46.53323,1174100
"DXC","08/30/2016",46.73,46.81,46.33,46.8,46.29581,936200
"DXC","08/29/2016",45.92,46.97,45.92,46.61,46.10786,831700
"DXC","08/29/2016",0,0,0,0,0,0
"DXC","08/26/2016",47.08,47.13,46.06,46.11,45.47475,720200
"DXC","08/25/2016",46.67,47.12,46.38,46.96,46.31305,916000
"DXC","08/24/2016",47.34,47.35,46.46,46.8,46.15525,1497600
"DXC","08/23/2016",47.07,47.43,46.87,47.35,46.69767,1568300
"DXC","08/22/2016",45.93,46.78,45.83,46.78,46.13552,1291000
"DXC","08/19/2016",45.67,46.08,45.65,46.04,45.40572,1597900
"DXC","08/18/2016",45.74,46.1,45.37,45.76,45.12958,2591700
"DXC","08/17/2016",46.61,46.63,45.55,45.74,45.10986,1129500
"DXC","08/16/2016",47.1,47.3,46.49,46.77,46.12567,1961300
"DXC","08/15/2016",46.68,47.45,46.68,47.35,46.69767,1511400
"DXC","08/12/2016",46.78,47.22,46.57,46.69,46.04676,1739900
"DXC","08/11/2016",46.89,47.24,46.55,47.03,46.38208,1101000
"DXC","08/10/2016",47.63,47.7,46.25,46.84,46.1947,1798900
"DXC","08/09/2016",48,49.2,47.24,47.76,47.10202,3560000
"DXC","08/08/2016",48.47,48.47,47.7,48.02,47.35844,1271600
"DXC","08/05/2016",48,48.77,47.64,48.52,47.85155,773500
"DXC","08/04/2016",47.57,48,47.56,47.99,47.32886,814700
"DXC","08/03/2016",47.56,48.12,47.3,47.64,46.98368,1064000
"DXC","08/02/2016",47.87,47.88,47.31,47.59,46.93437,1098800
"DXC","08/01/2016",47.84,48.27,47.53,47.84,47.18092,702400
"DXC","07/29/2016",47.73,48.28,47.21,47.83,47.17107,1692800
"DXC","07/28/2016",47.99,48.14,47.69,47.7,47.04285,733300
"DXC","07/27/2016",48.45,48.45,47.82,48.05,47.38803,689200
"DXC","07/26/2016",48,48.26,47.77,48.12,47.45706,850700
"DXC","07/25/2016",47.99,48,47.76,47.96,47.29927,644900
"DXC","07/22/2016",47.7,48.08,47.37,47.96,47.29927,804800
"DXC","07/21/2016",48.38,48.62,47.61,47.76,47.10202,1533100
"DXC","07/20/2016",48.55,48.85,48.1,48.55,47.88114,1394200
"DXC","07/19/2016",48.64,48.77,47.79,48.22,47.55569,1989600
