"symbol","date","open","high","low","close","adjclose","volume"
"ED","12/30/2016",74.08,74.3,73.41,73.68,71.20615,1139000
"ED","12/29/2016",73.16,74.14,73.15,74.07,71.58305,1103500
"ED","12/28/2016",73.72,73.72,72.94,73.07,70.61664,873400
"ED","12/27/2016",73.51,73.93,73.26,73.75,71.2738,724100
"ED","12/23/2016",73.65,73.82,73.29,73.63,71.15782,482600
"ED","12/22/2016",73.11,73.64,72.8,73.5,71.03219,1187300
"ED","12/21/2016",73.44,73.86,73.1,73.12,70.66495,729400
"ED","12/20/2016",73.02,73.87,72.76,73.44,70.97421,1626500
"ED","12/19/2016",73.03,73.46,72.55,73.04,70.58764,1151900
"ED","12/16/2016",71.79,73.36,71.79,72.68,70.23973,2985500
"ED","12/15/2016",71.15,71.85,70.75,71.75,69.34096,1658000
"ED","12/14/2016",73.44,73.91,71.05,71.21,68.81908,2129400
"ED","12/13/2016",72.87,73.53,72.77,73.28,70.81958,2068300
"ED","12/12/2016",71.37,72.99,71.27,72.82,70.37502,1787900
"ED","12/09/2016",70.66,71.52,70.4,71.44,69.04136,1775800
"ED","12/08/2016",69.89,70.71,69.33,70.58,68.21024,1269400
"ED","12/07/2016",69.38,70.42,69.38,70.41,68.04594,1416900
"ED","12/06/2016",69.97,69.99,69.06,69.15,66.82825,1446200
"ED","12/05/2016",69.31,69.76,68.85,69.72,67.3791,2048400
"ED","12/02/2016",70.09,70.55,69.28,69.69,67.35011,1551100
"ED","12/01/2016",69.31,69.79,69.11,69.47,67.1375,1959300
"ED","11/30/2016",71.67,71.78,69.75,69.77,67.42742,3847100
"ED","11/29/2016",72.43,73.22,72.37,72.65,70.21074,1988300
"ED","11/28/2016",70.78,72.73,70.78,72.65,70.21074,2065800
"ED","11/25/2016",69.9,70.9,69.75,70.66,68.28755,930200
"ED","11/23/2016",69.78,70.37,69.42,69.55,67.21482,1388900
"ED","11/22/2016",70.23,70.57,69.64,70.32,67.95897,1396300
"ED","11/21/2016",69.76,70.15,69.45,70.1,67.74635,1612800
"ED","11/18/2016",69.99,70.33,69.26,69.53,67.19549,1777200
"ED","11/17/2016",69.61,70.41,69.58,70.04,67.68837,1152700
"ED","11/16/2016",70.83,71,69.4,69.84,67.49508,1721100
"ED","11/15/2016",69.92,71.03,69.91,70.57,68.20057,2560900
"ED","11/14/2016",69.35,69.82,68.76,69.55,67.21482,2398400
"ED","11/14/2016",0,0,0,0,0,0
"ED","11/11/2016",70.69,71.62,70.27,70.49,67.47575,2107000
"ED","11/10/2016",72.05,72.05,68.99,70.69,67.66719,3992800
"ED","11/09/2016",72.95,73.41,72.15,72.26,69.17006,2983300
"ED","11/08/2016",74.72,75.62,74.61,75.33,72.1088,1356400
"ED","11/07/2016",73.94,74.55,72.88,74.54,71.35257,1728700
"ED","11/04/2016",75.27,75.41,73.61,73.75,70.59634,1841700
"ED","11/03/2016",73.62,74.28,73.25,73.87,70.71122,1517000
"ED","11/02/2016",74.03,74.14,72.96,73.82,70.66335,1870100
"ED","11/01/2016",75.48,75.48,73.89,74.05,70.88352,1635300
"ED","10/31/2016",74.22,76.03,74.06,75.55,72.31938,2506900
"ED","10/28/2016",73.61,74.25,73.51,73.99,70.82609,1108900
"ED","10/27/2016",73.57,73.92,73.01,73.47,70.32832,1256300
"ED","10/26/2016",73.57,74,73.28,73.88,70.72078,965600
"ED","10/25/2016",73.12,73.73,72.95,73.65,70.50063,1273500
"ED","10/24/2016",73.61,73.72,72.72,73.17,70.04115,1268400
"ED","10/21/2016",73.22,73.55,72.93,73.17,70.04115,1054100
"ED","10/20/2016",73.53,74.25,73.34,73.62,70.4719,989400
"ED","10/19/2016",73.26,73.79,72.9,73.44,70.29961,1486900
"ED","10/18/2016",73.42,73.68,72.39,73.24,70.10816,1661400
"ED","10/17/2016",72.73,73.12,72.67,73,69.87843,1164500
"ED","10/14/2016",72.65,73.38,72.16,72.49,69.39023,1288200
"ED","10/13/2016",72.23,73.6,72.1,72.94,69.82098,1583400
"ED","10/12/2016",71.76,72.3,71.67,72.07,68.98818,1675900
"ED","10/11/2016",71.91,72.33,71.35,71.66,68.59573,2069900
"ED","10/10/2016",71.99,72.52,71.69,72.2,69.11263,1340100
"ED","10/07/2016",72.8,73.56,72.03,72.03,68.9499,2096600
"ED","10/06/2016",72.25,72.83,71.78,72.33,69.23707,2003400
"ED","10/05/2016",72.82,73.41,72.14,72.5,69.3998,2341900
"ED","10/04/2016",74.12,74.12,72.39,72.77,69.65826,2553600
"ED","10/03/2016",75.15,75.21,73.91,74.24,71.0654,1937300
"ED","09/30/2016",76.79,77.11,74.79,75.3,72.08007,2978900
"ED","09/29/2016",76.91,76.96,75.98,76.53,73.25748,1639700
"ED","09/28/2016",77.92,78.04,76.78,77.17,73.8701,1719300
"ED","09/27/2016",79.15,79.54,77.72,77.85,74.52103,1679900
"ED","09/26/2016",78.71,78.99,78.31,78.66,75.29639,1526100
"ED","09/23/2016",78.6,79.02,78.25,78.68,75.31554,1239100
"ED","09/22/2016",78.36,79,78.25,78.85,75.47826,1928000
"ED","09/21/2016",76.46,78.09,76.36,78.06,74.72204,2023500
"ED","09/20/2016",76.63,76.83,76.36,76.54,73.26704,2458400
"ED","09/19/2016",75.3,76.45,75.3,76.4,73.13303,1749400
"ED","09/16/2016",74.41,75.37,74.2,75.31,72.08964,2897800
"ED","09/15/2016",74.16,74.72,73.79,74.56,71.3717,1404100
"ED","09/14/2016",73.95,74.64,73.61,74.13,70.9601,2025400
"ED","09/13/2016",74.48,74.49,73.1,73.23,70.09859,1658500
"ED","09/12/2016",73,74.64,73,74.45,71.2664,2496700
"ED","09/09/2016",74.88,75.24,72.93,72.95,69.83056,3302900
"ED","09/08/2016",75.81,76.27,75.46,75.87,72.6257,1478500
"ED","09/07/2016",76.2,76.29,75.67,76.01,72.75972,1171300
"ED","09/06/2016",75.58,76.45,75.56,76.28,73.01816,1160700
"ED","09/02/2016",74.89,75.9,74.66,75.55,72.31938,1625900
"ED","09/01/2016",75.15,75.25,74.71,74.88,71.67802,1023600
"ED","08/31/2016",74.68,75.28,74.31,75.25,72.03221,2252000
"ED","08/30/2016",75.07,75.57,74.56,74.6,71.41,1218400
"ED","08/29/2016",75.11,75.66,74.87,75.25,72.03221,1850800
"ED","08/26/2016",76.5,76.93,74.69,74.77,71.57272,1126800
"ED","08/25/2016",76.4,76.89,76.13,76.45,73.18089,1221900
"ED","08/24/2016",76.23,76.5,75.63,76.32,73.05644,1290700
"ED","08/23/2016",76.69,77.19,76.46,76.46,73.19046,814900
"ED","08/22/2016",76.77,77.14,76.47,76.75,73.46807,931100
"ED","08/19/2016",77.04,77.08,75.93,76.5,73.22876,1860600
"ED","08/18/2016",76.17,77.51,76.17,77.38,74.07112,2718600
"ED","08/17/2016",75,76.45,74.09,76.38,73.11388,2404900
"ED","08/16/2016",76.06,76.11,75.08,75.08,71.86948,2199300
"ED","08/15/2016",78,78.27,76.09,76.24,72.97987,3167700
"ED","08/15/2016",0,0,0,0,0,0
"ED","08/12/2016",78.73,79.02,78.42,78.79,74.77949,1819500
"ED","08/11/2016",78.09,78.42,77.85,78.39,74.39984,1418200
"ED","08/10/2016",78.32,78.49,77.98,78.24,74.25748,1376500
"ED","08/09/2016",77.77,78.32,77.4,78.09,74.11511,1429100
"ED","08/08/2016",77.83,78.37,77.43,77.65,73.69751,1363900
"ED","08/05/2016",78.45,78.64,77.66,77.75,73.79242,1965600
"ED","08/04/2016",79.03,79.4,78.53,78.79,74.77949,1360500
"ED","08/03/2016",80.04,80.19,78.55,78.9,74.88388,1589600
"ED","08/02/2016",80.19,80.41,79.64,80.12,76.04178,1121500
"ED","08/01/2016",79.71,80.61,79.68,80.46,76.36448,1364100
"ED","07/29/2016",79.78,80.85,79.55,80.08,76.00381,2338500
"ED","07/28/2016",79.43,80.06,79.12,79.88,75.814,922500
"ED","07/27/2016",80.25,80.32,78.31,79.43,75.3869,2797700
"ED","07/26/2016",81.2,81.2,80.04,80.45,76.35499,1255000
"ED","07/25/2016",81.16,81.27,80.62,81.19,77.05732,1290000
"ED","07/22/2016",79.79,81.27,79.79,81.18,77.04784,1866400
"ED","07/21/2016",78.91,79.89,78.34,79.89,75.82349,1921600
"ED","07/20/2016",79.11,79.27,78.47,78.91,74.89338,1576200
"ED","07/19/2016",79.09,79.33,78.67,79.11,75.08319,999300
"ED","07/18/2016",79.44,79.68,78.87,79.06,75.03572,1578100
"ED","07/15/2016",79.14,79.52,78.6,79.15,75.12115,1753300
"ED","07/14/2016",78.78,79.26,78.62,79.12,75.09268,1660800
"ED","07/13/2016",79.15,79.56,78.8,79.42,75.37742,2069600
"ED","07/12/2016",79.66,79.86,78.73,78.77,74.76051,2406200
"ED","07/11/2016",79.93,80.48,79.09,80.2,76.11771,2440500
"ED","07/08/2016",79.75,80.42,79.05,80.38,76.28855,2334600
"ED","07/07/2016",81.27,81.35,79.72,79.99,75.91839,2367100
"ED","07/06/2016",81.22,81.64,80.53,81.55,77.399,1783700
"ED","07/05/2016",80.72,81.88,80.51,81.67,77.51289,2148300
"ED","07/01/2016",80.81,80.98,79.44,80.51,76.41193,1573800
"ED","06/30/2016",79.18,80.44,78.91,80.44,76.34551,2222100
"ED","06/29/2016",79.22,79.66,78.56,79.07,75.04523,1882800
"ED","06/28/2016",79.55,79.58,78.31,79.2,75.1686,2514000
"ED","06/27/2016",78.47,80.08,78.24,79.73,75.67164,3556000
"ED","06/24/2016",76.82,78.87,76.53,78.41,74.41882,4230800
"ED","06/23/2016",77.11,77.11,76.3,76.86,72.94772,1574000
