"symbol","date","open","high","low","close","adjclose","volume"
"EW","12/30/2016",93.89,94.58,93.35,93.7,93.7,1431000
"EW","12/29/2016",92.71,94.11,92.67,93.71,93.71,1330200
"EW","12/28/2016",93.2,93.83,92.17,92.71,92.71,1614900
"EW","12/27/2016",93.17,94.5,93.14,93.35,93.35,1352700
"EW","12/23/2016",91.72,93.35,91.52,93,93,1235100
"EW","12/22/2016",91.37,92.4,91.05,91.8,91.8,1622800
"EW","12/21/2016",90.59,92.04,90.44,91.43,91.43,1606700
"EW","12/20/2016",91.53,92.26,90.42,90.87,90.87,1628600
"EW","12/19/2016",91.31,92.22,91.27,91.48,91.48,2224400
"EW","12/16/2016",91.26,92.25,90.8,91.39,91.39,3456600
"EW","12/15/2016",89.76,90.83,89.24,90.48,90.48,2224100
"EW","12/14/2016",89.75,92.29,89.33,89.82,89.82,2353500
"EW","12/13/2016",88.43,91.1,87.56,89.37,89.37,2912200
"EW","12/12/2016",90.05,91.41,88.54,88.93,88.93,2720600
"EW","12/09/2016",89.53,92.98,89.3,90.37,90.37,4172600
"EW","12/08/2016",85.55,91.34,85.27,89.3,89.3,6108600
"EW","12/07/2016",82.99,83.75,81.9,83.73,83.73,2547600
"EW","12/06/2016",83.15,83.92,81.85,83.22,83.22,2883200
"EW","12/05/2016",83.78,83.94,82.41,82.49,82.49,1975900
"EW","12/02/2016",81.44,84.66,81.25,83.35,83.35,2324500
"EW","12/01/2016",82.8,83.1,81.12,81.47,81.47,2468900
"EW","11/30/2016",84.24,84.25,82.84,82.85,82.85,2766300
"EW","11/29/2016",84.56,85.45,83.77,83.9,83.9,2774500
"EW","11/28/2016",85.41,85.59,84.01,84.3,84.3,3099700
"EW","11/25/2016",86.86,86.87,85.31,85.8,85.8,2022300
"EW","11/23/2016",85.01,86.93,84.51,86.86,86.86,2208200
"EW","11/22/2016",88,88,83.42,85.04,85.04,4189600
"EW","11/21/2016",89.05,90.11,88.78,89.2,89.2,1453500
"EW","11/18/2016",90.81,90.99,88.81,89.03,89.03,1716900
"EW","11/17/2016",89.38,90.83,89.01,90.72,90.72,1781400
"EW","11/16/2016",88.85,89.72,88.18,89.13,89.13,1301400
"EW","11/15/2016",87.55,89.63,87.01,88.91,88.91,2252800
"EW","11/14/2016",90.72,91.25,86.54,86.59,86.59,4298500
"EW","11/11/2016",92.77,92.95,90.7,91.01,91.01,1599800
"EW","11/10/2016",93.42,93.86,92.16,92.85,92.85,2801000
"EW","11/09/2016",93.39,93.89,88.8,92.45,92.45,2431600
"EW","11/08/2016",91.53,92.32,91.08,91.39,91.39,1649000
"EW","11/07/2016",91.11,92.23,90.7,91.34,91.34,1671000
"EW","11/04/2016",89.26,91.34,89.17,89.63,89.63,1853900
"EW","11/03/2016",89.24,90.95,89,89.3,89.3,3464000
"EW","11/02/2016",92.18,92.22,88.69,88.71,88.71,3631200
"EW","11/01/2016",95.5,95.73,91.57,92,92,3392300
"EW","10/31/2016",94.46,95.49,92.91,95.22,95.22,4863600
"EW","10/28/2016",92.36,96.8,92.05,96.16,96.16,4749100
"EW","10/27/2016",95.2,95.5,91.32,92.2,92.2,4984100
"EW","10/26/2016",99.3,100.86,94.25,94.25,94.25,16796600
"EW","10/25/2016",117.01,117.01,113.5,113.68,113.68,3975500
"EW","10/24/2016",118.24,118.56,116.92,117.03,117.03,1763200
"EW","10/21/2016",117.03,118.17,116.56,117.68,117.68,1284400
"EW","10/20/2016",117.45,119,117.11,117.86,117.86,1711000
"EW","10/19/2016",117.79,118.87,117.62,117.66,117.66,1367100
"EW","10/18/2016",116.54,118.5,116.29,118.22,118.22,1478800
"EW","10/17/2016",115.88,116.38,114.87,115.55,115.55,1875000
"EW","10/14/2016",118.56,119.17,115.95,116,116,2014100
"EW","10/13/2016",117.6,119.08,117.1,118.66,118.66,1299800
"EW","10/12/2016",118.39,119.08,117.97,118.16,118.16,741900
"EW","10/11/2016",120.74,121.39,117.55,118.25,118.25,1406800
"EW","10/10/2016",120.26,121.75,120.17,121.36,121.36,640800
"EW","10/07/2016",120.09,120.62,118.97,120.09,120.09,730900
"EW","10/06/2016",119.79,120.35,119,119.72,119.72,692500
"EW","10/05/2016",121,121.43,119.32,120.01,120.01,1132300
"EW","10/04/2016",120,120.45,118.31,119.17,119.17,832800
"EW","10/03/2016",119.98,119.98,118.44,119.71,119.71,1054700
"EW","09/30/2016",119.66,121.08,119.45,120.56,120.56,999100
"EW","09/29/2016",120.09,121.73,118.33,119.26,119.26,915000
"EW","09/28/2016",121.08,121.3,119.72,120.46,120.46,675800
"EW","09/27/2016",119.09,121.51,118.66,121.22,121.22,1016000
"EW","09/26/2016",119.25,119.62,118.62,118.94,118.94,766000
"EW","09/23/2016",120.83,120.83,119.2,119.77,119.77,977300
"EW","09/22/2016",119.82,121.58,119.55,120.87,120.87,1436300
"EW","09/21/2016",117.49,119.39,117.07,119.17,119.17,891800
"EW","09/20/2016",117.5,117.63,116.5,117.42,117.42,882300
"EW","09/19/2016",116.62,117.72,116.36,116.74,116.74,742100
"EW","09/16/2016",117,117.17,116.14,116.6,116.6,1476000
"EW","09/15/2016",115.07,117.53,114.86,116.97,116.97,982000
"EW","09/14/2016",114.64,116.17,114.13,114.72,114.72,868000
"EW","09/13/2016",115.72,116.38,113.53,114.25,114.25,1102500
"EW","09/12/2016",114.81,116.44,113.91,116.22,116.22,899800
"EW","09/09/2016",116.63,117,114.58,114.6,114.6,1477600
"EW","09/08/2016",115.98,117.43,115.4,117.33,117.33,1256700
"EW","09/07/2016",117.05,117.46,115.83,116.47,116.47,821500
"EW","09/06/2016",115.72,117.55,115.63,117.54,117.54,1129900
"EW","09/02/2016",115.87,116.28,115.23,115.85,115.85,931600
"EW","09/01/2016",115.5,115.99,114.5,115.87,115.87,1097900
"EW","08/31/2016",115.73,115.73,114.3,115.16,115.16,1092000
"EW","08/30/2016",116.1,116.81,115.09,115.33,115.33,558700
"EW","08/29/2016",115.19,116.86,115.17,116.1,116.1,702500
"EW","08/26/2016",114.87,115.86,114.41,115.26,115.26,978100
"EW","08/25/2016",114.17,115.31,113.34,114.77,114.77,1166400
"EW","08/24/2016",117.21,117.58,114.17,114.3,114.3,1487800
"EW","08/23/2016",117.47,117.92,116.74,117.16,117.16,1150300
"EW","08/22/2016",118.59,118.92,116.17,116.99,116.99,1361000
"EW","08/19/2016",114.96,118.26,114.94,118.07,118.07,3791900
"EW","08/18/2016",112.52,116.37,112.27,114.95,114.95,2291600
"EW","08/17/2016",112.92,113.03,111.69,112.71,112.71,808400
"EW","08/16/2016",114.2,114.2,112.73,112.75,112.75,573000
"EW","08/15/2016",113.87,114.96,113.8,114.19,114.19,834500
"EW","08/12/2016",113.71,113.97,113.15,113.6,113.6,422900
"EW","08/11/2016",114.13,114.86,113.69,113.92,113.92,873800
"EW","08/10/2016",113.21,114.23,112.53,114.03,114.03,1094900
"EW","08/09/2016",112.49,114.05,112.28,113.39,113.39,924800
"EW","08/08/2016",113.37,113.5,112,112.4,112.4,769900
"EW","08/05/2016",113.03,113.7,112.62,113.23,113.23,882700
"EW","08/04/2016",113.65,113.99,112.59,112.98,112.98,731100
"EW","08/03/2016",113.73,114.85,113.03,113.36,113.36,901900
"EW","08/02/2016",114.22,114.74,112.96,113.58,113.58,1107000
"EW","08/01/2016",114.54,114.89,113.76,114.23,114.23,1248600
"EW","07/29/2016",113,114.79,112.7,114.52,114.52,1385300
"EW","07/28/2016",114.68,115.38,112.66,112.99,112.99,1707300
"EW","07/27/2016",116.15,117.46,114.01,114.44,114.44,5089700
"EW","07/26/2016",106.51,108.38,106.04,108.35,108.35,2266300
"EW","07/25/2016",106.35,106.66,105.57,106.52,106.52,1260300
"EW","07/22/2016",106.2,106.5,105.28,106.25,106.25,856300
"EW","07/21/2016",106.77,107.13,105.69,106.26,106.26,845300
"EW","07/20/2016",106.44,107.13,105.99,106.71,106.71,1061700
"EW","07/19/2016",105.4,106.45,105.22,105.91,105.91,1014800
"EW","07/18/2016",105.39,106.23,105.11,105.75,105.75,955000
"EW","07/15/2016",107.38,107.6,104.92,105.27,105.27,1640200
"EW","07/14/2016",107.07,107.56,106.62,107.03,107.03,1281000
"EW","07/13/2016",106.82,107.37,106.12,106.49,106.49,1789300
"EW","07/12/2016",104.95,106.56,104.62,106.27,106.27,1912500
"EW","07/11/2016",104.82,105.81,104.45,104.48,104.48,1044900
"EW","07/08/2016",104.42,105.42,103.5,104.72,104.72,1330900
"EW","07/07/2016",103.5,105.28,103.1,103.75,103.75,2165500
"EW","07/06/2016",99.36,103.62,99.36,103.5,103.5,2160600
"EW","07/05/2016",98.33,100.2,98.02,99.63,99.63,1337000
"EW","07/01/2016",99.83,99.83,98.28,98.58,98.58,1271500
"EW","06/30/2016",97.05,99.74,96.92,99.73,99.73,2145200
"EW","06/29/2016",96.19,97.18,95.49,96.91,96.91,2390800
"EW","06/28/2016",95.13,95.38,94.13,94.97,94.97,2087300
"EW","06/27/2016",95.48,95.93,93.83,94.53,94.53,1401100
"EW","06/24/2016",96.05,97.53,95.76,96.04,96.04,2346100
"EW","06/23/2016",98.88,99.31,98.55,99.08,99.08,1392100
"EW","06/22/2016",98.53,99,97.89,98.04,98.04,1242900
"EW","06/21/2016",99.44,99.9,98.35,98.57,98.57,1247000
"EW","06/20/2016",99.54,100.72,99.12,99.16,99.16,1718400
"EW","06/17/2016",99.37,99.65,97.76,98.54,98.54,2152500
"EW","06/16/2016",97.25,99.64,96.86,99.31,99.31,1629100
"EW","06/15/2016",101.14,101.79,96.79,97.85,97.85,3100200
"EW","06/14/2016",100.64,101.14,99.98,100.95,100.95,939000
"EW","06/13/2016",101.22,102.55,100.91,101.13,101.13,865300
"EW","06/10/2016",101.44,102,101.06,101.52,101.52,852900
"EW","06/09/2016",102.4,103.87,102.2,102.48,102.48,962900
"EW","06/08/2016",101,103.3,100.86,102.67,102.67,1194700
"EW","06/07/2016",101.46,101.92,100.64,101.5,101.5,980600
"EW","06/06/2016",101.3,101.84,100.59,101.45,101.45,1052800
"EW","06/03/2016",102.08,102.19,100.39,101.53,101.53,1269400
"EW","06/02/2016",100,102.27,99.84,102.1,102.1,2245600
"EW","06/01/2016",98.5,100,98.41,99.84,99.84,1439700
"EW","05/31/2016",100.32,100.66,98.5,98.5,98.5,3002700
"EW","05/27/2016",99.94,100.6,98.97,100.04,100.04,1675100
"EW","05/26/2016",100,100.42,99.28,99.43,99.43,1509100
"EW","05/25/2016",101.79,101.96,99.69,99.91,99.91,1525700
"EW","05/24/2016",100.45,101.86,100.26,101.49,101.49,1417900
"EW","05/23/2016",99.63,100.97,99.6,100.02,100.02,1989200
"EW","05/20/2016",99.12,100.5,98.7,99.11,99.11,2626400
"EW","05/19/2016",99.8,99.8,97.2,97.82,97.82,4886100
"EW","05/18/2016",100.77,101.41,98.83,99.79,99.79,3061000
"EW","05/17/2016",103.67,105.2,100.06,100.84,100.84,3428900
"EW","05/16/2016",103.34,104.92,103.13,104,104,2645700
"EW","05/13/2016",105.52,106,102.92,102.99,102.99,1739400
"EW","05/12/2016",105.08,105.8,103.49,105.59,105.59,1172500
"EW","05/11/2016",106.56,107.29,105.04,105.08,105.08,857000
"EW","05/10/2016",106.71,107.22,105.67,106.59,106.59,816900
"EW","05/09/2016",105.76,106.98,105.46,106.38,106.38,897700
"EW","05/06/2016",104.12,106.14,103.95,105.74,105.74,1376400
"EW","05/05/2016",103.13,104.68,102.92,104.37,104.37,1815300
"EW","05/04/2016",105.1,105.63,103.56,103.8,103.8,1363000
"EW","05/03/2016",106.09,107.35,104.43,105.43,105.43,1259600
"EW","05/02/2016",106.72,107.8,106.16,106.86,106.86,1339200
"EW","04/29/2016",107,107.33,104.92,106.21,106.21,1575400
"EW","04/28/2016",109.29,109.82,106.97,107.25,107.25,1079100
"EW","04/27/2016",111.78,112,107.76,108.93,108.93,2748800
"EW","04/26/2016",108,109.71,107.39,108.84,108.84,1808300
"EW","04/25/2016",107.85,108.59,107.46,107.98,107.98,1507200
"EW","04/22/2016",107.99,109.32,107.43,108.33,108.33,920900
"EW","04/21/2016",108.03,108.93,107.19,108.1,108.1,1067100
"EW","04/20/2016",106.34,108.69,106,107.86,107.86,1314200
"EW","04/19/2016",107.89,108.08,105.55,106.08,106.08,1880100
"EW","04/18/2016",106.56,108.35,105.77,108,108,1147800
