"symbol","date","open","high","low","close","adjclose","volume"
"FDX","12/30/2016",187.8,187.96,185.68,186.2,184.5533,1323200
"FDX","12/29/2016",188.85,189.64,186.42,186.95,185.2967,1279200
"FDX","12/28/2016",190.83,191.57,188.02,188.45,186.7834,1555400
"FDX","12/27/2016",191.97,192.53,190.51,190.55,188.8648,966500
"FDX","12/23/2016",191.48,193.02,190.81,191.86,190.1632,1656200
"FDX","12/22/2016",192.24,192.46,190.78,190.89,189.2018,2030100
"FDX","12/21/2016",194.5,195.97,192.04,192.12,190.4209,6406000
"FDX","12/20/2016",198.92,199.49,196.55,198.74,196.9824,3068000
"FDX","12/19/2016",196.67,198.07,195.75,197.62,195.8723,1498100
"FDX","12/16/2016",198.82,199.36,195.45,196.48,194.7424,3190300
"FDX","12/15/2016",197.73,199.77,197.27,197.92,196.1696,1216300
"FDX","12/14/2016",200.78,201,197.61,197.92,196.1696,2533200
"FDX","12/13/2016",198.66,201.57,197.5,201.02,199.2422,2237900
"FDX","12/12/2016",195.87,198.24,195.7,197.64,195.8921,1442700
"FDX","12/09/2016",196.29,196.99,195.13,196.6,194.8613,1957400
"FDX","12/08/2016",196.75,197.3,193.6,197.07,195.3272,2951600
"FDX","12/08/2016",0,0,0,0,0,0
"FDX","12/07/2016",193.32,196.72,192.28,196.52,194.3856,1886100
"FDX","12/06/2016",194.36,194.46,191.6,193.33,191.2302,1238300
"FDX","12/05/2016",193.7,194.95,193,194.5,192.3875,1409800
"FDX","12/02/2016",192.1,193.65,192.1,192.8,190.706,1542900
"FDX","12/01/2016",192,193.88,192,192.19,190.1026,1767600
"FDX","11/30/2016",191.5,192.58,190.78,191.67,189.5882,1533600
"FDX","11/29/2016",190,191.35,190,190.32,188.2529,1077700
"FDX","11/28/2016",190.58,191.15,189.49,190.03,187.966,1746600
"FDX","11/25/2016",190.62,191.84,190.6,191.53,189.4498,653200
"FDX","11/23/2016",188.75,190.29,188.05,190.12,188.0551,880800
"FDX","11/22/2016",188.5,188.5,187.55,188.08,186.0372,1162000
"FDX","11/21/2016",187.33,188.25,186.74,188.15,186.1065,1295300
"FDX","11/18/2016",184.71,187.33,183.98,187.29,185.2558,1334400
"FDX","11/17/2016",184.13,185.34,183.46,185.08,183.0698,931800
"FDX","11/16/2016",184.89,186,182.75,183.82,181.8235,1259800
"FDX","11/15/2016",185.77,185.83,182.98,185.39,183.3764,1447000
"FDX","11/14/2016",184.5,186.53,183.46,186.16,184.1381,2151100
"FDX","11/11/2016",183,184.89,182.11,183.69,181.6949,1560400
"FDX","11/10/2016",182,185,181.23,183.57,181.5762,2298000
"FDX","11/09/2016",178.55,182.4,176.44,181.17,179.2023,2874200
"FDX","11/08/2016",179.28,182.78,178.84,181.31,179.3407,2002000
"FDX","11/07/2016",176.85,180.69,176.85,180.02,178.0648,2451900
"FDX","11/04/2016",173.4,175.73,172.86,174.8,172.9015,1558800
"FDX","11/03/2016",172.71,173.71,172.11,173.65,171.7639,1265000
"FDX","11/02/2016",172,173.47,171.6,172.38,170.5077,1457300
"FDX","11/01/2016",174.25,174.33,170.16,171.53,169.667,1955600
"FDX","10/31/2016",175.14,176.12,174.24,174.32,172.4267,992900
"FDX","10/28/2016",174.57,176.35,173.4,174.25,172.3574,1502700
"FDX","10/27/2016",174.69,175.22,172.74,174.4,172.5058,1499700
"FDX","10/26/2016",170.96,174.24,170.51,173.59,171.7046,1772700
"FDX","10/25/2016",171.34,172.45,171.26,171.93,170.0626,1132700
