"symbol","date","open","high","low","close","adjclose","volume"
"FE","12/30/2016",31.17,31.29,30.89,30.97,29.5521,2523200
"FE","12/29/2016",30.84,31.31,30.84,31.12,29.69524,2927900
"FE","12/28/2016",31.31,31.39,30.82,30.84,29.42805,2558100
"FE","12/27/2016",31.16,31.32,31.05,31.28,29.84791,2110400
"FE","12/23/2016",31.33,31.42,31.13,31.27,29.83837,2494700
"FE","12/22/2016",31.37,31.51,31.15,31.22,29.79066,3144500
"FE","12/21/2016",31.33,31.95,31.27,31.42,29.98149,4233700
"FE","12/20/2016",31.5,31.65,31.05,31.29,29.85745,5218000
"FE","12/19/2016",31.92,31.95,31.41,31.65,30.20097,4557300
"FE","12/16/2016",31.3,31.98,31.25,31.78,30.32502,10154200
"FE","12/15/2016",31.17,31.35,30.86,31.32,29.88608,5667000
"FE","12/14/2016",31.74,32.3,31.2,31.29,29.85745,8340500
"FE","12/13/2016",31.14,31.62,31.14,31.61,30.1628,3646800
"FE","12/12/2016",30.57,31.14,30.54,31.06,29.63798,4061500
"FE","12/09/2016",30.6,31.1,30.58,30.73,29.32309,3913200
"FE","12/08/2016",29.98,30.7,29.33,30.53,29.13224,6336200
"FE","12/07/2016",30.41,30.5,29.89,30.06,28.68376,7314300
"FE","12/06/2016",30.62,30.64,30.14,30.37,28.97957,5763700
"FE","12/05/2016",30.54,30.56,30.14,30.5,29.10362,5709500
"FE","12/02/2016",31,31.24,30.35,30.57,29.17041,5280300
"FE","12/01/2016",31.14,31.2,30.83,30.99,29.57118,3272300
"FE","11/30/2016",32.2,32.2,31.29,31.29,29.85745,5668500
"FE","11/29/2016",32.48,32.75,32.36,32.55,31.05976,3151300
"FE","11/28/2016",32.27,32.62,32.17,32.59,31.09793,3943300
"FE","11/25/2016",31.59,32.17,31.59,32.14,30.66854,2063200
"FE","11/23/2016",31.56,31.81,31.27,31.49,30.04829,4595600
"FE","11/22/2016",31.94,32.1,31.81,31.9,30.43952,2782300
"FE","11/21/2016",31.63,31.99,31.51,31.91,30.44906,3203300
"FE","11/18/2016",31.93,32.1,31.33,31.4,29.96241,4396600
"FE","11/17/2016",31.72,32.15,31.72,31.96,30.49677,2693200
"FE","11/16/2016",32.12,32.24,31.58,31.87,30.4109,3780500
"FE","11/15/2016",31.99,32.42,31.87,32.09,30.62082,4640500
"FE","11/14/2016",31.46,31.94,31.08,31.84,30.38227,6100500
"FE","11/11/2016",31.88,32.31,31.5,31.62,30.17234,5239000
"FE","11/10/2016",33.36,33.37,31.79,31.85,30.39181,7318800
"FE","11/09/2016",33.92,34.02,33.38,33.49,31.95673,4126100
"FE","11/08/2016",34.4,34.83,34.17,34.5,32.92049,4316000
"FE","11/07/2016",33.89,34.48,33.47,34.41,32.83461,7564700
"FE","11/04/2016",33.28,34.22,33.13,33.57,32.03306,5324000
"FE","11/03/2016",32.87,33.38,32.66,33.29,31.76588,4561900
"FE","11/03/2016",0,0,0,0,0,0
"FE","11/02/2016",33.37,33.45,32.82,33.36,31.48916,4395000
"FE","11/01/2016",34.34,34.34,33.38,33.47,31.59299,3963400
"FE","10/31/2016",34.08,34.5,34.02,34.29,32.367,5212000
"FE","10/28/2016",33.95,34.21,33.67,33.96,32.05551,6192900
"FE","10/27/2016",33.89,34.03,33.46,33.9,31.99888,3827400
"FE","10/26/2016",33.6,34.03,33.35,33.96,32.05551,4233300
"FE","10/25/2016",33.57,33.73,33.35,33.62,31.73458,3997800
"FE","10/24/2016",33.35,33.49,33.02,33.34,31.47028,2383300
"FE","10/21/2016",32.7,33.36,32.63,33.19,31.32869,4060800
"FE","10/20/2016",33.2,33.42,32.79,32.85,31.00776,4609100
"FE","10/19/2016",32.96,33.27,32.56,33.15,31.29094,5856100
"FE","10/18/2016",32.75,33.31,32.48,33.16,31.30038,7339700
"FE","10/17/2016",31.73,32.41,31.72,32.23,30.42253,6129400
"FE","10/14/2016",31.52,32.04,31.43,31.51,29.74291,3228600
"FE","10/13/2016",31.79,31.83,31.26,31.56,29.7901,4795800
"FE","10/12/2016",31.27,31.72,30.29,31.36,29.60132,13766500
"FE","10/11/2016",31.73,31.77,31.15,31.22,29.46917,2293500
"FE","10/10/2016",31.41,31.79,31.39,31.73,29.95057,2389300
"FE","10/07/2016",31.68,31.95,31.32,31.32,29.56356,3572600
"FE","10/06/2016",31.34,31.76,31.16,31.47,29.70515,4321100
"FE","10/05/2016",31.64,31.86,31.21,31.39,29.62964,12571500
"FE","10/04/2016",32.38,32.42,31.41,31.63,29.85618,4667100
"FE","10/03/2016",33.07,33.07,32.23,32.3,30.48861,4786700
"FE","09/30/2016",33.36,33.5,32.9,33.08,31.22486,3504000
"FE","09/29/2016",33.54,33.63,33.07,33.17,31.30981,2556300
"FE","09/28/2016",33.78,33.88,33.28,33.54,31.65907,3954400
"FE","09/27/2016",34.7,34.83,33.56,33.67,31.78177,5301400
"FE","09/26/2016",34.34,34.82,34.34,34.58,32.64075,3341700
"FE","09/23/2016",34.62,34.87,34.42,34.49,32.55579,4010200
"FE","09/22/2016",34.79,34.96,34.59,34.84,32.88616,3278400
"FE","09/21/2016",33.75,34.62,33.71,34.57,32.6313,3175100
"FE","09/20/2016",33.82,33.97,33.61,33.74,31.84785,2909000
"FE","09/19/2016",33.09,33.77,33,33.74,31.84785,3756200
"FE","09/16/2016",32.63,33.03,32.46,32.99,31.13991,3507100
"FE","09/15/2016",32.61,32.97,32.48,32.84,30.99832,2111000
"FE","09/14/2016",32.83,33.01,32.46,32.62,30.79066,3062400
"FE","09/13/2016",33.1,33.19,32.46,32.7,30.86617,3745200
"FE","09/12/2016",32.62,33.47,32.58,33.28,31.41365,3339500
"FE","09/09/2016",33.28,33.35,32.63,32.64,30.80954,5017800
"FE","09/08/2016",33.02,33.67,32.98,33.64,31.75346,3105100
"FE","09/07/2016",33.03,33.28,32.83,33.13,31.27206,2237600
"FE","09/06/2016",32.94,33.11,32.77,33.05,31.19654,2766000
"FE","09/02/2016",32.49,33,32.49,32.82,30.97945,2326900
"FE","09/01/2016",32.67,32.77,32.27,32.45,30.63019,4637100
"FE","08/31/2016",32.19,32.75,32.12,32.73,30.89449,4190400
"FE","08/30/2016",32.6,32.74,32.13,32.21,30.40365,2510900
"FE","08/29/2016",32.51,32.78,32.38,32.6,30.77178,1831000
"FE","08/26/2016",33.07,33.35,32.27,32.32,30.50748,3756700
"FE","08/25/2016",32.99,33.25,32.88,32.93,31.08328,2052500
"FE","08/24/2016",32.83,33.07,32.64,33,31.14935,2633700
"FE","08/23/2016",32.74,33.08,32.74,32.92,31.07383,2843700
"FE","08/22/2016",32.7,32.8,32.51,32.63,30.8001,1915200
"FE","08/19/2016",33.06,33.06,32.53,32.69,30.85674,2638500
"FE","08/18/2016",32.83,33.12,32.72,33.12,31.26262,4054200
"FE","08/17/2016",32.39,32.9,32.15,32.84,30.99832,3839600
"FE","08/16/2016",32.85,32.87,32.41,32.42,30.60187,2495400
"FE","08/15/2016",33.07,33.35,32.88,32.89,31.04552,3405300
"FE","08/12/2016",33.03,33.31,32.88,33.12,31.26262,5532000
"FE","08/11/2016",32.73,32.89,32.67,32.88,31.03608,2165100
"FE","08/10/2016",32.96,33.01,32.6,32.71,30.87561,3072800
"FE","08/09/2016",32.82,32.99,32.74,32.84,30.99832,2403600
"FE","08/08/2016",33,33.22,32.7,32.87,31.02664,4739900
"FE","08/05/2016",32.91,32.95,32.37,32.43,30.61132,2764100
"FE","08/04/2016",33.07,33.25,32.82,32.93,31.08328,2404300
