"symbol","date","open","high","low","close","adjclose","volume"
"FISV","12/30/2016",107.64,107.92,105.96,106.28,106.28,835100
"FISV","12/29/2016",107.45,108.45,106.91,107.28,107.28,699500
"FISV","12/28/2016",108.27,108.27,107.11,107.2,107.2,688300
"FISV","12/27/2016",108.26,109.03,107.48,108.14,108.14,631200
"FISV","12/23/2016",107.66,108.2,107.62,108,108,312300
"FISV","12/22/2016",108.58,108.79,107.42,107.61,107.61,642900
"FISV","12/21/2016",108.71,108.99,108.18,108.57,108.57,579000
"FISV","12/20/2016",107.89,109.11,107.33,109.07,109.07,830500
"FISV","12/19/2016",106.97,108.18,106.74,107.35,107.35,551300
"FISV","12/16/2016",107.33,107.87,106.68,107.03,107.03,1721800
"FISV","12/15/2016",106.04,107.69,105.71,107.27,107.27,922800
"FISV","12/14/2016",106.33,106.93,105.8,106.03,106.03,1161700
"FISV","12/13/2016",105.41,106.55,104.49,106.1,106.1,989500
"FISV","12/12/2016",104.67,104.87,104.36,104.82,104.82,608400
"FISV","12/09/2016",104.99,104.99,104.39,104.79,104.79,798600
"FISV","12/08/2016",104.56,105.07,104.23,104.71,104.71,847200
"FISV","12/07/2016",103.25,104.9,102.6,104.82,104.82,968200
"FISV","12/06/2016",103.9,103.95,103.04,103.25,103.25,768600
"FISV","12/05/2016",103.68,104.55,103.33,103.63,103.63,1734400
"FISV","12/02/2016",103.4,104.17,103.06,103.37,103.37,1326400
"FISV","12/01/2016",104.55,104.85,102.83,103.32,103.32,1207800
"FISV","11/30/2016",106.54,106.95,104.6,104.62,104.62,1668200
"FISV","11/29/2016",106.76,107.2,106.37,106.54,106.54,944400
"FISV","11/28/2016",107.21,107.77,106.35,106.61,106.61,1426300
"FISV","11/25/2016",107.81,107.9,106.86,107.23,107.23,483400
"FISV","11/23/2016",106.2,107.6,105.49,107.6,107.6,1705700
"FISV","11/22/2016",105.6,106.38,105.07,106.31,106.31,1170800
"FISV","11/21/2016",102.51,105.5,102.51,105.44,105.44,1262900
"FISV","11/18/2016",104.94,105.48,104.17,104.29,104.29,1371900
"FISV","11/17/2016",103.07,105.31,103.07,105.06,105.06,2008200
"FISV","11/16/2016",101.2,103.71,101.2,103.21,103.21,2422100
"FISV","11/15/2016",100.35,101.73,100.03,101.54,101.54,1849800
"FISV","11/14/2016",100.83,101.08,100.05,100.12,100.12,1700800
"FISV","11/11/2016",99.49,100.71,99.19,100.54,100.54,1325500
"FISV","11/10/2016",100.79,100.99,98.66,99.8,99.8,1347400
"FISV","11/09/2016",97.14,100.83,97.06,100.51,100.51,1228900
"FISV","11/08/2016",99.02,100.51,98.95,100.17,100.17,781600
"FISV","11/07/2016",99.68,99.93,98.95,99.56,99.56,987000
"FISV","11/04/2016",97.41,98.54,97.41,97.93,97.93,1053000
"FISV","11/03/2016",98.67,98.69,98.05,98.11,98.11,1004900
"FISV","11/02/2016",98.62,99.52,98.59,98.66,98.66,1307700
"FISV","11/01/2016",98.74,99.13,97.89,98.56,98.56,1478800
"FISV","10/31/2016",98.48,98.87,97.48,98.48,98.48,1462000
"FISV","10/28/2016",97.62,99.04,97.62,98.33,98.33,2420800
"FISV","10/27/2016",93.23,97.19,92.81,96.75,96.75,4545700
"FISV","10/26/2016",99.53,100.47,99.45,99.99,99.99,1082500
"FISV","10/25/2016",100.5,100.65,99.57,99.72,99.72,934700
"FISV","10/24/2016",99.98,100.78,99.74,100.51,100.51,1055300
"FISV","10/21/2016",99.33,99.33,98.07,99.16,99.16,1118600
"FISV","10/20/2016",99.99,100.12,99.09,99.65,99.65,811800
"FISV","10/19/2016",100.19,100.45,99.68,99.81,99.81,1198400
"FISV","10/18/2016",100.7,101,100.03,100.06,100.06,445100
"FISV","10/17/2016",100.16,100.32,99.53,99.85,99.85,773500
"FISV","10/14/2016",98.5,100.83,98.5,100.06,100.06,939300
"FISV","10/13/2016",99.48,100.06,98.86,99.73,99.73,853400
"FISV","10/12/2016",99.08,100.34,98.62,100.09,100.09,1036800
"FISV","10/11/2016",100.55,100.55,98.57,99.13,99.13,1020200
"FISV","10/10/2016",100.23,100.87,100,100.54,100.54,633000
"FISV","10/07/2016",100.88,100.88,99.36,99.98,99.98,1535200
"FISV","10/06/2016",99.48,100.83,99.42,100.81,100.81,1018800
"FISV","10/05/2016",99.37,99.88,98.72,99.69,99.69,1143900
"FISV","10/04/2016",100.19,100.27,98.53,98.89,98.89,968600
"FISV","10/03/2016",99.1,99.98,99.1,99.75,99.75,800200
"FISV","09/30/2016",99.76,99.98,98.95,99.47,99.47,1456500
"FISV","09/29/2016",99.95,100.56,99.45,99.72,99.72,933300
"FISV","09/28/2016",100.73,100.73,99.28,100.23,100.23,1037900
"FISV","09/27/2016",99.81,100.76,99.3,100.61,100.61,893800
"FISV","09/26/2016",100.59,100.95,100.04,100.25,100.25,816200
"FISV","09/23/2016",102.28,102.68,101.14,101.19,101.19,705800
"FISV","09/22/2016",101.9,102.75,101.84,102.33,102.33,1047200
"FISV","09/21/2016",99.88,101.67,99.64,101.5,101.5,1317300
"FISV","09/20/2016",99.98,100.03,99.32,99.34,99.34,789200
"FISV","09/19/2016",99.32,100.15,99.01,99.3,99.3,706600
"FISV","09/16/2016",100.15,100.15,98.66,99.21,99.21,1996600
"FISV","09/15/2016",98.16,100.58,97.73,99.93,99.93,1785300
"FISV","09/14/2016",99.28,100.38,98.2,98.38,98.38,1343400
"FISV","09/13/2016",100.58,100.6,99.15,99.33,99.33,1232700
"FISV","09/12/2016",100.02,101.33,99.82,101.16,101.16,1064000
"FISV","09/09/2016",101.68,101.94,100.25,100.28,100.28,1053200
"FISV","09/08/2016",102.78,103.07,102.14,102.27,102.27,785400
"FISV","09/07/2016",103.76,103.76,102.88,103.13,103.13,635200
"FISV","09/06/2016",104.29,104.29,103.26,103.7,103.7,687200
"FISV","09/02/2016",104.48,104.67,103.86,104.34,104.34,718100
"FISV","09/01/2016",103.09,104,102.73,103.8,103.8,717400
"FISV","08/31/2016",102.96,103.3,102.69,103.05,103.05,729800
"FISV","08/30/2016",103.17,103.62,102.57,102.94,102.94,520500
"FISV","08/29/2016",103.45,104,103.19,103.28,103.28,584600
"FISV","08/26/2016",103.32,104.68,102.97,103.47,103.47,803600
"FISV","08/25/2016",102.8,103.75,102.6,103.02,103.02,542100
"FISV","08/24/2016",103.81,104.24,102.66,102.72,102.72,1030400
"FISV","08/23/2016",103,104.46,102.94,104.12,104.12,1322300
"FISV","08/22/2016",102.36,102.92,102.14,102.84,102.84,555200
"FISV","08/19/2016",102.19,102.69,101.86,102.54,102.54,811100
"FISV","08/18/2016",102.51,103.09,102.03,102.51,102.51,684200
"FISV","08/17/2016",101.79,102.82,101,102.78,102.78,1322600
"FISV","08/16/2016",102.6,102.73,101.54,101.54,101.54,891700
"FISV","08/15/2016",103.69,103.69,102.94,102.97,102.97,758600
"FISV","08/12/2016",103.08,103.91,102.95,103.36,103.36,750400
"FISV","08/11/2016",104.29,104.79,103.07,103.39,103.39,1293100
"FISV","08/10/2016",104.21,104.95,103.78,104.19,104.19,758300
"FISV","08/09/2016",103.8,104.5,103.53,104.19,104.19,803600
"FISV","08/08/2016",105.08,105.25,103.75,103.99,103.99,976000
"FISV","08/05/2016",105.93,106.3,105.11,105.19,105.19,1293700
