"symbol","date","open","high","low","close","adjclose","volume"
"GIS","12/30/2016",62.37,62.47,61.58,61.77,59.67846,1937700
"GIS","12/29/2016",61.71,62.42,61.67,62.36,60.24848,1483300
"GIS","12/28/2016",62.11,62.5,61.67,61.89,59.7944,1701700
"GIS","12/27/2016",62.32,62.43,61.97,62.2,60.09389,1599700
"GIS","12/23/2016",62.46,62.47,61.87,62.16,60.05525,1460100
"GIS","12/22/2016",62.28,62.52,62.02,62.46,60.3451,2645300
"GIS","12/21/2016",61.42,62.95,61.4,62.39,60.27746,4290200
"GIS","12/20/2016",61.06,62.19,60.52,61.45,59.36929,6168100
"GIS","12/19/2016",63.74,63.74,62.91,63.06,60.92478,2913300
"GIS","12/16/2016",62.88,63.67,62.88,63.5,61.34988,3728500
"GIS","12/15/2016",62.07,62.97,61.92,62.82,60.6929,2963700
"GIS","12/14/2016",63.9,64.06,62.67,62.87,60.74121,2594100
"GIS","12/13/2016",63.85,64.03,63.47,63.74,61.58176,3113000
"GIS","12/12/2016",63.05,63.92,63.05,63.87,61.70736,1802600
"GIS","12/09/2016",62.56,63.22,62.36,63.2,61.06004,1938500
"GIS","12/08/2016",62.7,62.77,62.13,62.48,60.36442,2646200
"GIS","12/07/2016",61.24,63.27,61.24,62.99,60.85715,3564600
"GIS","12/06/2016",61.18,61.38,60.8,61.03,58.96351,1821400
"GIS","12/05/2016",61,61.16,60.83,61.13,59.06013,2133000
"GIS","12/02/2016",60.79,61.19,60.58,60.94,58.87656,2349200
"GIS","12/01/2016",60.92,60.92,60.37,60.59,58.53841,3215100
"GIS","11/30/2016",62.33,62.4,60.91,60.94,58.87656,5940000
"GIS","11/29/2016",62.25,62.81,61.79,62.66,60.53832,3143600
"GIS","11/28/2016",62.12,62.38,61.88,62.08,59.97797,2206300
"GIS","11/25/2016",61.74,62.3,61.74,62.3,60.19051,1069500
"GIS","11/23/2016",62.42,62.75,61.39,61.48,59.39828,2557400
"GIS","11/22/2016",61.93,62.8,61.92,62.68,60.55764,2739500
"GIS","11/21/2016",61.26,61.78,60.95,61.63,59.5432,2392800
"GIS","11/18/2016",61.36,61.63,60.98,61.26,59.18572,2227900
"GIS","11/17/2016",61.32,61.69,60.97,61.36,59.28234,2902900
"GIS","11/16/2016",61.33,61.72,61.06,61.26,59.18572,3282400
"GIS","11/15/2016",61.47,61.62,61,61.3,59.22437,3852400
"GIS","11/14/2016",60.93,61.47,60.66,61.2,59.12776,3452200
"GIS","11/11/2016",61.09,61.65,60.55,61.04,58.97318,3329700
"GIS","11/10/2016",62.42,62.51,60.81,61.07,59.00216,6338200
"GIS","11/09/2016",62.42,62.95,61.17,62.74,60.61562,4893200
"GIS","11/08/2016",61.86,63.93,61.84,63.71,61.55277,4596800
"GIS","11/07/2016",61.03,61.94,60.91,61.83,59.73643,3173900
"GIS","11/04/2016",61.05,61.21,60.65,60.65,58.59638,2578300
"GIS","11/03/2016",61.36,61.67,61.05,61.12,59.05046,2317100
"GIS","11/02/2016",61.62,61.91,61.36,61.38,59.30167,2889600
"GIS","11/01/2016",62.16,62.19,61.39,61.63,59.5432,3449700
"GIS","10/31/2016",61.7,62.02,61.5,61.98,59.88135,2745300
"GIS","10/28/2016",60.84,61.85,60.79,61.66,59.57219,2750100
"GIS","10/27/2016",61.01,61.22,60.63,60.72,58.66401,2277500
"GIS","10/26/2016",61.2,61.32,60.77,60.84,58.77995,1852600
"GIS","10/25/2016",60.97,61.14,60.85,61.1,59.03114,2012000
"GIS","10/24/2016",60.99,61.24,60.58,60.89,58.82825,3040500
"GIS","10/21/2016",60.79,60.92,60.44,60.71,58.65435,3710000
"GIS","10/20/2016",61.56,61.56,60.94,61,58.93453,4403100
"GIS","10/19/2016",61.95,61.95,61.34,61.57,59.48523,4423300
"GIS","10/18/2016",62.24,62.25,61.73,61.91,59.81372,5007600
"GIS","10/17/2016",62.48,62.48,61.71,61.77,59.67846,3404100
"GIS","10/14/2016",62.42,62.48,61.73,61.78,59.68812,3337200
"GIS","10/13/2016",61.76,62.26,61.68,62.22,60.11322,2683200
"GIS","10/12/2016",62.17,62.31,61.89,62.13,60.02627,2832500
"GIS","10/11/2016",62.28,62.38,61.71,61.95,59.85236,3007500
"GIS","10/10/2016",62.45,62.77,62.17,62.44,60.32577,2845100
"GIS","10/07/2016",62.4,62.59,61.64,62.13,60.02627,2759300
"GIS","10/06/2016",62.16,62.65,62.02,62.42,60.30645,3091400
"GIS","10/05/2016",62.61,62.88,62.03,62.36,60.24848,5118100
"GIS","10/05/2016",0,0,0,0,0,0
"GIS","10/04/2016",63.86,63.92,62.89,63.05,60.45137,3618000
"GIS","10/03/2016",63.76,64.02,63.38,63.88,61.24716,2758800
"GIS","09/30/2016",63.92,64.18,63.69,63.88,61.24716,3328400
"GIS","09/29/2016",64.05,64.39,63.65,63.66,61.03623,3006600
"GIS","09/28/2016",64.15,64.19,63.76,64.08,61.43892,2474900
"GIS","09/27/2016",64.06,64.08,63.56,63.92,61.28551,2693100
"GIS","09/26/2016",64.45,64.48,63.8,63.9,61.26634,3176500
"GIS","09/23/2016",64.89,65.24,64.65,64.65,61.98543,3252600
"GIS","09/22/2016",65.26,65.57,64.79,65.06,62.37853,4140200
"GIS","09/21/2016",64.06,65.37,63.15,65.26,62.57029,5468900
"GIS","09/20/2016",65.2,65.4,64.66,64.7,62.03336,3527600
"GIS","09/19/2016",65.05,65.51,64.96,65.21,62.52235,2536700
"GIS","09/16/2016",65.26,65.46,64.83,65.19,62.50317,3705300
"GIS","09/15/2016",65.22,65.72,65.14,65.54,62.83875,2821300
"GIS","09/14/2016",65.81,66.01,65.21,65.48,62.78122,3010700
"GIS","09/13/2016",66.49,66.53,65.55,65.6,62.89627,3536400
"GIS","09/12/2016",65,66.42,65,66.28,63.54824,4290800
"GIS","09/09/2016",66.97,66.98,65.05,65.05,62.36894,6391300
"GIS","09/08/2016",67.6,68.07,67.31,67.47,64.6892,4106400
"GIS","09/07/2016",70.45,70.64,67.61,67.85,65.05353,6769900
"GIS","09/06/2016",71.04,71.33,70.36,70.9,67.97783,3566500
"GIS","09/02/2016",70.57,71.12,70.45,70.94,68.01618,2446600
"GIS","09/01/2016",70.67,70.8,69.66,70.11,67.22039,4253500
"GIS","08/31/2016",70.56,70.91,70.38,70.82,67.90113,3776200
"GIS","08/30/2016",71.39,71.58,70.35,70.51,67.6039,4402700
"GIS","08/29/2016",70.99,71.57,70.99,71.42,68.47639,2476600
"GIS","08/26/2016",71.34,71.68,70.69,70.87,67.94906,1975300
"GIS","08/25/2016",70.82,71.96,70.76,71.39,68.44762,3197300
"GIS","08/24/2016",71,71.06,70.46,71,68.07372,2494700
"GIS","08/23/2016",71.56,71.63,70.93,71.1,68.16959,2270300
"GIS","08/22/2016",71.53,71.82,71.27,71.56,68.61063,2277400
"GIS","08/19/2016",71.26,71.5,70.92,71.45,68.50516,2543700
"GIS","08/18/2016",70.56,71.4,70.51,71.27,68.33258,2517000
"GIS","08/17/2016",70.51,70.87,70.22,70.56,67.65184,3923300
"GIS","08/16/2016",70.57,70.99,70.37,70.5,67.59431,2642300
"GIS","08/15/2016",71.03,71.17,70.78,71.04,68.11206,2096200
"GIS","08/12/2016",71.16,71.45,71.01,71.17,68.23669,1871300
"GIS","08/11/2016",71.1,71.28,70.86,71.07,68.14083,2203800
"GIS","08/10/2016",70.96,71.3,70.83,71.06,68.13123,2189600
"GIS","08/09/2016",70.75,71.06,70.53,70.93,68.0066,2333000
"GIS","08/08/2016",70.49,70.88,70.15,70.63,67.71896,2428700
"GIS","08/05/2016",70.5,70.8,70.3,70.55,67.64227,2539200
"GIS","08/04/2016",70,70.51,69.92,70.49,67.58472,4228200
"GIS","08/03/2016",71.12,71.14,69.23,69.78,66.90399,5387400
"GIS","08/02/2016",71.55,71.72,70.82,70.97,68.04494,4370300
"GIS","08/01/2016",71.98,72.15,71.4,71.63,68.67774,3417600
"GIS","07/29/2016",71.19,72.22,71.17,71.89,68.92702,2728800
"GIS","07/28/2016",70.51,71.44,70.5,71.34,68.39969,2724500
"GIS","07/27/2016",71.48,71.59,70.4,70.55,67.64227,4558600
"GIS","07/26/2016",71.65,72.51,71.19,71.28,68.34216,2592100
"GIS","07/25/2016",71.21,71.72,71.15,71.69,68.73528,2574700
"GIS","07/22/2016",71.44,71.64,71.07,71.22,68.28465,3079200
"GIS","07/21/2016",71.71,71.72,70.99,71.21,68.27505,3008800
"GIS","07/20/2016",72.65,72.7,71.64,71.7,68.74487,2841000
"GIS","07/19/2016",72.21,72.66,72,72.64,69.64612,1996200
"GIS","07/18/2016",72.19,72.4,71.97,72.28,69.30096,2217100
"GIS","07/15/2016",72.25,72.28,71.85,72.02,69.05167,2848900
"GIS","07/14/2016",71.69,72.32,71.68,72.09,69.11877,2689500
"GIS","07/13/2016",71.49,71.97,71.36,71.94,68.97497,2852100
"GIS","07/12/2016",71.47,71.81,71.12,71.42,68.47639,3486500
"GIS","07/11/2016",72.27,72.3,71.7,71.81,68.85033,3559900
"GIS","07/08/2016",72.39,72.48,71.56,72.46,69.47353,4234100
"GIS","07/07/2016",72.44,72.77,71.77,72.02,69.05167,4341400
"GIS","07/07/2016",0,0,0,0,0,0
"GIS","07/06/2016",72.27,72.95,71.86,72.56,69.10918,7086800
"GIS","07/05/2016",71.88,72.66,71.73,72.11,68.6806,4806000
"GIS","07/01/2016",71.19,72.19,70.86,71.94,68.51868,6075900
"GIS","06/30/2016",68,71.78,68,71.32,67.92817,12380000
"GIS","06/29/2016",66.17,67.91,65.64,67.86,64.63272,7759700
"GIS","06/28/2016",66.25,66.25,65.16,65.76,62.63259,4961400
"GIS","06/27/2016",65.83,66.4,65.63,66.19,63.04214,4252300
"GIS","06/24/2016",65.66,66.85,65.41,66.14,62.99451,4836000
"GIS","06/23/2016",66.75,66.88,66.26,66.77,63.59455,2107800
"GIS","06/22/2016",66.59,66.79,66.2,66.4,63.24216,2630200
"GIS","06/21/2016",66.07,66.66,65.99,66.52,63.35643,3132800
