"symbol","date","open","high","low","close","adjclose","volume"
"GM","12/30/2016",35.21,35.31,34.67,34.84,33.45808,7646100
"GM","12/29/2016",35.25,35.48,35.12,35.14,33.74618,4415300
"GM","12/28/2016",35.74,35.8,35.13,35.15,33.75578,8451900
"GM","12/27/2016",35.8,35.93,35.5,35.54,34.13031,6008700
"GM","12/23/2016",35.83,35.87,35.54,35.69,34.27436,9044300
"GM","12/22/2016",36.29,36.4,35.63,35.69,34.27436,9911700
"GM","12/21/2016",36.5,36.69,36.35,36.42,34.9754,6669700
"GM","12/20/2016",36.4,36.73,36.23,36.61,35.15787,8795900
"GM","12/19/2016",36.49,36.73,36.15,36.4,34.9562,10960800
"GM","12/16/2016",36.4,36.41,36.1,36.37,34.92739,23566000
"GM","12/15/2016",35.87,36.39,35.78,36.24,34.80255,18215600
"GM","12/14/2016",36.3,36.78,35.93,35.95,34.52405,19799000
"GM","12/13/2016",37.15,37.44,36.95,37.36,35.87812,9228800
"GM","12/12/2016",37.51,37.74,37.01,37.1,35.62844,15575200
"GM","12/09/2016",36.41,37.68,36.41,37.66,36.16622,26434200
"GM","12/08/2016",36.19,36.46,36.04,36.42,34.9754,14516000
"GM","12/07/2016",35.18,36.54,35.09,36.3,34.86017,26622400
"GM","12/06/2016",35.09,35.16,34.91,35.07,33.67895,11867800
"GM","12/05/2016",35.35,35.46,34.91,34.94,33.55411,12440400
"GM","12/05/2016",0,0,0,0,0,0
"GM","12/02/2016",36.25,36.3,35.3,35.41,33.64054,22753400
"GM","12/01/2016",34.81,36.66,34.79,36.43,34.60957,37092300
"GM","11/30/2016",34.7,34.98,34.45,34.53,32.80451,15681700
"GM","11/29/2016",34.03,34.58,33.86,34.57,32.84252,12610000
"GM","11/28/2016",34.35,34.38,33.96,34.05,32.3485,11516600
"GM","11/25/2016",34,34.32,33.93,34.25,32.5385,5317700
"GM","11/23/2016",33.74,33.99,33.69,33.86,32.16799,8708800
"GM","11/22/2016",32.82,33.82,32.77,33.81,32.12049,12283800
"GM","11/21/2016",33.23,33.28,32.98,33.01,31.36047,11667100
"GM","11/18/2016",33.4,33.42,32.96,33,31.35097,8617200
"GM","11/17/2016",32.97,33.44,32.75,33.42,31.74998,11728600
"GM","11/16/2016",33.36,33.36,33.07,33.23,31.56947,8803300
"GM","11/15/2016",33.3,33.6,33.1,33.43,31.75948,10906600
"GM","11/14/2016",33.9,34.42,33.05,33.28,31.61698,19656300
"GM","11/11/2016",32.49,34.28,32.38,34.02,32.32,33042700
"GM","11/10/2016",30.93,32.83,30.91,32.73,31.09446,27811100
"GM","11/09/2016",30.91,31.15,30.21,30.96,29.41291,38594400
"GM","11/08/2016",31.9,31.97,31.41,31.73,30.14443,10357100
"GM","11/07/2016",31.58,32.15,31.54,32.02,30.41994,13560200
"GM","11/04/2016",31,31.54,30.94,31.16,29.60291,12770800
"GM","11/03/2016",31.45,31.64,30.95,31.07,29.51741,13720100
"GM","11/02/2016",31.33,31.72,31.31,31.45,29.87843,11763100
"GM","11/01/2016",31.7,32.08,31.19,31.48,29.90692,14668300
"GM","10/31/2016",31.42,31.65,31.35,31.6,30.02093,7954100
"GM","10/28/2016",31.33,31.76,31.22,31.32,29.75492,10571600
"GM","10/27/2016",31.75,31.78,31.19,31.33,29.76442,20653600
"GM","10/26/2016",31.22,31.74,31.12,31.58,30.00193,14955800
"GM","10/25/2016",32.85,32.85,31.39,31.6,30.02093,34069800
"GM","10/24/2016",32.18,33.08,32.15,32.98,31.33197,20232300
"GM","10/21/2016",31.58,32.17,31.48,32.04,30.43894,11975700
"GM","10/20/2016",31.78,31.86,31.39,31.75,30.16343,8077600
"GM","10/19/2016",31.54,31.98,31.48,31.85,30.25843,9158600
"GM","10/18/2016",31.83,31.88,31.19,31.4,29.83092,7955800
"GM","10/17/2016",31.84,32.06,31.53,31.56,29.98293,7476100
"GM","10/14/2016",31.76,31.99,31.68,31.87,30.27744,11105600
"GM","10/13/2016",31.48,31.63,30.88,31.51,29.93542,12102600
"GM","10/12/2016",31.9,31.99,31.65,31.68,30.09693,5597600
"GM","10/11/2016",32.23,32.28,31.69,31.89,30.29643,7977500
"GM","10/10/2016",32.31,32.6,32.12,32.15,30.54345,6092600
"GM","10/07/2016",32.5,32.6,32.05,32.34,30.72395,8909400
"GM","10/06/2016",32.54,32.64,32.21,32.53,30.90445,8611200
"GM","10/05/2016",32.31,32.78,32.23,32.68,31.04696,11093500
"GM","10/04/2016",32.08,32.47,32.04,32.17,30.56244,8506200
"GM","10/03/2016",31.64,32.24,31.61,32.04,30.43894,11375900
"GM","09/30/2016",31.63,31.95,31.58,31.77,30.18243,9330000
"GM","09/29/2016",31.77,31.96,31.45,31.48,29.90692,8821200
"GM","09/28/2016",31.75,31.94,31.54,31.9,30.30594,10713600
"GM","09/27/2016",31.77,31.96,31.54,31.6,30.02093,14465300
"GM","09/26/2016",32.02,32.12,31.75,31.8,30.21093,12700900
"GM","09/23/2016",32.1,32.37,32.05,32.12,30.51494,9812100
"GM","09/22/2016",32.27,32.47,32.27,32.39,30.77145,12034000
"GM","09/21/2016",31.72,32.16,31.72,32.11,30.50545,14468700
"GM","09/20/2016",31.91,31.94,31.33,31.65,30.06843,12876200
"GM","09/19/2016",31.9,32.08,31.66,31.72,30.13493,32224500
"GM","09/16/2016",31.13,31.13,30.61,30.97,29.42241,12780800
"GM","09/15/2016",30.75,31.23,30.74,31.12,29.56491,13467400
"GM","09/14/2016",30.79,30.87,30.49,30.71,29.1754,12903200
"GM","09/13/2016",31.02,31.15,30.82,30.94,29.39391,16162900
"GM","09/12/2016",30.36,31.35,30.13,31.18,29.62192,17250300
"GM","09/09/2016",31.44,31.56,30.37,30.48,28.95689,22476300
"GM","09/08/2016",31.85,32,31.68,31.71,30.12543,11795200
"GM","09/07/2016",31.99,31.99,31.62,31.89,30.29643,12554700
"GM","09/07/2016",0,0,0,0,0,0
"GM","09/06/2016",32.25,32.34,31.85,32.12,30.15393,16774800
"GM","09/02/2016",31.88,32.2,31.85,32.16,30.19148,10828400
"GM","09/01/2016",31.86,32.55,31.34,31.8,29.85352,14898800
"GM","08/31/2016",31.67,31.94,31.65,31.92,29.96618,9625600
"GM","08/30/2016",31.81,32,31.23,31.67,29.73148,10748700
"GM","08/29/2016",31.78,31.96,31.57,31.81,29.86291,7678000
"GM","08/26/2016",31.67,31.82,31.42,31.53,29.60005,10436200
"GM","08/25/2016",31.71,31.75,31.36,31.54,29.60943,15930800
"GM","08/24/2016",31.84,32.09,31.76,31.78,29.83475,8179500
"GM","08/23/2016",31.97,32.05,31.87,31.9,29.9474,10961100
"GM","08/22/2016",31.79,31.95,31.7,31.87,29.91924,8306000
"GM","08/19/2016",31.48,31.89,31.4,31.83,29.88168,8809700
"GM","08/18/2016",31.8,31.86,31.48,31.55,29.61882,14089900
"GM","08/17/2016",31.71,31.88,31.55,31.85,29.90046,8392400
"GM","08/16/2016",31.81,31.85,31.61,31.71,29.76903,9888500
"GM","08/15/2016",31.59,31.89,31.55,31.86,29.90985,9345300
"GM","08/12/2016",31.6,31.75,31.55,31.57,29.6376,9843700
"GM","08/11/2016",31.43,31.79,31.36,31.75,29.80658,13179600
"GM","08/10/2016",31.03,31.27,30.96,31.25,29.33718,10833700
"GM","08/09/2016",30.91,31.25,30.83,31.07,29.1682,13691100
