"symbol","date","open","high","low","close","adjclose","volume"
"GPC","12/30/2016",96.67,96.94,94.88,95.54,92.73765,610800
"GPC","12/29/2016",96.4,96.8,95.93,96.45,93.62096,372200
"GPC","12/28/2016",97.79,97.85,96.33,96.37,93.5433,345100
"GPC","12/27/2016",96.9,97.74,96.9,97.58,94.71782,259200
"GPC","12/23/2016",96.78,97.57,96.68,96.9,94.05777,250600
"GPC","12/22/2016",97.94,97.98,96.08,96.57,93.73744,511500
"GPC","12/21/2016",98.51,99.13,97.82,97.83,94.96049,437500
"GPC","12/20/2016",98.99,99.41,98.39,98.72,95.82438,437700
"GPC","12/19/2016",98.24,98.78,97.7,98.56,95.66907,426100
"GPC","12/16/2016",98.4,99.12,97.64,97.98,95.10609,748900
"GPC","12/15/2016",97.76,98.9,97.44,98.15,95.2711,539500
"GPC","12/14/2016",99.47,99.92,97.77,97.92,95.04784,768600
"GPC","12/13/2016",98.55,99.92,98.08,99.82,96.89211,938700
"GPC","12/12/2016",98.44,98.55,97.38,98.21,95.32935,661500
"GPC","12/09/2016",98.59,99.34,97.9,98.63,95.73701,747800
"GPC","12/08/2016",99.51,99.79,98.34,98.85,95.95056,616900
"GPC","12/07/2016",97.11,99.87,97.01,99.81,96.88241,578500
"GPC","12/07/2016",0,0,0,0,0,0
"GPC","12/06/2016",97.38,97.97,96.62,97.49,93.99175,611600
"GPC","12/05/2016",96.25,97.81,96.23,97.35,93.85678,587400
"GPC","12/02/2016",96.3,97.01,95.52,95.75,92.31419,506200
"GPC","12/01/2016",96.16,97.58,96.06,96.22,92.76733,709000
"GPC","11/30/2016",96.45,97.34,96.21,96.23,92.77698,1032400
"GPC","11/29/2016",97.05,97.32,96.29,96.55,93.08549,501600
"GPC","11/28/2016",97.59,97.95,96.59,97.05,93.56755,613700
"GPC","11/25/2016",97.41,98.05,96.89,97.9,94.38705,227200
"GPC","11/23/2016",96.89,97.86,96.87,97.31,93.81821,520000
"GPC","11/22/2016",96.36,97.34,95.98,97.17,93.68324,501600
"GPC","11/21/2016",94.69,96.29,94.57,95.96,92.51665,645300
"GPC","11/18/2016",94.5,94.87,93.98,94.55,91.15726,1038900
"GPC","11/17/2016",95.44,95.44,94.23,94.6,91.20546,873400
"GPC","11/16/2016",95.75,96.4,94.75,95.35,91.92855,587900
"GPC","11/15/2016",96.36,97.32,95.05,96.08,92.63235,844600
"GPC","11/14/2016",94.78,96.49,94.66,96.15,92.69984,1107400
"GPC","11/11/2016",93.13,94.78,93.13,94.62,91.22475,822100
"GPC","11/10/2016",90.59,94.57,90.59,93.5,90.14494,1935000
"GPC","11/09/2016",87.16,90.26,86.61,90.18,86.94406,1001200
"GPC","11/08/2016",88.5,88.93,88.04,88.71,85.5268,631100
"GPC","11/07/2016",88.92,88.98,87.96,88.63,85.44968,865400
"GPC","11/04/2016",88.18,88.7,87.58,87.67,84.52412,659900
"GPC","11/03/2016",88.63,88.89,87.68,87.91,84.75552,673000
"GPC","11/02/2016",88.87,89.43,88.14,88.44,85.26649,755300
"GPC","11/01/2016",90.87,90.87,88.5,89,85.80641,754900
"GPC","10/31/2016",90.09,90.71,89.6,90.59,87.33935,751300
"GPC","10/28/2016",89.34,90.71,89.28,89.84,86.61626,598600
"GPC","10/27/2016",91.38,91.38,89.11,89.15,85.95103,904600
"GPC","10/26/2016",90.3,91.17,90.19,91.06,87.79249,568300
"GPC","10/25/2016",90.51,90.96,90.25,90.49,87.24294,833500
"GPC","10/24/2016",91.15,91.86,90.75,91.02,87.75392,784100
"GPC","10/21/2016",88.86,90.77,88.51,90.59,87.33935,1178700
"GPC","10/20/2016",91.8,91.87,88.81,89.51,86.29811,1405100
"GPC","10/19/2016",92.7,94.55,90.58,92.12,88.81445,2774700
"GPC","10/18/2016",98.59,98.96,96.27,96.35,92.89266,835900
"GPC","10/17/2016",97.75,98.25,97.43,97.83,94.31956,584800
"GPC","10/14/2016",98.14,98.66,97.84,98.01,94.4931,352000
"GPC","10/13/2016",97.37,97.87,96.62,97.7,94.19422,450900
"GPC","10/12/2016",98,98.65,97.25,98.09,94.57022,312200
"GPC","10/11/2016",98.08,98.26,97.19,97.29,93.79893,440800
"GPC","10/10/2016",98.74,98.99,98.3,98.42,94.88838,242100
"GPC","10/07/2016",99.94,99.94,97.86,98.27,94.74377,433500
"GPC","10/06/2016",98.54,99.42,97.96,99.22,95.65968,541900
"GPC","10/05/2016",98.92,99.27,98.58,98.91,95.36082,652400
"GPC","10/04/2016",99.73,100.34,98.05,98.39,94.85947,481400
"GPC","10/03/2016",99.57,100.15,99.05,99.83,96.2478,703200
"GPC","09/30/2016",100.01,100.84,100,100.45,96.84554,655900
"GPC","09/29/2016",100.6,101.01,99.53,99.58,96.00677,538000
"GPC","09/28/2016",100.32,100.92,99.96,100.74,97.12514,540100
"GPC","09/27/2016",98.58,100.44,98.58,100.41,96.80698,642200
"GPC","09/26/2016",98.02,98.82,97.87,98.51,94.97517,496800
"GPC","09/23/2016",100.9,101.06,98.54,98.62,95.08121,762100
"GPC","09/22/2016",100.27,101.88,100.14,101.47,97.82894,824400
"GPC","09/21/2016",98.88,100,98.84,99.93,96.3442,421000
"GPC","09/20/2016",99.14,99.61,98.58,98.75,95.20654,496700
"GPC","09/19/2016",97.4,99.26,96.96,98.62,95.08121,604200
"GPC","09/16/2016",96.54,97.53,95.96,97.15,93.66396,786300
"GPC","09/15/2016",96.41,97.07,96.23,96.89,93.41329,1028800
"GPC","09/14/2016",97.31,97.79,96.53,96.74,93.26867,716200
"GPC","09/13/2016",97.87,98.41,96.96,97.1,93.61575,921700
"GPC","09/12/2016",96.39,98.68,96.06,98.56,95.02336,643300
"GPC","09/09/2016",98.98,99.01,96.98,96.99,93.5097,838700
"GPC","09/08/2016",100.18,100.23,99.6,99.72,96.14175,521800
"GPC","09/07/2016",101.06,101.12,99.78,100.3,96.70094,884000
"GPC","09/07/2016",0,0,0,0,0,0
"GPC","09/06/2016",103.33,103.67,101.45,101.66,97.37774,715800
"GPC","09/02/2016",104.04,104.04,103.06,103.41,99.05402,454800
"GPC","09/01/2016",103,103.24,102.22,103.01,98.67088,529200
"GPC","08/31/2016",103.42,103.42,102.36,102.82,98.48888,793400
"GPC","08/30/2016",105.1,105.15,103.54,103.7,99.3318,605700
"GPC","08/29/2016",103.39,105.18,103.32,105.09,100.6633,455000
"GPC","08/26/2016",104.14,104.81,102.86,103.32,98.96781,501700
