"symbol","date","open","high","low","close","adjclose","volume"
"HIG","12/30/2016",47.84,47.84,47.52,47.65,46.80415,1314500
"HIG","12/29/2016",47.8,47.94,47.5,47.72,46.87291,1214600
"HIG","12/28/2016",48.42,48.42,47.72,47.73,46.88274,855000
"HIG","12/27/2016",48.22,48.4,48.08,48.25,47.39351,834200
"HIG","12/23/2016",48.14,48.29,48.01,48.25,47.39351,1050700
"HIG","12/22/2016",48.08,48.26,47.78,48.16,47.3051,1701400
"HIG","12/21/2016",48.03,48.49,47.79,48.21,47.35421,1435500
"HIG","12/20/2016",47.99,48.18,47.69,48.01,47.15776,2709100
"HIG","12/19/2016",47.76,47.89,47.26,47.83,46.98096,1776100
"HIG","12/16/2016",48.09,48.13,47.51,47.65,46.80415,5881900
"HIG","12/15/2016",47.92,48.55,47.92,47.97,47.11848,2506600
"HIG","12/14/2016",47.99,48.48,47.62,47.85,47.0006,2525700
"HIG","12/13/2016",48.61,48.82,47.96,48.26,47.40332,2047300
"HIG","12/12/2016",48.4,48.66,48.01,48.58,47.71765,2424500
"HIG","12/09/2016",48.19,48.69,47.97,48.54,47.67836,3134500
"HIG","12/08/2016",47.76,48.31,47.63,47.99,47.13812,2791300
"HIG","12/07/2016",48.23,48.42,47.2,47.52,46.67646,5468100
"HIG","12/06/2016",47.85,48.28,47.68,48.24,47.38368,1935600
"HIG","12/05/2016",47.84,47.91,47.29,47.62,46.77468,1678000
"HIG","12/02/2016",47.71,47.76,47.17,47.42,46.57824,1846800
"HIG","12/01/2016",47.27,47.89,47.26,47.77,46.92202,2068700
"HIG","11/30/2016",47.39,47.63,47.07,47.12,46.28356,3935400
"HIG","11/29/2016",47.33,47.47,46.85,46.92,46.08711,1893900
"HIG","11/29/2016",0,0,0,0,0,0
"HIG","11/28/2016",47.47,47.71,47,47.41,46.3425,2269700
"HIG","11/25/2016",48.02,48.17,47.76,47.87,46.79214,829800
"HIG","11/23/2016",47.7,48.03,47.55,48,46.91921,2011800
"HIG","11/22/2016",47.41,47.62,47.04,47.56,46.48912,1744900
"HIG","11/21/2016",47.39,47.48,47.19,47.31,46.24475,1608100
"HIG","11/18/2016",46.93,47.36,46.81,47.25,46.1861,1666500
"HIG","11/17/2016",46.5,47.09,46.33,46.97,45.91241,2822700
"HIG","11/16/2016",47.32,47.36,46.3,46.58,45.53119,2766500
"HIG","11/15/2016",47.74,47.96,47.39,47.89,46.8117,2371300
"HIG","11/14/2016",47.04,48.03,47.01,47.93,46.85079,4311200
"HIG","11/11/2016",46.11,46.86,46.05,46.82,45.76578,1894200
"HIG","11/10/2016",46.26,46.88,46.08,46.3,45.25749,3371700
"HIG","11/09/2016",45.07,45.99,44.72,45.72,44.69055,2769400
"HIG","11/08/2016",44.35,45.03,44.19,44.73,43.72284,1922900
"HIG","11/07/2016",44.07,44.46,44.04,44.46,43.45892,2319700
"HIG","11/04/2016",43.76,43.86,43.18,43.22,42.24685,2893400
"HIG","11/03/2016",44.17,44.41,43.67,43.75,42.76491,3389000
"HIG","11/02/2016",44,44.28,43.82,44.1,43.10703,2989400
"HIG","11/01/2016",44.28,44.36,43.7,44.14,43.14613,3305600
"HIG","10/31/2016",44.7,44.7,44.1,44.11,43.1168,3119800
"HIG","10/28/2016",43.85,45.39,43.85,44.25,43.25365,5416300
"HIG","10/27/2016",43.61,43.7,43.07,43.11,42.13932,2762200
"HIG","10/26/2016",42.62,43.62,42.42,43.43,42.45211,2257900
"HIG","10/25/2016",42.91,42.92,42.45,42.71,41.74833,1862600
"HIG","10/24/2016",42.93,43.19,42.77,42.92,41.95359,1622800
"HIG","10/21/2016",42.46,42.84,42.3,42.58,41.62125,2083400
"HIG","10/20/2016",43.09,43.19,42.77,42.89,41.92427,2891100
"HIG","10/19/2016",43.29,43.5,43.21,43.27,42.29572,2340400
"HIG","10/18/2016",43.52,43.65,43.15,43.25,42.27616,1275700
"HIG","10/17/2016",43.42,43.55,43.12,43.14,42.16864,1512900
"HIG","10/14/2016",43.2,43.82,43.2,43.31,42.33482,2129800
"HIG","10/13/2016",43,43.15,42.53,42.86,41.89495,2073200
"HIG","10/12/2016",43.2,43.59,43.19,43.4,42.42279,1807700
"HIG","10/11/2016",43.56,43.82,42.95,43.19,42.21752,2644800
