"symbol","date","open","high","low","close","adjclose","volume"
"HLT","12/30/2016",55.91705,56.12225,55.46561,55.81445,55.28553,4541600
"HLT","12/29/2016",55.67081,55.99913,55.30145,55.91705,55.38715,2822700
"HLT","12/28/2016",56.47109,56.55317,55.44509,55.50665,54.98065,11059200
"HLT","12/27/2016",56.45057,56.65577,56.12225,56.28641,55.75302,6458400
"HLT","12/23/2016",56.20433,56.43005,56.01965,56.16329,55.63107,3149800
"HLT","12/22/2016",56.98409,57.20981,56.12225,56.32745,55.79367,6979800
"HLT","12/21/2016",57.10721,57.35345,56.81993,56.90201,56.36279,10550200
"HLT","12/20/2016",56.96357,57.35345,56.69681,56.92253,56.38311,13421600
"HLT","12/19/2016",56.5326,57.18924,56.36844,56.8404,56.30176,10293100
"HLT","12/16/2016",56.18381,56.57369,55.77341,56.49161,55.95628,16622600
"HLT","12/15/2016",55.36301,56.20433,55.01417,56.04017,55.50911,15483900
"HLT","12/14/2016",54.23441,55.17833,53.96765,54.74741,54.2286,14636800
"HLT","12/13/2016",53.57777,54.25493,53.45465,54.13181,53.61884,8503700
"HLT","12/12/2016",53.98817,54.17285,52.79801,53.33153,52.82613,13697200
"HLT","12/09/2016",54.13181,55.05521,53.88557,54.41909,53.90339,7386300
"HLT","12/08/2016",55.50665,56.06069,53.74193,53.84453,53.33428,12029300
"HLT","12/07/2016",54.09077,55.97861,53.88557,55.48613,54.96032,17666100
"HLT","12/06/2016",53.70089,54.04973,53.37257,53.98817,53.47655,16349500
"HLT","12/05/2016",52.96217,53.63933,52.51073,53.53673,53.02939,18427500
"HLT","12/02/2016",51.62836,52.05929,51.52576,51.83356,51.34237,9187400
"HLT","12/01/2016",51.68993,52.07981,51.25901,51.73096,51.24074,17947900
"HLT","11/30/2016",50.88964,51.58733,50.56133,51.44369,50.95619,10632600
"HLT","11/29/2016",51.07433,51.56681,50.82809,50.91016,50.42772,10473100
"HLT","11/28/2016",51.64889,51.85409,50.88964,50.91016,50.42772,11120600
"HLT","11/25/2016",51.50525,52.22345,51.44369,51.93616,51.444,2231800
"HLT","11/23/2016",50.97173,51.42316,50.62289,51.36161,50.87488,6978700
"HLT","11/22/2016",50.66393,51.03329,50.56133,50.99224,50.50902,6202000
"HLT","11/21/2016",50.33561,50.58184,50.17144,50.54081,50.06186,7922900
"HLT","11/18/2016",50.43821,50.56133,49.96624,50.10989,49.63503,6831900
"HLT","11/17/2016",50.3766,50.64336,49.92516,50.41764,49.93986,5008500
"HLT","11/16/2016",50.08936,50.82809,50.08936,50.37664,49.89926,8615600
"HLT","11/15/2016",49.90464,50.35608,49.78152,50.25348,49.77726,3906100
"HLT","11/14/2016",48.81712,50.27404,48.52984,49.90469,49.43177,13654000
"HLT","11/11/2016",48.24256,48.694,48.0784,48.65296,48.19191,7450400
"HLT","11/10/2016",48.40672,48.55036,47.93476,48.13996,47.68377,21619000
"HLT","11/09/2016",47.3602,48.694,46.5394,48.44776,47.98865,8759200
