"symbol","date","open","high","low","close","adjclose","volume"
"K","12/30/2016",74,74.16,73.42,73.71,71.5017,1042000
"K","12/29/2016",73.51,74.14,73.33,73.96,71.74421,1452300
"K","12/28/2016",73.82,73.9,73.32,73.43,71.23009,674800
"K","12/27/2016",73.57,74.06,73.26,73.85,71.6375,656900
"K","12/23/2016",73.57,73.65,73.08,73.57,71.36589,615000
"K","12/22/2016",73.3,73.83,72.7,73.66,71.4532,1687300
"K","12/21/2016",73.21,73.99,72.99,73.15,70.95847,1714700
"K","12/20/2016",71.93,73.28,71.83,73.27,71.07488,1409900
"K","12/19/2016",73.32,73.47,72.64,72.92,70.73537,5504600
"K","12/16/2016",73.46,74.05,73.07,73.29,71.09428,2376200
"K","12/15/2016",73.02,73.85,72.84,73.41,71.2107,1285400
"K","12/14/2016",74.14,74.38,72.95,73.12,70.92937,1320600
"K","12/13/2016",73.8,74.49,73.65,73.95,71.7345,1685100
"K","12/12/2016",72.95,73.97,72.88,73.8,71.589,1778500
"K","12/09/2016",72.16,73.33,72.08,73.11,70.91968,2393600
"K","12/08/2016",72.33,72.39,71.86,72.09,69.93024,1128000
"K","12/07/2016",70.98,72.75,70.98,72.65,70.47346,1958800
"K","12/06/2016",71.87,72.16,71.61,71.97,69.81384,1108200
"K","12/05/2016",71.23,71.69,71.11,71.67,69.52281,2075600
"K","12/02/2016",71.23,71.5,70.79,71.17,69.0378,1352600
"K","12/01/2016",71.61,71.85,70.74,70.96,68.83409,2359700
"K","11/30/2016",73.26,73.38,71.96,72,69.84293,1854600
"K","11/29/2016",73.52,73.73,72.83,73.62,71.4144,959900
"K","11/29/2016",0,0,0,0,0,0
"K","11/28/2016",74.01,74.58,73.68,73.89,71.17189,1095000
"K","11/25/2016",73.71,74.48,73.53,74.16,71.43197,497300
"K","11/23/2016",74.12,74.6,73.19,73.39,70.69028,963300
"K","11/22/2016",73.61,74.66,73.61,74.49,71.74981,1281800
"K","11/21/2016",73.07,73.6,72.83,73.39,70.69028,1308700
"K","11/18/2016",73.35,73.54,72.83,73.07,70.38206,1183200
"K","11/17/2016",73.06,73.77,72.58,73.44,70.73844,1197500
"K","11/16/2016",73.45,73.63,72.96,73.26,70.56507,1104500
"K","11/15/2016",72.73,73.5,72.7,73.4,70.69992,1884300
