"symbol","date","open","high","low","close","adjclose","volume"
"KLAC","12/30/2016",79.29,79.54,78.12,78.68,76.80283,784000
"KLAC","12/29/2016",79.58,79.78,78.52,79.29,77.39829,636000
"KLAC","12/28/2016",80.96,81.69,79.72,79.76,77.85709,1057900
"KLAC","12/27/2016",79.19,80.48,79.09,80.02,78.11086,733400
"KLAC","12/23/2016",79.22,79.32,78.53,79.12,77.23235,488500
"KLAC","12/22/2016",78.98,79.35,78.38,79.15,77.26163,1507300
"KLAC","12/21/2016",79.1,79.33,78.66,78.98,77.09569,798500
"KLAC","12/20/2016",79.73,79.99,78.68,78.88,76.99807,908600
"KLAC","12/19/2016",79.42,80.68,78.82,79.37,77.47638,1916400
"KLAC","12/16/2016",79.62,80.43,77.84,78.19,76.32453,7052500
"KLAC","12/15/2016",77.92,80.68,77.34,79.36,77.46661,2226700
"KLAC","12/14/2016",79.33,80.45,77.51,77.81,75.9536,2241100
"KLAC","12/13/2016",77.58,79.04,77.58,77.97,76.10978,1356700
"KLAC","12/12/2016",77.34,77.5,76.56,77.32,75.47529,1388200
"KLAC","12/09/2016",79.02,79.02,76.81,77.21,75.36791,1538800
"KLAC","12/08/2016",79.25,79.71,78.32,78.85,76.96878,1031200
"KLAC","12/07/2016",78.02,80,77.9,79.26,77.369,1765300
"KLAC","12/06/2016",76.99,78.37,76.45,78.12,76.2562,1277000
"KLAC","12/05/2016",76.26,77.94,76.21,77.03,75.1922,1402400
"KLAC","12/02/2016",76,76.84,74.66,76.26,74.44058,2718400
"KLAC","12/01/2016",79.69,79.97,74.76,75.93,74.11845,3435400
"KLAC","11/30/2016",81.78,82,79.84,79.84,77.93516,2217800
"KLAC","11/29/2016",82.58,82.69,81.65,81.68,79.73126,1460400
"KLAC","11/28/2016",81.99,83.14,81.97,82.51,80.54147,839700
"KLAC","11/25/2016",81.91,82.28,81.66,82.27,80.30718,400200
"KLAC","11/23/2016",83,83,81.43,81.83,79.8777,3174200
"KLAC","11/22/2016",81.21,83.23,81.13,83.04,81.05882,3431100
"KLAC","11/21/2016",80.05,81.75,79.74,80.96,79.02844,1823700
"KLAC","11/18/2016",79.03,80.24,78.49,80.04,78.13039,2012300
"KLAC","11/17/2016",77.88,79.84,77.7,79.05,77.16402,1670600
"KLAC","11/16/2016",77.47,77.86,77.24,77.7,75.84622,930000
"KLAC","11/15/2016",76.35,77.83,75.44,77.75,75.89503,1745700
"KLAC","11/14/2016",75.79,76.43,75.47,75.48,73.67919,1270900
"KLAC","11/11/2016",74.24,75.5,74.2,75.46,73.65966,1010700
"KLAC","11/10/2016",75.45,76.34,74.28,74.51,72.73233,1955700
"KLAC","11/10/2016",0,0,0,0,0,0
"KLAC","11/09/2016",74.26,75.68,73.99,75.49,73.16182,1614700
"KLAC","11/08/2016",75.67,75.86,75.05,75.53,73.20061,2535300
"KLAC","11/07/2016",75.4,75.79,74.65,75.54,73.21029,2336500
"KLAC","11/04/2016",74.75,75.19,74.35,74.52,72.22175,1452900
"KLAC","11/03/2016",74.86,75.12,74.54,74.68,72.37681,2100700
"KLAC","11/02/2016",73.78,75.01,73.51,74.73,72.42529,2078600
"KLAC","11/01/2016",75.04,75.19,73.3,73.9,71.62086,1555200
