"symbol","date","open","high","low","close","adjclose","volume"
"MAS","12/30/2016",32.08,32.08,31.51,31.62,31.26353,1546100
"MAS","12/29/2016",31.85,32.08,31.8,31.89,31.53048,1188300
"MAS","12/28/2016",32.38,32.45,31.74,31.83,31.47116,1736400
"MAS","12/27/2016",32.21,32.26,32.08,32.24,31.87654,1160100
"MAS","12/23/2016",32.11,32.13,31.95,32.06,31.69856,1626400
"MAS","12/22/2016",32.87,32.88,32.01,32.03,31.6689,2422400
"MAS","12/21/2016",32.56,32.9,32.48,32.79,32.42033,2370500
"MAS","12/20/2016",32.43,32.53,32.19,32.46,32.09405,1676900
"MAS","12/19/2016",31.99,32.7,31.99,32.4,32.03473,2865700
"MAS","12/16/2016",31.59,32.01,31.54,31.93,31.57003,5962600
"MAS","12/15/2016",32.5,32.71,31.5,31.54,31.18443,3815200
"MAS","12/14/2016",32.56,33.21,32.44,32.5,32.1336,3766400
"MAS","12/13/2016",32.5,33.08,32.49,32.67,32.30169,3519500
"MAS","12/12/2016",32.34,32.45,32.1,32.4,32.03473,3121700
"MAS","12/09/2016",32.59,32.63,32.3,32.61,32.24236,4031800
"MAS","12/08/2016",32.21,32.67,32.09,32.54,32.17315,2536500
"MAS","12/07/2016",31.22,32.23,31.22,32.13,31.76778,4257500
"MAS","12/06/2016",31.29,31.37,31.01,31.24,30.88781,3614400
"MAS","12/05/2016",30.65,31.2,30.52,31.19,30.83837,4770400
"MAS","12/02/2016",30.24,30.55,30.08,30.32,29.97818,4515400
"MAS","12/01/2016",31.67,31.67,30.26,30.33,29.98807,5396900
"MAS","11/30/2016",32.32,32.47,31.54,31.65,31.29318,3936000
"MAS","11/29/2016",32.13,32.37,32.03,32.21,31.84687,2533000
"MAS","11/28/2016",32.6,32.72,32.01,32.16,31.79743,3928200
"MAS","11/25/2016",32.41,32.72,32.25,32.71,32.34124,1103000
"MAS","11/23/2016",32.53,32.7,32.25,32.39,32.02484,2456000
"MAS","11/22/2016",32.58,32.7,32.26,32.56,32.19293,4247200
"MAS","11/21/2016",32.7,32.75,32.07,32.49,32.12372,4288500
"MAS","11/18/2016",32.16,32.56,32.1,32.46,32.09405,4256500
"MAS","11/17/2016",31.56,32.42,31.54,32.25,31.88642,4471900
"MAS","11/16/2016",31.72,31.9,31.18,31.38,31.02623,4016800
"MAS","11/15/2016",32.11,32.58,31.46,31.93,31.57003,3837700
"MAS","11/14/2016",31.38,31.72,31.26,31.65,31.29318,4732200
"MAS","11/11/2016",31.23,31.68,30.91,31.27,30.91747,4032600
"MAS","11/10/2016",31.01,31.86,31.01,31.45,31.09544,5005300
"MAS","11/09/2016",30.38,31.2,30.04,30.93,30.5813,3559300
"MAS","11/08/2016",30.24,30.58,30.07,30.46,30.1166,3050400
"MAS","11/07/2016",30.48,30.55,30.1,30.27,29.92874,3975600
"MAS","11/04/2016",29.58,30.39,29.42,29.84,29.50359,5018400
"MAS","11/03/2016",29.55,29.78,29.38,29.45,29.11799,4226100
"MAS","11/02/2016",29.94,30.12,29.4,29.43,29.09821,5654100
"MAS","11/01/2016",30.86,30.95,29.74,29.98,29.64201,5626800
"MAS","10/31/2016",30.82,30.99,30.65,30.88,30.53186,4257900
"MAS","10/28/2016",30.54,31.1,30.5,30.72,30.37367,5073600
"MAS","10/27/2016",30.65,30.99,30.25,30.5,30.15615,6695200
"MAS","10/26/2016",30.24,30.84,30.22,30.6,30.25502,7157100
"MAS","10/25/2016",32.37,32.39,30.04,30.38,30.0375,14614500
"MAS","10/24/2016",33.31,33.84,33.2,33.56,33.18166,4257800
"MAS","10/21/2016",32.91,33.2,32.66,33.09,32.71695,3026100
"MAS","10/20/2016",32.82,33.27,32.71,33.19,32.81582,3116800
"MAS","10/19/2016",33.54,33.59,32.76,32.94,32.56864,4827900
"MAS","10/18/2016",34.21,34.21,33.44,33.47,33.09267,3504400
"MAS","10/17/2016",33.58,33.99,33.55,33.8,33.41895,2490100
"MAS","10/14/2016",33.7,34.06,33.52,33.52,33.14211,2029800
"MAS","10/13/2016",33.36,33.46,32.91,33.36,32.98391,2326300
"MAS","10/12/2016",33.29,33.77,33.12,33.56,33.18166,2562300
"MAS","10/12/2016",0,0,0,0,0,0
"MAS","10/11/2016",34.23,34.47,33.12,33.23,32.7565,2921500
"MAS","10/10/2016",33.88,34.05,33.65,33.88,33.39724,3364200
"MAS","10/07/2016",34.8,34.86,33.5,33.51,33.03251,8533000
"MAS","10/06/2016",34.17,35.07,34.13,34.93,34.43228,2788600
"MAS","10/05/2016",34.06,34.46,34.03,34.24,33.75211,3326000
"MAS","10/04/2016",33.95,34.34,33.75,33.86,33.37753,3193300
"MAS","10/03/2016",34.13,34.4,33.68,33.96,33.4761,2882500
"MAS","09/30/2016",34.45,34.5,33.96,34.31,33.82112,5534800
"MAS","09/29/2016",34.57,34.83,34.11,34.22,33.7324,2976600
"MAS","09/28/2016",34.82,34.97,34.39,34.55,34.05769,4165000
"MAS","09/27/2016",34.18,34.87,34.09,34.82,34.32384,4783400
"MAS","09/26/2016",34.09,34.66,34.02,34.33,33.84083,3044200
"MAS","09/23/2016",34.38,34.57,34.13,34.27,33.78168,3356500
"MAS","09/22/2016",33.71,34.35,33.71,34.33,33.84083,5907100
"MAS","09/21/2016",33.04,33.43,32.7,33.39,32.91422,4454800
"MAS","09/20/2016",33.16,33.16,32.61,32.85,32.38191,4349800
"MAS","09/19/2016",33.1,33.35,32.84,32.93,32.46077,3194800
"MAS","09/16/2016",33.36,33.38,32.89,32.9,32.43121,5304400
"MAS","09/15/2016",33.26,33.68,33.2,33.6,33.12123,2949000
"MAS","09/14/2016",33.08,33.53,33.04,33.24,32.76636,4689700
"MAS","09/13/2016",33.33,33.45,32.89,33.03,32.55935,5293100
"MAS","09/12/2016",33.04,33.89,32.89,33.69,33.20995,5307600
"MAS","09/09/2016",34.86,34.87,33.06,33.26,32.78607,6231100
"MAS","09/08/2016",35.17,35.24,34.95,35.15,34.64914,2341800
"MAS","09/07/2016",35.24,35.42,35.07,35.28,34.77728,2447300
"MAS","09/06/2016",35.64,35.7,35.14,35.31,34.80686,2216400
"MAS","09/02/2016",35.68,35.89,35.3,35.46,34.95472,2113000
"MAS","09/01/2016",35.5,35.82,35.22,35.53,35.02373,4287400
"MAS","08/31/2016",35.26,35.64,35.11,35.48,34.97444,3850400
"MAS","08/30/2016",35.49,35.59,35.26,35.41,34.90544,2694400
"MAS","08/29/2016",35.33,35.65,35.33,35.46,34.95472,2419900
"MAS","08/26/2016",35.39,35.54,35.02,35.22,34.71814,1913000
"MAS","08/25/2016",35.28,35.31,35.12,35.26,34.75757,1658400
"MAS","08/24/2016",35.62,35.7,35.16,35.28,34.77728,2707500
"MAS","08/23/2016",35.52,35.98,35.46,35.71,35.20116,3133800
"MAS","08/22/2016",35.19,35.4,34.98,35.38,34.87587,2799200
"MAS","08/19/2016",35.07,35.36,35.02,35.2,34.69843,3052600
"MAS","08/18/2016",35.47,35.47,35.21,35.21,34.70829,3311000
"MAS","08/17/2016",35.42,35.55,35.08,35.47,34.96458,3438600
"MAS","08/16/2016",36.04,36.12,35.49,35.51,35.00401,2759000
"MAS","08/15/2016",36.14,36.41,36.08,36.15,35.6349,1929400
"MAS","08/12/2016",36.07,36.2,35.78,36.07,35.55603,2324600
"MAS","08/11/2016",36.31,36.51,36.08,36.18,35.66447,2928200
"MAS","08/10/2016",36.29,36.4,36.08,36.29,35.7729,1997800
"MAS","08/09/2016",36.56,36.59,36.12,36.23,35.71375,2578300
"MAS","08/08/2016",36.64,36.7,36.38,36.48,35.96019,2516900
"MAS","08/05/2016",36.51,36.75,36.39,36.67,36.14748,2049700
"MAS","08/04/2016",36.57,36.62,36.13,36.28,35.76304,2781300
"MAS","08/03/2016",36.38,36.59,36.17,36.56,36.03905,2507600
"MAS","08/02/2016",36.3,36.4,36.1,36.34,35.82219,2913700
"MAS","08/01/2016",36.53,36.62,36.18,36.36,35.8419,3707700
"MAS","07/29/2016",36.82,36.86,36.36,36.48,35.96019,5926800
"MAS","07/28/2016",36.43,37.38,36.29,36.87,36.34463,6729400
"MAS","07/27/2016",36.03,36.65,35.95,36.44,35.92076,8040700
"MAS","07/26/2016",35.16,35.9,34.95,35.85,35.33917,9369900
"MAS","07/25/2016",33.82,34.29,33.73,34.23,33.74225,5565700
"MAS","07/22/2016",33.35,34.03,33.1,33.79,33.30852,7716700
"MAS","07/21/2016",34.33,34.38,33.31,33.35,32.87479,8512700
"MAS","07/20/2016",33.97,34.47,33.83,34.33,33.84083,2674700
"MAS","07/19/2016",33.83,34,33.67,33.79,33.30852,3051600
"MAS","07/18/2016",34.18,34.21,33.79,33.9,33.41695,3340500
