"symbol","date","open","high","low","close","adjclose","volume"
"MCD","12/30/2016",122.79,123.16,121.44,121.72,118.6623,3574600
"MCD","12/29/2016",122.76,123.36,122.76,122.79,119.7054,1943300
"MCD","12/28/2016",122.93,123.35,122.61,122.68,119.5982,1980200
"MCD","12/27/2016",123.3,123.65,122.97,123.07,119.9784,1919300
"MCD","12/23/2016",123.37,123.83,123.07,123.14,120.0466,2164100
"MCD","12/22/2016",123.12,124,123.09,123.72,120.612,3037100
"MCD","12/21/2016",123.15,123.76,123.1,123.18,120.0856,2762800
"MCD","12/20/2016",123.18,123.9,122.71,123.33,120.2318,2768800
"MCD","12/19/2016",123.23,123.66,122.77,122.99,119.9004,3545500
"MCD","12/16/2016",122.89,123.84,122.54,123.24,120.1441,10564800
"MCD","12/15/2016",122.97,123.36,121.77,122.36,119.2862,4402800
"MCD","12/14/2016",122.87,123.4,122.39,122.84,119.7541,4967400
"MCD","12/13/2016",121.78,122.92,121.76,122.68,119.5982,4308000
"MCD","12/12/2016",121.57,122.25,121.26,121.74,118.6818,4172000
"MCD","12/09/2016",120.57,121.27,120.21,121.26,118.2138,2623700
"MCD","12/08/2016",120.05,121.15,119.5,120.45,117.4242,3255100
"MCD","12/07/2016",119.41,120.13,118.47,119.92,116.9075,4059900
"MCD","12/06/2016",119.29,119.65,118.6,119.25,116.2543,3368000
"MCD","12/05/2016",119.45,120.34,119.03,119.29,116.2933,5191900
"MCD","12/02/2016",118,118.5,117.71,118.24,115.2697,3348700
"MCD","12/01/2016",118.96,118.96,117.87,118.47,115.4939,4445000
"MCD","11/30/2016",120.22,120.49,119.27,119.27,116.2738,5696100
"MCD","11/29/2016",120.38,120.79,119.02,120.68,117.6484,6370900
"MCD","11/29/2016",0,0,0,0,0,0
"MCD","11/28/2016",120.38,121.87,120.23,121.82,117.8434,5931700
"MCD","11/25/2016",120.08,120.99,119.92,120.66,116.7213,1709100
"MCD","11/23/2016",119.73,120.76,119.73,120.14,116.2182,2860200
"MCD","11/22/2016",119.5,120.29,118.88,119.69,115.7829,3699100
"MCD","11/21/2016",119.8,120.5,118.96,119.5,115.5991,3603300
"MCD","11/18/2016",119.26,120.24,118.91,120,116.0828,3655400
"MCD","11/17/2016",118.89,119.5,118.28,119.45,115.5507,2836600
"MCD","11/16/2016",118.86,119.6,118.47,119.21,115.3186,5365800
"MCD","11/15/2016",117.58,118.48,117.02,118.32,114.4576,4447900
"MCD","11/14/2016",114.99,118.75,114.72,117.86,114.0127,7083400
"MCD","11/11/2016",114.67,114.96,114.17,114.22,110.4915,4331200
"MCD","11/10/2016",115.03,115.04,113.78,114.51,110.772,4437700
"MCD","11/09/2016",112.09,115.42,111.8,114.98,111.2267,5099500
"MCD","11/08/2016",113.01,114.25,113,114.11,110.3851,3239100
"MCD","11/07/2016",112,113.28,111.88,112.82,109.1372,3842400
"MCD","11/04/2016",111.99,112,110.83,111.04,107.4153,3457400
"MCD","11/03/2016",112.74,112.85,111.52,111.72,108.0731,3890700
"MCD","11/02/2016",112.1,112.77,111.82,112.39,108.7212,3512500
"MCD","11/01/2016",112.65,112.77,111.95,112.25,108.5858,3935600
"MCD","10/31/2016",112.46,112.73,111.79,112.57,108.8953,4181600
"MCD","10/28/2016",112.26,112.35,111.53,112.1,108.4407,3304700
"MCD","10/27/2016",112.17,112.49,111.78,112.08,108.4213,2960700
"MCD","10/26/2016",112.27,112.7,111.4,112.11,108.4504,3763100
"MCD","10/25/2016",113.5,113.54,112.67,112.72,109.0404,4879000
"MCD","10/24/2016",114.25,114.5,112.64,113.57,109.8627,6173500
"MCD","10/21/2016",113.27,114.5,112.75,113.93,110.2109,10108000
"MCD","10/20/2016",111.3,111.3,110.33,110.57,106.9606,7250700
"MCD","10/19/2016",111.71,111.77,111.12,111.26,107.6281,6433400
"MCD","10/18/2016",112.89,113.09,111.23,111.25,107.6184,6178300
"MCD","10/17/2016",113.91,114.4,112.1,112.41,108.7406,5655700
"MCD","10/14/2016",114.9,115.11,114.07,114.09,110.3657,5312500
"MCD","10/13/2016",114.14,115.74,114.07,115.41,111.6426,4464700
"MCD","10/12/2016",113.6,115.23,113.54,114.71,110.9655,3340200
"MCD","10/11/2016",114.65,115.23,113.56,113.68,109.9691,3943300
"MCD","10/10/2016",114.21,114.99,114.16,114.71,110.9655,3277400
"MCD","10/07/2016",113.97,114.34,113.22,113.45,109.7466,4153100
"MCD","10/06/2016",113.25,114.22,112.4,113.92,110.2013,3900000
"MCD","10/05/2016",113.91,114.83,113.38,113.41,109.7079,3720300
