"symbol","date","open","high","low","close","adjclose","volume"
"NDAQ","12/30/2016",67.3,67.44,66.97,67.12,65.80191,548700
"NDAQ","12/29/2016",67.34,67.47,66.9,67.01,65.69407,483700
"NDAQ","12/28/2016",67.58,67.62,67.15,67.34,66.01759,853200
"NDAQ","12/27/2016",67.41,67.57,67.07,67.53,66.20386,261500
"NDAQ","12/23/2016",67.13,67.38,66.93,67.17,65.85092,372100
"NDAQ","12/22/2016",67.48,67.5,66.98,67.21,65.89014,365900
"NDAQ","12/21/2016",68.25,68.25,67.43,67.49,66.16464,387400
"NDAQ","12/20/2016",67.63,68.11,67.41,68.01,66.67443,604600
"NDAQ","12/19/2016",67.92,68.56,67.37,67.7,66.37051,527900
"NDAQ","12/16/2016",68.59,69.08,67.83,68.06,66.72345,1274000
"NDAQ","12/15/2016",68.41,68.9,68.02,68.61,67.26265,731700
"NDAQ","12/14/2016",68.95,69.25,67.94,68.26,66.91953,1083200
"NDAQ","12/14/2016",0,0,0,0,0,0
"NDAQ","12/13/2016",69,69.73,68.86,69.26,67.58617,1032400
"NDAQ","12/12/2016",68.23,69.07,68.16,68.79,67.12753,796000
"NDAQ","12/09/2016",68,68.68,67.11,68.62,66.96164,953200
"NDAQ","12/08/2016",67.87,68.13,67.19,67.77,66.13217,747000
"NDAQ","12/07/2016",66.82,68.08,66.46,67.61,65.97604,1481900
"NDAQ","12/06/2016",65.14,66.59,64.75,66.52,64.91238,1559400
"NDAQ","12/05/2016",64.67,65.06,64.31,64.86,63.29251,1188900
"NDAQ","12/02/2016",63.7,64.5,63.36,63.88,62.33619,951800
"NDAQ","12/01/2016",63.97,64.32,63.42,63.55,62.01416,1039100
"NDAQ","11/30/2016",64.95,65.06,63.95,64.09,62.54111,1439800
"NDAQ","11/29/2016",64.88,65.47,64.42,64.97,63.39985,1207600
"NDAQ","11/28/2016",65.54,65.54,64.47,64.58,63.01927,837000
"NDAQ","11/25/2016",65.11,65.69,65.11,65.69,64.10245,217900
"NDAQ","11/23/2016",65.57,65.62,64.79,65.34,63.7609,499000
"NDAQ","11/22/2016",66.15,66.21,65.31,65.58,63.99511,620000
"NDAQ","11/21/2016",66.11,66.26,65.65,65.97,64.37568,805100
"NDAQ","11/18/2016",64.93,65.94,64.71,65.85,64.25858,957800
"NDAQ","11/17/2016",64.69,65.14,64.57,64.86,63.29251,554600
"NDAQ","11/16/2016",64.42,64.95,64.15,64.71,63.14613,1256600
"NDAQ","11/15/2016",64.82,64.91,63.6,64.48,62.92169,1164900
"NDAQ","11/14/2016",66.62,66.66,64.57,64.73,63.16565,1413300
"NDAQ","11/11/2016",66.98,67.32,65.87,66.44,64.83432,889400
"NDAQ","11/10/2016",67.49,68.29,66.89,67.1,65.47837,1211200
"NDAQ","11/09/2016",65.21,67.14,64.69,66.93,65.31247,1034000
"NDAQ","11/08/2016",65.44,65.57,64.19,65.38,63.79993,666500
"NDAQ","11/07/2016",65.33,65.57,65.04,65.46,63.878,684500
"NDAQ","11/04/2016",64.34,65.42,64.03,64.68,63.11686,1268500
"NDAQ","11/03/2016",63.8,64.55,63.8,64.16,62.60942,861700
"NDAQ","11/02/2016",63.65,64.05,63.53,63.76,62.21909,699300
"NDAQ","11/01/2016",63.8,64.2,63.3,63.52,61.98489,971600
"NDAQ","10/31/2016",64.13,64.27,63.83,63.97,62.42401,677200
"NDAQ","10/28/2016",64.04,64.59,63.72,64.09,62.54111,493900
"NDAQ","10/27/2016",64.55,64.55,63.32,63.95,62.4045,1153100
"NDAQ","10/26/2016",65.22,66.61,64.28,64.69,63.12662,1275300
"NDAQ","10/25/2016",66.4,66.81,66.06,66.36,64.75626,1008900
"NDAQ","10/24/2016",66.26,66.77,66.2,66.3,64.69771,499000
"NDAQ","10/21/2016",65.41,66.31,65.22,66.18,64.5806,620300
"NDAQ","10/20/2016",66.53,66.58,65.63,65.73,64.14149,557100
"NDAQ","10/19/2016",66.16,66.47,65.85,66.4,64.79528,569600
"NDAQ","10/18/2016",66.79,67.18,66.11,66.21,64.60988,394200
"NDAQ","10/17/2016",67.46,67.77,66.25,66.38,64.77577,547700
"NDAQ","10/14/2016",67.41,67.42,66.96,67.24,65.61497,603900
"NDAQ","10/13/2016",66.14,67.01,65.97,66.84,65.22465,1269200
"NDAQ","10/12/2016",65.74,66.65,65.71,66.46,64.85384,828700
"NDAQ","10/11/2016",66.16,66.86,65.54,65.94,64.34641,949600
"NDAQ","10/10/2016",67.13,67.44,66.32,66.42,64.8148,932600
"NDAQ","10/07/2016",67.47,67.47,66.47,67.03,65.41006,488600
"NDAQ","10/06/2016",66.88,67.4,66.51,67.35,65.72232,605900
"NDAQ","10/05/2016",66.8,67.13,66.61,66.87,65.25394,822300
"NDAQ","10/04/2016",67.21,67.47,66.59,66.79,65.17587,681700
"NDAQ","10/03/2016",67.28,67.69,66.77,67.05,65.42958,995200
"NDAQ","09/30/2016",67.8,68.08,67.36,67.54,65.90774,905300
"NDAQ","09/29/2016",68.31,68.68,67,67.48,65.84919,889600
"NDAQ","09/28/2016",68.56,68.56,68.05,68.21,66.56155,622100
"NDAQ","09/27/2016",68.74,69,68.52,68.55,66.89333,806700
"NDAQ","09/26/2016",69.18,70,68.79,68.84,67.17632,687800
"NDAQ","09/23/2016",69.79,70.56,68.93,69.46,67.78134,1030200
"NDAQ","09/22/2016",71,71.01,70.38,70.44,68.73766,501300
"NDAQ","09/21/2016",69.93,70.72,69.53,70.67,68.96208,473200
"NDAQ","09/20/2016",70.1,70.45,69.36,69.62,67.93747,706400
"NDAQ","09/19/2016",69.68,70.22,69.6,69.8,68.11312,808000
"NDAQ","09/16/2016",69.11,69.62,68.65,69.47,67.7911,959300
"NDAQ","09/15/2016",68.68,69.64,68.68,69.52,67.83988,603900
"NDAQ","09/14/2016",68.83,69.25,68.62,68.69,67.02994,768000
"NDAQ","09/14/2016",0,0,0,0,0,0
"NDAQ","09/13/2016",69.05,69.5,68.57,69.06,67.07874,650100
"NDAQ","09/12/2016",68.71,69.71,68.22,69.48,67.48669,956300
