"symbol","date","open","high","low","close","adjclose","volume"
"NEE","12/30/2016",120.21,120.75,119.1,119.46,116.2163,1424000
"NEE","12/29/2016",119.23,120.26,118.52,120.18,116.9167,929300
"NEE","12/28/2016",119.32,119.67,118.47,118.65,115.4283,1303300
"NEE","12/27/2016",119.08,119.58,118.57,119.25,116.012,655400
"NEE","12/23/2016",118.89,119.26,118.54,119.23,115.9925,892600
"NEE","12/22/2016",118.64,119.02,118.16,118.9,115.6715,1250700
"NEE","12/21/2016",119.09,119.8,118.51,118.6,115.3796,1518300
"NEE","12/20/2016",119.24,119.9,118.76,119.3,116.0606,1541500
"NEE","12/19/2016",119.5,119.69,118.31,119.22,115.9828,1286100
"NEE","12/16/2016",117.24,119.19,117.12,118.9,115.6715,3498700
"NEE","12/15/2016",115.98,117.05,114.85,117.03,113.8523,2707700
"NEE","12/14/2016",119.69,120.43,116,116.03,112.8794,2628400
"NEE","12/13/2016",117.51,119.18,117.48,119.02,115.7882,2401700
"NEE","12/12/2016",116.09,117.79,115.86,117.45,114.2608,4181500
"NEE","12/09/2016",116.99,117.38,115.74,116.49,113.3269,2979000
"NEE","12/08/2016",116.78,117.63,116.34,116.87,113.6966,2247500
"NEE","12/07/2016",115.02,117.7,114.8,117.68,114.4846,2697200
"NEE","12/06/2016",114.82,115.62,114.47,114.75,111.6342,2942900
"NEE","12/05/2016",114.31,115.4,113.18,115,111.8774,2540700
"NEE","12/02/2016",113.7,114.91,113.61,114.41,111.3034,2115700
"NEE","12/01/2016",113.52,113.92,112.63,112.95,109.883,3022200
"NEE","11/30/2016",115.88,115.99,114.16,114.23,111.1283,3338300
"NEE","11/29/2016",116.3,118.53,116.18,117.27,114.0857,3170800
"NEE","11/28/2016",115.25,116.66,115,116.3,113.1421,4640300
"NEE","11/25/2016",113.92,115.17,113.89,114.76,111.6439,1152300
"NEE","11/23/2016",112.9,113.83,112.73,113.42,110.3403,2346500
"NEE","11/22/2016",113.83,114.73,113.59,113.83,110.7391,2581200
"NEE","11/22/2016",0,0,0,0,0,0
"NEE","11/21/2016",114.44,114.63,113.69,114.35,110.3986,2300000
"NEE","11/18/2016",115.65,115.65,113.46,114.09,110.1476,3067600
"NEE","11/17/2016",113.91,115.14,113.89,114.78,110.8138,2173600
"NEE","11/16/2016",115.28,115.6,113.18,114.29,110.3407,4242000
"NEE","11/15/2016",114.3,115.34,113.75,115.03,111.0551,4499900
"NEE","11/14/2016",112.91,114.56,110.49,114.44,110.4855,6647300
