"symbol","date","open","high","low","close","adjclose","volume"
"NLSN","12/30/2016",42.27,42.34,41.8,41.95,40.55596,1307600
"NLSN","12/29/2016",42.38,42.4,41.93,42.1,40.70097,1218600
"NLSN","12/28/2016",42.69,42.83,41.92,42.24,40.83632,1459200
"NLSN","12/27/2016",42.9,43.11,42.51,42.7,41.28103,775500
"NLSN","12/23/2016",42.8,43.01,42.54,42.75,41.32937,1138000
"NLSN","12/22/2016",43.56,43.56,42.47,42.77,41.34871,3353300
"NLSN","12/21/2016",43.25,43.47,42.91,43.26,41.82242,2338800
"NLSN","12/20/2016",43.28,43.53,43.04,43.29,41.85143,1947600
"NLSN","12/19/2016",43.15,43.39,42.83,43.29,41.85143,2812800
"NLSN","12/16/2016",42.83,43.18,42.67,43.14,41.70641,5124000
"NLSN","12/15/2016",43.15,43.29,42.65,42.7,41.28103,2573700
"NLSN","12/14/2016",43.32,43.78,42.38,43.12,41.68707,3850800
"NLSN","12/13/2016",42.34,42.56,41.97,42.04,40.64296,3137200
"NLSN","12/12/2016",42.7,42.99,42.06,42.17,40.76864,2188500
"NLSN","12/09/2016",41.82,42.97,41.5,42.72,41.30037,3558500
"NLSN","12/08/2016",41.19,42.36,41,41.99,40.59463,5932700
"NLSN","12/07/2016",42.38,43.51,42.33,43.4,41.95777,3589000
"NLSN","12/06/2016",42.29,42.57,41.99,42.4,40.991,3815100
"NLSN","12/05/2016",42.42,43.17,42.31,42.41,41.00067,4725500
"NLSN","12/02/2016",42.3,42.53,42.01,42.07,40.67197,2336500
"NLSN","12/01/2016",43.2,43.28,41.85,42.11,40.71064,2641700
"NLSN","11/30/2016",43.4,43.56,43.1,43.1,41.66774,3326500
"NLSN","11/29/2016",43.5,43.61,43.27,43.4,41.95777,1717200
"NLSN","11/28/2016",43.4,43.74,43.25,43.42,41.9771,2113100
"NLSN","11/25/2016",43.33,43.93,43.05,43.4,41.95777,1175600
"NLSN","11/23/2016",42.96,43.23,42.7,43.11,41.67741,1727500
"NLSN","11/22/2016",42.74,43,42.33,42.91,41.48405,3104100
"NLSN","11/21/2016",42.6,43.01,42.33,42.59,41.17469,2110600
"NLSN","11/18/2016",43.27,43.5,42.25,42.64,41.22302,7806100
"NLSN","11/18/2016",0,0,0,0,0,0
"NLSN","11/17/2016",44.09,44.11,43.51,43.72,41.96743,3509100
"NLSN","11/16/2016",44.51,45.32,44.23,44.63,42.84096,3287300
"NLSN","11/15/2016",43.07,43.58,42.74,43.58,41.83305,3810500
"NLSN","11/14/2016",43.99,44.16,43.01,43.07,41.34349,4795000
"NLSN","11/11/2016",44.74,45.19,43.83,44.09,42.32261,2717400
"NLSN","11/10/2016",45.15,45.66,44.82,44.87,43.07133,2191600
"NLSN","11/09/2016",44.03,45.19,43.63,45.13,43.32092,2231200
"NLSN","11/08/2016",44.83,45.03,44.55,44.65,42.86016,1633600
"NLSN","11/07/2016",44.27,44.67,44.01,44.65,42.86016,1944400
"NLSN","11/04/2016",43.91,44,43.49,43.5,41.75626,2549800
"NLSN","11/03/2016",44.68,45.02,43.69,43.8,42.04424,3299500
"NLSN","11/02/2016",45.18,46.23,44.67,44.68,42.88895,3846300
"NLSN","11/01/2016",45.26,45.39,44.75,45.3,43.4841,2580200
"NLSN","10/31/2016",44.66,45.36,44.63,45.02,43.21532,2634200
"NLSN","10/28/2016",45.95,46.09,44.3,44.66,42.86975,4726200
"NLSN","10/27/2016",45.99,46.2,45.63,45.95,44.10804,3422600
"NLSN","10/26/2016",45.77,47.51,45.69,45.78,43.94486,8012000
"NLSN","10/25/2016",46.89,48.96,45.52,45.65,43.82008,21052100
"NLSN","10/24/2016",54.69,54.99,54.65,54.93,52.72808,2959200
"NLSN","10/21/2016",53.73,54.64,53.48,54.6,52.4113,1964800
"NLSN","10/20/2016",53.85,54.06,53.53,54.05,51.88335,2766800
"NLSN","10/19/2016",54.11,54.34,53.78,54.32,52.14252,2150100
"NLSN","10/18/2016",53.69,54.28,53.5,53.89,51.72976,2467200
"NLSN","10/17/2016",53.41,53.7,53.32,53.47,51.3266,1634900
"NLSN","10/14/2016",52.8,53.7,52.74,53.53,51.38419,2776800
"NLSN","10/13/2016",51.96,52.64,51.53,52.55,50.44348,2471600
"NLSN","10/12/2016",51.75,52.16,51.64,52.05,49.96352,2320400
"NLSN","10/11/2016",52.37,52.48,51.48,51.75,49.67555,1421600
"NLSN","10/10/2016",52.53,52.7,52.5,52.53,50.42428,977700
"NLSN","10/07/2016",52.71,52.79,52.26,52.36,50.26109,1271500
"NLSN","10/06/2016",53.2,53.2,52.5,52.56,50.45308,1938800
"NLSN","10/05/2016",53.53,53.7,53.16,53.19,51.05782,1264800
"NLSN","10/04/2016",53.55,53.78,53.41,53.46,51.317,1271400
"NLSN","10/03/2016",53.43,53.75,53.25,53.65,51.49938,2116300
"NLSN","09/30/2016",53.68,53.96,53.38,53.57,51.42259,2778000
"NLSN","09/29/2016",53.6,54.19,53.46,53.47,51.3266,1803000
"NLSN","09/28/2016",53.49,53.68,53.27,53.65,51.49938,1172300
"NLSN","09/27/2016",53.16,53.59,53.05,53.49,51.3458,1427500
"NLSN","09/26/2016",53.15,53.25,52.85,53.15,51.01942,1827400
"NLSN","09/23/2016",53.04,53.43,52.86,53.33,51.19221,2264300
"NLSN","09/22/2016",52.61,52.93,52.49,52.72,50.60666,1700000
"NLSN","09/21/2016",52.66,52.84,51.82,52.33,50.2323,1821200
"NLSN","09/20/2016",52.68,52.96,52.39,52.41,50.30909,1442000
"NLSN","09/19/2016",52.45,52.76,52.07,52.31,50.2131,1358400
