"symbol","date","open","high","low","close","adjclose","volume"
"NVDA","12/30/2016",111.35,111.92,106.3,106.74,106.3258,30323300
"NVDA","12/29/2016",104.9,111.49,102.8,111.43,110.9976,54036800
"NVDA","12/28/2016",119.6,119.93,108.69,109.25,108.826,57394100
"NVDA","12/27/2016",112.06,117.36,111.22,117.32,116.8647,29856800
"NVDA","12/23/2016",106.38,109.84,106.27,109.78,109.354,16168700
"NVDA","12/22/2016",106.82,108.87,106.53,107.11,106.6943,17965300
"NVDA","12/21/2016",105.64,105.95,103.71,105.83,105.4193,14403400
"NVDA","12/20/2016",104.58,106.13,104.12,105.17,104.7618,21201400
"NVDA","12/19/2016",99.7,102.45,99,101.63,101.2356,18616400
"NVDA","12/16/2016",99.83,100.7,97.73,100.41,100.0203,26861700
"NVDA","12/15/2016",96.9,99.94,96.6,98.71,98.32691,18663700
"NVDA","12/14/2016",92.54,97.11,91.57,96.45,96.07568,24599500
"NVDA","12/13/2016",90.09,92.29,90.05,91.17,90.81618,9694900
"NVDA","12/12/2016",89.85,89.95,87.54,89.59,89.2423,15033300
"NVDA","12/09/2016",94.2,94.27,90.71,91.82,91.46365,9557800
"NVDA","12/08/2016",95.19,96.62,93.05,93.48,93.11722,9538600
"NVDA","12/07/2016",92.84,95.3,92.1,95.07,94.70104,12020100
"NVDA","12/06/2016",92.21,93.73,91.57,93.39,93.02757,12469900
"NVDA","12/05/2016",89.99,92.61,89,91.88,91.52342,15057100
"NVDA","12/02/2016",86.25,88.8,85.12,88.45,88.10674,11957300
"NVDA","12/01/2016",92.1,92.17,84.77,87.64,87.29988,25888100
"NVDA","11/30/2016",93.6,94.16,92.1,92.2,91.84219,11012500
"NVDA","11/29/2016",94,94.44,92.53,93.25,92.8881,11114200
"NVDA","11/28/2016",93.87,94.74,93.6,94.11,93.74477,6968400
"NVDA","11/25/2016",94.42,95.1,93.41,94.16,93.79459,4889100
"NVDA","11/23/2016",93.72,95.25,92.77,93.97,93.60532,11044000
"NVDA","11/23/2016",0,0,0,0,0,0
"NVDA","11/22/2016",93.3,93.74,92.38,93.65,93.1471,8259200
"NVDA","11/21/2016",94.09,94.35,92.4,92.98,92.4807,10910900
"NVDA","11/18/2016",92.39,94.33,91.8,93.36,92.85866,14401500
"NVDA","11/17/2016",92.31,94.79,90.65,92.39,91.89387,20824700
"NVDA","11/16/2016",87.34,92.56,86.35,91.63,91.13795,24676400
"NVDA","11/15/2016",84.29,87.45,83.93,86.19,85.72715,15652300
"NVDA","11/14/2016",88.09,88.19,83.62,83.64,83.19084,33702100
"NVDA","11/11/2016",79.51,88.77,78.5,87.97,87.4976,54383600
"NVDA","11/10/2016",71.49,71.5,66.76,67.77,67.40607,21732000
"NVDA","11/09/2016",69.23,70.9,68.72,69.96,69.58431,11413300
"NVDA","11/08/2016",71.54,71.77,70.5,71.16,70.77788,10717500
"NVDA","11/07/2016",69.55,71.72,69.5,71.27,70.88728,12189500
"NVDA","11/04/2016",67.51,68.73,66.58,67.57,67.20715,8219500
"NVDA","11/03/2016",69.08,69.14,66.64,67.96,67.59505,7741600
"NVDA","11/02/2016",69.58,70.52,68.64,68.76,68.39075,7396200
"NVDA","11/01/2016",71.42,71.81,68.29,69.05,68.6792,11830600
"NVDA","10/31/2016",70.79,71.63,70.75,71.16,70.77788,6309700
"NVDA","10/28/2016",71.02,72.1,70.43,70.56,70.18109,7271400
"NVDA","10/27/2016",72.71,72.85,70.39,70.68,70.30045,9716600
"NVDA","10/26/2016",71.27,72.95,71.2,72.16,71.77251,8344800
"NVDA","10/25/2016",70.59,72.3,70.25,71.87,71.48405,9936500
"NVDA","10/24/2016",68,70.79,67.99,70.71,70.33028,8495900
"NVDA","10/21/2016",67.49,67.66,66.9,67.54,67.17731,6987700
"NVDA","10/20/2016",67.25,67.95,66.3,67.73,67.36629,7802100
"NVDA","10/19/2016",66.16,66.78,65.82,66.47,66.11306,4976500
"NVDA","10/18/2016",66.52,66.99,66.25,66.61,66.2523,6713500
"NVDA","10/17/2016",65.98,66.6,65.52,65.61,65.25767,4883200
"NVDA","10/14/2016",66.15,66.6,65.6,65.99,65.63563,8265900
"NVDA","10/13/2016",65.65,65.8,63.7,65.35,64.99907,9752900
"NVDA","10/12/2016",65.86,66.78,65.31,66.43,66.07327,10498000
"NVDA","10/11/2016",66.88,66.98,65.62,66.13,65.77487,9713500
"NVDA","10/10/2016",67.2,67.56,66.47,67.1,66.73966,7183200
"NVDA","10/07/2016",67.79,67.97,66.66,66.85,66.49101,7156500
"NVDA","10/06/2016",67.41,67.83,66.26,67.34,66.97837,9005300
"NVDA","10/05/2016",68.88,69.58,68.02,68.23,67.86361,7636000
"NVDA","10/04/2016",68.55,69.7,67.79,68.3,67.93323,7040600
"NVDA","10/03/2016",68.52,69.51,68.33,68.45,68.08242,6064900
"NVDA","09/30/2016",67.77,69.19,67.37,68.52,68.15205,10748300
"NVDA","09/29/2016",66.67,67.61,66.05,67.4,67.03806,8417100
"NVDA","09/28/2016",66.64,66.83,65.93,66.78,66.42139,7994700
"NVDA","09/27/2016",64.09,66.64,64.06,66.54,66.18268,10068800
"NVDA","09/26/2016",64.21,64.6,63.53,64.34,63.99449,5751000
"NVDA","09/23/2016",65.1,65.29,64.66,64.95,64.60121,6903300
"NVDA","09/22/2016",65.24,65.44,64.65,65.02,64.67085,7718300
"NVDA","09/21/2016",63.28,64.98,63.27,64.86,64.5117,8405300
"NVDA","09/20/2016",64.4,64.4,62.74,63.09,62.75121,8277800
"NVDA","09/19/2016",63.5,65.26,63.21,63.67,63.32808,10407000
"NVDA","09/16/2016",62.91,63.25,62.12,62.84,62.50255,22561100
"NVDA","09/15/2016",60.5,62.76,60.36,62.69,62.35335,12880300
"NVDA","09/14/2016",60.01,60.6,59.51,60.4,60.07565,7976200
"NVDA","09/13/2016",60.6,61.3,59.53,59.87,59.5485,11794200
"NVDA","09/12/2016",58.73,60.87,57.32,60.75,60.42377,14956500
"NVDA","09/09/2016",61.95,62.3,59,59.52,59.20038,17444000
"NVDA","09/08/2016",62.13,62.74,61.42,62.64,62.30362,7872500
"NVDA","09/07/2016",62.92,63.23,61.83,62.19,61.85603,9949700
"NVDA","09/06/2016",62.75,63.12,62.43,63.12,62.78104,7670300
"NVDA","09/02/2016",63.28,63.35,61.82,62.53,62.19421,8078700
"NVDA","09/01/2016",61.39,63.38,61.34,63.15,62.81088,10712300
"NVDA","08/31/2016",61.75,61.92,61.16,61.34,61.0106,9713600
"NVDA","08/30/2016",61.91,62.24,61.46,61.63,61.29905,7138600
"NVDA","08/29/2016",62.28,62.53,61.89,61.99,61.65712,6848800
"NVDA","08/26/2016",61.69,62.38,61.2,62.03,61.6969,7500600
"NVDA","08/25/2016",61.96,61.99,60.76,61.53,61.19958,10150800
"NVDA","08/24/2016",63.13,63.16,61.65,61.94,61.60738,7461200
"NVDA","08/23/2016",63.04,63.32,62.73,62.91,62.57217,8494100
"NVDA","08/23/2016",0,0,0,0,0,0
"NVDA","08/22/2016",62.45,62.61,61.71,62.52,62.06989,6118700
"NVDA","08/19/2016",62.07,62.73,61.8,62.26,61.81175,7289000
"NVDA","08/18/2016",61.06,62.2,60.82,62.1,61.6529,8292100
