"symbol","date","open","high","low","close","adjclose","volume"
"NWS","12/30/2016",12.15,12.15,11.75,11.8,11.62204,550900
"NWS","12/29/2016",12,12.1,11.85,12.05,11.86827,685800
"NWS","12/28/2016",12.25,12.3,12,12.05,11.86827,376300
"NWS","12/27/2016",12.1,12.25,12.1,12.25,12.06525,298500
"NWS","12/23/2016",12.1,12.15,12,12.05,11.86827,182200
"NWS","12/22/2016",12.05,12.15,11.95,12.05,11.86827,363400
"NWS","12/21/2016",12,12.13,11.85,12.05,11.86827,712700
"NWS","12/20/2016",12.15,12.2,11.9,11.95,11.76978,966200
"NWS","12/19/2016",12,12.15,11.95,12.15,11.96676,478700
"NWS","12/16/2016",12.1,12.2,11.85,12,11.81903,1498600
"NWS","12/15/2016",12.25,12.4,11.98,12.05,11.86827,744700
"NWS","12/14/2016",12.25,12.43,12.15,12.2,12.01601,892100
"NWS","12/13/2016",12.35,12.55,12.15,12.25,12.06525,2570800
"NWS","12/12/2016",12.3,12.45,12.3,12.3,12.1145,1064600
"NWS","12/09/2016",12.2,12.5,12.2,12.4,12.21299,686600
"NWS","12/08/2016",12.15,12.35,12.1,12.2,12.01601,1207100
"NWS","12/07/2016",12.05,12.25,12,12.15,11.96676,1564300
"NWS","12/06/2016",12.05,12.15,11.95,12.05,11.86827,1248200
"NWS","12/05/2016",12.05,12.15,11.95,12.05,11.86827,716000
"NWS","12/02/2016",12.05,12.15,12,12.05,11.86827,1113100
"NWS","12/01/2016",11.95,12.15,11.85,12,11.81903,539600
"NWS","11/30/2016",11.9,12.03,11.78,11.95,11.76978,497000
"NWS","11/29/2016",12.05,12.15,11.75,11.9,11.72053,677400
"NWS","11/28/2016",12.15,12.33,12.05,12.1,11.91752,1033100
"NWS","11/25/2016",12.2,12.33,12.1,12.1,11.91752,374000
"NWS","11/23/2016",12.05,12.15,11.95,12.1,11.91752,536500
"NWS","11/22/2016",12,12.15,11.9,12,11.81903,781800
"NWS","11/21/2016",12.2,12.25,12,12.05,11.86827,742100
"NWS","11/18/2016",12.3,12.4,12.15,12.2,12.01601,474500
"NWS","11/17/2016",12.35,12.5,12.25,12.35,12.16375,462300
"NWS","11/16/2016",12.25,12.45,12.05,12.35,12.16375,847900
"NWS","11/15/2016",12.45,12.6,12.3,12.35,12.16375,671600
"NWS","11/14/2016",12.35,12.7,12.25,12.5,12.31148,1271100
"NWS","11/11/2016",12.2,12.45,12.15,12.35,12.16375,1225600
"NWS","11/10/2016",12.35,12.55,12.05,12.35,12.16375,1141300
"NWS","11/09/2016",12,12.55,11.85,12.35,12.16375,749500
"NWS","11/08/2016",11.5,12.2,11.25,12.1,11.91752,1284400
"NWS","11/07/2016",12.3,12.6,12.2,12.5,12.31148,626800
"NWS","11/04/2016",12.25,12.4,12.1,12.15,11.96676,1182400
"NWS","11/03/2016",12.1,12.4,12.05,12.15,11.96676,1115400
"NWS","11/02/2016",12.4,12.45,12.05,12.1,11.91752,966000
"NWS","11/01/2016",12.5,12.7,12.2,12.4,12.21299,969800
"NWS","10/31/2016",12.5,12.7,12.4,12.4,12.21299,1360000
"NWS","10/28/2016",12.6,12.8,12.45,12.5,12.31148,781900
"NWS","10/27/2016",13,13,12.43,12.6,12.40998,1382600
"NWS","10/26/2016",12.9,13.25,12.9,13.15,12.95168,747600
"NWS","10/25/2016",13.3,13.7,12.9,13,12.80394,773000
"NWS","10/24/2016",13.75,13.85,13.2,13.2,13.00093,2206900
"NWS","10/21/2016",13.6,13.85,13.55,13.7,13.49339,690600
"NWS","10/20/2016",14.25,14.25,13.5,13.8,13.59188,782900
"NWS","10/19/2016",14,14.1,13.8,14,13.78886,673400
"NWS","10/18/2016",14,14.05,13.65,13.9,13.69037,710800
"NWS","10/17/2016",13.75,13.8,13.63,13.8,13.59188,417400
"NWS","10/14/2016",14.3,14.3,13.65,13.75,13.54263,595100
"NWS","10/13/2016",13.7,13.95,13.58,13.85,13.64112,643900
"NWS","10/12/2016",13.95,14.05,13.75,13.75,13.54263,905600
"NWS","10/11/2016",14.3,14.3,13.85,14,13.78886,866100
"NWS","10/10/2016",14.5,14.75,14.15,14.25,14.03509,1420500
"NWS","10/07/2016",15.09,15.1,14.45,14.52,14.30102,1357100
"NWS","10/06/2016",15.06,15.18,14.73,15.08,14.85257,5427000
"NWS","10/05/2016",14.67,15.22,14.63,15.17,14.94122,4856800
"NWS","10/04/2016",14.88,14.99,14.66,14.69,14.46846,5543600
"NWS","10/03/2016",14.13,15.01,14.13,14.93,14.70484,5017500
"NWS","09/30/2016",14.19,14.37,14.17,14.22,14.00554,2207100
"NWS","09/29/2016",14.25,14.4,14.06,14.13,13.9169,1920800
"NWS","09/28/2016",14.29,14.4,14.2,14.27,14.05479,1699700
"NWS","09/27/2016",14.19,14.32,14.14,14.32,14.10404,547400
"NWS","09/26/2016",14.34,14.38,14.14,14.19,13.976,824500
"NWS","09/23/2016",14.53,14.64,14.47,14.47,14.25177,387900
"NWS","09/22/2016",14.38,14.56,14.32,14.53,14.31087,988000
"NWS","09/21/2016",14.14,14.33,14.06,14.28,14.06464,993900
"NWS","09/20/2016",14.12,14.15,14,14.07,13.85781,1713700
"NWS","09/19/2016",14,14.12,13.94,14,13.78886,1563000
"NWS","09/16/2016",14.07,14.17,13.97,14,13.78886,3552800
"NWS","09/15/2016",14.36,14.37,14.12,14.17,13.9563,4902400
"NWS","09/14/2016",14.34,14.36,14.16,14.34,14.12374,5965800
"NWS","09/13/2016",14.3,14.37,14.14,14.25,14.03509,7771400
"NWS","09/12/2016",13.49,14.51,13.49,14.5,14.28132,3833400
"NWS","09/12/2016",0,0,0,0,0,0
"NWS","09/09/2016",14.14,14.14,13.74,13.74,13.43429,956000
"NWS","09/08/2016",14,14.41,14,14.17,13.85472,1498600
"NWS","09/07/2016",14.05,14.12,13.99,14.09,13.7765,1203700
"NWS","09/06/2016",14.31,14.65,13.96,14.04,13.72762,1495100
"NWS","09/02/2016",14.38,14.4,14.13,14.25,13.93294,1642600
"NWS","09/01/2016",14.5,14.5,14.17,14.31,13.99161,1407600
"NWS","08/31/2016",14.34,14.44,14.18,14.43,14.10894,960500
"NWS","08/30/2016",14.34,14.41,14.23,14.35,14.03072,495100
"NWS","08/29/2016",14.4,14.47,14.31,14.38,14.06005,746600
"NWS","08/26/2016",14.31,14.46,14.18,14.34,14.02094,845800
"NWS","08/25/2016",14.15,14.3,14.08,14.23,13.91339,1125000
"NWS","08/24/2016",14.21,14.3,14.2,14.21,13.89383,1208100
"NWS","08/23/2016",14.3,14.35,14.18,14.22,13.90361,586600
"NWS","08/22/2016",14.14,14.23,13.98,14.23,13.91339,1015500
"NWS","08/19/2016",14.1,14.16,14.03,14.11,13.79606,755400
"NWS","08/18/2016",14.2,14.29,14.09,14.15,13.83517,1221100
"NWS","08/17/2016",14.15,14.23,14.13,14.18,13.8645,1042700
"NWS","08/16/2016",14.09,14.23,14.06,14.16,13.84495,776700
"NWS","08/15/2016",14.15,14.23,14.11,14.17,13.85472,535200
"NWS","08/12/2016",13.92,14.05,13.92,14.04,13.72762,637600
"NWS","08/11/2016",13.78,14,13.61,13.89,13.58095,998000
"NWS","08/10/2016",13.76,13.8,13.54,13.73,13.42451,1017000
"NWS","08/09/2016",13.28,13.88,13.12,13.77,13.46362,1109500
"NWS","08/08/2016",13.3,13.37,13.2,13.24,12.94542,506500
"NWS","08/05/2016",13.33,13.49,13.23,13.28,12.98453,652400
"NWS","08/04/2016",13.08,13.23,13.08,13.2,12.90631,568100
"NWS","08/03/2016",13.09,13.21,13.05,13.11,12.81831,470900
"NWS","08/02/2016",13.27,13.27,13.03,13.14,12.84764,564900
"NWS","08/01/2016",13.43,13.49,13.25,13.31,13.01386,706000
"NWS","07/29/2016",13.17,13.48,13.16,13.44,13.14097,1040000
"NWS","07/28/2016",13.16,13.22,13.07,13.16,12.8672,556200
"NWS","07/27/2016",13.23,13.31,13.04,13.16,12.8672,1200400
"NWS","07/26/2016",13.09,13.3,13.09,13.24,12.94542,1020700
"NWS","07/25/2016",13.05,13.13,12.94,13.06,12.76942,605600
"NWS","07/22/2016",12.95,13.09,12.95,13.03,12.74009,994500
"NWS","07/21/2016",13.03,13.06,12.85,12.9,12.61298,944500
"NWS","07/20/2016",13.02,13.11,12.92,13.03,12.74009,1103200
"NWS","07/19/2016",12.93,13.01,12.81,12.98,12.6912,910800
"NWS","07/18/2016",12.83,13.04,12.77,12.93,12.64231,584000
"NWS","07/15/2016",12.9,12.9,12.45,12.8,12.51521,858900
"NWS","07/14/2016",12.89,13,12.69,12.83,12.54454,542600
"NWS","07/13/2016",12.68,12.75,12.59,12.74,12.45654,625800
"NWS","07/12/2016",12.45,12.63,12.36,12.6,12.31966,943000
"NWS","07/11/2016",12.07,12.29,12.07,12.25,11.97744,591400
"NWS","07/08/2016",11.94,12.14,11.92,12.04,11.77212,1173800
"NWS","07/07/2016",11.69,11.91,11.69,11.78,11.5179,984600
"NWS","07/06/2016",11.64,11.7,11.5,11.68,11.42013,1272600
"NWS","07/05/2016",11.72,11.79,11.52,11.65,11.39079,1485500
"NWS","07/01/2016",11.7,11.92,11.64,11.77,11.50812,478100
"NWS","06/30/2016",11.56,11.72,11.52,11.67,11.41035,706200
"NWS","06/29/2016",11.15,11.52,10.94,11.52,11.26369,1199700
