"symbol","date","open","high","low","close","adjclose","volume"
"NWSA","12/30/2016",11.67,11.69,11.42,11.46,11.28222,1944200
"NWSA","12/29/2016",11.69,11.73,11.55,11.66,11.47912,1511700
"NWSA","12/28/2016",11.91,11.92,11.67,11.69,11.50865,2029900
"NWSA","12/27/2016",11.74,11.91,11.71,11.91,11.72524,1504300
"NWSA","12/23/2016",11.74,11.77,11.65,11.73,11.54803,1368800
"NWSA","12/22/2016",11.7,11.8,11.62,11.74,11.55787,1459300
"NWSA","12/21/2016",11.66,11.77,11.57,11.72,11.53819,1735200
"NWSA","12/20/2016",11.76,11.81,11.62,11.65,11.46927,1807500
"NWSA","12/19/2016",11.65,11.78,11.56,11.73,11.54803,1657600
"NWSA","12/16/2016",11.76,11.83,11.53,11.61,11.42989,4061100
"NWSA","12/15/2016",11.92,12.01,11.63,11.69,11.50865,2215200
"NWSA","12/14/2016",11.87,12.04,11.82,11.88,11.6957,2906000
"NWSA","12/13/2016",12.05,12.15,11.78,11.88,11.6957,2937300
"NWSA","12/12/2016",12.04,12.11,11.97,12.01,11.82369,3456100
"NWSA","12/09/2016",11.93,12.13,11.91,12.05,11.86307,3812100
"NWSA","12/08/2016",11.87,11.99,11.81,11.92,11.73508,1957800
"NWSA","12/07/2016",11.8,11.94,11.58,11.83,11.64648,3304700
"NWSA","12/06/2016",11.8,11.82,11.61,11.79,11.6071,3704900
"NWSA","12/05/2016",11.72,11.83,11.64,11.81,11.62679,2755100
"NWSA","12/02/2016",11.77,11.82,11.64,11.66,11.47912,2739700
"NWSA","12/01/2016",11.59,11.8,11.54,11.76,11.57757,3150500
"NWSA","11/30/2016",11.55,11.69,11.44,11.56,11.38067,3443500
"NWSA","11/29/2016",11.83,11.87,11.45,11.54,11.36098,3075600
"NWSA","11/28/2016",11.76,12.02,11.76,11.84,11.65632,2685100
"NWSA","11/25/2016",11.83,11.97,11.78,11.8,11.61694,760500
"NWSA","11/23/2016",11.63,11.82,11.63,11.8,11.61694,1769800
"NWSA","11/22/2016",11.77,11.85,11.64,11.68,11.49881,2661800
"NWSA","11/21/2016",12.01,12.01,11.73,11.73,11.54803,2208800
"NWSA","11/18/2016",12.02,12.05,11.87,11.87,11.68586,2352600
"NWSA","11/17/2016",12.06,12.19,11.92,12,11.81384,3539100
"NWSA","11/16/2016",11.98,12.09,11.79,12.02,11.83353,3858100
"NWSA","11/15/2016",12.2,12.25,12,12.01,11.82369,3270000
"NWSA","11/14/2016",12.17,12.32,11.98,12.17,11.9812,5278500
"NWSA","11/11/2016",11.87,12.18,11.81,12.12,11.93198,2981200
"NWSA","11/10/2016",11.95,12.17,11.85,11.95,11.76462,4314100
"NWSA","11/09/2016",11.46,12.15,11.32,11.98,11.79415,4130000
"NWSA","11/08/2016",11.15,11.93,10.99,11.65,11.46927,7399300
"NWSA","11/07/2016",12.07,12.32,11.96,12.22,12.03043,5534500
"NWSA","11/04/2016",11.88,12.06,11.83,11.89,11.70555,2337000
"NWSA","11/03/2016",11.92,11.97,11.78,11.83,11.64648,1997000
"NWSA","11/02/2016",12.1,12.14,11.81,11.84,11.65632,1941000
"NWSA","11/01/2016",12.22,12.28,11.85,12.05,11.86307,3042000
"NWSA","10/31/2016",12.26,12.35,12.12,12.12,11.93198,2533800
"NWSA","10/28/2016",12.16,12.41,12.12,12.17,11.9812,2314500
"NWSA","10/27/2016",12.7,12.75,12.12,12.22,12.03043,3474500
"NWSA","10/26/2016",12.63,12.97,12.62,12.91,12.70972,2122100
"NWSA","10/25/2016",12.96,12.99,12.62,12.65,12.45376,5417900
"NWSA","10/24/2016",13.53,13.53,12.96,12.97,12.76879,3291900
"NWSA","10/21/2016",13.37,13.54,13.26,13.41,13.20197,1444000
"NWSA","10/20/2016",13.59,13.69,13.41,13.51,13.30042,2542300
"NWSA","10/19/2016",13.52,13.73,13.46,13.65,13.43824,1376200
"NWSA","10/18/2016",13.54,13.63,13.36,13.51,13.30042,2047600
"NWSA","10/17/2016",13.38,13.44,13.31,13.38,13.17243,1338400
"NWSA","10/14/2016",13.62,13.65,13.34,13.37,13.16259,1949800
"NWSA","10/13/2016",13.4,13.59,13.28,13.54,13.32995,2464800
"NWSA","10/12/2016",13.68,13.7,13.46,13.47,13.26104,2907000
"NWSA","10/11/2016",13.64,13.92,13.56,13.67,13.45793,2159700
"NWSA","10/10/2016",14.17,14.35,13.89,13.92,13.70405,2405200
"NWSA","10/07/2016",14.5,14.55,14.03,14.11,13.89111,3453600
"NWSA","10/06/2016",14.57,14.61,14.25,14.52,14.29475,3101000
"NWSA","10/05/2016",14.29,14.68,14.23,14.62,14.3932,4944200
"NWSA","10/04/2016",14.44,14.51,14.19,14.28,14.05847,4127400
"NWSA","10/03/2016",13.89,14.51,13.89,14.43,14.20614,4067100
"NWSA","09/30/2016",13.91,14.11,13.9,13.98,13.76312,3181000
"NWSA","09/29/2016",14.03,14.07,13.77,13.89,13.67452,2697700
"NWSA","09/28/2016",13.96,14.04,13.85,14.02,13.8025,2545500
"NWSA","09/27/2016",13.83,13.96,13.76,13.96,13.74344,1906100
"NWSA","09/26/2016",13.99,13.99,13.78,13.82,13.60561,2040000
"NWSA","09/23/2016",14,14.23,14,14.05,13.83204,1358400
"NWSA","09/22/2016",14.02,14.17,13.96,14.14,13.92064,1847000
