"symbol","date","open","high","low","close","adjclose","volume"
"O","12/30/2016",56.66,57.81,56.49,57.48,55.20271,2024000
"O","12/29/2016",55.95,56.94,55.6,56.63,54.38638,1239300
"O","12/29/2016",0,0,0,0,0,0
"O","12/28/2016",56.52,56.61,55.7,56.09,53.67281,1777000
"O","12/27/2016",56.44,56.7,56.1,56.43,53.99817,1024300
"O","12/23/2016",56.51,56.64,55.92,56.41,53.97903,1382500
"O","12/22/2016",56.19,56.38,55.65,56.33,53.90247,1085900
"O","12/21/2016",56.88,57.42,56.24,56.24,53.81635,1476200
"O","12/20/2016",57.42,57.58,56.28,56.76,54.31394,1682900
"O","12/19/2016",55.98,57.52,55.9,57.33,54.85938,2250400
"O","12/16/2016",54.45,55.69,54.45,55.47,53.07954,3047900
"O","12/15/2016",54.68,54.8,53.83,54.04,51.71116,2151300
"O","12/14/2016",56.44,56.52,54.39,54.65,52.29488,2356000
"O","12/13/2016",56.63,56.83,55.78,56.11,53.69196,1630900
"O","12/12/2016",55.5,56.33,55.47,56.18,53.75893,1384600
"O","12/09/2016",55.4,55.88,55.31,55.61,53.2135,1158500
"O","12/08/2016",55.1,55.49,54.44,55.33,52.94557,2035500
"O","12/07/2016",54.72,55.81,54.72,55.45,53.0604,2222300
"O","12/06/2016",54.75,55.28,54.42,54.59,52.23746,1829400
"O","12/05/2016",54.87,54.87,53.57,54.73,52.37143,2247400
"O","12/02/2016",53.7,55.9,53.7,54.73,52.37143,2987400
"O","12/01/2016",55.01,55.19,53.31,53.49,51.18487,2695500
"O","11/30/2016",55.94,56.08,55,55.44,53.05083,2691500
"O","11/29/2016",56.15,57.25,56.15,56.74,54.29481,1413500
"O","11/29/2016",0,0,0,0,0,0
"O","11/28/2016",56.48,57.27,56.03,56.35,53.72832,1666400
"O","11/25/2016",56.33,57.12,56.25,56.57,53.93809,709400
"O","11/23/2016",56.01,56.6,55.68,56.12,53.50902,1263100
"O","11/22/2016",55.43,56.7,55.05,56.6,53.96669,1676500
"O","11/21/2016",55.25,55.86,54.93,55.09,52.52694,1519000
"O","11/18/2016",54.91,55.4,54.66,55.15,52.58416,3055500
"O","11/17/2016",56.15,56.45,54.81,54.87,52.31718,1699400
"O","11/16/2016",56.06,56.27,55.32,56.15,53.53762,1559900
