"symbol","date","open","high","low","close","adjclose","volume"
"OKE","12/30/2016",58.01,58.24,57.16,57.41,54.605,1271200
"OKE","12/29/2016",57.66,58.12,57.58,57.98,55.14715,995600
"OKE","12/28/2016",59.02,59.23,57.64,57.67,54.8523,1275500
"OKE","12/27/2016",58.98,59.47,58.49,59.03,56.14585,1232400
"OKE","12/23/2016",58.04,58.81,57.79,58.69,55.82246,886000
"OKE","12/22/2016",58.52,58.88,57.77,57.91,55.08058,2058400
"OKE","12/21/2016",58.77,59.19,58.54,58.54,55.6798,1244100
"OKE","12/20/2016",58.32,59.06,58.05,58.67,55.80344,1460500
"OKE","12/19/2016",58.61,58.63,57.88,58.1,55.26129,1028800
"OKE","12/16/2016",57.8,58.57,57.58,58.42,55.56565,4728800
"OKE","12/15/2016",56.81,58.48,56.29,57.72,54.89986,2114900
"OKE","12/14/2016",57.22,58.47,56.95,57.36,54.55745,2735800
"OKE","12/13/2016",57.18,58.29,56.85,57.77,54.94742,2221300
"OKE","12/12/2016",58.56,58.8,56.93,57.21,54.41477,1745700
"OKE","12/09/2016",57.99,58.14,56.94,57.01,54.22455,1491900
"OKE","12/08/2016",56.97,57.96,56.34,57.91,55.08058,1910400
"OKE","12/07/2016",56.11,57.09,55.21,57.09,54.30064,1861800
"OKE","12/06/2016",55.94,56.33,55.19,56.12,53.37803,1684500
"OKE","12/05/2016",55.13,56.5,54.82,56.42,53.66337,2266200
"OKE","12/02/2016",54.46,55.45,54.22,54.69,52.0179,1524300
"OKE","12/01/2016",55.89,56,54,54.42,51.76109,1652600
"OKE","11/30/2016",54.38,55.75,54.04,54.93,52.24617,2972000
"OKE","11/29/2016",51.65,52.92,50.96,52.44,49.87784,2107000
"OKE","11/28/2016",54.25,54.5,52.75,52.82,50.23927,1194100
"OKE","11/25/2016",53.57,53.94,53.2,53.75,51.12383,625300
"OKE","11/23/2016",52.91,54.26,52.57,53.95,51.31406,1778900
"OKE","11/22/2016",52.95,53.62,52.33,53.46,50.848,3277000
"OKE","11/21/2016",51.11,52.86,50.69,52.72,50.14415,3236200
"OKE","11/18/2016",50.07,50.6,49.86,50.42,47.95653,1099600
"OKE","11/17/2016",50.1,50.62,49.79,49.83,47.39536,1531400
"OKE","11/16/2016",49.67,50.1,49.24,49.69,47.2622,1676100
"OKE","11/15/2016",48.71,50.2,48.49,49.93,47.49047,2114200
"OKE","11/14/2016",47.79,48.06,46.82,47.81,45.47405,2029100
"OKE","11/11/2016",48.79,48.99,47.43,47.92,45.57868,1708300
"OKE","11/10/2016",49.52,49.56,48.18,49.05,46.65347,2151500
"OKE","11/09/2016",49.04,49.95,48.31,49.39,46.97685,2364700
"OKE","11/08/2016",48,49.77,47.88,49.5,47.08148,1729000
"OKE","11/07/2016",47.47,48.12,47.34,48.08,45.73086,1600900
"OKE","11/04/2016",46.35,47.24,46.04,46.65,44.37073,1729500
"OKE","11/03/2016",46.88,46.95,46.26,46.44,44.17099,1672300
"OKE","11/02/2016",47.61,48,45.41,46.59,44.31366,4499700
"OKE","11/01/2016",48.98,49.05,47.79,48.56,46.18741,2096500
"OKE","10/31/2016",47.96,48.63,47.67,48.43,46.06376,1945900
"OKE","10/28/2016",48.52,49.16,47.78,48.18,45.82598,1048600
"OKE","10/27/2016",48.91,49.33,48.46,48.51,46.13984,1550700
"OKE","10/27/2016",0,0,0,0,0,0
"OKE","10/26/2016",48.68,49.39,48.15,49.23,46.23972,2409100
"OKE","10/25/2016",50.38,50.54,49.11,49.17,46.18336,1480800
"OKE","10/24/2016",50.63,51.2,49.57,50.37,47.31047,976600
"OKE","10/21/2016",50.5,50.73,50.31,50.63,47.55469,806300
"OKE","10/20/2016",50.55,50.99,50.05,50.91,47.81768,1010600
"OKE","10/19/2016",50.64,51.67,50.53,51.04,47.93978,1376200
"OKE","10/18/2016",50.17,50.25,49.23,50.03,46.99113,1013000
"OKE","10/17/2016",50.03,50.29,49.4,49.45,46.44636,1103100
"OKE","10/14/2016",50.05,50.68,49.97,50.13,47.08505,1838300
"OKE","10/13/2016",49.69,50.13,48.96,49.8,46.7751,1736200
"OKE","10/12/2016",49.5,50.32,49.17,50.21,47.16019,1091300
"OKE","10/11/2016",50.34,50.52,49.27,49.82,46.79389,1114900
"OKE","10/10/2016",50,50.9,49.92,50.35,47.29169,1343300
"OKE","10/07/2016",49.97,50.08,49.04,49.36,46.36182,1529900
"OKE","10/06/2016",49.77,50.2,49.12,49.67,46.653,1421400
"OKE","10/05/2016",50.05,50.45,49.35,49.58,46.56847,1998000
"OKE","10/04/2016",50.48,50.98,49.05,49.54,46.5309,1959000
"OKE","10/03/2016",51.43,51.62,50.41,51.11,48.00553,1496100
"OKE","09/30/2016",51.49,51.6,50.85,51.39,48.26852,2050800
"OKE","09/29/2016",51,51.56,50.37,50.94,47.84586,2177000
"OKE","09/28/2016",49.27,51.72,48.82,51.24,48.12764,2787800
"OKE","09/27/2016",48.14,48.88,47.5,48.8,45.83584,1571600
"OKE","09/26/2016",48.86,49.43,48.45,48.84,45.87341,1609500
"OKE","09/23/2016",49.39,50.03,48.46,48.62,45.66677,2040700
"OKE","09/22/2016",49.7,50.12,49.23,49.64,46.62482,2203400
"OKE","09/21/2016",47.7,48.99,47.56,48.94,45.96733,2609300
"OKE","09/20/2016",47.42,47.89,46.99,47.02,44.16396,1534300
"OKE","09/19/2016",46.54,47.86,46.37,47.39,44.51149,1882700
"OKE","09/16/2016",46.24,46.54,45.89,46.08,43.28106,3731500
"OKE","09/15/2016",46.91,47.6,46.67,46.83,43.9855,2154600
"OKE","09/14/2016",46.78,48.21,46.49,46.7,43.8634,2598800
"OKE","09/13/2016",48.51,48.63,46.47,46.95,44.09821,3825500
"OKE","09/12/2016",48.28,49.86,47.5,49.3,46.30547,2556400
"OKE","09/09/2016",50.23,50.3,48.7,48.81,45.84523,2039600
"OKE","09/08/2016",50.46,51.13,50.21,51,47.90221,2283400
"OKE","09/07/2016",49.32,50.14,49.22,49.92,46.88781,1907200
"OKE","09/06/2016",48.56,49.46,48.55,49.26,46.2679,1775000
"OKE","09/02/2016",47.8,48.87,47.73,48.26,45.32864,1905600
"OKE","09/01/2016",46.73,47.23,46.26,47.21,44.34242,1731700
"OKE","08/31/2016",46.86,47.39,46.56,46.89,44.04185,2114200
"OKE","08/30/2016",47.6,47.87,46.93,47.16,44.29546,1509500
"OKE","08/29/2016",46.98,47.42,46.56,47.36,44.48331,1408400
"OKE","08/26/2016",47.22,47.92,46.59,46.98,44.12638,1308300
"OKE","08/25/2016",47.19,47.32,46.74,47.02,44.16396,1376900
"OKE","08/24/2016",47.99,48.01,46.98,47.12,44.25788,1308800
"OKE","08/23/2016",47.99,48.66,47.99,48.28,45.34742,1715200
"OKE","08/22/2016",49.03,49.03,47.91,48.07,45.15018,2091500
"OKE","08/19/2016",49.44,49.86,48.94,49.71,46.69056,2282000
"OKE","08/18/2016",48.21,49.63,48.13,49.62,46.60603,2131100
"OKE","08/17/2016",46.99,47.98,46.62,47.95,45.03747,1768500
"OKE","08/16/2016",46.78,47.66,46.49,47.11,44.24849,1483400
"OKE","08/15/2016",47.1,47.59,46.73,46.77,43.92915,2325900
"OKE","08/12/2016",46.4,47.67,46.18,46.85,44.00429,1906000
"OKE","08/11/2016",45.38,46.59,44.98,46.11,43.30923,1712100
"OKE","08/10/2016",45.57,46,44.82,44.99,42.25727,1792900
"OKE","08/09/2016",45.83,46.05,45.16,45.26,42.51086,1248600
"OKE","08/08/2016",45.33,46.36,45.15,45.58,42.81142,2146400
"OKE","08/05/2016",44.78,45.17,44.27,44.91,42.18213,1703200
"OKE","08/04/2016",44.58,45.47,44.45,45,42.26666,2548700
"OKE","08/04/2016",0,0,0,0,0,0
"OKE","08/03/2016",44.5,45.88,42.87,45.85,42.48738,3436800
"OKE","08/02/2016",43.49,44.14,42.86,43.94,40.71746,3427900
"OKE","08/01/2016",44.39,44.69,42.79,42.99,39.83713,2889700
"OKE","07/29/2016",43.78,44.94,43.53,44.79,41.50512,2609000
"OKE","07/28/2016",43.89,44.41,43.37,44.08,40.84719,2428300
"OKE","07/27/2016",45.31,45.84,43.61,43.96,40.73599,3236200
"OKE","07/26/2016",45.22,45.74,45,45.32,41.99625,2035600
"OKE","07/25/2016",45.53,45.96,44.85,45.43,42.09819,2445300
"OKE","07/22/2016",46.64,46.99,45.57,46.05,42.67271,1886200
"OKE","07/21/2016",47.25,47.82,46.15,46.28,42.88584,1753400
"OKE","07/20/2016",47.31,47.59,46.03,47.24,43.77544,2204000
"OKE","07/19/2016",47.76,47.8,47.04,47.51,44.02563,2237200
"OKE","07/18/2016",47.82,47.95,47.33,47.7,44.2017,1777800
"OKE","07/15/2016",47.75,48.35,47.6,48.12,44.5909,2008600
"OKE","07/14/2016",47.81,48.05,47.11,47.49,44.00711,2141800
"OKE","07/13/2016",48.3,48.74,47.12,47.34,43.8681,2964400
"OKE","07/12/2016",47.94,49.09,47.94,48.52,44.96157,2399700
"OKE","07/11/2016",47.47,48.26,47.43,47.44,43.96077,1781500
"OKE","07/08/2016",47.52,47.81,47.01,47.36,43.88664,1920600
"OKE","07/07/2016",47.81,48.78,46.49,46.99,43.54377,2860600
"OKE","07/06/2016",46.98,47.45,46,47.41,43.93297,3338400
"OKE","07/05/2016",47.11,47.27,46.16,47.13,43.67351,2721300
"OKE","07/01/2016",47.49,47.76,47.26,47.57,44.08123,1817400
"OKE","06/30/2016",47.28,47.49,46.31,47.45,43.97004,2831000
"OKE","06/29/2016",46.47,47.63,46.05,47.33,43.85884,2674600
"OKE","06/28/2016",45.62,46.47,44.51,45.89,42.52445,2890900
"OKE","06/27/2016",45.54,46.58,44.14,44.62,41.34759,3475500
"OKE","06/24/2016",44.87,47.13,44.86,45.82,42.45958,4944500
"OKE","06/23/2016",47.05,47.08,46.13,46.86,43.42331,2180200
"OKE","06/22/2016",47.22,47.34,46.35,46.4,42.99705,2392200
"OKE","06/21/2016",45.96,47.26,45.25,46.81,43.37698,3127900
"OKE","06/20/2016",46.3,46.66,45.89,46.04,42.66345,3649300
"OKE","06/17/2016",44.96,45.86,44.58,45.57,42.22792,5527500
"OKE","06/16/2016",44.6,45.14,43.73,44.9,41.60706,2862100
"OKE","06/15/2016",45.48,45.69,44.5,45.02,41.71825,2908400
"OKE","06/14/2016",44.86,45.73,44.38,45.68,42.32985,2804700
"OKE","06/13/2016",44.8,45.52,44.35,44.98,41.68118,2327700
"OKE","06/10/2016",45.65,46.06,44.79,45.19,41.87578,2883000
"OKE","06/09/2016",44.83,46.79,44.64,46.53,43.11751,2466400
"OKE","06/08/2016",45.88,46.03,45.26,45.66,42.31131,2304500
"OKE","06/07/2016",45.37,46.06,45.03,45.76,42.40398,2014600
"OKE","06/06/2016",44.42,45.74,44.33,45.1,41.79239,2280200
"OKE","06/03/2016",43.78,44.28,43.61,44.03,40.80086,2145400
"OKE","06/02/2016",43.11,43.87,42.7,43.73,40.52286,1905600
"OKE","06/01/2016",43.25,43.88,42.45,43.77,40.55993,2896100
"OKE","05/31/2016",42.93,44.29,42.75,43.25,40.07807,2990200
"OKE","05/27/2016",42.26,43.02,41.88,42.73,39.5962,1929600
"OKE","05/26/2016",43.48,43.51,42.32,42.57,39.44793,1484600
"OKE","05/25/2016",42,43.42,41.81,43.07,39.91126,2435400
"OKE","05/24/2016",41.54,41.93,41.11,41.7,38.64174,3002700
"OKE","05/23/2016",41.51,42.2,41.15,41.67,38.61394,2177000
"OKE","05/20/2016",41.61,42.07,40.67,42.04,38.95681,2086800
"OKE","05/19/2016",39.56,41.71,39.22,41.54,38.49348,2662300
"OKE","05/18/2016",41.6,41.69,39.85,40.13,37.18689,4006400
"OKE","05/17/2016",41.68,42.57,41.46,42.02,38.93827,2864000
"OKE","05/16/2016",41.73,42.18,41.29,41.81,38.74367,2316400
"OKE","05/13/2016",40.14,41.78,40.1,41.04,38.03015,2589300
"OKE","05/12/2016",40.68,41.13,39.69,40.29,37.33515,2456500
"OKE","05/11/2016",40.08,40.79,39.28,40.07,37.13128,2858300
"OKE","05/10/2016",39.71,40.66,39.49,40.08,37.14056,2776000
"OKE","05/09/2016",40,40.53,38.57,39.24,36.36216,2644100
"OKE","05/06/2016",38.63,39.96,38.51,39.77,36.85328,2408600
"OKE","05/05/2016",38.74,39.75,38.5,38.96,36.10269,3594400
"OKE","05/04/2016",36.46,38.8,36.23,38.17,35.37063,6083200
