"symbol","date","open","high","low","close","adjclose","volume"
"OXY","12/30/2016",71.51,71.85,71.02,71.23,67.89841,2641600
"OXY","12/29/2016",71.81,71.95,71.2,71.6,68.25111,1938300
"OXY","12/28/2016",72.33,72.53,71.63,71.87,68.50848,2373400
"OXY","12/27/2016",72.1,72.54,71.81,72.35,68.96602,2200500
"OXY","12/23/2016",72.22,72.51,71.6,72.11,68.73726,2344200
"OXY","12/22/2016",72.08,72.62,71.73,72.36,68.97556,3700600
"OXY","12/21/2016",72.71,72.71,72.05,72.16,68.78493,2450400
"OXY","12/20/2016",72.57,72.87,71.99,72.38,68.99462,2953100
"OXY","12/19/2016",73.21,73.26,72.22,72.47,69.08041,3490900
"OXY","12/16/2016",72.24,73.51,71.69,73.44,70.00505,8948700
"OXY","12/15/2016",70.32,71.64,69.8,71.3,67.96515,4855300
"OXY","12/14/2016",71.72,72.3,70.81,70.96,67.64104,3741200
"OXY","12/13/2016",72,72.89,71.45,72.35,68.96602,4355500
"OXY","12/12/2016",72.25,72.47,71.28,71.39,68.05093,5439500
"OXY","12/09/2016",69.48,70.79,69.31,70.58,67.27882,4563500
"OXY","12/08/2016",68.96,69.37,68.12,69.32,66.07775,6258100
"OXY","12/07/2016",69.52,69.75,67.81,68.64,65.42955,8381800
"OXY","12/07/2016",0,0,0,0,0,0
"OXY","12/06/2016",70.48,71.26,70.1,70.41,66.39232,4643800
"OXY","12/05/2016",71.29,72.13,70.94,70.98,66.92979,4933400
"OXY","12/02/2016",71.1,71.54,70.66,70.85,66.80721,4153300
"OXY","12/01/2016",72.9,72.96,71.1,71.27,67.20323,5690800
"OXY","11/30/2016",69.46,72.05,68.97,71.36,67.2881,9434900
"OXY","11/29/2016",67.38,68,66.85,67.57,63.71436,3975300
"OXY","11/28/2016",70.18,70.18,68.28,68.39,64.48757,3836700
"OXY","11/25/2016",69.47,69.96,69.27,69.75,65.76997,1319200
"OXY","11/23/2016",68.77,70.13,68.77,69.85,65.86427,3954500
"OXY","11/22/2016",69.83,70.15,68.72,69.29,65.33622,5663100
"OXY","11/21/2016",69.3,70.25,69.11,69.23,65.27966,4330900
"OXY","11/18/2016",68.03,68.85,67.93,68.22,64.32728,5490200
"OXY","11/17/2016",69.55,70.29,67.7,67.81,63.94068,6668000
"OXY","11/16/2016",68.28,69.88,68.16,68.93,64.99676,7102800
"OXY","11/15/2016",66.3,68.84,66.19,68.49,64.58187,7442800
"OXY","11/14/2016",64.57,66.06,64.37,65.77,62.01707,8692000
"OXY","11/11/2016",65.37,65.37,64.4,64.95,61.24386,7290200
"OXY","11/10/2016",66.79,66.98,65.6,65.72,61.96993,9215400
"OXY","11/09/2016",66.75,67.66,66.12,66.9,63.0826,8582900
"OXY","11/08/2016",67.09,67.43,66.46,66.89,63.07317,4283000
"OXY","11/07/2016",67.47,67.82,66.8,67.25,63.41262,5855500
"OXY","11/04/2016",67.41,68.27,66.56,66.59,62.79029,7713900
"OXY","11/03/2016",68,68,66.83,67.45,63.60121,7863000
"OXY","11/02/2016",68.72,68.87,67.1,67.79,63.92181,5810300
"OXY","11/01/2016",72.45,72.84,67.66,69,65.06276,13046300
"OXY","10/31/2016",73.64,73.69,72.55,72.91,68.74966,4722100
"OXY","10/28/2016",73.89,74.76,73.55,73.63,69.42857,5823000
"OXY","10/27/2016",74.73,74.89,73.72,73.79,69.57944,4124700
"OXY","10/26/2016",73.7,74.58,73.29,74.39,70.1452,3678000
"OXY","10/25/2016",74.83,75.5,74.35,74.43,70.18293,4943800
"OXY","10/24/2016",74.72,75.4,73.9,75.03,70.74869,6117200
"OXY","10/21/2016",73.47,74.66,72.79,74.61,70.35265,4983800
"OXY","10/20/2016",73.95,74.71,73.38,74.1,69.87175,4088600
"OXY","10/19/2016",73.42,75.6,72.97,74.51,70.25836,5840000
"OXY","10/18/2016",73.28,73.31,71.77,72.57,68.42906,3799300
"OXY","10/17/2016",73.22,73.22,71.86,72.47,68.33477,5608500
"OXY","10/14/2016",74.6,74.6,72.76,73.22,69.04198,4494200
"OXY","10/13/2016",73.36,74.16,72.84,73.9,69.68317,4574000
"OXY","10/12/2016",73.78,74.45,73.37,74,69.77746,4128900
"OXY","10/11/2016",74.53,74.82,73.28,73.69,69.48516,3694800
"OXY","10/10/2016",74.11,74.87,74.03,74.77,70.50353,3735000
"OXY","10/07/2016",73.81,73.99,73.22,73.54,69.34371,3117600
"OXY","10/06/2016",72.74,74,72.6,73.54,69.34371,5269400
"OXY","10/05/2016",73.28,73.53,72.47,72.54,68.40077,4196900
"OXY","10/04/2016",72.84,73.23,72.09,72.65,68.50449,4532700
"OXY","10/03/2016",72.92,73.18,72.43,72.82,68.6648,3002200
"OXY","09/30/2016",72.56,73.37,71.98,72.92,68.75909,5110500
"OXY","09/29/2016",71.82,73.13,71.29,72.14,68.0236,6467700
"OXY","09/28/2016",69.07,72.18,68.65,71.9,67.79729,8044800
"OXY","09/27/2016",68.75,68.97,67.83,68.65,64.73275,4862200
"OXY","09/26/2016",69.8,70.2,69.22,69.32,65.3645,4688300
"OXY","09/23/2016",71.39,71.39,69.15,69.6,65.62853,5802100
"OXY","09/22/2016",72.58,72.8,71.3,71.41,67.33525,5204000
"OXY","09/21/2016",71.12,71.89,70.71,71.8,67.703,4294500
"OXY","09/20/2016",70.86,71.31,70.49,70.5,66.47717,4337600
"OXY","09/19/2016",71.53,71.81,70.81,70.82,66.77892,4194500
"OXY","09/16/2016",71.6,71.8,70.93,71.03,66.97693,5411300
"OXY","09/15/2016",71.87,72.77,71.83,72.27,68.14618,5324800
"OXY","09/14/2016",73.31,73.69,71.43,71.8,67.703,5624200
"OXY","09/13/2016",75.02,75.15,73.35,73.51,69.31542,5846500
"OXY","09/12/2016",75.1,76.15,74.79,75.85,71.5219,4638200
"OXY","09/09/2016",77.3,77.3,76,76.11,71.76707,4496700
"OXY","09/08/2016",77.57,77.9,76.79,77.75,73.31348,4986700
"OXY","09/07/2016",77.4,77.76,76.95,77.13,72.72886,3881700
"OXY","09/07/2016",0,0,0,0,0,0
"OXY","09/06/2016",77.6,78.17,77.36,78,72.83258,3978800
"OXY","09/02/2016",77.57,77.78,76.56,77.51,72.37505,3458300
"OXY","09/01/2016",76.55,76.85,76.01,76.84,71.74942,3261000
"OXY","08/31/2016",77.58,77.58,76.49,76.85,71.75877,3376600
"OXY","08/30/2016",78.48,78.48,77.59,77.84,72.68318,2309600
"OXY","08/29/2016",77.1,78.02,76.6,77.95,72.78589,3314500
"OXY","08/26/2016",77.54,77.94,76.85,77.17,72.05757,3517400
"OXY","08/25/2016",77.66,77.7,77,77.36,72.23499,3228100
"OXY","08/24/2016",76.88,77.94,76.57,77.72,72.57114,5358000
"OXY","08/23/2016",76.37,77.07,76.37,76.89,71.79611,2432900
"OXY","08/22/2016",76.03,76.53,75.67,76.36,71.30123,2521900
"OXY","08/19/2016",76.91,77.15,76.33,76.54,71.46931,2992200
"OXY","08/18/2016",76.92,77.51,76.73,77.48,72.34704,4390500
"OXY","08/17/2016",75.87,76.62,75.45,76.61,71.53467,3983000
"OXY","08/16/2016",74.77,76.26,74.5,76.01,70.97442,4289400
"OXY","08/15/2016",74.9,75.23,74.72,75.05,70.07802,4851600
"OXY","08/12/2016",74.46,74.6,73.85,74.46,69.5271,2151400
"OXY","08/11/2016",73.84,74.58,73.31,74.25,69.33102,2710200
"OXY","08/10/2016",74,74.32,73.13,73.27,68.41593,2659800
"OXY","08/09/2016",74.68,74.77,73.32,73.68,68.79878,3353200
"OXY","08/08/2016",74.19,74.69,73.85,74.36,69.43374,3378000
"OXY","08/05/2016",74.2,74.2,73.06,73.68,68.79878,3842600
"OXY","08/04/2016",74.01,74.85,73.92,74.25,69.33102,3723200
"OXY","08/03/2016",73.53,74.41,72.33,74.38,69.4524,4697100
"OXY","08/02/2016",73.96,74.08,72.11,73.12,68.27588,5563900
"OXY","08/01/2016",74.4,74.49,73.3,73.59,68.71474,4132400
"OXY","07/29/2016",73.42,74.89,73.25,74.73,69.77924,3210700
"OXY","07/28/2016",73.78,74.32,73.43,73.91,69.01354,3570000
"OXY","07/27/2016",74.57,74.85,73.82,74.16,69.24699,2964300
"OXY","07/26/2016",74.21,74.89,73.97,74.69,69.74187,2734400
"OXY","07/25/2016",74.9,75.26,74.1,74.51,69.5738,4181800
"OXY","07/22/2016",75.67,76.01,75.13,75.38,70.38615,2411400
"OXY","07/21/2016",75.92,76.51,75.59,75.73,70.71298,1980400
"OXY","07/20/2016",76.14,76.87,75.87,76.35,71.29189,1825800
"OXY","07/19/2016",76.33,76.88,76.13,76.37,71.31058,2262500
"OXY","07/18/2016",77.01,77.13,76.53,76.77,71.68407,2779400
"OXY","07/15/2016",77.34,77.57,76.89,77.32,72.19764,3886400
"OXY","07/14/2016",77.55,77.66,76.93,77.21,72.09492,4158200
"OXY","07/13/2016",77.49,77.58,76.22,76.83,71.74009,3659400
"OXY","07/12/2016",77.41,77.5,76.66,77.37,72.24432,4347500
"OXY","07/11/2016",76.33,76.82,75.93,76.2,71.15183,3204200
"OXY","07/08/2016",76.5,76.5,75.36,76.13,71.08646,3804200
"OXY","07/07/2016",75.67,75.99,75,75.45,70.45152,4505400
"OXY","07/06/2016",75.22,75.56,74.68,75.45,70.45152,3358300
"OXY","07/05/2016",74.9,75.72,74.53,75.22,70.23676,3599000
"OXY","07/01/2016",75.43,76.25,75.14,75.67,70.65695,3944600
"OXY","06/30/2016",75.22,75.66,74.84,75.56,70.55424,3779300
"OXY","06/29/2016",73.98,75.34,73.88,75.09,70.11536,4330800
"OXY","06/28/2016",74.31,74.31,73.17,73.97,69.06956,4449100
"OXY","06/27/2016",74.36,74.74,72.5,73.12,68.27588,5173100
"OXY","06/24/2016",75.68,76.45,74.84,75.27,70.28344,5601400
"OXY","06/23/2016",77.82,78.31,77.29,78.31,73.12204,4104000
"OXY","06/22/2016",77.28,77.68,76.76,77.1,71.99221,3564000
"OXY","06/21/2016",76.31,77.28,75.81,77.16,72.04823,3164000
"OXY","06/20/2016",75.98,76.66,75.7,76.1,71.05846,3698000
"OXY","06/17/2016",74.85,75.05,74.46,74.95,69.98464,4062600
"OXY","06/16/2016",74.36,74.63,73.82,74.45,69.51777,3378000
"OXY","06/15/2016",75.09,75.34,74.59,74.85,69.89127,3104700
"OXY","06/14/2016",75.09,75.26,74.8,75.12,70.14339,3880300
"OXY","06/13/2016",74.84,75.69,74.63,75.25,70.26478,5074600
"OXY","06/10/2016",75,75.46,74.8,75.45,70.45152,4066300
"OXY","06/09/2016",74.56,75.66,74.52,75.6,70.59158,3846600
"OXY","06/08/2016",76.6,76.97,75.31,75.44,70.44218,4143400
"OXY","06/08/2016",0,0,0,0,0,0
"OXY","06/07/2016",76,77.17,75.57,76.87,71.07713,4531800
"OXY","06/06/2016",75.56,76.18,75.22,75.41,69.72717,3296100
"OXY","06/03/2016",75.48,75.72,74.37,74.83,69.19087,2562000
"OXY","06/02/2016",74.82,75.25,74.36,75.21,69.54223,2227600
"OXY","06/01/2016",74.9,75.55,74.33,75.44,69.75491,3041900
"OXY","05/31/2016",76.22,76.51,75.08,75.44,69.75491,4584800
"OXY","05/27/2016",75.97,76.22,75.58,76.15,70.41139,2203100
"OXY","05/26/2016",76.7,77.18,76.05,76.11,70.37441,2260500
"OXY","05/25/2016",76.87,77.35,75.88,76.17,70.42989,3399500
"OXY","05/24/2016",75.54,76.39,74.98,76.12,70.38365,3619900
"OXY","05/23/2016",74.48,75.37,74.31,74.87,69.22786,3306900
"OXY","05/20/2016",75.31,75.43,74.6,74.96,69.31107,3411300
"OXY","05/19/2016",74.5,75,73.82,74.84,69.2001,3963800
"OXY","05/18/2016",75.38,75.89,74.31,74.81,69.17238,6095500
"OXY","05/17/2016",76.33,77.08,75.76,76.34,70.58707,5319300
"OXY","05/16/2016",76.15,76.85,75.84,76.53,70.76275,4468400
"OXY","05/13/2016",76.36,76.38,75.17,75.34,69.66243,3689900
"OXY","05/12/2016",76.98,77.2,76.16,76.48,70.71653,3639500
"OXY","05/11/2016",75.9,77.02,75.68,76.31,70.55933,4523400
"OXY","05/10/2016",75.66,76.58,75.52,76.41,70.65179,4691900
"OXY","05/09/2016",75.25,75.83,74.25,75.54,69.84735,3936400
"OXY","05/06/2016",75.31,76.64,75.1,76.06,70.32817,5258000
"OXY","05/05/2016",75.66,76.89,75.08,76.14,70.40214,6338800
"OXY","05/04/2016",75.18,75.78,73.85,73.96,68.38642,6165400
"OXY","05/03/2016",75.43,75.88,74.71,75.57,69.8751,4191900
"OXY","05/02/2016",76.22,76.5,75.39,76.33,70.57782,3354900
"OXY","04/29/2016",76.5,77.23,75.78,76.65,70.8737,4495300
"OXY","04/28/2016",77.71,77.71,75.83,76.23,70.48536,3683300
"OXY","04/27/2016",76.76,78.09,76.65,77.52,71.67814,3678600
"OXY","04/26/2016",75.75,76.6,75.24,76.48,70.71653,3223500
"OXY","04/25/2016",75.26,75.93,74.63,75.1,69.44052,3065200
"OXY","04/22/2016",74.92,76,74.83,75.85,70.134,2851900
"OXY","04/21/2016",75.21,75.73,74.38,74.62,68.99669,3228800
"OXY","04/20/2016",74.63,76.12,74,75.07,69.41277,4187200
"OXY","04/19/2016",73.71,74.99,72.99,74.86,69.21861,4027200
"OXY","04/18/2016",72.15,73.66,70.7,73.3,67.77616,3745300
"OXY","04/15/2016",73.8,74,72.1,72.15,66.71283,4782300
"OXY","04/14/2016",72.66,74.47,72.3,74.32,68.7193,6053200
"OXY","04/13/2016",72.65,72.88,71.65,72.24,66.79604,3753200
"OXY","04/12/2016",71.28,72.92,70.33,72.45,66.9902,4143600
"OXY","04/11/2016",70.81,71.58,70.77,70.79,65.45531,3170900
"OXY","04/08/2016",70.71,71.14,70.22,70.6,65.27964,3212700
