"symbol","date","open","high","low","close","adjclose","volume"
"PCLN","12/30/2016",1483.49,1483.49,1462.34,1466.06,1466.06,407400
"PCLN","12/29/2016",1477.21,1487.43,1473.35,1480.16,1480.16,200900
"PCLN","12/28/2016",1494.73,1496.05,1476.48,1480.46,1480.46,248700
"PCLN","12/27/2016",1490.01,1503.39,1486.43,1493.42,1493.42,193900
"PCLN","12/23/2016",1477.54,1490.08,1470.34,1486.2,1486.2,275600
"PCLN","12/22/2016",1501.4,1503.18,1475.42,1481.34,1481.34,406400
"PCLN","12/21/2016",1498.11,1512.71,1495,1505.76,1505.76,290700
"PCLN","12/20/2016",1488.06,1503.96,1483.98,1502.25,1502.25,306500
"PCLN","12/19/2016",1484.27,1501.47,1477.99,1488.83,1488.83,390100
"PCLN","12/16/2016",1507.5,1507.97,1473.13,1484.28,1484.28,713200
"PCLN","12/15/2016",1520,1523,1500.57,1501.2,1501.2,584200
"PCLN","12/14/2016",1542.74,1549.13,1525.72,1528.45,1528.45,307600
"PCLN","12/13/2016",1545.19,1560,1538.26,1540.11,1540.11,388000
"PCLN","12/12/2016",1560.55,1566.63,1528.57,1536.78,1536.78,396400
"PCLN","12/09/2016",1555.5,1559.18,1549.94,1557.98,1557.98,333900
"PCLN","12/08/2016",1535.36,1551.77,1522.76,1548.67,1548.67,505900
"PCLN","12/07/2016",1504.69,1527.8,1501.87,1527.04,1527.04,389900
"PCLN","12/06/2016",1506.96,1508.09,1493.99,1504.82,1504.82,254900
"PCLN","12/05/2016",1476.19,1502.87,1475.23,1499.76,1499.76,349300
"PCLN","12/02/2016",1481.48,1488.8,1466.98,1473,1473,336100
"PCLN","12/01/2016",1501.69,1504.12,1468.97,1479.66,1479.66,572600
"PCLN","11/30/2016",1523.25,1528.58,1500.21,1503.68,1503.68,375600
"PCLN","11/29/2016",1528.65,1532.9,1515,1520.27,1520.27,327100
"PCLN","11/28/2016",1517.3,1536,1513.11,1525.07,1525.07,348900
"PCLN","11/25/2016",1523.12,1527.99,1511.4,1521.68,1521.68,173700
"PCLN","11/23/2016",1530.92,1533.56,1510.89,1520.99,1520.99,317800
"PCLN","11/22/2016",1530.25,1535.9,1525.64,1535.42,1535.42,320100
"PCLN","11/21/2016",1512,1531.03,1507.2,1524.18,1524.18,295800
"PCLN","11/18/2016",1512.28,1529,1504.53,1507.35,1507.35,426300
"PCLN","11/17/2016",1502.54,1530.95,1500.19,1512.9,1512.9,413500
"PCLN","11/16/2016",1492.39,1517,1488.23,1503.23,1503.23,366800
"PCLN","11/15/2016",1499.97,1507.77,1485.6,1497.45,1497.45,669100
"PCLN","11/14/2016",1540.46,1541.93,1482.23,1489.18,1489.18,801600
"PCLN","11/11/2016",1548.1,1557.7,1530.87,1540.65,1540.65,643000
"PCLN","11/10/2016",1584.44,1600.93,1520.3,1554.32,1554.32,1101600
"PCLN","11/09/2016",1565,1575,1546.58,1570.26,1570.26,912500
"PCLN","11/08/2016",1540,1589.21,1540,1578.13,1578.13,1559000
"PCLN","11/07/2016",1437.45,1485.2,1435.79,1480.33,1480.33,1395500
"PCLN","11/04/2016",1429.05,1442.14,1422.19,1424.28,1424.28,435300
