"symbol","date","open","high","low","close","adjclose","volume"
"PEP","12/30/2016",104.71,105.15,104.33,104.63,101.784,3484000
"PEP","12/29/2016",104.5,105.1,104.48,104.99,102.1342,2407100
"PEP","12/28/2016",104.87,105.1,104.52,104.62,101.7743,1878600
"PEP","12/27/2016",105.09,105.32,104.99,105.13,102.2704,1505000
"PEP","12/23/2016",104.97,105.25,104.63,105.09,102.2315,1758800
"PEP","12/22/2016",104.55,105.45,104.25,105.35,102.4844,2605000
"PEP","12/21/2016",104.82,105.69,104.69,104.7,101.8521,3245200
"PEP","12/20/2016",104.89,105.04,104.37,104.9,102.0467,4903400
"PEP","12/19/2016",105.46,105.87,105.13,105.41,102.5428,3683800
"PEP","12/16/2016",105.55,105.92,105.13,105.87,102.9903,7310300
"PEP","12/15/2016",104.23,105.57,104.23,105.3,102.4358,4179400
"PEP","12/14/2016",105.88,106.53,104.21,104.47,101.6284,5007500
"PEP","12/13/2016",104.81,106.01,104.68,105.63,102.7568,4508600
"PEP","12/12/2016",103.82,104.87,103.67,104.72,101.8716,4858400
"PEP","12/09/2016",102.23,104.05,102.04,103.57,100.7529,5040200
"PEP","12/08/2016",102.14,102.61,102,102.15,99.37149,3993900
"PEP","12/07/2016",101.16,102.93,101.16,102.81,100.0135,4873400
"PEP","12/06/2016",101.08,101.61,100.81,101.55,98.7878,4828400
"PEP","12/05/2016",100.62,100.91,100.12,100.71,97.97064,3961800
"PEP","12/02/2016",99.4,100.64,99.4,100.6,97.86364,4594600
"PEP","12/01/2016",99.89,100.05,98.5,99.03,96.33634,7123000
"PEP","11/30/2016",101.51,101.92,100.1,100.1,97.37724,8123500
"PEP","11/30/2016",0,0,0,0,0,0
"PEP","11/29/2016",102.79,103.05,102.3,102.54,99.01836,3886800
"PEP","11/28/2016",102.27,103.25,101.9,102.79,99.25977,5556900
"PEP","11/25/2016",102,102.91,101.74,102.17,98.66106,3644900
"PEP","11/23/2016",102.52,102.89,101.46,101.53,98.04305,4658400
"PEP","11/22/2016",102.53,103,102.44,102.89,99.35633,4540300
"PEP","11/21/2016",101.31,102.32,101.31,102.26,98.74797,3870800
"PEP","11/18/2016",101.4,101.8,101.18,101.31,97.8306,4919200
"PEP","11/17/2016",101.81,101.93,101.18,101.62,98.12995,4212600
"PEP","11/16/2016",102.36,102.9,101.47,101.71,98.21686,3946900
"PEP","11/15/2016",101.4,102.05,100.82,101.85,98.35205,5672300
"PEP","11/14/2016",102.86,103.34,100.45,101.39,97.90784,7214000
"PEP","11/11/2016",103,103.77,102.57,103.19,99.64603,5888400
"PEP","11/10/2016",106.89,106.89,102.4,103.25,99.70396,9095200
