"symbol","date","open","high","low","close","adjclose","volume"
"PFE","12/30/2016",32.34,32.6,32.31,32.48,31.2506,18866600
"PFE","12/29/2016",32.39,32.62,32.37,32.49,31.26023,14000300
"PFE","12/28/2016",32.5,32.69,32.34,32.35,31.12552,13938800
"PFE","12/27/2016",32.57,32.72,32.48,32.53,31.29871,11220400
"PFE","12/23/2016",32.41,32.56,32.36,32.48,31.2506,10791200
"PFE","12/22/2016",32.29,32.43,32.05,32.34,31.1159,18613300
"PFE","12/21/2016",32.73,32.93,32.33,32.4,31.17363,18739700
"PFE","12/20/2016",32.78,32.88,32.57,32.85,31.60659,25074300
"PFE","12/19/2016",32.76,32.97,32.72,32.83,31.58736,24930700
"PFE","12/16/2016",32.88,32.94,32.52,32.84,31.59697,35492000
"PFE","12/15/2016",32.63,32.96,32.6,32.75,31.51038,20877100
"PFE","12/14/2016",32.92,33.3,32.64,32.82,31.57773,36347100
"PFE","12/13/2016",32.81,32.88,32.56,32.83,31.58736,28760300
"PFE","12/12/2016",31.7,32.65,31.66,32.4,31.17363,32255700
"PFE","12/09/2016",31.11,31.92,31.09,31.7,30.50013,29350800
"PFE","12/08/2016",30.84,31.1,30.51,30.94,29.76889,35493000
"PFE","12/07/2016",31.33,31.33,30.61,31.19,30.00943,44053700
"PFE","12/06/2016",31.65,31.7,31.43,31.56,30.36543,17706800
"PFE","12/05/2016",31.74,31.77,31.39,31.59,30.39429,19300300
"PFE","12/02/2016",31.54,31.73,31.36,31.63,30.43277,19007800
"PFE","12/01/2016",32.25,32.25,31.4,31.46,30.26921,30606400
"PFE","11/30/2016",31.98,32.37,31.75,32.14,30.92347,38519500
"PFE","11/29/2016",31.85,31.97,31.61,31.92,30.7118,21642200
"PFE","11/28/2016",31.69,31.84,31.5,31.54,30.34618,17735200
"PFE","11/25/2016",31.6,31.74,31.55,31.69,30.4905,10452900
"PFE","11/23/2016",31.18,31.45,30.63,31.42,30.23072,21252300
"PFE","11/22/2016",31.93,31.99,31.05,31.33,30.14413,26434800
"PFE","11/21/2016",31.51,31.69,31.49,31.57,30.37505,21872800
"PFE","11/18/2016",31.95,31.95,31.44,31.48,30.28845,24156400
"PFE","11/17/2016",32.01,32.12,31.68,31.73,30.52899,26093500
"PFE","11/16/2016",32.2,32.33,31.93,31.96,30.75028,22366300
"PFE","11/15/2016",32.76,32.76,31.88,32.23,31.01006,29614300
"PFE","11/14/2016",32.85,32.9,32.13,32.38,31.15438,30334000
"PFE","11/11/2016",33.22,33.34,32.19,32.59,31.35644,35803600
"PFE","11/10/2016",33.32,33.83,32.85,33.49,32.22237,67275200
"PFE","11/09/2016",33.01,33.37,31.5,32.12,30.90423,118753800
"PFE","11/08/2016",30.13,30.45,29.96,30,28.86447,35390700
"PFE","11/08/2016",0,0,0,0,0,0
"PFE","11/07/2016",30.23,30.44,30.08,30.38,28.94144,30877500
"PFE","11/04/2016",29.91,30.37,29.9,30,28.57944,35028200
