"symbol","date","open","high","low","close","adjclose","volume"
"PNC","12/30/2016",116.21,117.16,115.92,116.96,114.5581,1624900
"PNC","12/29/2016",117.28,117.61,115.36,116.1,113.7157,1518300
"PNC","12/28/2016",118.38,118.57,116.93,117.06,114.656,1184300
"PNC","12/27/2016",117.89,118.52,117.89,118.31,115.8803,1076500
"PNC","12/23/2016",117.49,117.98,117.07,117.96,115.5375,912700
"PNC","12/22/2016",117.75,118,117.21,117.43,115.0184,1457600
"PNC","12/21/2016",118.26,118.29,117.38,117.64,115.2241,1282000
"PNC","12/20/2016",116.79,118.33,116.3,118.07,115.6453,1998900
"PNC","12/19/2016",114.43,116.25,114.38,115.8,113.4219,3657800
"PNC","12/16/2016",115.98,116.21,114.65,114.86,112.5012,3261400
"PNC","12/15/2016",115.78,116.2,114.44,115.63,113.2554,2801800
"PNC","12/14/2016",113.76,115.77,112.61,114.2,111.8547,5157900
"PNC","12/13/2016",114.22,115.25,113.62,114.7,112.3445,3153900
"PNC","12/12/2016",114.69,115.31,113.95,114.07,111.7274,3342800
"PNC","12/09/2016",114.56,115.02,113.57,115.02,112.6579,2565800
"PNC","12/08/2016",113.33,115.69,112.88,114.82,112.462,3083400
"PNC","12/07/2016",111.7,112.69,110.97,112.67,110.3562,4257700
"PNC","12/06/2016",111.46,111.99,110.85,111.49,109.2004,4162800
"PNC","12/05/2016",112.04,112.52,111.1,111.5,109.2102,3607500
"PNC","12/02/2016",112.42,112.42,110.69,111.08,108.7988,2449400
"PNC","12/01/2016",111.23,112.68,110.68,112.6,110.2876,5430000
"PNC","11/30/2016",110.6,111.23,110.12,110.54,108.2699,5570200
"PNC","11/29/2016",110,110.43,109.16,109.26,107.0162,3943800
"PNC","11/28/2016",111.23,111.62,109.61,109.8,107.5451,2183300
"PNC","11/25/2016",111.23,112.07,111.15,112.07,109.7685,1047900
"PNC","11/23/2016",111.31,111.97,110.37,111.14,108.8576,3708300
"PNC","11/22/2016",110.87,111.44,110.19,110.76,108.4854,2878900
"PNC","11/21/2016",111.35,111.35,110.22,110.71,108.4364,2270600
"PNC","11/18/2016",110.91,111.39,110.27,111.24,108.9555,5245800
"PNC","11/17/2016",107.52,110.81,107.46,110.6,108.3287,4154600
"PNC","11/16/2016",107.74,108.16,106.97,107.51,105.3021,3333100
"PNC","11/15/2016",106.88,108.83,105.47,108.78,106.5461,3821100
"PNC","11/14/2016",106.91,109.17,106.48,108.1,105.88,6812300
"PNC","11/11/2016",105.43,106.23,104.78,105.93,103.7546,4186800
"PNC","11/10/2016",102.42,106.34,102.42,105.98,103.8036,6897500
"PNC","11/09/2016",98.29,101.63,97.3,101.25,99.1707,5235200
"PNC","11/08/2016",95.95,96.99,95.3,96.64,94.65536,2488400
"PNC","11/07/2016",96.01,96.56,95.97,96.4,94.4203,2467000
