"symbol","date","open","high","low","close","adjclose","volume"
"PPG","12/30/2016",95.43,95.5,94.46,94.76,93.27992,1248700
"PPG","12/29/2016",94.7,95.32,94.67,95.31,93.82132,1147700
"PPG","12/28/2016",96.34,96.47,94.59,94.67,93.19132,1155100
"PPG","12/27/2016",95.05,95.93,94.88,95.85,94.35288,1200000
"PPG","12/23/2016",95.04,95.04,93.8,94.69,93.21101,1816200
"PPG","12/22/2016",95.94,95.99,94.93,95,93.51617,1177500
"PPG","12/21/2016",95.39,96.2,95.05,95.87,94.37257,1189500
"PPG","12/20/2016",96.26,96.4,95.56,95.64,94.14617,1418600
"PPG","12/19/2016",96.06,96.87,95.97,96.22,94.71711,1473400
"PPG","12/16/2016",96.07,96.7,95.78,95.92,94.42179,1946900
"PPG","12/15/2016",96.2,97.12,95.63,96.1,94.59898,1684600
"PPG","12/14/2016",97.07,97.88,95.91,96.17,94.66789,1576800
"PPG","12/13/2016",98.13,98.39,96.65,97.05,95.53415,2145200
"PPG","12/12/2016",99.07,99.85,97.76,98.65,97.10916,1528900
"PPG","12/09/2016",99.48,100.17,98.92,99.3,97.74902,1354900
"PPG","12/08/2016",98.18,99.67,97.88,99.41,97.85728,1494200
"PPG","12/07/2016",96.31,98.21,96.21,98.18,96.6465,1581700
"PPG","12/06/2016",95.98,96.36,95.52,96.22,94.71711,1358000
"PPG","12/05/2016",95.36,96.99,95.23,95.99,94.4907,1634600
"PPG","12/02/2016",95.29,95.5,94.15,94.58,93.10274,2084400
"PPG","12/01/2016",96.42,96.8,94.85,95.24,93.75242,2444100
"PPG","11/30/2016",98.46,98.69,95.83,95.93,94.43164,2704300
"PPG","11/29/2016",97.35,98.45,96.92,98,96.46931,1467900
"PPG","11/28/2016",97.92,97.95,96.77,97.35,95.82946,1251200
"PPG","11/25/2016",97.63,98.13,97.35,98.13,96.59728,482500
"PPG","11/23/2016",96.59,97.69,96.36,97.59,96.06571,1089300
"PPG","11/22/2016",96.45,96.71,96.03,96.62,95.11087,1513600
"PPG","11/21/2016",95.56,96.33,95.31,96.19,94.68758,1807100
"PPG","11/18/2016",96.23,96.23,95.12,95.19,93.70321,1276900
"PPG","11/17/2016",96.77,96.83,96.1,96.61,95.10102,1118700
"PPG","11/16/2016",95.96,96.57,95.86,96.36,94.85492,1622800
"PPG","11/15/2016",96.1,96.54,95.51,96.23,94.72696,1778800
"PPG","11/14/2016",96.4,96.85,95.13,96.05,94.54977,2000800
"PPG","11/11/2016",96.32,97.27,95.49,95.77,94.27415,2013800
"PPG","11/10/2016",95.91,98.21,95.78,96.87,95.35696,2826800
"PPG","11/09/2016",92.36,95.97,90.88,95.29,93.80164,3225500
"PPG","11/08/2016",93.83,95.19,93.5,94.74,93.26022,1665300
"PPG","11/08/2016",0,0,0,0,0,0
"PPG","11/07/2016",94.16,94.42,93.57,94.35,92.48256,2066800
"PPG","11/04/2016",92.02,93.66,91.54,92.81,90.97305,1528600
"PPG","11/03/2016",92.76,93.14,91.66,91.75,89.93404,1646900
"PPG","11/02/2016",92.85,93.99,92.37,92.38,90.55156,2226700
"PPG","11/01/2016",93.25,93.59,91.75,92.74,90.90444,2224200
"PPG","10/31/2016",93.35,93.44,92.81,93.13,91.28671,2173000
"PPG","10/28/2016",93.44,94.53,92.27,92.87,91.03186,2062000
"PPG","10/27/2016",93.03,93.63,92.74,93.35,91.50237,2290700
"PPG","10/26/2016",91.01,92.62,91.01,92.52,90.68879,2515800
"PPG","10/25/2016",90.55,92.06,89.64,91.22,89.41453,4338500
"PPG","10/24/2016",92.75,93.51,92.7,93.24,91.39454,2011100
"PPG","10/21/2016",91.42,92.59,90.48,92.38,90.55156,2366900
"PPG","10/20/2016",92.69,94.47,92.51,92.66,90.82602,2411400
"PPG","10/19/2016",92.82,93.18,92.16,92.56,90.728,2165900
"PPG","10/18/2016",93.75,93.83,92.79,92.81,90.97305,1314800
"PPG","10/17/2016",92.6,92.88,92.24,92.66,90.82602,1918800
"PPG","10/14/2016",92.75,93.11,92.55,92.6,90.7672,2453200
"PPG","10/13/2016",91.01,92.36,90.31,92.12,90.29671,2603400
"PPG","10/12/2016",92.39,92.56,91.43,91.94,90.12027,2171200
"PPG","10/11/2016",93.25,93.25,91.51,92.3,90.47315,4157700
"PPG","10/10/2016",94.31,94.99,93.22,93.85,91.99246,3249700
"PPG","10/07/2016",97.19,97.5,92.51,93.73,91.87484,7136800
"PPG","10/06/2016",101.4,102.36,101.22,102.19,100.1674,1078800
"PPG","10/05/2016",102.3,102.73,101.55,101.58,99.56947,912400
"PPG","10/04/2016",103.8,104.08,101.8,102.05,100.0302,1560000
"PPG","10/03/2016",103.27,104.04,103.27,103.44,101.3927,1348300
"PPG","09/30/2016",102.65,103.85,102.65,103.36,101.3142,1716500
"PPG","09/29/2016",103.65,103.96,101.98,102.06,100.04,1162400
"PPG","09/28/2016",102.92,103.95,102.37,103.57,101.5201,1300300
"PPG","09/27/2016",102,102.63,101.55,102.45,100.4223,1290400
"PPG","09/26/2016",103.07,103.29,102.01,102.14,100.1184,928400
"PPG","09/23/2016",103.11,103.76,102.78,103.27,101.226,1649000
"PPG","09/22/2016",103.51,104.22,102.92,103.14,101.0986,1149800
"PPG","09/21/2016",101.8,102.54,101.26,102.46,100.4321,1144000
"PPG","09/20/2016",100.41,101.95,100.41,101.26,99.25579,1317400
"PPG","09/19/2016",100.93,101.55,100.53,101.08,99.07936,1265600
"PPG","09/16/2016",100.63,100.82,99.78,100.21,98.22658,1986700
"PPG","09/15/2016",100.69,101.6,100.38,101.24,99.23619,1193000
"PPG","09/14/2016",101.07,101.38,99.96,100.68,98.68728,1098700
"PPG","09/13/2016",101.71,101.95,100.58,101.16,99.15778,1425400
"PPG","09/12/2016",100.48,102.98,100.42,102.76,100.7261,1597200
"PPG","09/09/2016",104.58,104.58,100.76,100.86,98.86371,2339500
"PPG","09/08/2016",106.54,106.88,105.28,105.3,103.2158,961300
"PPG","09/07/2016",107.24,107.79,106.42,106.73,104.6175,1337900
"PPG","09/06/2016",107.37,107.97,107.01,107.62,105.4899,1320400
"PPG","09/02/2016",106.74,107.07,106.32,107.04,104.9214,662700
"PPG","09/01/2016",106.02,106.3,105.09,105.98,103.8824,929600
"PPG","08/31/2016",107.08,107.08,105.43,105.88,103.7844,1392300
"PPG","08/30/2016",107.35,107.7,106.67,107.28,105.1566,1036500
"PPG","08/29/2016",105.91,107.89,105.91,107.6,105.4703,1246600
"PPG","08/26/2016",106.97,107.65,105.41,105.75,103.6569,929700
"PPG","08/25/2016",106.1,107.19,106.05,106.75,104.6371,914100
"PPG","08/24/2016",106.28,107.12,106,106.39,104.2843,1808400
"PPG","08/23/2016",105.87,106.77,105.6,106.44,104.3333,1341700
"PPG","08/22/2016",104.43,105.28,104,105.21,103.1276,1148500
"PPG","08/19/2016",103.22,104.86,103.22,104.73,102.6571,1089900
"PPG","08/18/2016",103.59,103.96,103.36,103.77,101.7161,1036900
"PPG","08/17/2016",103.66,104.03,102.9,103.59,101.5397,1242200
"PPG","08/16/2016",104.51,105.36,103.65,103.65,101.5985,1287100
"PPG","08/15/2016",104.13,104.75,104.02,104.46,102.3925,1037100
"PPG","08/12/2016",104.61,104.87,103.71,103.99,101.9318,977600
"PPG","08/11/2016",104.82,105.38,104.43,104.74,102.6669,1092500
"PPG","08/10/2016",104.69,105.07,104.09,104.69,102.6179,1102400
"PPG","08/09/2016",104.35,105.2,104.19,104.37,102.3043,1044600
"PPG","08/08/2016",104.45,104.7,104.05,104.48,102.4121,1210900
"PPG","08/08/2016",0,0,0,0,0,0
"PPG","08/05/2016",104.61,104.99,104.35,104.43,101.971,1063100
"PPG","08/04/2016",104.3,104.82,103.85,104.1,101.6488,1281100
"PPG","08/03/2016",104.13,104.38,102.87,104.33,101.8733,2415800
"PPG","08/02/2016",104.88,104.88,103.35,103.69,101.2484,1473500
"PPG","08/01/2016",104.1,105.06,103.74,104.67,102.2053,1641900
"PPG","07/29/2016",104.99,105.23,103.74,104.71,102.2444,2107700
"PPG","07/28/2016",105.72,106.32,104.82,105.48,102.9963,2163000
"PPG","07/27/2016",106.87,106.87,105.76,106.09,103.5919,1625900
"PPG","07/26/2016",107.07,107.07,106.18,106.76,104.2461,2284800
"PPG","07/25/2016",107.23,107.35,106.4,106.59,104.0801,1670800
"PPG","07/22/2016",108.59,108.59,107.31,107.65,105.1152,1708800
"PPG","07/21/2016",109,110.13,107.56,108.59,106.033,2133100
"PPG","07/20/2016",108.79,110.14,108.48,110.03,107.4391,2360900
"PPG","07/19/2016",108.64,108.98,107.77,108.38,105.828,1424200
"PPG","07/18/2016",109,109.5,108.61,109.3,106.7263,870100
"PPG","07/15/2016",109.02,109.48,108.14,109.27,106.697,1341000
"PPG","07/14/2016",109.81,109.99,108.35,108.63,106.0721,1359100
"PPG","07/13/2016",109.1,109.55,107.96,109.47,106.8923,1238500
"PPG","07/12/2016",107.55,109.5,107.31,108.7,106.1404,1404000
"PPG","07/11/2016",106.63,107.04,106.42,106.61,104.0996,892200
"PPG","07/08/2016",104.18,106.61,103.98,106.32,103.8165,1649100
"PPG","07/07/2016",103.28,103.78,102.53,103.03,100.6039,1547900
"PPG","07/06/2016",102.2,103.02,101.72,102.97,100.5454,1451500
"PPG","07/05/2016",103.92,103.93,101.8,102.65,100.2329,1898800
"PPG","07/01/2016",104.15,105.49,104.07,104.52,102.0589,1334300
"PPG","06/30/2016",102.57,104.15,101.99,104.15,101.6976,2193000
"PPG","06/29/2016",101.94,102.72,101.57,102.49,100.0767,1582800
"PPG","06/28/2016",99.95,100.56,98.42,100.56,98.1921,1941300
"PPG","06/27/2016",101.41,101.47,98.08,98.69,96.36614,3445900
"PPG","06/24/2016",108.09,108.09,102.21,102.73,100.311,3821500
"PPG","06/23/2016",109.7,111.26,109.44,111.22,108.6011,2078300
"PPG","06/22/2016",108.4,108.4,107.66,107.81,105.2714,1219400
"PPG","06/21/2016",108.65,108.65,107.83,108.06,105.5155,1346300
"PPG","06/20/2016",109.28,109.73,108.32,108.42,105.867,1227900
"PPG","06/17/2016",107,108.26,106.63,108.18,105.6327,1807100
"PPG","06/16/2016",105.62,107.01,105.06,106.96,104.4414,843400
"PPG","06/15/2016",107.3,107.64,106.5,106.62,104.1094,1056500
"PPG","06/14/2016",107.31,107.85,106.43,107.08,104.5586,1221800
"PPG","06/13/2016",108.94,109.25,107.61,107.69,105.1542,1343900
"PPG","06/10/2016",109.77,109.86,108.77,109.24,106.6677,1255800
"PPG","06/09/2016",110.21,110.49,109.52,110.43,107.8297,2689500
"PPG","06/08/2016",108.06,111.26,107.51,110.95,108.3374,1908000
"PPG","06/07/2016",108.15,108.36,107.37,107.77,105.2323,1238100
"PPG","06/06/2016",108.1,108.87,107.68,108.12,105.5741,935900
"PPG","06/03/2016",108.07,108.17,106.86,107.67,105.1347,1338700
"PPG","06/02/2016",107.36,108.2,106.89,108.2,105.6522,759900
"PPG","06/01/2016",107.68,108.21,106.49,107.98,105.4374,998400
"PPG","05/31/2016",108.65,108.87,107.2,107.68,105.1445,1807500
"PPG","05/27/2016",107.96,108.71,107.3,108.6,106.0428,732400
"PPG","05/26/2016",108.35,109,107.59,107.7,105.164,561900
"PPG","05/25/2016",108.26,108.73,107.7,108.32,105.7694,800600
"PPG","05/24/2016",106.57,108.15,106.46,107.76,105.2226,1084700
"PPG","05/23/2016",106.19,106.83,105.8,106.43,103.9239,1485400
"PPG","05/20/2016",106.38,107.03,105.93,106.21,103.7091,906300
"PPG","05/19/2016",106,106.65,104.96,105.64,103.1525,1153900
"PPG","05/18/2016",106.93,107.79,106.07,106.39,103.8848,1996200
"PPG","05/17/2016",107.82,108.27,106.69,107.01,104.4902,1227000
"PPG","05/16/2016",107.19,108.64,107.09,108.16,105.6132,1488600
"PPG","05/13/2016",107.57,108.07,106.47,106.7,104.1875,1547600
"PPG","05/12/2016",108.23,108.55,106.36,107.49,104.9589,1130300
"PPG","05/11/2016",108.74,109.2,107.38,107.42,104.8906,1623300
"PPG","05/10/2016",107.8,108.83,107.26,108.73,106.1697,805700
"PPG","05/09/2016",108.14,108.23,107.29,107.44,104.9101,1046600
"PPG","05/06/2016",107.7,108.31,107.18,108.31,105.7596,1172300
"PPG","05/06/2016",0,0,0,0,0,0
"PPG","05/05/2016",109.04,109.53,108.23,108.58,105.6327,810200
"PPG","05/04/2016",108.51,109.36,108,108.59,105.6424,1062100
"PPG","05/03/2016",110.09,110.22,109.02,109.5,106.5277,1303300
"PPG","05/02/2016",110.18,111.25,109.04,111.24,108.2205,1390100
"PPG","04/29/2016",112.4,112.73,109.75,110.39,107.3935,2308500
"PPG","04/28/2016",111.89,113.4,111.53,112.77,109.7089,1617400
