"symbol","date","open","high","low","close","adjclose","volume"
"PXD","12/30/2016",181.7,182.28,179.3,180.07,179.983,785600
"PXD","12/29/2016",182.04,182.88,181.05,181.65,181.5622,596800
"PXD","12/28/2016",184.67,185.77,181.04,181.81,181.7222,1029100
"PXD","12/27/2016",186.01,186.83,184.17,185,184.9106,688100
"PXD","12/23/2016",186.11,187.5,184.91,185.01,184.9206,700600
"PXD","12/22/2016",184.64,187.85,183.87,186.94,186.8497,1074700
"PXD","12/21/2016",186.6,186.88,184.26,184.84,184.7507,1128100
"PXD","12/20/2016",186.47,187.95,184.97,185.68,185.5903,1223300
"PXD","12/19/2016",185.31,187.11,184.1,186.02,185.9301,1249200
"PXD","12/16/2016",188.19,188.36,184.19,184.99,184.9006,2306000
"PXD","12/15/2016",186.02,187.99,183.98,187.45,187.3594,1533900
"PXD","12/14/2016",189.74,193.79,187.26,187.59,187.4994,1900700
"PXD","12/13/2016",190.51,192.72,187.2,191.25,191.1576,1649400
"PXD","12/12/2016",193.16,195,187.62,188.96,188.8687,2467600
"PXD","12/09/2016",188.64,189.8,185.2,187.06,186.9696,1205300
"PXD","12/08/2016",187.3,190.7,184.58,187.01,186.9197,1420900
"PXD","12/07/2016",184.87,187.36,184,185.78,185.6902,1712200
"PXD","12/06/2016",186.33,187.89,184.41,184.77,184.6807,1575700
"PXD","12/05/2016",190.61,191.88,188.04,188.25,188.1591,1764300
"PXD","12/02/2016",189.43,190.42,186.14,187.55,187.4594,2278200
"PXD","12/01/2016",193.97,194.78,188.61,189.57,189.4784,2917000
"PXD","11/30/2016",184.88,193.17,183.59,191.04,190.9477,6490300
"PXD","11/29/2016",169.74,175.94,166.5,173.67,173.5861,2350400
"PXD","11/28/2016",183.5,183.53,172.41,173.03,172.9464,2171100
"PXD","11/25/2016",184,185.42,181.47,181.87,181.7821,582700
"PXD","11/23/2016",181.7,185.67,181.65,185.51,185.4204,1326500
"PXD","11/22/2016",183.94,183.94,180.75,183.1,183.0116,1267100
"PXD","11/21/2016",184.13,184.8,181.21,183.15,183.0615,1668200
"PXD","11/18/2016",176.32,180.06,176.32,178.19,178.1039,1013100
"PXD","11/17/2016",180.43,182.22,175.24,175.86,175.775,1237500
"PXD","11/16/2016",178,181.95,177.24,178.53,178.4437,1144700
"PXD","11/15/2016",176.24,180.1,175.27,178.73,178.6437,1947000
"PXD","11/14/2016",170.84,173.97,168.68,173.63,173.5461,1204500
"PXD","11/11/2016",177.6,177.65,168.79,172.09,172.0069,2307900
"PXD","11/10/2016",175.98,181.58,174.8,179.43,179.3433,1505200
"PXD","11/09/2016",174.92,179.55,172.79,177.71,177.6242,2034300
"PXD","11/08/2016",172.34,175.96,170.76,175.04,174.9554,1706600
"PXD","11/07/2016",174.32,174.72,171.8,173.44,173.3562,1772000
"PXD","11/04/2016",173.17,173.95,169.15,171.11,171.0273,1888600
"PXD","11/03/2016",172.06,173.83,167.56,173.17,173.0863,2450300
"PXD","11/02/2016",173.22,174.8,168.32,171.27,171.1873,4690100
"PXD","11/01/2016",179.93,182.06,177.2,180.97,180.8826,1845200
"PXD","10/31/2016",180.84,182.45,178.43,179.02,178.9335,1310700
"PXD","10/28/2016",182.67,186.57,180.19,181.63,181.5423,1331700
"PXD","10/27/2016",183.65,184.1,182.36,182.67,182.5818,929700
"PXD","10/26/2016",181,184.83,179.59,183.03,182.9416,1306600
"PXD","10/25/2016",185.25,186.65,182.95,183.03,182.9416,943900
"PXD","10/24/2016",186.98,188,181.55,185.33,185.2405,1320900
"PXD","10/21/2016",187.56,189.13,185.93,187,186.9097,1084500
"PXD","10/20/2016",187.03,190.27,186.28,189.38,189.2885,1106000
"PXD","10/19/2016",186.16,191.28,186,189.03,188.9387,1741800
"PXD","10/18/2016",186.66,186.67,182.87,184.03,183.9411,1135600
"PXD","10/17/2016",186.28,187.07,182.02,184.28,184.191,1173900
"PXD","10/14/2016",189.63,189.79,185.85,185.96,185.8702,1233900
"PXD","10/13/2016",189.31,190.05,186.56,188.16,188.0691,1091200
"PXD","10/12/2016",191.2,192.23,190.07,190.91,190.8178,1246900
"PXD","10/11/2016",192.49,193.39,190.67,192.46,192.367,1481800
"PXD","10/10/2016",188.02,193.32,187.8,193.24,193.1467,2178300
"PXD","10/07/2016",186.88,188.31,185.67,186.39,186.3,1261100
"PXD","10/06/2016",185.89,186.67,183.52,186.2,186.11,1249100
"PXD","10/05/2016",185.28,186.65,184.65,185.33,185.2405,1825400
"PXD","10/04/2016",185.98,186.24,181.42,182.5,182.4118,1569200
"PXD","10/03/2016",185,186.42,182.92,185.39,185.3004,1447000
"PXD","09/30/2016",186.2,187.99,184.79,185.65,185.5603,1896200
"PXD","09/29/2016",181.6,187.74,181.6,185.36,185.2705,3189500
"PXD","09/28/2016",174.54,184.07,172.7,183.43,183.3414,2455400
"PXD","09/28/2016",0,0,0,0,0,0
"PXD","09/27/2016",171.99,174.25,170.31,172.81,172.6865,1215100
"PXD","09/26/2016",176.06,177.25,174.33,174.57,174.4453,1113400
"PXD","09/23/2016",178.38,179.25,173.34,175.53,175.4046,1366200
"PXD","09/22/2016",184.05,185,179,179.05,178.9221,1148700
"PXD","09/21/2016",178.08,182.75,177.11,182.41,182.2797,1569300
"PXD","09/20/2016",176.39,177.93,174.74,175.75,175.6244,1591700
"PXD","09/19/2016",178.37,179.73,176.43,176.5,176.3739,1378100
"PXD","09/16/2016",175.8,177.46,174.09,177.12,176.9935,2548500
"PXD","09/15/2016",176.88,181.06,176.31,178.48,178.3525,1579300
"PXD","09/14/2016",175.77,179.08,174.51,176.31,176.184,1767700
"PXD","09/13/2016",180.66,181.15,174.8,176.87,176.7436,1773100
"PXD","09/12/2016",179.47,184.68,177.22,183.21,183.0791,2063100
"PXD","09/09/2016",185.85,187.66,180.53,180.6,180.471,2669100
"PXD","09/08/2016",189.68,190.94,186.43,187.51,187.376,2237500
"PXD","09/07/2016",184.84,188.6,184.27,188.31,188.1755,2035400
"PXD","09/06/2016",183.69,184.9,181.46,183.5,183.3689,1382300
"PXD","09/02/2016",182,183.92,181.78,183.71,183.5788,1247700
"PXD","09/01/2016",178.03,180.34,176.84,180.22,180.0912,1548800
"PXD","08/31/2016",181.49,182.86,177.13,179.05,178.9221,1701800
"PXD","08/30/2016",183.74,185,181.1,182.87,182.7393,1133400
"PXD","08/29/2016",179.31,183.01,178.39,182.92,182.7893,1703100
"PXD","08/26/2016",181.3,181.96,178.58,179.5,179.3717,1294300
"PXD","08/25/2016",180.57,181.04,179.08,180.41,180.2811,1697200
"PXD","08/24/2016",181.86,182.58,180.21,180.58,180.451,2035100
"PXD","08/23/2016",180.62,182.89,180.23,182.25,182.1198,2346700
"PXD","08/22/2016",183.15,183.15,180.14,181.37,181.2404,2167700
"PXD","08/19/2016",183.45,186.33,183.31,185.59,185.4574,2006300
"PXD","08/18/2016",181.9,183.94,181,183.91,183.7786,1647800
"PXD","08/17/2016",179.63,180.45,178.47,180.3,180.1712,2228200
"PXD","08/16/2016",178.17,179.76,175.11,178.77,178.6423,1778000
"PXD","08/15/2016",177,180.26,176.93,179.15,179.022,1977400
"PXD","08/12/2016",175.01,176.65,173.36,176.52,176.3939,1110800
"PXD","08/11/2016",173.04,175,171.68,174.2,174.0755,1429400
"PXD","08/10/2016",171.55,172.85,170.74,171.77,171.6473,2078300
"PXD","08/09/2016",171.19,172.16,170.27,171.3,171.1776,1761900
"PXD","08/08/2016",169.75,172.5,169.35,170.65,170.5281,2059800
"PXD","08/05/2016",163,168.85,161.89,168.09,167.9699,2687400
"PXD","08/04/2016",161.55,165.46,160.2,162.9,162.7836,2173600
"PXD","08/03/2016",160,163.6,158.61,163.11,162.9935,2218800
"PXD","08/02/2016",158.5,160.47,155.63,159.58,159.466,1764200
"PXD","08/01/2016",161.04,161.52,156.52,157.23,157.1177,2574900
"PXD","07/29/2016",157.62,163.13,157.37,162.57,162.4539,2684300
"PXD","07/28/2016",153.25,158.8,152.89,157.54,157.4274,4030100
