"symbol","date","open","high","low","close","adjclose","volume"
"ROP","12/30/2016",184.09,184.14,182.03,183.08,181.8948,372300
"ROP","12/29/2016",184.11,185.33,182.64,183.13,181.9445,376300
"ROP","12/28/2016",186.46,187.03,183.74,183.81,182.6201,312900
"ROP","12/27/2016",185.86,187.05,185.86,186.2,184.9946,264800
"ROP","12/23/2016",186.43,186.59,185.62,185.93,184.7263,190000
"ROP","12/22/2016",186,186.38,184.7,186.01,184.8058,486500
"ROP","12/21/2016",186.28,186.63,185.79,185.81,184.6071,376400
"ROP","12/20/2016",185.33,186.89,184.92,186.33,185.1238,395500
"ROP","12/19/2016",185.09,185.85,183.86,184.43,183.2361,410000
"ROP","12/16/2016",187.75,188.47,184.82,185,183.8024,1006300
"ROP","12/15/2016",186.1,187.19,185.26,186.97,185.7596,699200
"ROP","12/14/2016",187.74,188.82,186.33,186.66,185.4516,868500
"ROP","12/13/2016",186,189.44,185.51,188.04,186.8227,1369800
"ROP","12/12/2016",185.72,185.81,184.13,184.89,183.6931,401000
"ROP","12/09/2016",183.12,185.93,182.96,185.8,184.5972,792900
"ROP","12/08/2016",182.63,183.77,182.63,183.29,182.1034,1462500
"ROP","12/07/2016",183.72,183.95,182.79,183.51,182.322,962100
"ROP","12/06/2016",183.78,185.36,182.01,183.05,181.865,924300
"ROP","12/05/2016",183.17,184.93,181.16,181.64,180.4641,569400
"ROP","12/02/2016",181.66,182.69,181.32,182.32,181.1397,518300
"ROP","12/01/2016",181.41,182.64,181.23,181.83,180.6529,668200
"ROP","11/30/2016",181.69,182.31,180.94,181.11,179.9375,740700
"ROP","11/29/2016",181.63,182.2,180.98,181.1,179.9276,293200
"ROP","11/28/2016",182.8,183.35,181.16,182.08,180.9013,415000
"ROP","11/25/2016",184.22,184.6,182.2,183.13,181.9445,172100
"ROP","11/23/2016",183.25,184.43,183.25,184.2,183.0075,377700
"ROP","11/22/2016",182.7,183.87,181.78,183.79,182.6002,581700
"ROP","11/21/2016",181.15,182.04,180.78,182.04,180.8615,573900
"ROP","11/18/2016",181.1,181.86,179.96,180.12,178.9539,318400
"ROP","11/17/2016",181.49,182.25,180.75,181.42,180.2455,956000
"ROP","11/16/2016",181.38,181.71,180.02,181.28,180.1064,611100
"ROP","11/15/2016",179.45,181.78,178.19,181.65,180.474,832900
"ROP","11/14/2016",179.06,180.25,178.96,179.58,178.4174,729500
"ROP","11/11/2016",179.57,180.31,178.01,178.95,177.7915,713700
"ROP","11/10/2016",177.09,180.5,176.6,179.81,178.646,1157500
"ROP","11/09/2016",173.26,177.23,171.57,176.95,175.8045,970000
"ROP","11/08/2016",173.12,174.89,172.14,174.04,172.9133,756800
"ROP","11/07/2016",171.32,173.04,171.27,172.85,171.731,550000
