"symbol","date","open","high","low","close","adjclose","volume"
"RRC","12/30/2016",34.26,34.81,34.09,34.36,34.22562,2965800
"RRC","12/29/2016",34.23,34.77,33.87,34.26,34.126,3028600
"RRC","12/28/2016",34.76,35.05,33.99,34.32,34.18577,4115300
"RRC","12/27/2016",34.87,35.14,34.5,34.77,34.63401,2798900
"RRC","12/23/2016",34.25,34.92,34.07,34.7,34.56429,2140600
"RRC","12/22/2016",34.17,34.31,33.63,34.22,34.08616,3538500
"RRC","12/21/2016",34.24,34.59,33.7,34.21,34.0762,4223600
"RRC","12/20/2016",33.77,33.99,33.01,33.24,33.11,4092800
"RRC","12/19/2016",34.38,34.7,33.61,33.97,33.83714,4900100
"RRC","12/16/2016",34.31,34.52,33.75,34.29,34.15589,8571600
"RRC","12/15/2016",34.56,36.02,34.06,34.66,34.52444,6392700
"RRC","12/14/2016",36.11,36.66,34.78,34.85,34.7137,4209000
"RRC","12/14/2016",0,0,0,0,0,0
"RRC","12/13/2016",36.41,36.89,35.76,36.29,36.12815,4687500
"RRC","12/12/2016",39.56,39.64,35.68,35.97,35.80957,6334500
"RRC","12/09/2016",38.79,39.21,38.06,38.78,38.60704,4043000
"RRC","12/08/2016",38.54,38.75,37.33,38.36,38.18892,3413000
"RRC","12/07/2016",38.77,39.64,37.83,38.22,38.04954,3541200
"RRC","12/06/2016",37.93,38.72,37.71,38.39,38.21878,2886100
"RRC","12/05/2016",37.2,39,37.17,38.42,38.24864,5939200
"RRC","12/02/2016",36.34,36.66,35.63,36.36,36.19783,3669000
"RRC","12/01/2016",36.4,37.51,36.12,36.59,36.42681,7329000
"RRC","11/30/2016",38.52,38.6,34.86,35.18,35.0231,8806900
"RRC","11/29/2016",35.67,36.82,35.14,36.37,36.20779,4623900
"RRC","11/28/2016",36.78,37.46,36.49,36.51,36.34716,4513800
"RRC","11/25/2016",36.48,36.7,35.88,36.28,36.11819,1766200
"RRC","11/23/2016",35.2,36.79,35.06,36.78,36.61596,3035400
"RRC","11/22/2016",36.5,36.5,34.87,35.64,35.48104,3885300
"RRC","11/21/2016",34.86,36.61,34.86,36.4,36.23765,6186600
"RRC","11/18/2016",34.55,35.14,33.92,34.02,33.86827,3318500
"RRC","11/17/2016",34.9,35.35,33.94,34.03,33.87823,3390200
"RRC","11/16/2016",34.56,35.14,34.09,34.39,34.23662,3242600
"RRC","11/15/2016",34.08,35.4,34.08,34.69,34.53528,4327900
"RRC","11/14/2016",32.04,33.63,31.86,33.61,33.4601,5106900
"RRC","11/11/2016",32.22,32.32,31.66,31.99,31.84732,4264600
"RRC","11/10/2016",32.66,33.29,32.42,32.45,32.30528,3303600
"RRC","11/09/2016",32.05,33.62,31.84,33.36,33.21122,4435100
"RRC","11/08/2016",33.05,33.4,31.75,31.84,31.69799,5802300
"RRC","11/07/2016",32.7,33.76,32.32,33.62,33.47005,4733700
"RRC","11/04/2016",31.85,32.52,31.62,32.02,31.87719,3071300
"RRC","11/03/2016",32.02,32.5,31.82,31.96,31.81746,2942200
"RRC","11/02/2016",32.07,32.55,31.2,31.92,31.77764,4665000
"RRC","11/01/2016",33.72,33.96,32.02,32.58,32.43469,6785200
"RRC","10/31/2016",35.03,35.11,33.48,33.79,33.6393,4495100
"RRC","10/28/2016",35.48,35.93,34.45,34.51,34.35608,4035200
"RRC","10/27/2016",35.03,36.23,34.7,35.65,35.491,5323200
"RRC","10/26/2016",36.8,36.85,33.38,34.95,34.79412,11191000
"RRC","10/25/2016",35.81,36.32,35.65,35.89,35.72993,4286600
"RRC","10/24/2016",37,37.18,35.65,36.15,35.98877,3372000
"RRC","10/21/2016",38.22,38.24,37.08,37.2,37.03409,3913200
"RRC","10/20/2016",37.84,38.73,37.53,38.59,38.41789,2747600
"RRC","10/19/2016",38.02,38.82,37.83,38.22,38.04954,3816900
"RRC","10/18/2016",38.53,38.53,37.45,38.07,37.90021,2578900
"RRC","10/17/2016",37.85,38.29,37.03,37.75,37.58163,3981500
"RRC","10/14/2016",39.43,39.5,37.95,37.98,37.8106,4181900
"RRC","10/13/2016",37.88,39.92,37.81,39.41,39.23423,6724600
"RRC","10/12/2016",38.29,38.48,37.82,38.04,37.87034,3621700
"RRC","10/11/2016",39.08,39.28,38.44,38.78,38.60704,3792900
"RRC","10/10/2016",39.57,40.2,39.18,39.24,39.06499,5116000
"RRC","10/07/2016",39.15,39.45,38.63,39.26,39.0849,7107500
"RRC","10/06/2016",39.13,39.35,38.06,38.45,38.27851,3702500
"RRC","10/05/2016",39.27,39.43,38.19,39,38.82606,4624900
"RRC","10/04/2016",39.24,39.24,38.51,39.05,38.87584,3266600
"RRC","10/03/2016",38.79,39.25,38.46,39.11,38.93557,3610000
"RRC","09/30/2016",37.88,38.78,37.42,38.75,38.57718,4425000
"RRC","09/29/2016",38.31,38.67,37.16,37.56,37.39248,4262600
"RRC","09/28/2016",37.45,39,36.76,38.62,38.44775,6160400
"RRC","09/27/2016",37.96,37.96,36.75,36.97,36.80511,4375100
"RRC","09/26/2016",38.5,39.32,38.32,38.53,38.35815,3464500
"RRC","09/23/2016",38.33,39.1,37.42,38.16,37.98981,4609500
"RRC","09/22/2016",38.65,39.04,37.82,38.33,38.15905,4600300
"RRC","09/21/2016",37.24,38.33,36.95,38.26,38.08936,8387400
"RRC","09/20/2016",37.53,37.73,36.58,36.58,36.41686,7109500
"RRC","09/19/2016",38,38,36.99,37.15,36.98431,5598200
"RRC","09/16/2016",37.87,38.39,36.95,37.38,37.21328,15399100
"RRC","09/15/2016",39.29,40.06,38.56,39.37,39.19441,4558400
"RRC","09/14/2016",41.16,42.03,39.06,39.29,39.11477,5737200
"RRC","09/14/2016",0,0,0,0,0,0
"RRC","09/13/2016",42.52,42.8,41.29,41.42,41.21535,5078300
"RRC","09/12/2016",41.99,43.04,41.52,42.92,42.70794,3292800
"RRC","09/09/2016",42.63,43.6,42.24,42.24,42.03131,2908000
"RRC","09/08/2016",41.45,43.29,41.37,43.07,42.8572,3937700
"RRC","09/07/2016",42.5,42.5,41.34,41.81,41.60343,2333300
"RRC","09/06/2016",40.45,41.72,40.29,41.58,41.37457,2481500
"RRC","09/02/2016",39.52,40.8,39.47,40.47,40.27005,2733300
"RRC","09/01/2016",38,39.29,38,39.07,38.87696,2397100
"RRC","08/31/2016",39.48,39.64,38.37,38.57,38.37944,2210200
"RRC","08/30/2016",40.05,41.05,39.5,39.72,39.52375,2518600
"RRC","08/29/2016",39.53,40.09,39.28,39.78,39.58346,1756800
"RRC","08/26/2016",40.43,41.02,39.49,39.65,39.4541,2123900
"RRC","08/25/2016",40.41,40.87,40.04,40.12,39.92178,1767700
"RRC","08/24/2016",40.97,41.16,40.32,40.42,40.22029,2727200
"RRC","08/23/2016",39.28,41.5,39.25,41.26,41.05614,3088900
"RRC","08/22/2016",40,40.27,39.25,39.43,39.23519,2239000
"RRC","08/19/2016",40.53,40.85,39.62,40.4,40.20039,3036500
"RRC","08/18/2016",39.19,40.82,38.91,40.79,40.58847,3044000
"RRC","08/17/2016",39.15,39.56,38.46,38.84,38.6481,2147900
"RRC","08/16/2016",39.23,39.54,38.2,39.19,38.99637,2512300
"RRC","08/15/2016",38.8,39.55,38.53,39.14,38.94662,2337700
"RRC","08/12/2016",38.89,39.15,38.46,38.75,38.55855,2443400
"RRC","08/11/2016",38.32,39.13,37.92,38.51,38.31973,3092900
"RRC","08/10/2016",38.98,39.21,38.05,38.16,37.97146,4315400
"RRC","08/09/2016",40.64,41.01,38.83,38.84,38.6481,3491700
"RRC","08/08/2016",40.1,41.81,40.03,40.69,40.48896,2398800
"RRC","08/05/2016",40.17,40.29,39.32,40.01,39.81232,2302600
"RRC","08/04/2016",40.36,41.08,39.89,40.11,39.91183,2588100
"RRC","08/03/2016",39.16,40.64,38.63,40.64,40.43921,3009900
"RRC","08/02/2016",39.16,39.58,38.29,38.93,38.73766,2621100
"RRC","08/01/2016",39.95,39.95,38.6,39.12,38.92672,3928100
"RRC","07/29/2016",40.19,40.67,39.66,40.31,40.11084,2624200
"RRC","07/28/2016",40.7,41.89,39.84,40.75,40.54867,3639600
"RRC","07/27/2016",42.48,43.01,39.05,40.48,40.28,7691600
"RRC","07/26/2016",40.79,41.93,40.44,41.87,41.66313,3733200
"RRC","07/25/2016",40.83,41.26,40.38,41.02,40.81733,2920900
"RRC","07/22/2016",41.21,42.02,40.68,41.13,40.92679,3339900
"RRC","07/21/2016",42,43.18,40.65,40.7,40.49891,3965700
"RRC","07/20/2016",42.86,42.94,41.45,41.98,41.77259,2164800
"RRC","07/19/2016",43.45,44.01,42.84,43.39,43.17562,1954100
"RRC","07/18/2016",42.99,43.63,42.44,43.56,43.34478,1726000
"RRC","07/15/2016",43.13,43.91,42.55,43.1,42.88705,2624100
"RRC","07/14/2016",45.07,45.16,42.72,43.02,42.80746,3035800
"RRC","07/13/2016",44.91,45.01,43.27,44.09,43.87216,2672800
"RRC","07/12/2016",44.43,45.76,44.2,44.75,44.5289,2718900
"RRC","07/11/2016",44.48,44.68,43.41,43.44,43.22537,2328800
"RRC","07/08/2016",43.62,44.91,43.36,44.13,43.91197,3564700
"RRC","07/07/2016",43.84,44.38,42.25,42.55,42.33977,3315100
"RRC","07/06/2016",41.97,43.32,41.68,43.02,42.80746,3291000
"RRC","07/05/2016",43.31,43.53,40.82,42.25,42.04125,3831300
"RRC","07/01/2016",43.43,44.56,43.07,44.48,44.26023,2713200
"RRC","06/30/2016",43.75,44.14,42.76,43.14,42.92685,3670100
"RRC","06/29/2016",45.14,45.56,43.78,43.99,43.77266,4366000
"RRC","06/28/2016",43.65,44.86,43.46,44.52,44.30004,4671200
"RRC","06/27/2016",42.89,43.73,41.82,42.49,42.28007,3179900
"RRC","06/24/2016",43.2,44.78,43,43.32,43.10597,3404600
"RRC","06/23/2016",45.73,46.22,45.17,45.44,45.21549,2586500
"RRC","06/22/2016",46.62,46.62,45.06,45.45,45.22544,2838200
"RRC","06/21/2016",44.96,46.96,44.72,46.45,46.2205,3560100
"RRC","06/20/2016",45.13,45.77,44.41,45.23,45.00653,2960600
"RRC","06/17/2016",43.31,44.68,43.31,44.3,44.08113,5039000
"RRC","06/16/2016",42.65,43.24,41.16,42.84,42.62834,3376600
"RRC","06/15/2016",43.17,44.25,42.8,43.06,42.84726,2913100
"RRC","06/14/2016",43.17,44.03,41.66,43.19,42.97661,3596400
"RRC","06/13/2016",43.12,44.36,42.7,43.54,43.32489,3323400
"RRC","06/13/2016",0,0,0,0,0,0
"RRC","06/10/2016",45.42,46.06,43.13,43.21,42.97661,3872000
"RRC","06/09/2016",43.98,46.32,43.74,46.21,45.96041,3994100
"RRC","06/08/2016",46.3,46.52,44.13,44.47,44.22981,4668600
"RRC","06/07/2016",45.09,46.57,44.88,46.22,45.97035,3845300
"RRC","06/06/2016",43.76,45.21,43.76,45.04,44.79673,3580500
"RRC","06/03/2016",43.26,43.99,42.61,43.24,43.00645,2724500
"RRC","06/02/2016",42.56,43.39,41.93,43.26,43.02634,3287200
"RRC","06/01/2016",42.66,43.59,42.26,43.1,42.8672,3199800
"RRC","05/31/2016",41.71,43.27,41.71,42.59,42.35996,4042200
"RRC","05/27/2016",41.58,42.02,40.93,41.36,41.1366,3030000
"RRC","05/26/2016",43.5,44.12,41.53,41.61,41.38526,4403300
"RRC","05/25/2016",41.79,43.34,41.61,43,42.76775,4714400
"RRC","05/24/2016",41.33,41.6,40.09,41.32,41.09682,3072300
"RRC","05/23/2016",40.32,41.49,40,41.25,41.02719,2645600
"RRC","05/20/2016",40.3,40.57,39.33,40.38,40.1619,3949300
"RRC","05/19/2016",38.08,40.77,37.84,39.95,39.73422,6229600
"RRC","05/18/2016",39.61,40.69,38.6,38.73,38.52081,6516200
"RRC","05/17/2016",37.84,39.28,37.09,39.28,39.06784,11821700
"RRC","05/16/2016",40.7,41.95,37.42,37.69,37.48642,19080000
"RRC","05/13/2016",41.95,43.29,41.66,42.01,41.7831,3299200
"RRC","05/12/2016",43.75,44.25,41.91,42.26,42.03175,2958100
"RRC","05/11/2016",42.82,43.35,41.73,43.15,42.91694,3978900
"RRC","05/10/2016",42.2,43.15,41.75,43.12,42.88709,2562300
"RRC","05/09/2016",41.26,42.1,40.35,41.7,41.47477,3508100
"RRC","05/06/2016",41.62,43.51,41.5,41.91,41.68364,4664100
"RRC","05/05/2016",43.3,43.43,41.61,42.42,42.19087,2790000
"RRC","05/04/2016",42.7,43.38,40.61,41.77,41.54438,3882300
"RRC","05/03/2016",42.78,43.29,41.22,42.17,41.94223,4398100
"RRC","05/02/2016",43.67,44.08,42.62,43.54,43.30483,5381300
"RRC","04/29/2016",42.28,44.68,41.61,44.11,43.87175,6345700
