"symbol","date","open","high","low","close","adjclose","volume"
"SIG","12/30/2016",93.91,94.99,93.54,94.26,92.61607,979500
"SIG","12/29/2016",93.74,95.04,93.4,93.95,92.31146,709400
"SIG","12/28/2016",94.18,94.95,92.96,93.7,92.06583,936000
"SIG","12/27/2016",93.14,95,93.14,93.71,92.07566,1132400
"SIG","12/23/2016",93.71,94.78,92.65,93.21,91.58438,948000
"SIG","12/22/2016",94.28,95.45,93.21,93.4,91.77106,1210700
"SIG","12/21/2016",95.05,95.61,94.06,94.76,93.10735,679400
"SIG","12/20/2016",95,96.2,94.47,95.18,93.52003,596000
"SIG","12/19/2016",94,95.81,94,94.41,92.76346,836500
"SIG","12/16/2016",94.97,95.87,93.25,94.07,92.42938,2635300
"SIG","12/15/2016",95.31,96.75,94.82,95.02,93.36281,849900
"SIG","12/14/2016",96.58,96.87,94.4,94.97,93.31367,961700
"SIG","12/13/2016",96.47,97.04,94.33,96.17,94.49275,900700
"SIG","12/12/2016",98.49,98.72,96.22,96.39,94.70892,956900
"SIG","12/09/2016",97.7,98.88,96.34,98.72,96.99828,1782000
"SIG","12/08/2016",95,99.19,94.2,98.05,96.33997,1529900
"SIG","12/07/2016",94.5,95.55,93.56,95.29,93.62811,1253700
"SIG","12/06/2016",92.25,94.22,92.25,93.98,92.34095,1871600
"SIG","12/05/2016",92.7,94.13,92.1,93.64,92.00688,1598700
"SIG","12/02/2016",91.62,92.98,90.83,92.07,90.46426,1459000
"SIG","12/01/2016",91.83,93.09,91.07,91.25,89.65855,1237200
"SIG","11/30/2016",91.66,93.63,90.67,91.29,89.69787,1337600
"SIG","11/29/2016",92.97,94,91.57,91.82,90.21861,1398000
"SIG","11/28/2016",92.93,94.49,92,92.24,90.63129,1149100
"SIG","11/25/2016",94.29,94.93,92.53,93.07,91.44682,490000
"SIG","11/23/2016",90.91,94.13,90.19,93.86,92.22305,1353200
"SIG","11/22/2016",98.97,101.46,89.86,90.79,89.20658,5864700
"SIG","11/21/2016",89.23,89.56,86.74,88.88,87.3299,2560900
"SIG","11/18/2016",91.37,91.37,87.68,88.96,87.4085,1787700
"SIG","11/17/2016",91.13,92.28,90.47,92.12,90.5134,1576500
"SIG","11/16/2016",89.1,91.64,88.39,90.85,89.26553,1192600
"SIG","11/15/2016",93.25,94.44,88,89.6,88.03734,3213100
"SIG","11/14/2016",90.87,93.16,90.32,92.44,90.82781,1560600
"SIG","11/11/2016",89.76,90.66,89.23,90.12,88.54826,1206900
"SIG","11/10/2016",87.43,91.03,87.17,89.79,88.22403,1545000
"SIG","11/09/2016",81.36,86.9,81.21,86.75,85.23705,1513300
"SIG","11/08/2016",83.62,83.96,82.21,82.87,81.42471,783500
"SIG","11/07/2016",82.41,84.73,82.4,83.63,82.17145,984700
"SIG","11/04/2016",80.8,83.04,80.62,81.39,79.97052,1055000
"SIG","11/03/2016",80.59,82.39,79.92,80.78,79.37115,1399100
"SIG","11/02/2016",80.46,81.12,79.47,80.2,78.80128,1147100
"SIG","11/01/2016",81.17,81.79,79.91,80.72,79.31221,1267600
"SIG","10/31/2016",80.81,81.74,80.75,81.26,79.8428,716800
"SIG","10/28/2016",79.91,82.29,79.91,80.41,79.00762,861300
"SIG","10/27/2016",82.63,83.39,80,80.16,78.76198,827900
"SIG","10/26/2016",80.35,83.26,80.2,82.46,81.02186,1149900
"SIG","10/26/2016",0,0,0,0,0,0
"SIG","10/25/2016",78.98,81.17,78.65,81.16,79.48907,845400
"SIG","10/24/2016",80.35,80.74,79.42,79.72,78.07871,899100
"SIG","10/21/2016",80.17,81.62,79.46,80.01,78.36274,893000
"SIG","10/20/2016",80.89,81.67,80.73,80.93,79.2638,884400
"SIG","10/19/2016",80.46,81.92,79.98,80.9,79.23443,643100
"SIG","10/18/2016",80,81.36,80,80.4,78.74472,661500
"SIG","10/17/2016",80.83,81.46,79.36,79.68,78.03954,822500
"SIG","10/14/2016",81.82,82.89,80.91,81.05,79.38133,819500
"SIG","10/13/2016",80.4,81.59,80.38,81.05,79.38133,1230000
"SIG","10/12/2016",80.4,81.69,80.3,81.06,79.39112,951300
"SIG","10/11/2016",80.98,82.28,80.19,80.4,78.74472,1311100
"SIG","10/10/2016",80.29,81.97,80.29,81.56,79.88083,810300
"SIG","10/07/2016",82.03,82.24,79.61,80.07,78.4215,1324100
"SIG","10/06/2016",81.36,82.29,80.42,81.53,79.85146,1347200
"SIG","10/05/2016",78.37,82.11,78.29,81.43,79.75351,2803600
"SIG","10/04/2016",76.19,78.18,75.89,77.82,76.21783,1545500
"SIG","10/03/2016",74.29,75.81,74.23,75.72,74.16107,1118900
"SIG","09/30/2016",73.69,74.78,72.65,74.53,72.99556,1315300
"SIG","09/29/2016",74.79,75.46,72.73,73.16,71.65378,1445600
"SIG","09/28/2016",74.95,75.57,73.84,74.9,73.35795,1322600
