"symbol","date","open","high","low","close","adjclose","volume"
"SJM","12/30/2016",129.44,129.44,127.42,128.06,124.851,586600
"SJM","12/29/2016",128.14,129.31,127.76,129.15,125.9137,381800
"SJM","12/28/2016",128.86,129,127.71,127.96,124.7535,340400
"SJM","12/27/2016",128.81,129.46,128.47,128.88,125.6505,300500
"SJM","12/23/2016",129.2,129.5,128.8,129.46,126.2159,265600
"SJM","12/22/2016",128.89,129.7,128.26,129.22,125.9819,479400
"SJM","12/21/2016",129.26,130.18,128.28,128.55,125.3287,469500
"SJM","12/20/2016",128.45,129.94,128.12,129.2,125.9624,675400
"SJM","12/19/2016",129.68,130.4,128.88,129.39,126.1477,533700
"SJM","12/16/2016",127.54,130.69,127.27,129.14,125.9039,1225000
"SJM","12/15/2016",128.13,128.5,126.64,127.45,124.2563,1246200
"SJM","12/14/2016",130.42,131.17,127.51,128.08,124.8705,846700
"SJM","12/13/2016",130.14,131.28,129.9,130.58,127.3079,559900
"SJM","12/12/2016",130.38,130.98,129.7,130.19,126.9276,521500
"SJM","12/09/2016",129.3,130.68,128.61,130.49,127.2201,700900
"SJM","12/08/2016",128.31,129.2,127.66,128.76,125.5335,501900
"SJM","12/07/2016",127,129,126.82,128.65,125.4262,586500
"SJM","12/06/2016",126.14,126.86,125.47,126.75,123.5738,797600
"SJM","12/05/2016",125.31,126.14,124.76,126.01,122.8524,667200
"SJM","12/02/2016",125.24,126.17,124.59,125.28,122.1407,608600
"SJM","12/01/2016",125.33,125.73,124.2,124.74,121.6142,819900
"SJM","11/30/2016",126.55,127.76,125.95,125.95,122.7939,1238300
"SJM","11/29/2016",127.35,127.81,126.39,127.27,124.0808,609800
"SJM","11/28/2016",126.22,127.81,125.63,126.99,123.8078,911100
"SJM","11/25/2016",126.22,127.42,125.86,126.46,123.2911,298200
"SJM","11/23/2016",126.51,127.57,125.15,125.58,122.4332,747400
"SJM","11/22/2016",127.05,127.66,126.47,126.92,123.7396,763000
"SJM","11/21/2016",124.85,126.5,124.51,126.46,123.2911,1072900
"SJM","11/18/2016",124.47,125.57,123.82,124.85,121.7214,1954400
"SJM","11/17/2016",127.42,127.42,122.05,124.85,121.7214,1769100
"SJM","11/16/2016",128.8,130.98,128.77,129.95,126.6936,1185100
"SJM","11/15/2016",129.33,130.86,128.56,128.8,125.5725,865300
"SJM","11/14/2016",126.79,129.68,126.34,128.82,125.592,1033600
"SJM","11/11/2016",127.02,127.48,125.62,127.06,123.8761,1058300
"SJM","11/10/2016",130.49,130.49,126.67,127.49,124.2953,1110300
"SJM","11/09/2016",130.45,131.38,128.3,131.21,127.9221,754600
"SJM","11/08/2016",130.39,133.86,130.39,132.58,129.2578,777300
"SJM","11/08/2016",0,0,0,0,0,0
"SJM","11/07/2016",129.81,131.56,129.52,131.47,127.4444,695800
"SJM","11/04/2016",130.22,130.51,129.18,129.27,125.3117,494500
"SJM","11/03/2016",131.06,131.95,129.95,130.22,126.2327,614200
"SJM","11/02/2016",131.03,131.65,130.56,130.66,126.6592,564700
"SJM","11/01/2016",131.33,132.28,130.5,130.95,126.9403,556900
"SJM","10/31/2016",131.79,132.07,130.8,131.31,127.2893,638400
"SJM","10/28/2016",129.57,132.37,129.57,131.92,127.8806,857400
"SJM","10/27/2016",130.8,130.8,129.16,129.28,125.3214,542900
"SJM","10/26/2016",130.5,131.26,130.15,130.48,126.4847,542400
"SJM","10/25/2016",129.8,130.43,129.59,130.19,126.2036,520400
"SJM","10/24/2016",130.05,130.48,129.14,129.89,125.9127,595900
"SJM","10/21/2016",129.59,130.22,128.75,130.01,126.0291,723300
"SJM","10/20/2016",132.79,132.97,129.57,129.78,125.8061,1155300
"SJM","10/19/2016",132.6,133.05,131.8,132.82,128.753,728100
"SJM","10/18/2016",133.42,133.66,132.11,132.22,128.1714,744700
"SJM","10/17/2016",133.59,133.81,132.76,133.06,128.9857,382700
"SJM","10/14/2016",133.97,134.46,133.33,133.52,129.4316,431200
"SJM","10/13/2016",132.27,134.39,131.84,133.92,129.8193,709900
"SJM","10/12/2016",132.07,132.88,132.01,132.59,128.5301,621700
"SJM","10/11/2016",134.31,134.31,131.96,132.17,128.1229,823900
"SJM","10/10/2016",133.73,134.89,133.11,134.4,130.2847,588400
"SJM","10/07/2016",133.37,133.37,132.58,132.94,128.8694,718200
"SJM","10/06/2016",132.83,133.5,132.31,133.08,129.0051,510700
"SJM","10/05/2016",133.56,133.9,132.5,133.1,129.0244,1376200
"SJM","10/04/2016",135.07,135.35,132.82,133.18,129.102,939400
"SJM","10/03/2016",135,135.92,134.84,135.39,131.2443,554600
"SJM","09/30/2016",135.27,136.06,135.18,135.54,131.3897,703100
"SJM","09/29/2016",134.66,135.59,134.41,134.77,130.6433,893100
"SJM","09/28/2016",133.19,134.79,133,134.72,130.5948,1089900
"SJM","09/27/2016",136.32,136.32,133.15,133.65,129.5576,1480600
"SJM","09/26/2016",136.99,138.23,136.45,137.72,133.503,816600
"SJM","09/23/2016",136.38,137.45,136.38,137.18,132.9795,1024400
"SJM","09/22/2016",137.3,138.28,136,137.87,133.6484,608800
"SJM","09/21/2016",135.36,136.64,134.6,136.33,132.1555,841000
"SJM","09/20/2016",137.38,137.6,135.68,135.69,131.5351,585200
